"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","p"
8,"4-8","male","2017-2018","did_not_consume",10200,"NULL"
8,"4-8","male","2017-2018","1_metric_cup_or_less",3300,"NULL"
8,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
8,"4-8","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
8,"9-11","male","2017-2018","did_not_consume",5000,"NULL"
8,"9-11","male","2017-2018","1_metric_cup_or_less",3900,"NULL"
8,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
8,"9-11","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
8,"12-13","male","2017-2018","did_not_consume",9999999,"9999999"
8,"12-13","male","2017-2018","1_metric_cup_or_less",2400,"NULL"
8,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
8,"12-13","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
8,"14-17","male","2017-2018","did_not_consume",2800,"NULL"
8,"14-17","male","2017-2018","1_metric_cup_or_less",3900,"NULL"
8,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
8,"14-17","male","2017-2018","2_metric_cups_or_more",9999999,"9999999"
1,"2-3","female","2017-2018","did_not_consume",83000,"NULL"
1,"2-3","female","2017-2018","1_metric_cup_or_less",9999999,"9999999"
1,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
1,"2-3","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
1,"4-8","female","2017-2018","did_not_consume",188100,"0.74"
1,"4-8","female","2017-2018","1_metric_cup_or_less",55400,"0.22"
1,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
1,"4-8","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
1,"9-11","female","2017-2018","did_not_consume",93800,"NULL"
1,"9-11","female","2017-2018","1_metric_cup_or_less",50600,"NULL"
1,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
1,"9-11","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
1,"12-13","female","2017-2018","did_not_consume",45000,"NULL"
1,"12-13","female","2017-2018","1_metric_cup_or_less",27700,"NULL"
1,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
1,"12-13","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
1,"14-17","female","2017-2018","did_not_consume",96900,"NULL"
1,"14-17","female","2017-2018","1_metric_cup_or_less",64300,"0.35"
1,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",17900,"0.1"
1,"14-17","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
2,"2-3","female","2017-2018","did_not_consume",66800,"NULL"
2,"2-3","female","2017-2018","1_metric_cup_or_less",18100,"NULL"
2,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
2,"2-3","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
2,"4-8","female","2017-2018","did_not_consume",144300,"0.74"
2,"4-8","female","2017-2018","1_metric_cup_or_less",53300,"0.28"
2,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
2,"4-8","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
2,"9-11","female","2017-2018","did_not_consume",83000,"NULL"
2,"9-11","female","2017-2018","1_metric_cup_or_less",38100,"NULL"
2,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
2,"9-11","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
2,"12-13","female","2017-2018","did_not_consume",43200,"NULL"
2,"12-13","female","2017-2018","1_metric_cup_or_less",32700,"NULL"
2,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
2,"12-13","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
2,"14-17","female","2017-2018","did_not_consume",84300,"NULL"
2,"14-17","female","2017-2018","1_metric_cup_or_less",50300,"NULL"
