"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","uncertainty"
2,"14-17","female","2017-2018","did_not_consume",84300,0
2,"14-17","female","2017-2018","1_metric_cup_or_less",50300,0
2,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",5000,2
2,"14-17","female","2017-2018","2_metric_cups_or_more",3300,2
3,"2-3","female","2017-2018","did_not_consume",57300,0
3,"2-3","female","2017-2018","1_metric_cup_or_less",9700,1
3,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
3,"4-8","female","2017-2018","did_not_consume",110900,0
3,"4-8","female","2017-2018","1_metric_cup_or_less",38600,0
3,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"4-8","female","2017-2018","2_metric_cups_or_more",1500,2
3,"9-11","female","2017-2018","did_not_consume",54600,0
3,"9-11","female","2017-2018","1_metric_cup_or_less",38900,0
3,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
3,"12-13","female","2017-2018","did_not_consume",21000,1
3,"12-13","female","2017-2018","1_metric_cup_or_less",36400,0
3,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
3,"14-17","female","2017-2018","did_not_consume",64600,0
3,"14-17","female","2017-2018","1_metric_cup_or_less",35900,0
3,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",8600,2
3,"14-17","female","2017-2018","2_metric_cups_or_more",7500,1
4,"2-3","female","2017-2018","did_not_consume",14800,1
4,"2-3","female","2017-2018","1_metric_cup_or_less",0,0
4,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
4,"4-8","female","2017-2018","did_not_consume",42300,0
4,"4-8","female","2017-2018","1_metric_cup_or_less",16800,1
4,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
4,"9-11","female","2017-2018","did_not_consume",10200,1
4,"9-11","female","2017-2018","1_metric_cup_or_less",17800,1
4,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
4,"12-13","female","2017-2018","did_not_consume",4800,2
4,"12-13","female","2017-2018","1_metric_cup_or_less",8200,1
4,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",1400,2
4,"12-13","female","2017-2018","2_metric_cups_or_more",3400,2
4,"14-17","female","2017-2018","did_not_consume",20900,0
4,"14-17","female","2017-2018","1_metric_cup_or_less",19200,0
4,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"14-17","female","2017-2018","2_metric_cups_or_more",3500,2
5,"2-3","female","2017-2018","did_not_consume",15200,1
5,"2-3","female","2017-2018","1_metric_cup_or_less",6600,2
5,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
5,"4-8","female","2017-2018","did_not_consume",62000,0
5,"4-8","female","2017-2018","1_metric_cup_or_less",26400,1
5,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
5,"9-11","female","2017-2018","did_not_consume",29400,0
5,"9-11","female","2017-2018","1_metric_cup_or_less",9700,1
5,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
5,"12-13","female","2017-2018","did_not_consume",22500,0
