"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p","uncertainty"
1,"9-11","female","2017-2018","1_metric_cup_or_less",0.34,1
1,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
1,"12-13","female","2017-2018","did_not_consume",0.56,1
1,"12-13","female","2017-2018","1_metric_cup_or_less",0.34,1
1,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
1,"14-17","female","2017-2018","did_not_consume",0.6,1
1,"14-17","female","2017-2018","1_metric_cup_or_less",0.35,0
1,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",0.1,0
1,"14-17","female","2017-2018","2_metric_cups_or_more",0.02,1
2,"2-3","female","2017-2018","did_not_consume",0.83,1
2,"2-3","female","2017-2018","1_metric_cup_or_less",0.22,1
2,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
2,"4-8","female","2017-2018","did_not_consume",0.74,0
2,"4-8","female","2017-2018","1_metric_cup_or_less",0.28,0
2,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
2,"9-11","female","2017-2018","did_not_consume",0.7,1
2,"9-11","female","2017-2018","1_metric_cup_or_less",0.32,1
2,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
2,"12-13","female","2017-2018","did_not_consume",0.58,1
2,"12-13","female","2017-2018","1_metric_cup_or_less",0.44,1
2,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
2,"14-17","female","2017-2018","did_not_consume",0.63,1
2,"14-17","female","2017-2018","1_metric_cup_or_less",0.38,1
2,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",0.04,1
2,"14-17","female","2017-2018","2_metric_cups_or_more",0.03,1
3,"2-3","female","2017-2018","did_not_consume",0.8,1
3,"2-3","female","2017-2018","1_metric_cup_or_less",0.14,1
3,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
3,"4-8","female","2017-2018","did_not_consume",0.73,0
3,"4-8","female","2017-2018","1_metric_cup_or_less",0.25,0
3,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"4-8","female","2017-2018","2_metric_cups_or_more",0.01,1
3,"9-11","female","2017-2018","did_not_consume",0.57,1
3,"9-11","female","2017-2018","1_metric_cup_or_less",0.41,1
3,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
3,"12-13","female","2017-2018","did_not_consume",0.32,1
3,"12-13","female","2017-2018","1_metric_cup_or_less",0.56,1
3,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
3,"14-17","female","2017-2018","did_not_consume",0.6,1
3,"14-17","female","2017-2018","1_metric_cup_or_less",0.3,0
3,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",0.07,1
3,"14-17","female","2017-2018","2_metric_cups_or_more",0.06,0
4,"2-3","female","2017-2018","did_not_consume",1.42,1
4,"2-3","female","2017-2018","1_metric_cup_or_less",0,0
4,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
4,"4-8","female","2017-2018","did_not_consume",0.73,1
4,"4-8","female","2017-2018","1_metric_cup_or_less",0.29,1
4,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
4,"9-11","female","2017-2018","did_not_consume",0.36,1
4,"9-11","female","2017-2018","1_metric_cup_or_less",0.62,1
4,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
4,"12-13","female","2017-2018","did_not_consume",0.27,1
4,"12-13","female","2017-2018","1_metric_cup_or_less",0.5,1
4,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0.08,1
4,"12-13","female","2017-2018","2_metric_cups_or_more",0.19,1
4,"14-17","female","2017-2018","did_not_consume",0.5,1
4,"14-17","female","2017-2018","1_metric_cup_or_less",0.45,1
4,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"14-17","female","2017-2018","2_metric_cups_or_more",0.08,0
5,"2-3","female","2017-2018","did_not_consume",0.5,1
5,"2-3","female","2017-2018","1_metric_cup_or_less",0.2,1
5,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
5,"4-8","female","2017-2018","did_not_consume",0.69,1
5,"4-8","female","2017-2018","1_metric_cup_or_less",0.29,1
5,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
5,"9-11","female","2017-2018","did_not_consume",0.7,1
5,"9-11","female","2017-2018","1_metric_cup_or_less",0.23,1
5,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
5,"12-13","female","2017-2018","did_not_consume",0.77,1
5,"12-13","female","2017-2018","1_metric_cup_or_less",0.39,1
5,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
5,"14-17","female","2017-2018","did_not_consume",0.6,1
5,"14-17","female","2017-2018","1_metric_cup_or_less",0.35,1
5,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",0.05,1
5,"14-17","female","2017-2018","2_metric_cups_or_more",0.08,0
6,"2-3","female","2017-2018","did_not_consume",1,0
6,"2-3","female","2017-2018","1_metric_cup_or_less",0,0
6,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
6,"4-8","female","2017-2018","did_not_consume",0.57,1
6,"4-8","female","2017-2018","1_metric_cup_or_less",0.5,1
6,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
6,"9-11","female","2017-2018","did_not_consume",0.6,1
6,"9-11","female","2017-2018","1_metric_cup_or_less",0.34,1
6,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
6,"12-13","female","2017-2018","did_not_consume",0.9,1
6,"12-13","female","2017-2018","1_metric_cup_or_less",0.32,1
6,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
6,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
6,"14-17","female","2017-2018","did_not_consume",0.6,1
6,"14-17","female","2017-2018","1_metric_cup_or_less",0.17,1
6,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",0.16,1
6,"14-17","female","2017-2018","2_metric_cups_or_more",0,0
7,"2-3","female","2017-2018","did_not_consume",0.93,1
7,"2-3","female","2017-2018","1_metric_cup_or_less",0.11,1
7,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
7,"4-8","female","2017-2018","did_not_consume",0.64,1
7,"4-8","female","2017-2018","1_metric_cup_or_less",0.41,1
7,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"4-8","female","2017-2018","2_metric_cups_or_more",0.06,1
7,"9-11","female","2017-2018","did_not_consume",0.6,1
7,"9-11","female","2017-2018","1_metric_cup_or_less",0.5,1
