"LGA_CODE21","calendar_year","sex","age_group","n_births"
"16150",2015,"all","0-0",673
"16200",2015,"all","0-0",186
"16260",2015,"all","0-0",3609
"16350",2015,"all","0-0",3128
"16380",2015,"all","0-0",722
"16400",2015,"all","0-0",751
"16490",2015,"all","0-0",814
"16550",2015,"all","0-0",1940
"16610",2015,"all","0-0",271
"16700",2015,"all","0-0",1528
"16900",2015,"all","0-0",891
"16950",2015,"all","0-0",999
"17000",2015,"all","0-0",346
"17040",2015,"all","0-0",200
"17080",2015,"all","0-0",163
"17100",2015,"all","0-0",558
"17150",2015,"all","0-0",2789
"17200",2015,"all","0-0",2349
"17310",2015,"all","0-0",820
"17350",2015,"all","0-0",62
"17400",2015,"all","0-0",69
"17420",2015,"all","0-0",1788
"17550",2015,"all","0-0",961
"17620",2015,"all","0-0",157
"17640",2015,"all","0-0",86
"17650",2015,"all","0-0",50
"17750",2015,"all","0-0",853
"17850",2015,"all","0-0",30
"17900",2015,"all","0-0",106
"17950",2015,"all","0-0",58
"18020",2015,"all","0-0",112
"18050",2015,"all","0-0",1118
"18100",2015,"all","0-0",37
"18200",2015,"all","0-0",80
"18250",2015,"all","0-0",994
"18350",2015,"all","0-0",397
"18400",2015,"all","0-0",605
"18450",2015,"all","0-0",2495
"18500",2015,"all","0-0",742
"18710",2015,"all","0-0",164
"19399",2015,"all","0-0",15
"10050",2016,"all","0-0",757
"10180",2016,"all","0-0",328
"10250",2016,"all","0-0",374
"10300",2016,"all","0-0",26
"10470",2016,"all","0-0",481
"10500",2016,"all","0-0",2337
"10550",2016,"all","0-0",271
"10600",2016,"all","0-0",109
"10650",2016,"all","0-0",78
"10750",2016,"all","0-0",5584
"10800",2016,"all","0-0",64
"10850",2016,"all","0-0",83
"10900",2016,"all","0-0",769
"10950",2016,"all","0-0",44
"11150",2016,"all","0-0",52
"11200",2016,"all","0-0",21
"11250",2016,"all","0-0",217
"11300",2016,"all","0-0",418
"11350",2016,"all","0-0",339
"11400",2016,"all","0-0",149
"11450",2016,"all","0-0",1296
"11500",2016,"all","0-0",2308
"11520",2016,"all","0-0",1255
"11570",2016,"all","0-0",5406
"11600",2016,"all","0-0",29
"11650",2016,"all","0-0",3524
"11700",2016,"all","0-0",28
"11720",2016,"all","0-0",742
"11730",2016,"all","0-0",468
"11750",2016,"all","0-0",83
"11800",2016,"all","0-0",815
"12000",2016,"all","0-0",47
"12150",2016,"all","0-0",74
"12160",2016,"all","0-0",110
