"SA2_CODE16","age_group","sex","calendar_year","n_children_attending_preschool"
"107031136","3-6",NA,"2016",0
"107031137","3-6","male","2016",96
"107031137","3-6","female","2016",89
"107031137","3-6",NA,"2016",0
"107031138","3-6","male","2016",92
"107031138","3-6","female","2016",65
"107031138","3-6",NA,"2016",0
"107031139","3-6","male","2016",85
"107031139","3-6","female","2016",60
"107031139","3-6",NA,"2016",0
"107031140","3-6","male","2016",80
"107031140","3-6","female","2016",82
"107031140","3-6",NA,"2016",0
"107031141","3-6","male","2016",232
"107031141","3-6","female","2016",180
"107031141","3-6",NA,"2016",0
"107031142","3-6","male","2016",107
"107031142","3-6","female","2016",94
"107031142","3-6",NA,"2016",0
"107031143","3-6","male","2016",264
"107031143","3-6","female","2016",215
"107031143","3-6",NA,"2016",0
"107041144","3-6","male","2016",236
"107041144","3-6","female","2016",193
"107041144","3-6",NA,"2016",0
"107041145","3-6","male","2016",201
"107041145","3-6","female","2016",154
"107041145","3-6",NA,"2016",0
"107041146","3-6","male","2016",237
"107041146","3-6","female","2016",216
"107041146","3-6",NA,"2016",0
"107041147","3-6","male","2016",127
"107041147","3-6","female","2016",143
"107041147","3-6",NA,"2016",0
"107041148","3-6","male","2016",148
"107041148","3-6","female","2016",116
"107041148","3-6",NA,"2016",0
"107041149","3-6","male","2016",234
"107041149","3-6","female","2016",201
"107041149","3-6",NA,"2016",0
"107041150","3-6","male","2016",260
"107041150","3-6","female","2016",273
"107041150","3-6",NA,"2016",0
"108011151","3-6","male","2016",52
"108011151","3-6","female","2016",35
"108011151","3-6",NA,"2016",0
"108011152","3-6","male","2016",131
"108011152","3-6","female","2016",137
"108011152","3-6",NA,"2016",0
"108011153","3-6","male","2016",57
"108011153","3-6","female","2016",46
"108011153","3-6",NA,"2016",0
"108011154","3-6","male","2016",58
"108011154","3-6","female","2016",71
"108011154","3-6",NA,"2016",0
"108021155","3-6","male","2016",211
"108021155","3-6","female","2016",169
"108021155","3-6",NA,"2016",0
"108021156","3-6","male","2016",80
"108021156","3-6","female","2016",81
"108021156","3-6",NA,"2016",0
"108021157","3-6","male","2016",42
"108021157","3-6","female","2016",39
"108021157","3-6",NA,"2016",0
"108021158","3-6","male","2016",72
"108021158","3-6","female","2016",60
"108021158","3-6",NA,"2016",0
"108021159","3-6","male","2016",80
"108021159","3-6","female","2016",91
"108021159","3-6",NA,"2016",0
"108021160","3-6","male","2016",63
"108021160","3-6","female","2016",43
"108021160","3-6",NA,"2016",0
"108031161","3-6","male","2016",0
"108031161","3-6","female","2016",0
"108031161","3-6",NA,"2016",0
"108041162","3-6","male","2016",127
"108041162","3-6","female","2016",142
"108041162","3-6",NA,"2016",0
"108041163","3-6","male","2016",329
"108041163","3-6","female","2016",310
"108041163","3-6",NA,"2016",0
"108041164","3-6","male","2016",195
"108041164","3-6","female","2016",177
"108041164","3-6",NA,"2016",0
"108041165","3-6","male","2016",56
"108041165","3-6","female","2016",46
"108041165","3-6",NA,"2016",0
"108041166","3-6","male","2016",140
"108041166","3-6","female","2016",131
"108041166","3-6",NA,"2016",0
"108051167","3-6","male","2016",57
"108051167","3-6","female","2016",56
"108051167","3-6",NA,"2016",0
"108051168","3-6","male","2016",124
"108051168","3-6","female","2016",128
"108051168","3-6",NA,"2016",0
"108051169","3-6","male","2016",272
"108051169","3-6","female","2016",245
"108051169","3-6",NA,"2016",0
"108051170","3-6","male","2016",123
"108051170","3-6","female","2016",98
"108051170","3-6",NA,"2016",0
"108051171","3-6","male","2016",71
"108051171","3-6","female","2016",50
