"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara","state_avg_naplan_score_acara"
10805,"all","8-9","Year 3",2013,"Writing",385.1,417.62
10805,"all","8-9","Year 3",2014,"Writing",368.5,404.57
10805,"all","8-9","Year 3",2015,"Writing",383.9,418.6
10805,"all","8-9","Year 3",2016,"Writing",395.6,420.59
10805,"all","8-9","Year 3",2017,"Writing",388.4,416.26
10805,"all","8-9","Year 3",2018,"Writing",384.9,409.96
10805,"all","8-9","Year 3",2019,"Writing",401.8,425.14
10805,"all","8-9","Year 3",2021,"Writing",406.8,428.85
10901,"all","8-9","Year 3",2011,"Writing",409.6,425.12
10901,"all","8-9","Year 3",2012,"Writing",402.2,420.34
10901,"all","8-9","Year 3",2013,"Writing",399.6,417.62
10901,"all","8-9","Year 3",2014,"Writing",390.8,404.57
10901,"all","8-9","Year 3",2015,"Writing",407.8,418.6
10901,"all","8-9","Year 3",2016,"Writing",408.2,420.59
10901,"all","8-9","Year 3",2017,"Writing",400,416.26
10901,"all","8-9","Year 3",2018,"Writing",393.3,409.96
10901,"all","8-9","Year 3",2019,"Writing",412.8,425.14
10901,"all","8-9","Year 3",2021,"Writing",413.9,428.85
10902,"all","8-9","Year 3",2011,"Writing",377.6,425.12
10902,"all","8-9","Year 3",2012,"Writing",384.8,420.34
10902,"all","8-9","Year 3",2013,"Writing",378.9,417.62
10902,"all","8-9","Year 3",2014,"Writing",366.7,404.57
10902,"all","8-9","Year 3",2015,"Writing",390.8,418.6
10902,"all","8-9","Year 3",2016,"Writing",402.7,420.59
10902,"all","8-9","Year 3",2017,"Writing",387.8,416.26
10902,"all","8-9","Year 3",2018,"Writing",378.1,409.96
10902,"all","8-9","Year 3",2019,"Writing",399.6,425.14
10902,"all","8-9","Year 3",2021,"Writing",399.3,428.85
10903,"all","8-9","Year 3",2011,"Writing",413.7,425.12
10903,"all","8-9","Year 3",2012,"Writing",399.8,420.34
10903,"all","8-9","Year 3",2013,"Writing",406.5,417.62
