Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"LGA"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"LGA",
"Brookton (S)",932,
"Broome (S)",14998,
"Broomehill-Tambellup (S)",1140,
"Bruce Rock (S)",975,
"Bunbury (C)",31348,
"Busselton (S)",30331,
"Cambridge (T)",24965,
"Canning (C)",85515,
"Capel (S)",14637,
"Carnamah (S)",547,
"Carnarvon (S)",5786,
"Chapman Valley (S)",1173,
"Chittering (S)",4427,
"Claremont (T)",9279,
"Cockburn (C)",89685,
"Collie (S)",9126,
"Coolgardie (S)",4000,
"Coorow (S)",1065,
"Corrigin (S)",1063,
"Cottesloe (T)",7605,
"Cranbrook (S)",1081,
"Cuballing (S)",871,
"Cue (S)",272,
"Cunderdin (S)",1311,
"Dalwallinu (S)",1266,
"Dandaragan (S)",3185,
"Dardanup (S)",12404,
"Denmark (S)",5194,
"Derby-West Kimberley (S)",8434,
"Donnybrook-Balingup (S)",5322,
"Dowerin (S)",676,
"Dumbleyung (S)",603,
"Dundas (S)",1143,
"East Fremantle (T)",6932,
"East Pilbara (S)",11950,
"Esperance (S)",13477,
"Exmouth (S)",2393,
"Fremantle (C)",26583,
"Geraldton-Greenough (C)",36447,
"Gingin (S)",4687,
"Gnowangerup (S)",1271,
"Goomalling (S)",986,
"Gosnells (C)",106584,
"Halls Creek (S)",3562,
"Harvey (S)",23238,
"Irwin (S)",3568,
"Jerramungup (S)",1053,
"Joondalup (C)",152405,
"Kalamunda (S)",53568,
"Kalgoorlie/Boulder (C)",31109,
"Katanning (S)",4184,
"Kellerberrin (S)",1180,
"Kent (S)",510,
"Kojonup (S)",1982,
"Kondinin (S)",1046,
"Koorda (S)",434,
"Kulin (S)",826,
"Kwinana (T)",29227,
"Lake Grace (S)",1359,
"Laverton (S)",1226,
"Leonora (S)",2512,
"Mandurah (C)",69903,
"Manjimup (S)",9182,
"Meekatharra (S)",1377,
"Melville (C)",95702,
"Menzies (S)",385,
"Merredin (S)",3282,
"Mingenew (S)",479,
"Moora (S)",2476,
"Morawa (S)",891,
"Mosman Park (T)",8599,
"Mount Magnet (S)",643,
"Mount Marshall (S)",486,
"Mukinbudin (S)",489,
"Mullewa (S)",715,
"Mundaring (S)",36530,
"Murchison (S)",115,
"Murray (S)",14150,
"Nannup (S)",1263,
"Narembeen (S)",813,
"Narrogin (S)",875,
"Narrogin (T)",4220,
"Nedlands (C)",20534,
"Ngaanyatjarraku (S)",1437,
"Northam (S)",10557,
"Northampton (S)",3191,
"Nungarin (S)",231,
"Peppermint Grove (S)",1527,
"Perenjori (S)",905,
"Perth (C)",16715,
"Pingelly (S)",1164,
"Plantagenet (S)",4882,
"Port Hedland (T)",15046,
"Quairading (S)",1044,
"Ravensthorpe (S)",2126,
"Rockingham (C)",104105,
"Roebourne (S)",22899,
"Sandstone (S)",105,
"Serpentine-Jarrahdale (S)",17745,
"Shark Bay (S)",855,
"South Perth (C)",40739,
"Stirling (C)",195699,
"Subiaco (C)",17575,
"Swan (C)",108462,
"Tammin (S)",405,
"Three Springs (S)",614,
"Toodyay (S)",4387,
"Trayning (S)",347,
"Upper Gascoyne (S)",250,
"Victoria Park (T)",32433,
"Victoria Plains (S)",897,
"Vincent (T)",31550,
"Wagin (S)",1847,
"Wandering (S)",438,
"Wanneroo (C)",152076,
"Waroona (S)",3582,
"West Arthur (S)",868,
"Westonia (S)",276,
"Wickepin (S)",749,
"Williams (S)",914,
"Wiluna (S)",1160,
"Wongan-Ballidu (S)",1434,
"Woodanilling (S)",417,
"Wyalkatchem (S)",523,
"Wyndham-East Kimberley (S)",7800,
"Yalgoo (S)",402,
"Yilgarn (S)",1637,
"York (S)",3395,
"Unincorporated WA",417,
"No Usual Address (WA)",7299,
"Break O'Day (M)",6193,
"Brighton (M)",15460,
"Burnie (C)",19330,
"Central Coast (M)",21354,
"Central Highlands (M)",2261,
"Circular Head (M)",7978,
"Clarence (C)",51852,
"Derwent Valley (M)",9706,
"Devonport (C)",24617,
"Dorset (M)",6828,
"Flinders (M)",776,
"George Town (M)",6636,
"Glamorgan/Spring Bay (M)",4191,
"Glenorchy (C)",44655,
"Hobart (C)",48706,
"Huon Valley (M)",15140,
"Kentish (M)",6086,
"King Island (M)",1563,
"Kingborough (M)",33892,
"Latrobe (M)",9833,
"Launceston (C)",64193,
"Meander Valley (M)",18889,
"Northern Midlands (M)",12230,
