Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"LGA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"LGA (UR)",
"Port Pirie City and Dists (M)",17361,
"Prospect (C)",20523,
"Renmark Paringa (DC)",9475,
"Robe (DC)",1375,
"Roxby Downs (M)",3881,
"Salisbury (C)",137981,
"Southern Mallee (DC)",2028,
"Streaky Bay (DC)",2076,
"Tatiara (DC)",6620,
"Tea Tree Gully (C)",97737,
"The Coorong (DC)",5386,
"Tumby Bay (DC)",2608,
"Unley (C)",37717,
"Victor Harbor (C)",14661,
"Wakefield (DC)",6804,
"Walkerville (M)",7553,
"Wattle Range (DC)",11676,
"West Torrens (C)",57898,
"Whyalla (C)",21829,
"Wudinna (DC)",1249,
"Yankalilla (DC)",5160,
"Yorke Peninsula (DC)",11060,
"Unincorporated SA",3524,
"No usual address (SA)",2862,
"Migratory - Offshore - Shipping (SA)",8,
"Albany (C)",36585,
"Armadale (C)",79596,
"Ashburton (S)",13026,
"Augusta-Margaret River (S)",14257,
"Bassendean (T)",15093,
"Bayswater (C)",64674,
"Belmont (C)",39685,
"Beverley (S)",1749,
"Boddington (S)",1846,
"Boyup Brook (S)",1702,
"Bridgetown-Greenbushes (S)",4661,
"Brookton (S)",974,
"Broome (S)",16217,
"Broomehill-Tambellup (S)",1142,
"Bruce Rock (S)",926,
"Bunbury (C)",31920,
"Busselton (C)",36688,
"Cambridge (T)",26782,
"Canning (C)",90187,
"Capel (S)",17121,
"Carnamah (S)",551,
"Carnarvon (S)",5524,
"Chapman Valley (S)",1416,
"Chittering (S)",5474,
"Claremont (T)",10055,
"Cockburn (C)",104472,
"Collie (S)",8798,
"Coolgardie (S)",3613,
"Coorow (S)",1038,
"Corrigin (S)",1147,
"Cottesloe (T)",7594,
"Cranbrook (S)",1084,
"Cuballing (S)",864,
"Cue (S)",192,
"Cunderdin (S)",1456,
"Dalwallinu (S)",1428,
"Dandaragan (S)",3212,
"Dardanup (S)",14028,
"Denmark (S)",5850,
"Derby-West Kimberley (S)",7728,
"Donnybrook-Balingup (S)",5871,
"Dowerin (S)",693,
"Dumbleyung (S)",673,
"Dundas (S)",767,
"East Fremantle (T)",7375,
"East Pilbara (S)",10591,
"Esperance (S)",14238,
"Exmouth (S)",2727,
"Fremantle (C)",28893,
"Gingin (S)",5218,
"Gnowangerup (S)",1219,
"Goomalling (S)",1036,
"Gosnells (C)",118073,
"Greater Geraldton (C)",38632,
"Halls Creek (S)",3267,
"Harvey (S)",26549,
"Irwin (S)",3569,
"Jerramungup (S)",1106,
"Joondalup (C)",154443,
"Kalamunda (S)",57451,
"Kalgoorlie/Boulder (C)",30053,
"Karratha (C)",21472,
"Katanning (S)",4150,
"Kellerberrin (S)",1224,
"Kent (S)",563,
"Kojonup (S)",1981,
"Kondinin (S)",875,
"Koorda (S)",415,
"Kulin (S)",764,
"Kwinana (C)",38921,
"Lake Grace (S)",1266,
"Laverton (S)",1156,
"Leonora (S)",1406,
"Mandurah (C)",80808,
"Manjimup (S)",9253,
"Meekatharra (S)",1066,
"Melville (C)",98076,
"Menzies (S)",490,
"Merredin (S)",3353,
"Mingenew (S)",459,
"Moora (S)",2433,
"Morawa (S)",746,
"Mosman Park (T)",8755,
"Mount Magnet (S)",482,
"Mount Marshall (S)",526,
"Mukinbudin (S)",553,
"Mundaring (S)",38159,
"Murchison (S)",153,
"Murray (S)",16696,
"Nannup (S)",1329,
"Narembeen (S)",810,
"Narrogin (S)",5158,
"Nedlands (C)",21114,
"Ngaanyatjarraku (S)",1606,
"Northam (S)",11115,
"Northampton (S)",3322,
"Nungarin (S)",251,
"Peppermint Grove (S)",1637,
"Perenjori (S)",616,
"Perth (C)",21798,
"Pingelly (S)",1150,
