Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA2 (UR)",
"128011602",11764,
"128011603",12058,
"128011604",23487,
"128011605",3149,
"128011606",7728,
"128021533",6504,
"128021534",10366,
"128021535",21128,
"128021536",21254,
"128021537",24,
"128021538",20874,
"128021607",16992,
"128021608",7247,
"128021609",3646,
"197979799",419,
"199999499",12288,
"201011001",11658,
"201011002",12046,
"201011003",23083,
"201011004",24232,
"201011005",7153,
"201011006",7082,
"201011007",3935,
"201011008",14633,
"201021009",5872,
"201021010",7822,
"201021011",8956,
"201021012",5661,
"201031013",3303,
"201031014",4393,
"201031015",4483,
"201031016",7922,
"201031017",5267,
"202011018",14460,
"202011019",11962,
"202011020",13509,
"202011021",9295,
"202011022",19688,
"202011023",5087,
"202011024",8629,
"202011025",11750,
"202021026",7180,
"202021027",10583,
"202021028",8468,
"202021029",4508,
"202021030",9649,
"202021031",6895,
"202031032",4365,
"202031033",7058,
"203011034",6417,
"203011035",6855,
"203011036",5746,
"203021037",14025,
"203021038",26347,
"203021039",12690,
"203021040",19465,
"203021041",23274,
"203021042",22103,
"203021043",18088,
"203021044",12814,
"203021045",14595,
"203021046",10148,
"203021047",14629,
"203031048",13348,
"203031049",5054,
"203031050",23424,
"203031051",7401,
"203031052",4151,
"203031053",18361,
"204011054",6337,
"204011055",6275,
"204011056",13872,
"204011057",8843,
"204011058",4006,
"204011059",6332,
"204011060",4432,
"204011061",184,
"204011062",3558,
"204021063",10330,
"204021064",3594,
"204021065",3869,
"204021066",18715,
"204021067",9601,
"204031068",4566,
"204031069",8147,
"204031070",3097,
"204031071",4634,
"204031072",5953,
"204031073",14951,
"204031074",24397,
"204031075",4487,
"205011076",16210,
"205011077",6012,
"205011078",7646,
"205011079",18761,
"205021080",0,
"205021081",14726,
"205021082",7743,
"205021083",0,
"205021084",9917,
"205021085",6453,
"205021086",6313,
"205031087",8730,
"205031088",114,
"205031089",9119,
"205031090",11081,
"205031091",10380,
"205031092",14,
"205031093",22228,
"205041094",11399,
"205041095",16550,
"205041096",13811,
"205041097",26788,
"205041098",4548,
"205051099",24,
"205051100",4304,
"205051101",13867,
"205051102",4723,
"205051103",14646,
"205051104",5309,
"206011105",25437,
"206011106",10965,
"206011107",13731,
"206011108",26163,
"206011109",9956,
"206021110",8938,
"206021111",24666,
"206021112",18464,
"206031113",14745,
"206031114",27484,
"206031115",10111,
"206031116",14252,
"206041117",18998,
"206041118",10966,
"206041119",4964,
"206041120",85,
"206041121",10812,
"206041122",37325,
"206041123",20634,
"206041124",7409,
"206041125",6097,
"206041126",18670,
"206041127",6,
"206051128",15383,
"206051129",15220,
"206051130",16158,
"206051131",15,
"206051132",11548,
"206051133",26122,
"206051134",16418,
"206061135",8975,
"206061136",19719,
"206061137",20728,
"206061138",13046,
"206071139",8184,
"206071140",8426,
"206071141",8512,
"206071142",10447,
"206071143",12338,
"206071144",30502,
"206071145",9041,
"207011146",7753,
"207011147",15834,
"207011148",20222,
"207011149",21398,
"207011150",16324,
"207011151",22975,
"207011152",15165,
"207011153",24729,
"207011154",6510,
"207011155",16320,
"207021156",11044,
"207021157",20581,
"207021159",16620,
"207021160",13592,
"207021424",14577,
"207021425",13957,
"207031161",21383,
"207031162",10793,
"207031163",19832,
"207031164",17549,
"207031165",12247,
"207031166",10269,
"207031167",9965,
"208011168",13474,
"208011169",22694,
"208011170",15834,
"208011171",10938,
"208011172",17638,
"208011173",16508,
"208021174",22419,
"208021176",18064,
"208021177",20980,
"208021178",17452,
"208021179",11353,
"208021180",7558,
"208021181",9249,
"208021182",13341,
"208021426",14783,
"208021427",13237,
"208031183",8989,
"208031184",61,
"208031185",11547,
"208031186",14191,
"208031187",5337,
"208031188",22271,
"208031189",12750,
"208031190",12965,
"208031191",8799,
"208031192",0,
"208031193",19913,
"208041194",20042,
"208041195",21319,
"209011196",9898,
"209011197",20460,
"209011198",14771,
"209011199",14151,
"209011200",11384,
"209011201",7694,
"209011202",16095,
"209011203",18303,
"209011204",9113,
"209021205",11330,
"209021207",27075,
"209021208",24037,
"209021428",20027,
"209021429",12189,
"209031209",22901,
"209031210",3451,
"209031211",3846,
"209031212",5152,
"209031213",9363,
"209031214",6704,
"209031215",13703,
"209041216",7449,
"209041217",6190,
"209041219",22808,
"209041220",17819,
"209041221",11889,
"209041223",20311,
"209041224",16218,
"209041225",8129,
"209041430",20935,
"209041431",13167,
