Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Local Area (SLA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Local Area (SLA)",
"307153531",9306,
"307153534",6387,
"307153535",9639,
"307153537",11677,
"307153543",14771,
"307153547",5394,
"307153551",14733,
"307153564",5605,
"307153566",20512,
"307153567",23630,
"307153568",11482,
"307153572",11090,
"307153578",17782,
"307153581",5477,
"307153582",19184,
"307153592",11799,
"307153593",9319,
"307200553",10036,
"307203538",3969,
"309052132",21155,
"309052133",20134,
"309052135",20320,
"309054902",39910,
"309054905",23086,
"309054907",16355,
"309054911",10245,
"309054914",13276,
"309054917",15206,
"309055752",9103,
"309055755",9233,
"309055756",11553,
"309102136",7656,
"309102138",18327,
"309104918",24763,
"309105758",15935,
"312053050",15162,
"312054250",3436,
"312100555",11269,
"312100800",8643,
"312103250",15639,
"312104450",14480,
"315051810",45806,
"315051981",13967,
"315073751",48155,
"315100700",1523,
"315101984",12331,
"315102330",1131,
"315102532",19616,
"315102535",16450,
"315102950",862,
"315103300",2786,
"315103754",4066,
"315104000",6295,
"315104300",3450,
"315104350",12220,
"315104400",4563,
"315104950",25701,
"315105100",5129,
"315105150",2436,
"315105450",2119,
"315105500",3458,
"315105650",9017,
"315105900",426,
"315106850",5326,
"315107450",4401,
"315107500",3439,
"320012151",3911,
"320012551",8717,
"320014201",7109,
"320016451",4540,
"320016901",13547,
"320016903",10158,
"320016905",18376,
"320016906",26023,
"320016908",22093,
"320052154",1906,
"320052350",5941,
"320052400",2612,
"320052554",3925,
"320052650",9776,
"320053600",4713,
"320053900",2536,
"320054204",6981,
"320055000",3101,
"320055550",2687,
"320056050",4783,
"320056454",4492,
"320056600",10126,
"320056700",3673,
"320056750",2386,
"320057120",2875,
"320057150",5226,
"320057262",11218,
"320057263",4254,
"320057265",2478,
"320057266",3591,
"325050300",4629,
"325050650",989,
"325050850",1702,
"325051750",374,
"325051850",2055,
"325055600",4579,
"325055800",1927,
"325056150",982,
"325056400",6505,
"325057200",1035,
"330053151",6182,
"330054551",3906,
"330056350",58749,
"330102101",13815,
"330103350",29084,
"330150350",13355,
"330150500",2188,
"330152104",2725,
"330152850",6741,
"330153000",14352,
"330153154",4388,
"330154100",920,
"330154554",24965,
"330155350",2984,
"330155850",3185,
"330157550",848,
"335050150",724,
"335050400",1617,
"335050450",360,
"335050750",1458,
"335050900",419,
"335052750",284,
"335053850",266,
"335054050",263,
"335054700",3525,
"335056650",563,
"335057400",1382,
"340054762",72847,
"340100600",10452,
"340100950",12379,
"340101700",6845,
"340104765",12047,
"340105050",5407,
"340105700",2523,
"340106550",10722,
"340107330",16954,
"345057001",4840,
"345057003",1983,
"345057007",6278,
"345057012",2612,
"345057014",5991,
"345057015",2387,
"345057018",2873,
"345057023",4263,
"345057026",3443,
"345057027",2222,
"345057031",2111,
"345057033",5534,
"345057034",3724,
"345057038",10097,
"345057041",5587,
"345057044",3540,
"345057047",1024,
"345057051",2284,
"345057054",2814,
"345057058",1447,
"345057062",2367,
"345057065",1912,
"345057068",1235,
"345057071",2589,
"345057074",3656,
"345057078",4915,
"345106801",8694,
"345106804",23101,
"345106807",19783,
"345151900",17016,
"345152300",7979,
"345152700",3505,
"345153800",11558,
"345155770",1981,
"345156831",7588,
"345157084",3715,
"350052062",20048,
"350052065",21372,
"350052066",8166,
"350052068",11805,
"350052072",15209,
"350052074",33846,
"350052076",12287,
"350100200",10910,
"350100250",1046,
"350100270",821,
"350100330",781,
"350100770",282,
