Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"SA2"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"SA2",
"205041095",16675,
"205041096",14004,
"205041097",25701,
"205041098",4446,
"205051099",27,
"205051100",3835,
"205051101",13405,
"205051102",4555,
"205051103",14259,
"205051104",5258,
"206011105",22763,
"206011106",8477,
"206011107",13148,
"206011108",24978,
"206011109",9531,
"206021110",8205,
"206021111",22920,
"206021112",17434,
"206031113",13477,
"206031114",24760,
"206031115",9159,
"206031116",13532,
"206041117",14106,
"206041118",5789,
"206041119",4905,
"206041120",77,
"206041121",9718,
"206041122",20030,
"206041123",15497,
"206041124",6193,
"206041125",5998,
"206041126",11309,
"206041127",0,
"206051128",14131,
"206051129",14640,
"206051130",14515,
"206051131",7,
"206051132",9827,
"206051133",22551,
"206051134",15709,
"206061135",8760,
"206061136",17485,
"206061137",14663,
"206061138",12869,
"206071139",4905,
"206071140",8297,
"206071141",6469,
"206071142",9433,
"206071143",11472,
"206071144",26120,
"206071145",8134,
"207011146",7583,
"207011147",15587,
"207011148",19943,
"207011149",20031,
"207011150",15955,
"207011151",20705,
"207011152",13571,
"207011153",23588,
"207011154",6306,
"207011155",15910,
"207021156",10870,
"207021157",18359,
"207021158",27046,
"207021159",16482,
"207021160",13149,
"207031161",19822,
"207031162",10587,
"207031163",17373,
"207031164",16426,
"207031165",10793,
"207031166",10142,
"207031167",9771,
"208011168",12832,
"208011169",21255,
"208011170",15412,
"208011171",10189,
"208011172",16874,
"208011173",15249,
"208021174",20885,
"208021175",25925,
"208021176",16297,
"208021177",19771,
"208021178",16434,
"208021179",10742,
"208021180",7053,
"208021181",8591,
"208021182",12372,
"208031183",8757,
"208031184",13,
"208031185",11188,
"208031186",12956,
"208031187",5186,
"208031188",20365,
"208031189",12077,
"208031190",11666,
"208031191",8051,
"208031192",0,
"208031193",18721,
"208041194",19300,
"208041195",20067,
"209011196",9515,
"209011197",20225,
"209011198",13617,
"209011199",13445,
"209011200",11086,
"209011201",7690,
"209011202",15629,
"209011203",18109,
"209011204",8986,
"209021205",10355,
"209021206",29926,
"209021207",24690,
"209021208",22941,
"209031209",22805,
"209031210",3511,
"209031211",3579,
"209031212",5019,
"209031213",8952,
"209031214",6606,
"209031215",13451,
"209041216",5437,
"209041217",6122,
"209041218",26856,
"209041219",19872,
"209041220",18234,
"209041221",12285,
"209041222",38320,
"209041223",20332,
"209041224",12030,
"209041225",7415,
"210011226",6958,
"210011227",0,
"210011228",8311,
"210011229",24244,
"210011230",6267,
"210011231",9040,
"210021232",11075,
"210021233",3185,
"210021234",3752,
"210021235",8623,
"210031236",6576,
"210031237",12595,
"210031238",27778,
"210031239",20660,
"210041240",12637,
"210041241",24215,
"210051242",11696,
"210051243",16031,
"210051244",34318,
"210051245",17109,
"210051246",12103,
"210051247",14843,
"210051248",140,
"210051249",20051,
"210051250",6266,
"211011251",11240,
"211011252",25053,
"211011253",28075,
"211011254",13031,
"211011255",6550,
"211011256",15237,
"211011257",8082,
"211011258",10827,
"211011259",13768,
"211011260",17477,
"211021261",15499,
"211021262",10006,
"211031263",11476,
"211031264",29599,
"211031265",18015,
"211031266",16008,
"211031267",19000,
"211031268",9316,
"211041269",10051,
"211041270",14812,
"211041271",10946,
"211041272",9903,
"211041273",11417,
"211051274",10062,
"211051275",9123,
"211051276",12843,
"211051277",8531,
"211051278",17988,
"211051279",5542,
"211051280",6732,
"211051281",20691,
"211051282",9657,
"211051283",9376,
"211051284",9778,
"211051285",7408,
"211051286",15985,
"212011287",8096,
"212011288",8203,
"212011289",17510,
"212011290",6530,
"212011291",12647,
"212011292",21348,
"212021293",22252,
"212021294",22988,
"212021295",10256,
"212021296",25504,
"212021297",10161,
"212021298",25884,
"212021299",6983,
"212031300",18623,
"212031301",8210,
"212031302",14573,
"212031303",6717,
"212031304",8744,
"212031305",23768,
"212031306",11666,
"212031307",28593,
"212031308",7479,
"212041309",11663,
"212041310",11625,
"212041311",25923,
"212041312",21911,
"212041313",10169,
"212041314",20042,
"212041315",28376,
"212041316",7391,
"212041317",19772,
"212041318",12184,
"212051319",16254,
"212051320",17708,
"212051321",20722,
"212051322",18485,
"212051323",14916,
"212051324",17160,
"212051325",17649,
"212051326",20235,
"212051327",19105,
"213011328",7159,
"213011329",8840,
"213011330",22194,
"213011331",8442,
"213011332",13469,
"213011333",13530,
"213011334",18885,
"213011335",16209,
"213011336",8838,
"213011337",10636,
"213011338",16746,
"213011339",11530,
"213011340",17938,
"213021341",11778,
"213021342",18746,
"213021343",13012,
"213021344",16157,
"213021345",4970,
"213021346",14748,
"213031347",15930,
"213031348",13202,
"213031349",10163,
"213031350",8358,
"213031351",10229,
"213031352",13745,
"213041353",17156,
"213041354",26069,
"213041355",15542,
"213041356",17703,
"213041357",15804,
"213041358",14172,
"213041359",2661,
"213041360",15464,
"213051361",18978,
"213051362",18619,
"213051363",5353,
"213051364",32414,
"213051365",21974,
"213051366",11168,
"213051367",29741,
"213051368",10478,
"213051369",17306,
"214011370",19121,
"214011371",21582,
"214011372",19061,
"214011373",17613,
"214011374",22499,
"214011375",16033,
"214011376",10550,
"214021377",9015,
"214021378",5332,
"214021379",20299,
"214021380",22420,
"214021381",17248,
"214021382",17089,
"214021383",16129,
"214021384",19622,
"214021385",17450,
"215011386",8078,
"215011387",2910,
"215011388",15894,
"215011389",3412,
"215011390",7196,
"215011391",3586,
"215011392",8273,
"215011393",2882,
"215011394",7027,
"215021395",6478,
"215021396",4641,
"215021397",30647,
"215021398",3809,
"215021399",5406,
"215031400",6388,
"215031401",6494,
"215031402",3872,
"215031403",3471,
"215031404",10431,
"215031405",6549,
"216011406",14192,
"216011407",10737,
"216011408",3725,
"216011409",3797,
"216011410",4096,
"216021411",6242,
"216021412",2561,
"216021413",12261,
"216021414",7056,
"216031415",7811,
"216031416",17229,
"216031417",21456,
"216031418",3927,
"216031419",9793,
"217011420",8832,
"217011421",10104,
"217011422",10715,
"217011423",6348,
"217021424",3461,
"217021425",11776,
"217021426",5319,
"217021427",5396,
"217021428",7472,
"217021429",6707,
"217021430",8891,
"217021431",3269,
"217021432",19542,
"217021433",12838,
"297979799",36,
"299999499",8307,
"301011001",16710,
"301011002",7439,
"301011003",14346,
"301011004",16918,
"301011005",3546,
"301011006",10986,
"301021007",14414,
"301021008",5639,
"301021009",13624,
"301021010",8661,
"301021011",6496,
"301021012",12806,
"301021013",14816,
"301031014",5,
"301031015",7134,
"301031016",10715,
"301031017",3958,
"301031018",8540,
"301031019",7803,
"301031020",12526,
"301031021",14334,
"302011022",6947,
"302011023",7637,
"302011024",7767,
"302011025",8325,
"302011026",7087,
"302021027",12448,
"302021028",8171,
"302021029",6122,
"302021030",4299,
"302021031",12608,
"302021032",6041,
"302021033",6779,
"302021034",9436,
"302031035",8748,
"302031036",91,
"302031037",260,
"302031038",6364,
"302031039",8723,
"302031040",10387,
"302041041",16799,
"302041042",9011,
"302041043",3460,
"302041044",6538,
"302041045",8908,
"302041046",8105,
"303011047",10533,
"303011048",4509,
"303011049",10301,
"303011050",6111,
"303011051",15560,
"303021052",10665,
"303021053",14946,
"303021054",4026,
"303021055",8566,
"303021056",7846,
"303021057",5967,
"303021058",4787,
"303021059",8385,
"303031060",14079,
"303031061",5575,
"303031062",8494,
"303031063",14130,
"303031064",4075,
"303031065",8852,
"303031066",10460,
"303041067",4546,
"303041068",9984,
"303041069",4868,
"303041070",7154,
"303041071",9965,
"303051072",8264,
"303051073",18469,
"303051074",3788,
"303051075",14408,
"303051076",8707,
"303061077",7775,
"303061078",13370,
"303061079",8091,
"303061080",16831,
"304011081",7270,
"304011082",7084,
"304011083",3818,
"304011084",9511,
"304011085",4381,
"304021086",9019,
"304021087",6934,
"304021088",10169,
"304021089",3654,
"304021090",8482,
"304021091",5367,
"304031092",6563,
"304031093",4694,
"304031094",11670,
"304031095",5245,
"304031096",11194,
"304031097",7933,
"304041098",7684,
"304041099",23,
"304041100",7010,
"304041101",7658,
"304041102",0,
"304041103",15951,
"304041104",9042,
"305011105",8706,
"305011106",5216,
"305011107",5823,
"305011108",6999,
"305011109",11728,
"305011110",5417,
"305011111",5626,
"305011112",8062,
"305021113",3828,
"305021114",5942,
"305021115",5598,
"305021116",4778,
"305021117",11432,
"305021118",6001,
"305031119",2551,
"305031120",5680,
"305031121",5166,
"305031122",10005,
"305031123",4162,
"305031124",4719,
"305031125",4419,
"305031126",7846,
"305031127",4442,
"305031128",7282,
"305031129",3870,
"305031130",6388,
"305031131",8738,
"305041132",12915,
"305041133",5352,
"305041134",9255,
"305041135",9976,
"305041136",5546,
"305041137",10501,
"306011138",5236,
"306011139",9960,
"306011140",3619,
"306011141",11507,
"306011142",10901,
"306011143",5992,
"306021144",7420,
"306021145",9851,
"306021146",7995,
"306021147",9934,
"306021148",8039,
"306021149",9175,
"306021150",0,
"306021151",5688,
"306021152",4964,
"306021153",7992,
"306021154",6296,
"306021155",4491,
"306021156",8049,
"306021157",4826,
"306031158",4114,
"306031159",9220,
"306031160",7528,
"306031161",10195,
"306031162",3,
"306031163",2408,
"306041164",6009,
"306041165",4773,
"306051166",10167,
"306051167",5484,
"306051168",4339,
"306051169",8060,
"306051170",10181,
"307011171",4719,
"307011172",7084,
"307011173",6396,
"307011174",4192,
"307011175",3802,
"307011176",6905,
"307011177",6168,
"307011178",4139,
