Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"LGA"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"LGA",
"LGA54130",1053,
"LGA54170",152405,
"LGA54200",53568,
"LGA54280",31109,
"LGA54340",4184,
"LGA54410",1180,
"LGA54480",510,
"LGA54550",1982,
"LGA54620",1046,
"LGA54690",434,
"LGA54760",826,
"LGA54830",29227,
"LGA54900",1359,
"LGA54970",1226,
"LGA55040",2512,
"LGA55110",69903,
"LGA55180",9182,
"LGA55250",1377,
"LGA55320",95702,
"LGA55390",385,
"LGA55460",3282,
"LGA55530",479,
"LGA55600",2476,
"LGA55670",891,
"LGA55740",8599,
"LGA55810",643,
"LGA55880",486,
"LGA55950",489,
"LGA56020",715,
"LGA56090",36530,
"LGA56160",115,
"LGA56230",14150,
"LGA56300",1263,
"LGA56370",813,
"LGA56450",875,
"LGA56520",4220,
"LGA56580",20534,
"LGA56620",1437,
"LGA56730",10557,
"LGA56790",3191,
"LGA56860",231,
"LGA56930",1527,
"LGA57000",905,
"LGA57080",16715,
"LGA57140",1164,
"LGA57210",4882,
"LGA57280",15046,
"LGA57350",1044,
"LGA57420",2126,
"LGA57490",104105,
"LGA57560",22899,
"LGA57630",105,
"LGA57700",17745,
"LGA57770",855,
"LGA57840",40739,
"LGA57910",195699,
"LGA57980",17575,
"LGA58050",108462,
"LGA58190",405,
"LGA58260",614,
"LGA58330",4387,
"LGA58400",347,
"LGA58470",250,
"LGA58510",32433,
"LGA58540",897,
"LGA58570",31550,
"LGA58610",1847,
"LGA58680",438,
"LGA58760",152076,
"LGA58820",3582,
"LGA58890",868,
"LGA59030",276,
"LGA59100",749,
"LGA59170",914,
"LGA59250",1160,
"LGA59310",1434,
"LGA59320",417,
"LGA59330",523,
"LGA59340",7800,
"LGA59350",402,
"LGA59360",1637,
"LGA59370",3395,
"LGA59399",417,
"LGA59499",7299,
"LGA60210",6193,
"LGA60410",15460,
"LGA60610",19330,
"LGA60810",21354,
"LGA61010",2261,
"LGA61210",7978,
"LGA61410",51852,
"LGA61510",9706,
"LGA61610",24617,
"LGA61810",6828,
"LGA62010",776,
"LGA62210",6636,
"LGA62410",4191,
"LGA62610",44655,
"LGA62810",48706,
"LGA63010",15140,
"LGA63210",6086,
"LGA63410",1563,
"LGA63610",33892,
"LGA63810",9833,
"LGA64010",64193,
"LGA64210",18889,
"LGA64610",12230,
"LGA64810",13196,
"LGA65010",6047,
"LGA65210",2355,
"LGA65410",13707,
"LGA65610",4679,
"LGA65810",21816,
"LGA69399",113,
"LGA69499",1072,
"LGA70200",25187,
"LGA70420",6824,
"LGA70540",181,
"LGA70620",3718,
"LGA70700",1105,
"LGA71000",72929,
"LGA71300",9100,
"LGA72200",9185,
"LGA72300",18994,
"LGA72330",5832,
"LGA72800",27705,
"LGA73600",6121,
"LGA74050",2579,
"LGA74500",5922,
"LGA74560",370,
"LGA74660",6232,
"LGA79399",8091,
"LGA79499",1870,
"LGA89399",356586,
"LGA89499",630,
"LGA99399",3008,
"LGA99499",26,
"Total",21507719,

"Dataset: Census of Population and Housing, 2011, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
