Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"LGA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"LGA (UR)",
"LGA59310",1334,
"LGA59320",409,
"LGA59330",511,
"LGA59340",7152,
"LGA59350",338,
"LGA59360",1201,
"LGA59370",3604,
"LGA59499",5950,
"LGA59799",431,
"LGA60210",6104,
"LGA60410",16512,
"LGA60610",18894,
"LGA60810",21362,
"LGA61010",2145,
"LGA61210",7920,
"LGA61410",54818,
"LGA61510",10022,
"LGA61610",24702,
"LGA61810",6619,
"LGA62010",899,
"LGA62210",6763,
"LGA62410",4400,
"LGA62610",46246,
"LGA62810",50443,
"LGA63010",16199,
"LGA63210",6126,
"LGA63410",1583,
"LGA63610",35852,
"LGA63810",10700,
"LGA64010",65274,
"LGA64210",19281,
"LGA64610",12821,
"LGA64810",14415,
"LGA65010",6042,
"LGA65210",2372,
"LGA65410",13575,
"LGA65610",4152,
"LGA65810",22719,
"LGA69499",911,
"LGA69799",75,
"LGA70200",24751,
"LGA70420",6654,
"LGA70540",166,
"LGA70620",3672,
"LGA70700",1318,
"LGA71000",78799,
"LGA71300",9026,
"LGA72200",9719,
"LGA72300",23857,
"LGA72330",6031,
"LGA72800",33786,
"LGA73600",6504,
"LGA74050",2452,
"LGA74550",2815,
"LGA74560",460,
"LGA74660",6192,
"LGA74680",3167,
"LGA79399",6908,
"LGA79499",2485,
"LGA79799",73,
"LGA89399",396853,
"LGA89499",541,
"LGA89799",0,
"LGA99399",4523,
"LGA99499",54,
"LGA99799",4,
"Total",23401891,

"Dataset: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
