Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Local Government Area (LGA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Local Government Area (LGA)",
"Hervey Bay (C)",52219,
"Hinchinbrook (S)",11558,
"Hope Vale (S)",782,
"Iama (IC)",309,
"Ilfracombe (S)",266,
"Inglewood (S)",2536,
"Injinoo (S)",416,
"Ipswich (C)",140181,
"Isis (S)",6295,
"Isisford (S)",263,
"Jericho (S)",920,
"Johnstone (S)",18251,
"Jondaryan (S)",14098,
"Kilcoy (S)",3436,
"Kilkivan (S)",3450,
"Kingaroy (S)",12220,
"Kolan (S)",4563,
"Kowanyama (S)",1023,
"Kubin (IC)",200,
"Laidley (S)",14480,
"Livingstone (S)",28868,
"Lockhart River (S)",550,
"Logan (C)",173263,
"Longreach (S)",3525,
"Mabuiag (IC)",251,
"Mackay (C)",84887,
"McKinlay (S)",893,
"Mapoon (S)",242,
"Mareeba (S)",18211,
"Maroochy (S)",142843,
"Maryborough (C)",25701,
"Mer (IC)",480,
"Millmerran (S)",3101,
"Mirani (S)",5407,
"Miriam Vale (S)",5129,
"Monto (S)",2436,
"Mornington (S)",1032,
"Mount Isa (C)",19660,
"Mount Morgan (S)",2984,
"Mundubbera (S)",2119,
"Murgon (S)",3458,
"Murilla (S)",2687,
"Murweh (S)",4579,
"Nanango (S)",9017,
"Napranum (S)",838,
"Nebo (S)",2523,
"New Mapoon (S)",346,
"Noosa (S)",45831,
"Palm Island (S)",1981,
"Paroo (S)",1927,
"Peak Downs (S)",3185,
"Perry (S)",426,
"Pine Rivers (S)",141143,
"Pittsworth (S)",4783,
"Pormpuraaw (S)",597,
"Poruma (IC)",167,
"Quilpie (S)",982,
"Redcliffe (C)",51178,
"Redland (S)",127627,
"Richmond (S)",900,
"Rockhampton (C)",58749,
"Roma (T)",6505,
"Rosalie (S)",9037,
"Saibai (IC)",338,
"St Pauls (IC)",239,
"Sarina (S)",10722,
"Seisia (IC)",164,
"Stanthorpe (S)",10126,
"Tambo (S)",563,
"Tara (S)",3673,
"Taroom (S)",2386,
"Thuringowa (C)",59170,
"Tiaro (S)",5326,
"Toowoomba (C)",90198,
"Torres (S)",3233,
"Townsville (C)",95464,
"Ugar (IC)",76,
"Umagico (S)",230,
"Waggamba (S)",2875,
"Wambo (S)",5226,
"Warraber (IC)",246,
