Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Local Government Area (LGA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Local Government Area (LGA)",
"LGA37570",326,
"LGA37600",2375,
"LGA37650",301,
"LGA39399",106,
"LGA39499",12806,
"LGA40070",16658,
"LGA40120",37860,
"LGA40220",20713,
"LGA40250",2235,
"LGA40310",20550,
"LGA40430",2544,
"LGA40520",10935,
"LGA40700",41955,
"LGA40910",46159,
"LGA41010",3574,
"LGA41060",100533,
"LGA41140",8144,
"LGA41190",1899,
"LGA41330",1911,
"LGA41560",11445,
"LGA41750",1132,
"LGA41830",1727,
"LGA41960",1273,
"LGA42030",18911,
"LGA42110",4181,
"LGA42250",7871,
"LGA42600",33301,
"LGA42750",4258,
"LGA43080",1163,
"LGA43220",1114,
"LGA43360",2327,
"LGA43570",1312,
"LGA43650",12362,
"LGA43710",4404,
"LGA43790",11607,
"LGA43920",7904,
"LGA44000",105,
"LGA44060",78703,
"LGA44210",8039,
"LGA44340",61849,
"LGA44550",26435,
"LGA44620",23493,
"LGA44830",2843,
"LGA45040",17678,
"LGA45090",8082,
"LGA45120",4649,
"LGA45290",33729,
"LGA45340",149733,
"LGA45400",936,
"LGA45540",1904,
"LGA45680",70013,
"LGA45890",102929,
"LGA46090",13875,
"LGA46300",13604,
"LGA46450",17139,
"LGA46510",19293,
"LGA46670",9452,
"LGA46860",1702,
"LGA46970",4056,
"LGA47140",118424,
"LGA47290",2138,
"LGA47490",2021,
"LGA47630",6865,
"LGA47700",95973,
"LGA47800",5666,
"LGA47910",2538,
"LGA47980",35999,
"LGA48050",12013,
"LGA48130",6369,
"LGA48260",6962,
"LGA48340",11888,
"LGA48410",52159,
"LGA48540",21417,
"LGA48750",4151,
"LGA48830",11192,
"LGA49399",3752,
"LGA49499",2618,
"LGA50080",31573,
"LGA50210",50537,
"LGA50250",6080,
"LGA50280",10350,
"LGA50350",13463,
"LGA50420",55803,
"LGA50490",30334,
"LGA50560",1563,
"LGA50630",1380,
"LGA50770",1482,
"LGA50840",3953,
"LGA50910",983,
"LGA50980",13061,
"LGA51050",480,
"LGA51120",951,
"LGA51190",29700,
"LGA51260",25358,
"LGA51310",23754,
"LGA51330",77303,
"LGA51400",10209,
"LGA51470",747,
"LGA51540",5684,
"LGA51610",915,
"LGA51680",3517,
"LGA51750",8942,
"LGA51820",74471,
"LGA51890",8613,
"LGA51960",3800,
"LGA52030",1201,
"LGA52100",1142,
"LGA52170",7256,
"LGA52240",1061,
"LGA52310",785,
"LGA52380",321,
"LGA52450",1247,
"LGA52520",1368,
"LGA52590",2885,
"LGA52660",10339,
"LGA52730",4509,
"LGA52800",6504,
"LGA52870",4735,
"LGA52940",703,
"LGA53010",629,
"LGA53080",1068,
"LGA53150",6700,
"LGA53220",6546,
"LGA53290",12963,
"LGA53360",2062,
"LGA53430",24834,
"LGA53500",18914,
"LGA53570",4316,
"LGA53640",1365,
"LGA53710",936,
"LGA53780",91582,
"LGA53850",14037,
"LGA53920",3135,
"LGA53990",19556,
"LGA54060",3052,
"LGA54130",1126,
"LGA54170",149675,
"LGA54200",49534,
"LGA54280",28423,
"LGA54340",4208,
"LGA54410",1182,
"LGA54480",578,
"LGA54550",2153,
"LGA54620",968,
"LGA54690",432,
"LGA54760",881,
"LGA54830",23198,
"LGA54900",1458,
"LGA54970",726,
"LGA55040",1409,
"LGA55110",55817,
"LGA55180",9257,
"LGA55250",1134,
"LGA55320",93000,
"LGA55390",217,
