"SA3_CODE16","sex","age_group","calendar_year","number_of_enrolment"
10104,"male","18-24","2011",1565
10104,"male","18-24","2012",1383
10104,"male","18-24","2013",1663
10104,"male","18-24","2014",1728
10104,"male","18-24","2015",1645
10104,"male","18-24","2016",1951
10104,"male","18-24","2017",1988
10104,"male","18-24","2018",1950
10104,"male","18-24","2019",2023
10104,"male","18-24","2020",1911
10104,"male","18-24","2021",1726
10104,"male","18-24","2022",1830
10105,"female","18-24","2019",1259
10105,"female","18-24","2020",1113
10105,"female","18-24","2021",964
10105,"female","18-24","2022",1070
10105,"male","18-24","2019",1345
10105,"male","18-24","2020",1184
10105,"male","18-24","2021",1002
10105,"male","18-24","2022",1115
10106,"female","18-24","2019",1289
10106,"female","18-24","2020",1257
10106,"female","18-24","2021",1204
10106,"female","18-24","2022",1238
10106,"male","18-24","2019",1228
10106,"male","18-24","2020",1181
10106,"male","18-24","2021",1106
10106,"male","18-24","2022",1221
10201,"female","18-24","2015",5693
10201,"female","18-24","2016",6371
10201,"female","18-24","2017",6391
10201,"female","18-24","2018",6191
10201,"female","18-24","2019",6367
10201,"female","18-24","2020",6017
10201,"female","18-24","2021",5907
10201,"female","18-24","2022",5932
10201,"male","18-24","2015",5762
10201,"male","18-24","2016",6535
10201,"male","18-24","2017",6527
10201,"male","18-24","2018",6346
10201,"male","18-24","2019",6519
10201,"male","18-24","2020",6065
10201,"male","18-24","2021",5776
10201,"male","18-24","2022",5969
10202,"female","18-24","2015",5238
10202,"female","18-24","2016",6321
10202,"female","18-24","2017",6375
10202,"female","18-24","2018",6327
10202,"female","18-24","2019",6360
10202,"female","18-24","2020",6026
10202,"female","18-24","2021",5755
10202,"female","18-24","2022",5835
10202,"male","18-24","2015",5011
10202,"male","18-24","2016",6222
10202,"male","18-24","2017",6442
10202,"male","18-24","2018",6453
10202,"male","18-24","2019",6577
10202,"male","18-24","2020",6094
10202,"male","18-24","2021",6004
10202,"male","18-24","2022",6013
10301,"female","18-24","2015",1712
10301,"female","18-24","2016",1966
10301,"female","18-24","2017",1885
10301,"female","18-24","2018",1875
10301,"female","18-24","2019",1866
10301,"female","18-24","2020",1746
10301,"female","18-24","2021",1757
10301,"female","18-24","2022",1843
10301,"male","18-24","2015",1584
10301,"male","18-24","2016",1872
10301,"male","18-24","2017",1892
10301,"male","18-24","2018",1902
10301,"male","18-24","2019",1897
10301,"male","18-24","2020",1819
10301,"male","18-24","2021",1769
10301,"male","18-24","2022",1883
10302,"female","18-24","2015",1812
10302,"female","18-24","2016",2047
10302,"female","18-24","2017",1999
10302,"female","18-24","2018",1921
10302,"female","18-24","2019",1933
10302,"female","18-24","2020",1809
10302,"female","18-24","2021",1816
10302,"female","18-24","2022",1850
10302,"male","18-24","2015",1742
10302,"male","18-24","2016",2093
10302,"male","18-24","2017",2079
10302,"male","18-24","2018",1989
10302,"male","18-24","2019",2001
10302,"male","18-24","2020",1837
10302,"male","18-24","2021",1795
10302,"male","18-24","2022",1823
10303,"female","18-24","2015",1336
10303,"female","18-24","2016",1472
10303,"female","18-24","2017",1498
10303,"female","18-24","2018",1446
10303,"female","18-24","2019",1413
10303,"female","18-24","2020",1340
10303,"female","18-24","2021",1325
10303,"female","18-24","2022",1406
10303,"male","18-24","2015",1329
10303,"male","18-24","2016",1589
10303,"male","18-24","2017",1613
10303,"male","18-24","2018",1567
10303,"male","18-24","2019",1608
10303,"male","18-24","2020",1522
10303,"male","18-24","2021",1508
10303,"male","18-24","2022",1626
10304,"female","18-24","2015",1989
10304,"female","18-24","2016",2235
10304,"female","18-24","2017",2206
10304,"female","18-24","2018",2169
10304,"female","18-24","2019",2175
10304,"female","18-24","2020",2071
10304,"female","18-24","2021",2008
10304,"female","18-24","2022",2009
10304,"male","18-24","2015",1909
10304,"male","18-24","2016",2164
10304,"male","18-24","2017",2137
10304,"male","18-24","2018",2052
10304,"male","18-24","2019",2131
10304,"male","18-24","2020",2036
10304,"male","18-24","2021",1979
10304,"male","18-24","2022",2058
10401,"female","18-24","2015",1308
10401,"female","18-24","2016",1490
10401,"female","18-24","2017",1529
10401,"female","18-24","2018",1455
10401,"female","18-24","2019",1526
10401,"female","18-24","2020",1347
10401,"female","18-24","2021",1091
10401,"female","18-24","2022",1312
10401,"male","18-24","2015",1346
10401,"male","18-24","2016",1598
10401,"male","18-24","2017",1610
10401,"male","18-24","2018",1525
10401,"male","18-24","2019",1650
10401,"male","18-24","2020",1419
10401,"male","18-24","2021",1134
10401,"male","18-24","2022",1267
10402,"female","18-24","2015",2413
10402,"female","18-24","2016",2765
10402,"female","18-24","2017",2769
10402,"female","18-24","2018",2694
10402,"female","18-24","2019",2659
10402,"female","18-24","2020",2534
10402,"female","18-24","2021",2448
10402,"female","18-24","2022",2520
10402,"male","18-24","2015",2391
10402,"male","18-24","2016",2863
10402,"male","18-24","2017",2931
10402,"male","18-24","2018",2842
10402,"male","18-24","2019",2838
10402,"male","18-24","2020",2657
10402,"male","18-24","2021",2605
10402,"male","18-24","2022",2657
10501,"female","18-24","2015",695
10501,"female","18-24","2016",785
10501,"female","18-24","2017",777
10501,"female","18-24","2018",724
10501,"female","18-24","2019",754
10501,"female","18-24","2020",699
10501,"female","18-24","2021",666
10501,"female","18-24","2022",661
10501,"male","18-24","2015",679
10501,"male","18-24","2016",797
10501,"male","18-24","2017",773
10501,"male","18-24","2018",744
10501,"male","18-24","2019",756
10501,"male","18-24","2020",662
10501,"male","18-24","2021",678
10501,"male","18-24","2022",682
10502,"female","18-24","2015",603
10502,"female","18-24","2016",664
10502,"female","18-24","2017",650
10502,"female","18-24","2018",600
10502,"female","18-24","2019",616
10502,"female","18-24","2020",597
10502,"female","18-24","2021",564
10502,"female","18-24","2022",565
10502,"male","18-24","2015",545
10502,"male","18-24","2016",651
10502,"male","18-24","2017",647
10502,"male","18-24","2018",625
10502,"male","18-24","2019",646
10502,"male","18-24","2020",618
10502,"male","18-24","2021",603
10502,"male","18-24","2022",597
10503,"female","18-24","2008",1227
10503,"female","18-24","2009",1239
10503,"female","18-24","2010",1202
10503,"female","18-24","2011",1230
10503,"female","18-24","2012",1182
10503,"female","18-24","2013",1298
10503,"female","18-24","2014",1429
10503,"female","18-24","2015",2423
10503,"female","18-24","2016",2725
10503,"female","18-24","2017",2682
10503,"female","18-24","2018",2680
10503,"female","18-24","2019",2721
10503,"female","18-24","2020",2546
10503,"female","18-24","2021",2522
10503,"female","18-24","2022",2498
10503,"male","18-24","2008",1225
10503,"male","18-24","2009",1219
10503,"male","18-24","2010",1155
10503,"male","18-24","2011",1204
10503,"male","18-24","2012",1091
10503,"male","18-24","2013",1169
10503,"male","18-24","2014",1277
10503,"male","18-24","2015",2287
10503,"male","18-24","2016",2663
10503,"male","18-24","2017",2700
10503,"male","18-24","2018",2615
10503,"male","18-24","2019",2666
10503,"male","18-24","2020",2502
10503,"male","18-24","2021",2498
10503,"male","18-24","2022",2483
10601,"female","18-24","2008",2568
10601,"female","18-24","2009",2574
10601,"female","18-24","2010",2503
10601,"female","18-24","2011",2505
10601,"female","18-24","2012",2336
10601,"female","18-24","2013",2431
10601,"female","18-24","2014",2424
10601,"female","18-24","2015",2990
10601,"female","18-24","2016",3454
10601,"female","18-24","2017",3486
10601,"female","18-24","2018",3499
10601,"female","18-24","2019",3588
10601,"female","18-24","2020",3451
10601,"female","18-24","2021",3418
10601,"female","18-24","2022",3612
10601,"male","18-24","2008",2632
10601,"male","18-24","2009",2630
10601,"male","18-24","2010",2497
10601,"male","18-24","2011",2475
10601,"male","18-24","2012",2300
10601,"male","18-24","2013",2386
10601,"male","18-24","2014",2352
10601,"male","18-24","2015",2920
10601,"male","18-24","2016",3454
10601,"male","18-24","2017",3541
10601,"male","18-24","2018",3487
10601,"male","18-24","2019",3578
10601,"male","18-24","2020",3325
10601,"male","18-24","2021",3358
10601,"male","18-24","2022",3577
10602,"female","18-24","2008",1093
10602,"female","18-24","2009",1100
10602,"female","18-24","2010",1077
10602,"female","18-24","2011",1047
10602,"female","18-24","2012",985
10602,"female","18-24","2013",1030
10602,"female","18-24","2014",1080
10602,"female","18-24","2015",2791
10602,"female","18-24","2016",3211
10602,"female","18-24","2017",3175
10602,"female","18-24","2018",3170
10602,"female","18-24","2019",3339
10602,"female","18-24","2020",3170
10602,"female","18-24","2021",3184
10602,"female","18-24","2022",3420
10602,"male","18-24","2008",1090
10602,"male","18-24","2009",1112
10602,"male","18-24","2010",1060
10602,"male","18-24","2011",1071
10602,"male","18-24","2012",948
10602,"male","18-24","2013",1006
10602,"male","18-24","2014",1025
10602,"male","18-24","2015",2535
10602,"male","18-24","2016",3005
10602,"male","18-24","2017",3047
10602,"male","18-24","2018",3066
10602,"male","18-24","2019",3261
10602,"male","18-24","2020",3148
10602,"male","18-24","2021",3185
10602,"male","18-24","2022",3413
10603,"female","18-24","2008",484
10603,"female","18-24","2009",495
10603,"female","18-24","2010",475
10603,"female","18-24","2011",476
10603,"female","18-24","2012",440
10603,"female","18-24","2013",464
10603,"female","18-24","2014",446
10603,"female","18-24","2015",2008
10603,"female","18-24","2016",2372
10603,"female","18-24","2017",2422
10603,"female","18-24","2018",2410
10603,"female","18-24","2019",2461
10603,"female","18-24","2020",2346
10603,"female","18-24","2021",2262
10603,"female","18-24","2022",2375
10603,"male","18-24","2008",451
10603,"male","18-24","2009",482
10603,"male","18-24","2010",478
10603,"male","18-24","2011",483
10603,"male","18-24","2012",461
10603,"male","18-24","2013",478
10603,"male","18-24","2014",466
10603,"male","18-24","2015",1986
10603,"male","18-24","2016",2412
10603,"male","18-24","2017",2507
10603,"male","18-24","2018",2431
10603,"male","18-24","2019",2527
10603,"male","18-24","2020",2338
10603,"male","18-24","2021",2392
10603,"male","18-24","2022",2564
10604,"female","18-24","2015",1003
10604,"female","18-24","2016",1130
10604,"female","18-24","2017",1103
10604,"female","18-24","2018",1088
10604,"female","18-24","2019",1085
10604,"female","18-24","2020",1035
10604,"female","18-24","2021",1020
10604,"female","18-24","2022",1033
10604,"male","18-24","2015",978
10604,"male","18-24","2016",1133
10604,"male","18-24","2017",1159
10604,"male","18-24","2018",1165
10604,"male","18-24","2019",1135
10604,"male","18-24","2020",1045
10604,"male","18-24","2021",1060
10604,"male","18-24","2022",1069
10701,"female","18-24","2015",1668
10701,"female","18-24","2016",1926
10701,"female","18-24","2017",1976
10701,"female","18-24","2018",1971
10701,"female","18-24","2019",3097
10701,"female","18-24","2020",2869
10701,"female","18-24","2021",2878
10701,"female","18-24","2022",2985
10701,"male","18-24","2015",1702
10701,"male","18-24","2016",1987
10701,"male","18-24","2017",2046
10701,"male","18-24","2018",1994
10701,"male","18-24","2019",3135
10701,"male","18-24","2020",2971
10701,"male","18-24","2021",2861
10701,"male","18-24","2022",3053
10702,"female","18-24","2018",0
10702,"female","18-24","2019",0
10702,"female","18-24","2021",0
10702,"female","18-24","2022",0
10702,"male","18-24","2018",0
10702,"male","18-24","2019",0
10702,"male","18-24","2021",0
10702,"male","18-24","2022",3
10703,"female","18-24","2015",3208
10703,"female","18-24","2016",3626
10703,"female","18-24","2017",3774
10703,"female","18-24","2018",3758
10703,"female","18-24","2019",3830
10703,"female","18-24","2020",3636
10703,"female","18-24","2021",3510
10703,"female","18-24","2022",3647
10703,"male","18-24","2015",3162
10703,"male","18-24","2016",3769
10703,"male","18-24","2017",3839
10703,"male","18-24","2018",3802
10703,"male","18-24","2019",3945
10703,"male","18-24","2020",3690
10703,"male","18-24","2021",3580
10703,"male","18-24","2022",3744
10704,"female","18-24","2015",3562
10704,"female","18-24","2016",4001
10704,"female","18-24","2017",3961
10704,"female","18-24","2018",4042
10704,"female","18-24","2019",5938
10704,"female","18-24","2020",5694
10704,"female","18-24","2021",5669
10704,"female","18-24","2022",6027
10704,"male","18-24","2015",3608
10704,"male","18-24","2016",4192
10704,"male","18-24","2017",4148
10704,"male","18-24","2018",4164
10704,"male","18-24","2019",5823
10704,"male","18-24","2020",5560
10704,"male","18-24","2021",5457
10704,"male","18-24","2022",5718
10801,"female","18-24","2015",730
10801,"female","18-24","2016",804
10801,"female","18-24","2017",820
10801,"female","18-24","2018",815
10801,"female","18-24","2019",834
10801,"female","18-24","2020",760
10801,"female","18-24","2021",783
10801,"female","18-24","2022",773
10801,"male","18-24","2015",704
10801,"male","18-24","2016",822
10801,"male","18-24","2017",833
10801,"male","18-24","2018",823
10801,"male","18-24","2019",792
10801,"male","18-24","2020",783
10801,"male","18-24","2021",815
10801,"male","18-24","2022",816
10802,"female","18-24","2015",1132
10802,"female","18-24","2016",1424
10802,"female","18-24","2017",1451
10802,"female","18-24","2018",1439
10802,"female","18-24","2019",1405
10802,"female","18-24","2020",1348
10802,"female","18-24","2021",1402
10802,"female","18-24","2022",1416
10802,"male","18-24","2015",1144
10802,"male","18-24","2016",1457
10802,"male","18-24","2017",1549
10802,"male","18-24","2018",1521
10802,"male","18-24","2019",1530
10802,"male","18-24","2020",1487
10802,"male","18-24","2021",1441
10802,"male","18-24","2022",1479
10803,"female","18-24","2015",14
10803,"female","18-24","2016",16
10803,"female","18-24","2017",15
10803,"female","18-24","2018",12
10803,"female","18-24","2019",12
10803,"female","18-24","2020",11
10803,"female","18-24","2021",10
10803,"female","18-24","2022",12
10803,"male","18-24","2015",4
10803,"male","18-24","2016",5
10803,"male","18-24","2017",8
10803,"male","18-24","2018",8
10803,"male","18-24","2019",8
10803,"male","18-24","2020",6
10803,"male","18-24","2021",5
10803,"male","18-24","2022",8
10804,"female","18-24","2015",2083
10804,"female","18-24","2016",2413
10804,"female","18-24","2017",2489
10804,"female","18-24","2018",2575
10804,"female","18-24","2019",2649
10804,"female","18-24","2020",2541
10804,"female","18-24","2021",2516
10804,"female","18-24","2022",2748
10804,"male","18-24","2015",2041
10804,"male","18-24","2016",2354
10804,"male","18-24","2017",2418
10804,"male","18-24","2018",2467
10804,"male","18-24","2019",2564
10804,"male","18-24","2020",2406
10804,"male","18-24","2021",2431
10804,"male","18-24","2022",2627
10805,"female","18-24","2015",1498
10805,"female","18-24","2016",1661
10805,"female","18-24","2017",1673
10805,"female","18-24","2018",1615
10805,"female","18-24","2019",1599
10805,"female","18-24","2020",1503
10805,"female","18-24","2021",1443
10805,"female","18-24","2022",1543
10805,"male","18-24","2015",1513
10805,"male","18-24","2016",1818
10805,"male","18-24","2017",1748
10805,"male","18-24","2018",1646
10805,"male","18-24","2019",1695
10805,"male","18-24","2020",1533
10805,"male","18-24","2021",1508
10805,"male","18-24","2022",1606
10901,"female","18-24","2015",2195
10901,"female","18-24","2016",2404
10901,"female","18-24","2017",2383
10901,"female","18-24","2018",2409
10901,"female","18-24","2019",2404
10901,"female","18-24","2020",2205
10901,"female","18-24","2021",2052
10901,"female","18-24","2022",2254
10901,"male","18-24","2015",2066
10901,"male","18-24","2016",2410
10901,"male","18-24","2017",2430
10901,"male","18-24","2018",2358
10901,"male","18-24","2019",2303
10901,"male","18-24","2020",2089
10901,"male","18-24","2021",1860
10901,"male","18-24","2022",2043
10902,"female","18-24","2015",273
10902,"female","18-24","2016",298
10902,"female","18-24","2017",277
10902,"female","18-24","2018",296
10902,"female","18-24","2019",313
10902,"female","18-24","2020",301
10902,"female","18-24","2021",333
10902,"female","18-24","2022",347
10902,"male","18-24","2015",289
10902,"male","18-24","2016",350
10902,"male","18-24","2017",328
10902,"male","18-24","2018",322
10902,"male","18-24","2019",346
10902,"male","18-24","2020",316
10902,"male","18-24","2021",353
10902,"male","18-24","2022",343
10903,"female","18-24","2015",1095
10903,"female","18-24","2016",1226
10903,"female","18-24","2017",1191
10903,"female","18-24","2018",1149
10903,"female","18-24","2019",1188
10903,"female","18-24","2020",1135
10903,"female","18-24","2021",1207
10903,"female","18-24","2022",1269
10903,"male","18-24","2015",1111
10903,"male","18-24","2016",1270
10903,"male","18-24","2017",1261
10903,"male","18-24","2018",1200
10903,"male","18-24","2019",1184
10903,"male","18-24","2020",1150
10903,"male","18-24","2021",1162
10903,"male","18-24","2022",1250
11001,"female","18-24","2015",1583
11001,"female","18-24","2016",1746
11001,"female","18-24","2017",1706
11001,"female","18-24","2018",1608
11001,"female","18-24","2019",1566
11001,"female","18-24","2020",1437
11001,"female","18-24","2021",1354
11001,"female","18-24","2022",1370
11001,"male","18-24","2015",1426
11001,"male","18-24","2016",1614
11001,"male","18-24","2017",1580
11001,"male","18-24","2018",1496
11001,"male","18-24","2019",1492
11001,"male","18-24","2020",1385
11001,"male","18-24","2021",1295
11001,"male","18-24","2022",1338
11002,"female","18-24","2015",1103
11002,"female","18-24","2016",1231
11002,"female","18-24","2017",1231
11002,"female","18-24","2018",1154
11002,"female","18-24","2019",1109
11002,"female","18-24","2020",998
11002,"female","18-24","2021",968
11002,"female","18-24","2022",1091
11002,"male","18-24","2015",1067
11002,"male","18-24","2016",1291
11002,"male","18-24","2017",1281
11002,"male","18-24","2018",1252
11002,"male","18-24","2019",1202
11002,"male","18-24","2020",1107
11002,"male","18-24","2021",1073
11002,"male","18-24","2022",1067
11003,"female","18-24","2015",767
11003,"female","18-24","2016",854
11003,"female","18-24","2017",875
11003,"female","18-24","2018",875
11003,"female","18-24","2019",873
11003,"female","18-24","2020",831
11003,"female","18-24","2021",810
11003,"female","18-24","2022",845
11003,"male","18-24","2015",775
11003,"male","18-24","2016",896
11003,"male","18-24","2017",934
11003,"male","18-24","2018",934
11003,"male","18-24","2019",930
11003,"male","18-24","2020",873
11003,"male","18-24","2021",863
11003,"male","18-24","2022",888
11004,"female","18-24","2008",1655
11004,"female","18-24","2009",1634
11004,"female","18-24","2010",1622
11004,"female","18-24","2011",1639
11004,"female","18-24","2012",1512
11004,"female","18-24","2013",1572
11004,"female","18-24","2014",1622
11004,"female","18-24","2015",2665
11004,"female","18-24","2016",2980
11004,"female","18-24","2017",2968
11004,"female","18-24","2018",2985
11004,"female","18-24","2019",2967
11004,"female","18-24","2020",2820
11004,"female","18-24","2021",2814
11004,"female","18-24","2022",2932
11004,"male","18-24","2008",1621
11004,"male","18-24","2009",1603
11004,"male","18-24","2010",1566
11004,"male","18-24","2011",1628
11004,"male","18-24","2012",1528
11004,"male","18-24","2013",1539
11004,"male","18-24","2014",1600
11004,"male","18-24","2015",2548
11004,"male","18-24","2016",2973
11004,"male","18-24","2017",2995
11004,"male","18-24","2018",3012
11004,"male","18-24","2019",3007
11004,"male","18-24","2020",2954
11004,"male","18-24","2021",2883
11004,"male","18-24","2022",2991
11101,"female","18-24","2008",2869
11101,"female","18-24","2009",2937
11101,"female","18-24","2010",2789
11101,"female","18-24","2011",2733
11101,"female","18-24","2012",2557
11101,"female","18-24","2013",2543
11101,"female","18-24","2014",2627
11101,"female","18-24","2015",4307
11101,"female","18-24","2016",4645
11101,"female","18-24","2017",4695
11101,"female","18-24","2018",4569
11101,"female","18-24","2019",4757
11101,"female","18-24","2020",4440
11101,"female","18-24","2021",4272
11101,"female","18-24","2022",4431
11101,"male","18-24","2008",2916
11101,"male","18-24","2009",2946
11101,"male","18-24","2010",2788
11101,"male","18-24","2011",2699
11101,"male","18-24","2012",2429
11101,"male","18-24","2013",2498
11101,"male","18-24","2014",2557
11101,"male","18-24","2015",4192
11101,"male","18-24","2016",4833
11101,"male","18-24","2017",4853
11101,"male","18-24","2018",4843
11101,"male","18-24","2019",5038
11101,"male","18-24","2020",4675
11101,"male","18-24","2021",4462
11101,"male","18-24","2022",4642
11102,"female","18-24","2008",2306
11102,"female","18-24","2009",2311
11102,"female","18-24","2010",2230
11102,"female","18-24","2011",2225
11102,"female","18-24","2012",2025
11102,"female","18-24","2013",2097
11102,"female","18-24","2014",2157
11102,"female","18-24","2015",2469
11102,"female","18-24","2016",2886
11102,"female","18-24","2017",2908
11102,"female","18-24","2018",2975
11102,"female","18-24","2019",3042
11102,"female","18-24","2020",2846
11102,"female","18-24","2021",2833
11102,"female","18-24","2022",2981
11102,"male","18-24","2008",2408
11102,"male","18-24","2009",2493
11102,"male","18-24","2010",2394
11102,"male","18-24","2011",2366
11102,"male","18-24","2012",2125
11102,"male","18-24","2013",2141
11102,"male","18-24","2014",2203
11102,"male","18-24","2015",2453
11102,"male","18-24","2016",2921
11102,"male","18-24","2017",3018
11102,"male","18-24","2018",2994
11102,"male","18-24","2019",3145
11102,"male","18-24","2020",2938
11102,"male","18-24","2021",2898
11102,"male","18-24","2022",3084
11103,"female","18-24","2008",616
11103,"female","18-24","2009",605
11103,"female","18-24","2010",591
11103,"female","18-24","2011",593
11103,"female","18-24","2012",540
11103,"female","18-24","2013",572
11103,"female","18-24","2014",550
11103,"female","18-24","2015",6791
11103,"female","18-24","2016",7494
11103,"female","18-24","2017",7353
11103,"female","18-24","2018",7569
11103,"female","18-24","2019",7620
11103,"female","18-24","2020",7341
11103,"female","18-24","2021",7584
11103,"female","18-24","2022",8045
11103,"male","18-24","2008",596
11103,"male","18-24","2009",602
11103,"male","18-24","2010",546
11103,"male","18-24","2011",570
11103,"male","18-24","2012",541
11103,"male","18-24","2013",566
11103,"male","18-24","2014",527
11103,"male","18-24","2015",6648
11103,"male","18-24","2016",7515
11103,"male","18-24","2017",7430
11103,"male","18-24","2018",7487
11103,"male","18-24","2019",7755
11103,"male","18-24","2020",7261
11103,"male","18-24","2021",7231
11103,"male","18-24","2022",7722
11201,"female","18-24","2015",1932
11201,"female","18-24","2016",2283
11201,"female","18-24","2017",2260
11201,"female","18-24","2018",2275
11201,"female","18-24","2019",2372
11201,"female","18-24","2020",2073
11201,"female","18-24","2021",1776
11201,"female","18-24","2022",2142
11201,"male","18-24","2015",1899
11201,"male","18-24","2016",2320
11201,"male","18-24","2017",2268
11201,"male","18-24","2018",2267
11201,"male","18-24","2019",2385
11201,"male","18-24","2020",2080
11201,"male","18-24","2021",1746
11201,"male","18-24","2022",1995
11202,"female","18-24","2015",2168
11202,"female","18-24","2016",2575
11202,"female","18-24","2017",2480
11202,"female","18-24","2018",2513
11202,"female","18-24","2019",2502
11202,"female","18-24","2020",2144
11202,"female","18-24","2021",1763
11202,"female","18-24","2022",2089
11202,"male","18-24","2015",2072
11202,"male","18-24","2016",2507
11202,"male","18-24","2017",2553
11202,"male","18-24","2018",2481
11202,"male","18-24","2019",2459
11202,"male","18-24","2020",2185
11202,"male","18-24","2021",1793
11202,"male","18-24","2022",2047
11203,"female","18-24","2015",1487
11203,"female","18-24","2016",1766
11203,"female","18-24","2017",1698
11203,"female","18-24","2018",1847
11203,"female","18-24","2019",2699
11203,"female","18-24","2020",2362
11203,"female","18-24","2021",1951
11203,"female","18-24","2022",2300
11203,"male","18-24","2015",1424
11203,"male","18-24","2016",1782
11203,"male","18-24","2017",1717
11203,"male","18-24","2018",1833
11203,"male","18-24","2019",2738
11203,"male","18-24","2020",2417
11203,"male","18-24","2021",1935
11203,"male","18-24","2022",2126
11301,"female","18-24","2015",1590
11301,"female","18-24","2016",1715
11301,"female","18-24","2017",1743
11301,"female","18-24","2018",1648
11301,"female","18-24","2019",1674
11301,"female","18-24","2020",1577
11301,"female","18-24","2021",1574
11301,"female","18-24","2022",1600
11301,"male","18-24","2015",1508
11301,"male","18-24","2016",1756
11301,"male","18-24","2017",1806
11301,"male","18-24","2018",1794
11301,"male","18-24","2019",1778
11301,"male","18-24","2020",1702
11301,"male","18-24","2021",1687
11301,"male","18-24","2022",1682
11302,"female","18-24","2015",430
11302,"female","18-24","2016",471
11302,"female","18-24","2017",441
11302,"female","18-24","2018",440
11302,"female","18-24","2019",445
11302,"female","18-24","2020",417
11302,"female","18-24","2021",320
11302,"female","18-24","2022",381
11302,"male","18-24","2015",371
11302,"male","18-24","2016",438
11302,"male","18-24","2017",419
11302,"male","18-24","2018",400
11302,"male","18-24","2019",442
11302,"male","18-24","2020",422
11302,"male","18-24","2021",352
11302,"male","18-24","2022",391
11303,"female","18-24","2015",3556
11303,"female","18-24","2016",3869
11303,"female","18-24","2017",3876
11303,"female","18-24","2018",3647
11303,"female","18-24","2019",3796
11303,"female","18-24","2020",3670
11303,"female","18-24","2021",3652
11303,"female","18-24","2022",3834
11303,"male","18-24","2015",3356
11303,"male","18-24","2016",3786
11303,"male","18-24","2017",3746
11303,"male","18-24","2018",3593
11303,"male","18-24","2019",3784
11303,"male","18-24","2020",3581
11303,"male","18-24","2021",3521
11303,"male","18-24","2022",3682
11401,"female","18-24","2015",2717
11401,"female","18-24","2016",3146
11401,"female","18-24","2017",3166
11401,"female","18-24","2018",3066
11401,"female","18-24","2019",3254
11401,"female","18-24","2020",3041
11401,"female","18-24","2021",2910
11401,"female","18-24","2022",2960
11401,"male","18-24","2015",2766
11401,"male","18-24","2016",3269
11401,"male","18-24","2017",3314
11401,"male","18-24","2018",3203
11401,"male","18-24","2019",3293
11401,"male","18-24","2020",3077
11401,"male","18-24","2021",3045
11401,"male","18-24","2022",3106
11402,"female","18-24","2015",1324
11402,"female","18-24","2016",1472
11402,"female","18-24","2017",1501
11402,"female","18-24","2018",1512
11402,"female","18-24","2019",1523
11402,"female","18-24","2020",1438
11402,"female","18-24","2021",1408
11402,"female","18-24","2022",1443
11402,"male","18-24","2015",1370
11402,"male","18-24","2016",1592
11402,"male","18-24","2017",1603
11402,"male","18-24","2018",1539
11402,"male","18-24","2019",1611
11402,"male","18-24","2020",1529
11402,"male","18-24","2021",1517
11402,"male","18-24","2022",1538
