"SA4_CODE16","sex","age_group","calendar_year","number_of_enrolment","rate_of_enrolment"
105,"female","18-24",2019,4091,0.6
105,"female","18-24",2020,3842,0.6
105,"female","18-24",2021,3752,0.5
105,"female","18-24",2022,3724,0.5
105,"male","18-24",2008,1225,0.5
105,"male","18-24",2009,1219,0.5
105,"male","18-24",2010,1155,0.5
105,"male","18-24",2011,1204,0.5
105,"male","18-24",2012,1091,0.5
105,"male","18-24",2013,1169,0.5
105,"male","18-24",2014,1277,0.5
105,"male","18-24",2015,3511,0.5
105,"male","18-24",2016,4111,0.5
105,"male","18-24",2017,4120,0.6
105,"male","18-24",2018,3984,0.5
105,"male","18-24",2019,4068,0.5
105,"male","18-24",2020,3782,0.5
105,"male","18-24",2021,3779,0.6
105,"male","18-24",2022,3762,0.6
106,"female","18-24",2008,4145,0.5
106,"female","18-24",2009,4169,0.5
106,"female","18-24",2010,4055,0.6
106,"female","18-24",2011,4028,0.5
106,"female","18-24",2012,3761,0.6
106,"female","18-24",2013,3925,0.6
106,"female","18-24",2014,3950,0.6
106,"female","18-24",2015,8792,0.6
106,"female","18-24",2016,10167,0.6
106,"female","18-24",2017,10186,0.5
106,"female","18-24",2018,10167,0.6
106,"female","18-24",2019,10473,0.5
106,"female","18-24",2020,10002,0.6
106,"female","18-24",2021,9884,0.5
106,"female","18-24",2022,10440,0.5
106,"male","18-24",2008,4173,0.6
106,"male","18-24",2009,4224,0.6
106,"male","18-24",2010,4035,0.5
106,"male","18-24",2011,4029,0.6
106,"male","18-24",2012,3709,0.5
106,"male","18-24",2013,3870,0.5
106,"male","18-24",2014,3843,0.5
106,"male","18-24",2015,8419,0.5
106,"male","18-24",2016,10004,0.5
106,"male","18-24",2017,10254,0.6
106,"male","18-24",2018,10149,0.5
106,"male","18-24",2019,10501,0.6
106,"male","18-24",2020,9856,0.5
106,"male","18-24",2021,9995,0.6
106,"male","18-24",2022,10623,0.6
107,"female","18-24",2015,8438,0.5
107,"female","18-24",2016,9553,0.5
107,"female","18-24",2017,9711,0.5
107,"female","18-24",2018,9771,0.5
107,"female","18-24",2019,12865,0.5
107,"female","18-24",2020,12199,0.5
107,"female","18-24",2021,12057,0.6
107,"female","18-24",2022,12659,0.6
107,"male","18-24",2015,8472,0.6
107,"male","18-24",2016,9948,0.6
107,"male","18-24",2017,10033,0.6
107,"male","18-24",2018,9960,0.6
107,"male","18-24",2019,12903,0.6
107,"male","18-24",2020,12221,0.6
107,"male","18-24",2021,11898,0.5
107,"male","18-24",2022,12518,0.5
108,"female","18-24",2015,5457,0.6
108,"female","18-24",2016,6318,0.5
108,"female","18-24",2017,6448,0.5
108,"female","18-24",2018,6456,0.5
108,"female","18-24",2019,6499,0.5
108,"female","18-24",2020,6163,0.5
108,"female","18-24",2021,6154,0.5
108,"female","18-24",2022,6492,0.5
108,"male","18-24",2015,5406,0.5
108,"male","18-24",2016,6456,0.6
108,"male","18-24",2017,6556,0.6
108,"male","18-24",2018,6465,0.6
108,"male","18-24",2019,6589,0.6
108,"male","18-24",2020,6215,0.6
108,"male","18-24",2021,6200,0.6
108,"male","18-24",2022,6536,0.6
109,"female","18-24",2015,3563,0.6
109,"female","18-24",2016,3928,0.5
109,"female","18-24",2017,3851,0.5
109,"female","18-24",2018,3854,0.5
109,"female","18-24",2019,3905,0.6
109,"female","18-24",2020,3641,0.6
109,"female","18-24",2021,3592,0.6
109,"female","18-24",2022,3870,0.6
109,"male","18-24",2015,3466,0.5
109,"male","18-24",2016,4030,0.6
109,"male","18-24",2017,4019,0.6
109,"male","18-24",2018,3880,0.6
109,"male","18-24",2019,3833,0.5
109,"male","18-24",2020,3555,0.5
109,"male","18-24",2021,3375,0.5
109,"male","18-24",2022,3636,0.5
110,"female","18-24",2008,1655,0.6
110,"female","18-24",2009,1634,0.6
110,"female","18-24",2010,1622,0.6
110,"female","18-24",2011,1639,0.6
110,"female","18-24",2012,1512,0.5
110,"female","18-24",2013,1572,0.6
110,"female","18-24",2014,1622,0.6
110,"female","18-24",2015,6118,0.6
110,"female","18-24",2016,6811,0.6
110,"female","18-24",2017,6780,0.5
110,"female","18-24",2018,6622,0.5
110,"female","18-24",2019,6515,0.5
110,"female","18-24",2020,6086,0.5
110,"female","18-24",2021,5946,0.5
110,"female","18-24",2022,6238,0.5
110,"male","18-24",2008,1621,0.5
110,"male","18-24",2009,1603,0.5
110,"male","18-24",2010,1566,0.5
110,"male","18-24",2011,1628,0.5
110,"male","18-24",2012,1528,0.6
110,"male","18-24",2013,1539,0.5
110,"male","18-24",2014,1600,0.5
110,"male","18-24",2015,5816,0.5
110,"male","18-24",2016,6774,0.5
110,"male","18-24",2017,6790,0.6
110,"male","18-24",2018,6694,0.6
110,"male","18-24",2019,6631,0.6
110,"male","18-24",2020,6319,0.6
110,"male","18-24",2021,6114,0.6
110,"male","18-24",2022,6284,0.6
111,"female","18-24",2008,5791,0.5
111,"female","18-24",2009,5853,0.5
111,"female","18-24",2010,5610,0.5
111,"female","18-24",2011,5551,0.5
111,"female","18-24",2012,5122,0.6
111,"female","18-24",2013,5212,0.6
111,"female","18-24",2014,5334,0.6
111,"female","18-24",2015,13567,0.6
111,"female","18-24",2016,15025,0.5
111,"female","18-24",2017,14956,0.5
111,"female","18-24",2018,15113,0.5
111,"female","18-24",2019,15419,0.5
111,"female","18-24",2020,14627,0.5
111,"female","18-24",2021,14689,0.6
111,"female","18-24",2022,15457,0.6
111,"male","18-24",2008,5920,0.6
111,"male","18-24",2009,6041,0.6
111,"male","18-24",2010,5728,0.6
111,"male","18-24",2011,5635,0.6
111,"male","18-24",2012,5095,0.5
111,"male","18-24",2013,5205,0.5
111,"male","18-24",2014,5287,0.5
111,"male","18-24",2015,13293,0.5
111,"male","18-24",2016,15269,0.6
111,"male","18-24",2017,15301,0.6
111,"male","18-24",2018,15324,0.6
111,"male","18-24",2019,15938,0.6
111,"male","18-24",2020,14874,0.6
111,"male","18-24",2021,14591,0.5
111,"male","18-24",2022,15448,0.5
112,"female","18-24",2015,5587,0.6
112,"female","18-24",2016,6624,0.6
112,"female","18-24",2017,6438,0.5
112,"female","18-24",2018,6635,0.6
112,"female","18-24",2019,7573,0.5
112,"female","18-24",2020,6579,0.5
112,"female","18-24",2021,5490,0.6
112,"female","18-24",2022,6531,0.6
112,"male","18-24",2015,5395,0.5
112,"male","18-24",2016,6609,0.5
112,"male","18-24",2017,6538,0.6
112,"male","18-24",2018,6581,0.5
112,"male","18-24",2019,7582,0.6
112,"male","18-24",2020,6682,0.6
112,"male","18-24",2021,5474,0.5
112,"male","18-24",2022,6168,0.5
113,"female","18-24",2015,5576,0.6
113,"female","18-24",2016,6055,0.6
113,"female","18-24",2017,6060,0.6
113,"female","18-24",2018,5735,0.5
113,"female","18-24",2019,5915,0.5
113,"female","18-24",2020,5664,0.5
113,"female","18-24",2021,5546,0.5
113,"female","18-24",2022,5815,0.6
113,"male","18-24",2015,5235,0.5
113,"male","18-24",2016,5980,0.5
113,"male","18-24",2017,5971,0.5
113,"male","18-24",2018,5787,0.6
113,"male","18-24",2019,6004,0.6
113,"male","18-24",2020,5705,0.6
113,"male","18-24",2021,5560,0.6
113,"male","18-24",2022,5755,0.5
114,"female","18-24",2015,4041,0.5
114,"female","18-24",2016,4618,0.5
114,"female","18-24",2017,4667,0.5
114,"female","18-24",2018,4578,0.5
114,"female","18-24",2019,4777,0.5
114,"female","18-24",2020,4479,0.5
114,"female","18-24",2021,4318,0.5
114,"female","18-24",2022,4403,0.5
114,"male","18-24",2015,4136,0.6
114,"male","18-24",2016,4861,0.6
114,"male","18-24",2017,4917,0.6
114,"male","18-24",2018,4742,0.6
114,"male","18-24",2019,4904,0.6
114,"male","18-24",2020,4606,0.6
114,"male","18-24",2021,4562,0.6
114,"male","18-24",2022,4644,0.6
115,"female","18-24",2008,122,0.5
115,"female","18-24",2009,120,0.5
115,"female","18-24",2010,121,0.5
115,"female","18-24",2011,136,0.6
115,"female","18-24",2012,124,0.6
115,"female","18-24",2013,134,0.6
115,"female","18-24",2014,127,0.6
115,"female","18-24",2015,5471,0.5
115,"female","18-24",2016,6121,0.5
115,"female","18-24",2017,6156,0.5
115,"female","18-24",2018,6164,0.5
115,"female","18-24",2019,9938,0.5
115,"female","18-24",2020,9410,0.5
115,"female","18-24",2021,8993,0.5
115,"female","18-24",2022,9965,0.5
115,"male","18-24",2008,137,0.6
115,"male","18-24",2009,135,0.6
115,"male","18-24",2010,122,0.6
115,"male","18-24",2011,118,0.5
115,"male","18-24",2012,114,0.5
115,"male","18-24",2013,112,0.5
115,"male","18-24",2014,115,0.5
115,"male","18-24",2015,5574,0.6
115,"male","18-24",2016,6441,0.6
115,"male","18-24",2017,6503,0.6
115,"male","18-24",2018,6493,0.6
115,"male","18-24",2019,10672,0.6
115,"male","18-24",2020,9995,0.6
115,"male","18-24",2021,9715,0.6
115,"male","18-24",2022,10712,0.6
116,"female","18-24",2008,3344,0.5
116,"female","18-24",2009,3404,0.5
116,"female","18-24",2010,3232,0.6
116,"female","18-24",2011,3273,0.6
116,"female","18-24",2012,3034,0.6
116,"female","18-24",2013,3123,0.6
116,"female","18-24",2014,3194,0.6
116,"female","18-24",2015,9554,0.6
116,"female","18-24",2016,10766,0.6
116,"female","18-24",2017,10981,0.5
116,"female","18-24",2018,10780,0.5
116,"female","18-24",2019,13437,0.5
116,"female","18-24",2020,12787,0.5
116,"female","18-24",2021,12673,0.5
116,"female","18-24",2022,13501,0.5
116,"male","18-24",2008,3391,0.6
116,"male","18-24",2009,3407,0.6
116,"male","18-24",2010,3184,0.5
116,"male","18-24",2011,3220,0.5
116,"male","18-24",2012,2965,0.5
116,"male","18-24",2013,2994,0.5
116,"male","18-24",2014,3154,0.5
116,"male","18-24",2015,8960,0.5
116,"male","18-24",2016,10542,0.5
116,"male","18-24",2017,11140,0.6
116,"male","18-24",2018,10966,0.6
116,"male","18-24",2019,13772,0.6
116,"male","18-24",2020,13309,0.6
116,"male","18-24",2021,13130,0.6
116,"male","18-24",2022,13870,0.6
117,"female","18-24",2015,7532,0.6
117,"female","18-24",2016,8610,0.6
117,"female","18-24",2017,7901,0.6
117,"female","18-24",2018,7903,0.6
117,"female","18-24",2019,8167,0.6
117,"female","18-24",2020,7474,0.6
117,"female","18-24",2021,8029,0.6
117,"female","18-24",2022,9389,0.6
117,"male","18-24",2015,6363,0.5
117,"male","18-24",2016,7472,0.5
117,"male","18-24",2017,7000,0.5
117,"male","18-24",2018,6908,0.5
117,"male","18-24",2019,7389,0.5
117,"male","18-24",2020,6914,0.5
117,"male","18-24",2021,7420,0.5
117,"male","18-24",2022,8488,0.5
118,"female","18-24",2015,4634,0.6
118,"female","18-24",2016,5215,0.6
118,"female","18-24",2017,4993,0.6
118,"female","18-24",2018,5127,0.6
118,"female","18-24",2019,8070,0.6
118,"female","18-24",2020,7408,0.6
118,"female","18-24",2021,7448,0.6
118,"female","18-24",2022,8427,0.6
118,"male","18-24",2015,4125,0.5
118,"male","18-24",2016,4873,0.5
118,"male","18-24",2017,4734,0.5
118,"male","18-24",2018,4668,0.5
118,"male","18-24",2019,7669,0.5
118,"male","18-24",2020,7176,0.5
118,"male","18-24",2021,7045,0.5
118,"male","18-24",2022,7824,0.5
119,"female","18-24",2015,15828,0.6
119,"female","18-24",2016,17452,0.5
119,"female","18-24",2017,17437,0.5
119,"female","18-24",2018,17282,0.5
119,"female","18-24",2019,19595,0.5
119,"female","18-24",2020,18601,0.5
119,"female","18-24",2021,18176,0.5
119,"female","18-24",2022,18885,0.5
119,"male","18-24",2015,15518,0.5
119,"male","18-24",2016,17602,0.6
119,"male","18-24",2017,17881,0.6
119,"male","18-24",2018,17735,0.6
119,"male","18-24",2019,20109,0.6
119,"male","18-24",2020,19021,0.6
119,"male","18-24",2021,18457,0.6
119,"male","18-24",2022,19284,0.6
120,"female","18-24",2015,6995,0.6
120,"female","18-24",2016,7808,0.6
120,"female","18-24",2017,7599,0.6
120,"female","18-24",2018,7752,0.6
120,"female","18-24",2019,9093,0.6
120,"female","18-24",2020,8333,0.6
120,"female","18-24",2021,8091,0.6
120,"female","18-24",2022,8701,0.6
120,"male","18-24",2015,6682,0.5
120,"male","18-24",2016,7541,0.5
120,"male","18-24",2017,7384,0.5
120,"male","18-24",2018,7373,0.5
120,"male","18-24",2019,8812,0.5
120,"male","18-24",2020,8126,0.5
120,"male","18-24",2021,7876,0.5
120,"male","18-24",2022,8686,0.5
121,"female","18-24",2008,3083,0.6
121,"female","18-24",2009,3118,0.6
121,"female","18-24",2010,3041,0.6
121,"female","18-24",2011,2908,0.6
121,"female","18-24",2012,2778,0.6
121,"female","18-24",2013,2896,0.6
121,"female","18-24",2014,2876,0.6
121,"female","18-24",2015,11569,0.6
121,"female","18-24",2016,12726,0.5
121,"female","18-24",2017,12397,0.5
121,"female","18-24",2018,12446,0.5
121,"female","18-24",2019,13571,0.5
121,"female","18-24",2020,12817,0.5
121,"female","18-24",2021,12429,0.5
121,"female","18-24",2022,13434,0.5
121,"male","18-24",2008,3053,0.5
121,"male","18-24",2009,3098,0.5
121,"male","18-24",2010,2948,0.5
121,"male","18-24",2011,2907,0.5
121,"male","18-24",2012,2715,0.5
121,"male","18-24",2013,2769,0.5
121,"male","18-24",2014,2687,0.5
121,"male","18-24",2015,11127,0.5
121,"male","18-24",2016,12774,0.6
121,"male","18-24",2017,12649,0.6
121,"male","18-24",2018,12590,0.6
121,"male","18-24",2019,14108,0.6
121,"male","18-24",2020,13310,0.6
121,"male","18-24",2021,13019,0.6
121,"male","18-24",2022,14133,0.6
122,"female","18-24",2008,1740,0.6
122,"female","18-24",2009,1730,0.6
122,"female","18-24",2010,1642,0.6
122,"female","18-24",2011,1573,0.6
122,"female","18-24",2012,1499,0.5
122,"female","18-24",2013,1566,0.6
122,"female","18-24",2014,1598,0.6
122,"female","18-24",2015,7399,0.5
122,"female","18-24",2016,8306,0.5
122,"female","18-24",2017,8283,0.5
122,"female","18-24",2018,8550,0.5
122,"female","18-24",2019,8932,0.5
122,"female","18-24",2020,8355,0.5
122,"female","18-24",2021,7901,0.5
122,"female","18-24",2022,8819,0.5
122,"male","18-24",2008,1716,0.5
122,"male","18-24",2009,1698,0.5
122,"male","18-24",2010,1620,0.5
122,"male","18-24",2011,1562,0.5
122,"male","18-24",2012,1515,0.6
122,"male","18-24",2013,1547,0.5
122,"male","18-24",2014,1520,0.5
122,"male","18-24",2015,7591,0.6
122,"male","18-24",2016,8788,0.6
122,"male","18-24",2017,8809,0.6
122,"male","18-24",2018,8769,0.6
122,"male","18-24",2019,9383,0.6
122,"male","18-24",2020,8876,0.6
122,"male","18-24",2021,8523,0.6
122,"male","18-24",2022,9332,0.6
123,"female","18-24",2015,9641,0.6
123,"female","18-24",2016,10967,0.6
123,"female","18-24",2017,11256,0.5
123,"female","18-24",2018,11128,0.6
123,"female","18-24",2019,11417,0.5
123,"female","18-24",2020,10656,0.5
123,"female","18-24",2021,10235,0.5
123,"female","18-24",2022,10930,0.5
123,"male","18-24",2015,9261,0.5
123,"male","18-24",2016,10929,0.5
123,"male","18-24",2017,11261,0.6
123,"male","18-24",2018,11034,0.5
123,"male","18-24",2019,11528,0.6
123,"male","18-24",2020,10672,0.6
123,"male","18-24",2021,10300,0.6
123,"male","18-24",2022,11192,0.6
124,"female","18-24",2015,9972,0.6
124,"female","18-24",2016,11402,0.5
124,"female","18-24",2017,11420,0.5
124,"female","18-24",2018,11382,0.5
124,"female","18-24",2019,12793,0.5
124,"female","18-24",2020,11917,0.5
124,"female","18-24",2021,11348,0.5
124,"female","18-24",2022,11973,0.5
124,"male","18-24",2015,9510,0.5
124,"male","18-24",2016,11409,0.6
124,"male","18-24",2017,11636,0.6
124,"male","18-24",2018,11588,0.6
124,"male","18-24",2019,13157,0.6
124,"male","18-24",2020,12258,0.6
124,"male","18-24",2021,11637,0.6
124,"male","18-24",2022,12141,0.6
125,"female","18-24",2015,10192,0.6
125,"female","18-24",2016,11026,0.6
125,"female","18-24",2017,11137,0.5
125,"female","18-24",2018,11072,0.5
125,"female","18-24",2019,14088,0.5
125,"female","18-24",2020,13412,0.5
125,"female","18-24",2021,13320,0.5
125,"female","18-24",2022,13920,0.6
125,"male","18-24",2015,9664,0.5
125,"male","18-24",2016,10964,0.5
125,"male","18-24",2017,11273,0.6
125,"male","18-24",2018,11106,0.6
125,"male","18-24",2019,14315,0.6
125,"male","18-24",2020,13498,0.6
125,"male","18-24",2021,13426,0.6
125,"male","18-24",2022,13831,0.5
126,"female","18-24",2008,165,0.5
126,"female","18-24",2009,188,0.6
126,"female","18-24",2010,200,0.56
126,"female","18-24",2011,195,0.6
126,"female","18-24",2012,187,0.55
126,"female","18-24",2013,174,0.6
126,"female","18-24",2014,165,0.6
126,"female","18-24",2015,4850,0.6
126,"female","18-24",2016,5226,0.5
126,"female","18-24",2017,5012,0.5
126,"female","18-24",2018,5002,0.5
126,"female","18-24",2019,6210,0.5
126,"female","18-24",2020,5838,0.5
126,"female","18-24",2021,5679,0.5
126,"female","18-24",2022,6195,0.5
126,"male","18-24",2008,172,0.6
126,"male","18-24",2009,170,0.5
126,"male","18-24",2010,159,0.44
126,"male","18-24",2011,169,0.5
126,"male","18-24",2012,153,0.45
126,"male","18-24",2013,147,0.5
126,"male","18-24",2014,140,0.5
126,"male","18-24",2015,4845,0.5
126,"male","18-24",2016,5412,0.6
126,"male","18-24",2017,5328,0.6
126,"male","18-24",2018,5353,0.6
126,"male","18-24",2019,6758,0.6
126,"male","18-24",2020,6309,0.6
126,"male","18-24",2021,6150,0.6
126,"male","18-24",2022,6460,0.6
127,"female","18-24",2008,2427,0.5
127,"female","18-24",2009,2452,0.5
127,"female","18-24",2010,2465,0.5
127,"female","18-24",2011,2480,0.6
127,"female","18-24",2012,2342,0.5
127,"female","18-24",2013,2313,0.5
127,"female","18-24",2014,2299,0.5
127,"female","18-24",2015,10271,0.6
127,"female","18-24",2016,11318,0.5
127,"female","18-24",2017,11323,0.5
127,"female","18-24",2018,11131,0.5
127,"female","18-24",2019,16803,0.5
127,"female","18-24",2020,16077,0.5
127,"female","18-24",2021,15856,0.5
127,"female","18-24",2022,16838,0.5
127,"male","18-24",2008,2472,0.6
127,"male","18-24",2009,2519,0.6
127,"male","18-24",2010,2478,0.6
127,"male","18-24",2011,2468,0.5
127,"male","18-24",2012,2383,0.6
127,"male","18-24",2013,2323,0.6
127,"male","18-24",2014,2315,0.6
127,"male","18-24",2015,10170,0.5
127,"male","18-24",2016,11647,0.6
127,"male","18-24",2017,11909,0.6
127,"male","18-24",2018,11522,0.6
127,"male","18-24",2019,17335,0.6
127,"male","18-24",2020,16461,0.6
127,"male","18-24",2021,16145,0.6
127,"male","18-24",2022,17079,0.6
128,"female","18-24",2008,1963,0.6
128,"female","18-24",2009,1979,0.6
128,"female","18-24",2010,1857,0.6
128,"female","18-24",2011,1842,0.6
128,"female","18-24",2012,1740,0.6
128,"female","18-24",2013,1730,0.6
128,"female","18-24",2014,1757,0.6
128,"female","18-24",2015,4888,0.6
128,"female","18-24",2016,5324,0.5
128,"female","18-24",2017,5099,0.5
128,"female","18-24",2018,4999,0.5
128,"female","18-24",2019,8563,0.5
128,"female","18-24",2020,7936,0.5
128,"female","18-24",2021,7654,0.5
128,"female","18-24",2022,8328,0.5
128,"male","18-24",2008,1862,0.5
128,"male","18-24",2009,1888,0.5
128,"male","18-24",2010,1746,0.5
128,"male","18-24",2011,1786,0.5
128,"male","18-24",2012,1683,0.5
128,"male","18-24",2013,1651,0.5
128,"male","18-24",2014,1723,0.5
128,"male","18-24",2015,4782,0.5
128,"male","18-24",2016,5366,0.6
128,"male","18-24",2017,5250,0.6
128,"male","18-24",2018,5116,0.6
128,"male","18-24",2019,8786,0.6
128,"male","18-24",2020,8114,0.6
128,"male","18-24",2021,7883,0.6
128,"male","18-24",2022,8671,0.6
197,"female","18-24",2018,3,1
197,"female","18-24",2022,0,0
197,"male","18-24",2018,0,0
197,"male","18-24",2022,0,0
201,"female","18-24",2008,2429,0.5
201,"female","18-24",2009,2476,0.5
201,"female","18-24",2010,2499,0.5
201,"female","18-24",2011,2497,0.5
201,"female","18-24",2012,2463,0.5
201,"female","18-24",2013,2465,0.5
201,"female","18-24",2014,2445,0.5
201,"female","18-24",2015,5831,0.5
201,"female","18-24",2016,6193,0.6
201,"female","18-24",2017,5939,0.5
201,"female","18-24",2018,5962,0.6
201,"female","18-24",2019,6132,0.6
201,"female","18-24",2020,5975,0.6
201,"female","18-24",2021,5884,0.6
201,"female","18-24",2022,5813,0.6
201,"male","18-24",2008,2542,0.6
201,"male","18-24",2009,2590,0.6
201,"male","18-24",2010,2655,0.6
201,"male","18-24",2011,2673,0.6
201,"male","18-24",2012,2565,0.6
201,"male","18-24",2013,2569,0.6
201,"male","18-24",2014,2640,0.6
201,"male","18-24",2015,5853,0.6
201,"male","18-24",2016,6116,0.5
201,"male","18-24",2017,5956,0.6
201,"male","18-24",2018,5776,0.5
201,"male","18-24",2019,5959,0.5
201,"male","18-24",2020,5880,0.5
201,"male","18-24",2021,5760,0.5
201,"male","18-24",2022,5734,0.5
202,"female","18-24",2008,321,0.5
202,"female","18-24",2009,320,0.5
202,"female","18-24",2010,339,0.5
202,"female","18-24",2011,344,0.5
202,"female","18-24",2012,341,0.5
202,"female","18-24",2013,349,0.5
202,"female","18-24",2014,321,0.5
202,"female","18-24",2015,5685,0.6
202,"female","18-24",2016,6052,0.6
202,"female","18-24",2017,5735,0.6
202,"female","18-24",2018,5729,0.6
202,"female","18-24",2019,5792,0.6
202,"female","18-24",2020,5608,0.5
202,"female","18-24",2021,5602,0.6
202,"female","18-24",2022,5486,0.5
202,"male","18-24",2008,372,0.6
202,"male","18-24",2009,360,0.6
202,"male","18-24",2010,365,0.6
202,"male","18-24",2011,372,0.6
202,"male","18-24",2012,385,0.6
202,"male","18-24",2013,378,0.6
202,"male","18-24",2014,356,0.6
202,"male","18-24",2015,5433,0.5
202,"male","18-24",2016,5920,0.5
202,"male","18-24",2017,5552,0.5
202,"male","18-24",2018,5475,0.5
202,"male","18-24",2019,5766,0.5
202,"male","18-24",2020,5625,0.6
202,"male","18-24",2021,5592,0.5
202,"male","18-24",2022,5489,0.6
203,"female","18-24",2015,9792,0.6
203,"female","18-24",2016,10676,0.6
203,"female","18-24",2017,10454,0.6
203,"female","18-24",2018,10661,0.6
203,"female","18-24",2019,11031,0.6
203,"female","18-24",2020,10810,0.6
203,"female","18-24",2021,11073,0.6
203,"female","18-24",2022,11221,0.6
203,"male","18-24",2015,9707,0.5
203,"male","18-24",2016,10619,0.5
203,"male","18-24",2017,10301,0.5
203,"male","18-24",2018,10275,0.5
203,"male","18-24",2019,10861,0.5
203,"male","18-24",2020,10717,0.5
203,"male","18-24",2021,10864,0.5
203,"male","18-24",2022,11175,0.5
204,"female","18-24",2015,5501,0.5
204,"female","18-24",2016,5760,0.5
204,"female","18-24",2017,5563,0.5
204,"female","18-24",2018,5511,0.6
204,"female","18-24",2019,5744,0.6
204,"female","18-24",2020,5584,0.6
204,"female","18-24",2021,5509,0.6
204,"female","18-24",2022,5474,0.5
204,"male","18-24",2015,5563,0.6
204,"male","18-24",2016,6009,0.6
204,"male","18-24",2017,5752,0.6
204,"male","18-24",2018,5452,0.5
204,"male","18-24",2019,5722,0.5
204,"male","18-24",2020,5503,0.5
204,"male","18-24",2021,5477,0.5
204,"male","18-24",2022,5480,0.6
205,"female","18-24",2008,823,0.6
205,"female","18-24",2009,816,0.6
205,"female","18-24",2010,830,0.55
205,"female","18-24",2011,865,0.55
205,"female","18-24",2012,837,0.56
205,"female","18-24",2013,818,0.6
205,"female","18-24",2014,800,0.6
205,"female","18-24",2015,8868,0.6
205,"female","18-24",2016,9348,0.5
205,"female","18-24",2017,8874,0.5
205,"female","18-24",2018,8691,0.5
205,"female","18-24",2019,9128,0.6
205,"female","18-24",2020,8923,0.6
205,"female","18-24",2021,8996,0.6
205,"female","18-24",2022,8938,0.5
205,"male","18-24",2008,690,0.5
205,"male","18-24",2009,721,0.5
205,"male","18-24",2010,673,0.45
205,"male","18-24",2011,695,0.45
205,"male","18-24",2012,669,0.44
205,"male","18-24",2013,705,0.5
205,"male","18-24",2014,716,0.5
205,"male","18-24",2015,8783,0.5
