"SA3_CODE16","sex","age_group","calendar_year","number_of_enrolment","rate_of_enrolment"
10503,"female","18-24",2014,1429,0.6
10503,"female","18-24",2015,2423,0.6
10503,"female","18-24",2016,2725,0.6
10503,"female","18-24",2017,2682,0.5
10503,"female","18-24",2018,2680,0.6
10503,"female","18-24",2019,2721,0.6
10503,"female","18-24",2020,2546,0.6
10503,"female","18-24",2021,2522,0.6
10503,"female","18-24",2022,2498,0.6
10503,"male","18-24",2008,1225,0.5
10503,"male","18-24",2009,1219,0.5
10503,"male","18-24",2010,1155,0.5
10503,"male","18-24",2011,1204,0.5
10503,"male","18-24",2012,1091,0.5
10503,"male","18-24",2013,1169,0.5
10503,"male","18-24",2014,1277,0.5
10503,"male","18-24",2015,2287,0.5
10503,"male","18-24",2016,2663,0.5
10503,"male","18-24",2017,2700,0.6
10503,"male","18-24",2018,2615,0.5
10503,"male","18-24",2019,2666,0.5
10503,"male","18-24",2020,2502,0.5
10503,"male","18-24",2021,2498,0.5
10503,"male","18-24",2022,2483,0.5
10601,"female","18-24",2008,2568,0.5
10601,"female","18-24",2009,2574,0.5
10601,"female","18-24",2010,2503,0.6
10601,"female","18-24",2011,2505,0.6
10601,"female","18-24",2012,2336,0.6
10601,"female","18-24",2013,2431,0.6
10601,"female","18-24",2014,2424,0.6
10601,"female","18-24",2015,2990,0.6
10601,"female","18-24",2016,3454,0.5
10601,"female","18-24",2017,3486,0.5
10601,"female","18-24",2018,3499,0.6
10601,"female","18-24",2019,3588,0.6
10601,"female","18-24",2020,3451,0.6
10601,"female","18-24",2021,3418,0.6
10601,"female","18-24",2022,3612,0.6
10601,"male","18-24",2008,2632,0.6
10601,"male","18-24",2009,2630,0.6
10601,"male","18-24",2010,2497,0.5
10601,"male","18-24",2011,2475,0.5
10601,"male","18-24",2012,2300,0.5
10601,"male","18-24",2013,2386,0.5
10601,"male","18-24",2014,2352,0.5
10601,"male","18-24",2015,2920,0.5
10601,"male","18-24",2016,3454,0.5
10601,"male","18-24",2017,3541,0.6
10601,"male","18-24",2018,3487,0.5
10601,"male","18-24",2019,3578,0.5
10601,"male","18-24",2020,3325,0.5
10601,"male","18-24",2021,3358,0.5
10601,"male","18-24",2022,3577,0.5
10602,"female","18-24",2008,1093,0.6
10602,"female","18-24",2009,1100,0.5
10602,"female","18-24",2010,1077,0.6
10602,"female","18-24",2011,1047,0.5
10602,"female","18-24",2012,985,0.6
10602,"female","18-24",2013,1030,0.6
10602,"female","18-24",2014,1080,0.6
10602,"female","18-24",2015,2791,0.6
10602,"female","18-24",2016,3211,0.6
10602,"female","18-24",2017,3175,0.6
10602,"female","18-24",2018,3170,0.6
10602,"female","18-24",2019,3339,0.6
10602,"female","18-24",2020,3170,0.6
10602,"female","18-24",2021,3184,0.5
10602,"female","18-24",2022,3420,0.6
10602,"male","18-24",2008,1090,0.5
10602,"male","18-24",2009,1112,0.6
10602,"male","18-24",2010,1060,0.5
10602,"male","18-24",2011,1071,0.6
10602,"male","18-24",2012,948,0.5
10602,"male","18-24",2013,1006,0.5
10602,"male","18-24",2014,1025,0.5
10602,"male","18-24",2015,2535,0.5
10602,"male","18-24",2016,3005,0.5
10602,"male","18-24",2017,3047,0.5
10602,"male","18-24",2018,3066,0.5
10602,"male","18-24",2019,3261,0.5
10602,"male","18-24",2020,3148,0.5
10602,"male","18-24",2021,3185,0.6
10602,"male","18-24",2022,3413,0.5
10603,"female","18-24",2008,484,0.6
10603,"female","18-24",2009,495,0.6
10603,"female","18-24",2010,475,0.5
10603,"female","18-24",2011,476,0.5
10603,"female","18-24",2012,440,0.5
10603,"female","18-24",2013,464,0.5
10603,"female","18-24",2014,446,0.5
10603,"female","18-24",2015,2008,0.6
10603,"female","18-24",2016,2372,0.5
10603,"female","18-24",2017,2422,0.5
10603,"female","18-24",2018,2410,0.5
10603,"female","18-24",2019,2461,0.5
10603,"female","18-24",2020,2346,0.6
10603,"female","18-24",2021,2262,0.5
10603,"female","18-24",2022,2375,0.5
10603,"male","18-24",2008,451,0.5
10603,"male","18-24",2009,482,0.5
