"STE_CODE16","sex","age_group","calendar_year","type_of_road_user","n_fatally_injured_in_road_accident"
"5","female","17-25",2021,"passenger",4
"5","female","17-25",2022,"driver",7
"5","female","17-25",2022,"other",1
"5","female","17-25",2022,"passenger",3
"5","male","17-25",2008,"driver",26
"5","male","17-25",2008,"other",12
"5","male","17-25",2008,"passenger",8
"5","male","17-25",2009,"driver",18
"5","male","17-25",2009,"other",8
"5","male","17-25",2009,"passenger",8
"5","male","17-25",2010,"driver",20
"5","male","17-25",2010,"other",8
"5","male","17-25",2010,"passenger",6
"5","male","17-25",2011,"driver",15
"5","male","17-25",2011,"other",11
"5","male","17-25",2011,"passenger",6
"5","male","17-25",2012,"driver",15
"5","male","17-25",2012,"other",6
"5","male","17-25",2012,"passenger",4
"5","male","17-25",2013,"driver",10
"5","male","17-25",2013,"other",8
"5","male","17-25",2013,"passenger",7
"5","male","17-25",2014,"driver",13
"5","male","17-25",2014,"other",12
"5","male","17-25",2014,"passenger",7
"5","male","17-25",2015,"driver",8
"5","male","17-25",2015,"other",6
"5","male","17-25",2015,"passenger",12
"5","male","17-25",2016,"driver",19
"5","male","17-25",2016,"other",6
"5","male","17-25",2016,"passenger",6
"5","male","17-25",2017,"driver",9
"5","male","17-25",2017,"other",11
"5","male","17-25",2017,"passenger",6
"5","male","17-25",2018,"driver",11
"5","male","17-25",2018,"other",7
"5","male","17-25",2018,"passenger",6
"5","male","17-25",2019,"driver",13
"5","male","17-25",2019,"other",8
"5","male","17-25",2019,"passenger",2
"5","male","17-25",2020,"driver",15
"5","male","17-25",2020,"other",3
"5","male","17-25",2020,"passenger",4
"5","male","17-25",2021,"driver",17
"5","male","17-25",2021,"other",10
"5","male","17-25",2021,"passenger",2
"5","male","17-25",2022,"driver",9
"5","male","17-25",2022,"other",4
"5","male","17-25",2022,"passenger",5
"6","female","17-25",2008,"passenger",2
"6","female","17-25",2009,"passenger",2
"6","female","17-25",2010,"passenger",1
"6","female","17-25",2011,"driver",1
"6","female","17-25",2012,"driver",1
"6","female","17-25",2013,"passenger",1
"6","female","17-25",2014,"driver",1
"6","female","17-25",2015,"driver",2
"6","female","17-25",2015,"passenger",1
"6","female","17-25",2016,"driver",2
"6","female","17-25",2018,"driver",1
"6","female","17-25",2020,"driver",1
"6","female","17-25",2020,"passenger",1
"6","female","17-25",2021,"driver",1
"6","female","17-25",2022,"driver",1
"6","female","17-25",2022,"passenger",1
"6","male","17-25",2008,"driver",5
"6","male","17-25",2008,"other",2
"6","male","17-25",2008,"passenger",1
"6","male","17-25",2009,"driver",4
"6","male","17-25",2009,"other",1
"6","male","17-25",2009,"passenger",7
"6","male","17-25",2010,"driver",3
"6","male","17-25",2010,"other",1
"6","male","17-25",2010,"passenger",1
"6","male","17-25",2011,"driver",1
"6","male","17-25",2011,"other",1
"6","male","17-25",2011,"passenger",1
"6","male","17-25",2012,"driver",1
"6","male","17-25",2012,"other",1
"6","male","17-25",2013,"other",4
"6","male","17-25",2013,"passenger",1
"6","male","17-25",2014,"other",1
