"SA4_CODE16","sex","age_group","year_range","rolling_average_fatally_injured_in_road_accident"
"123","all","0-16","2016-2020","0.6"
"123","all","0-16","2017-2021","0.4"
"123","all","0-16","2018-2022","0.8"
"124","all","0-16","2008-2012","0"
"124","all","0-16","2009-2013","0"
"124","all","0-16","2010-2014","0"
"124","all","0-16","2011-2015","0.4"
"124","all","0-16","2012-2016","0.4"
"124","all","0-16","2013-2017","0.4"
"124","all","0-16","2014-2018","0.4"
"124","all","0-16","2015-2019","0.4"
"124","all","0-16","2016-2020","0.2"
"124","all","0-16","2017-2021","0.2"
"124","all","0-16","2018-2022","0.2"
"125","all","0-16","2008-2012","0"
"125","all","0-16","2009-2013","0"
"125","all","0-16","2010-2014","0"
"125","all","0-16","2011-2015","0"
"125","all","0-16","2012-2016","0.4"
"125","all","0-16","2013-2017","0.4"
"125","all","0-16","2014-2018","0.4"
"125","all","0-16","2015-2019","0.6"
"125","all","0-16","2016-2020","1"
"125","all","0-16","2017-2021","0.6"
"125","all","0-16","2018-2022","0.6"
"126","all","0-16","2008-2012","0"
"126","all","0-16","2009-2013","0"
"126","all","0-16","2010-2014","0"
"126","all","0-16","2011-2015","0"
"126","all","0-16","2012-2016","0"
"126","all","0-16","2013-2017","0.2"
"126","all","0-16","2014-2018","0.2"
"126","all","0-16","2015-2019","0.2"
"126","all","0-16","2016-2020","0.2"
"126","all","0-16","2017-2021","0.2"
"126","all","0-16","2018-2022","0"
"127","all","0-16","2008-2012","0"
"127","all","0-16","2009-2013","0"
"127","all","0-16","2010-2014","0"
"127","all","0-16","2011-2015","0"
"127","all","0-16","2012-2016","0"
"127","all","0-16","2013-2017","0.2"
"127","all","0-16","2014-2018","0.2"
"127","all","0-16","2015-2019","0.4"
"127","all","0-16","2016-2020","0.6"
"127","all","0-16","2017-2021","0.8"
"127","all","0-16","2018-2022","0.8"
"128","all","0-16","2008-2012","0"
"128","all","0-16","2009-2013","0"
"128","all","0-16","2010-2014","0"
"128","all","0-16","2011-2015","0"
"128","all","0-16","2012-2016","0"
"128","all","0-16","2013-2017","0"
"128","all","0-16","2014-2018","0"
"128","all","0-16","2015-2019","0"
"128","all","0-16","2016-2020","0"
"128","all","0-16","2017-2021","0.2"
"128","all","0-16","2018-2022","0.2"
"201","all","0-16","2008-2012","0"
"201","all","0-16","2009-2013","0"
"201","all","0-16","2010-2014","0"
"201","all","0-16","2011-2015","0"
"201","all","0-16","2012-2016","0"
"201","all","0-16","2013-2017","0.2"
"201","all","0-16","2014-2018","0.2"
"201","all","0-16","2015-2019","0.4"
"201","all","0-16","2016-2020","0.4"
"201","all","0-16","2017-2021","0.4"
"201","all","0-16","2018-2022","0.4"
"202","all","0-16","2008-2012","0"
"202","all","0-16","2009-2013","0"
"202","all","0-16","2010-2014","0"
"202","all","0-16","2011-2015","0"
"202","all","0-16","2012-2016","0"
"202","all","0-16","2013-2017","0"
"202","all","0-16","2014-2018","0"
"202","all","0-16","2015-2019","0.2"
"202","all","0-16","2016-2020","0.6"
"202","all","0-16","2017-2021","0.6"
"202","all","0-16","2018-2022","0.6"
"204","all","0-16","2008-2012","0"
"204","all","0-16","2009-2013","0"
"204","all","0-16","2010-2014","0"
"204","all","0-16","2011-2015","0.2"
"204","all","0-16","2012-2016","0.2"
"204","all","0-16","2013-2017","0.2"
"204","all","0-16","2014-2018","0.4"
"204","all","0-16","2015-2019","0.4"
"204","all","0-16","2016-2020","0.2"
"204","all","0-16","2017-2021","0.4"
"204","all","0-16","2018-2022","0.4"
"205","all","0-16","2008-2012","0"
"205","all","0-16","2009-2013","0"
"205","all","0-16","2010-2014","0"
"205","all","0-16","2011-2015","0.4"
"205","all","0-16","2012-2016","0.4"
"205","all","0-16","2013-2017","0.6"
"205","all","0-16","2014-2018","0.8"
"205","all","0-16","2015-2019","1"
"205","all","0-16","2016-2020","0.8"
"205","all","0-16","2017-2021","0.8"
"205","all","0-16","2018-2022","0.6"
"206","all","0-16","2008-2012","0"
"206","all","0-16","2009-2013","0"
"206","all","0-16","2010-2014","0"
"206","all","0-16","2011-2015","0"
"206","all","0-16","2012-2016","0"
"206","all","0-16","2013-2017","0"
"206","all","0-16","2014-2018","0"
"206","all","0-16","2015-2019","0"
"206","all","0-16","2016-2020","0"
"206","all","0-16","2017-2021","0.4"
"206","all","0-16","2018-2022","0.4"
"207","all","0-16","2008-2012","0"
"207","all","0-16","2009-2013","0"
"207","all","0-16","2010-2014","0"
"207","all","0-16","2011-2015","0.2"
"207","all","0-16","2012-2016","0.2"
"207","all","0-16","2013-2017","0.2"
"207","all","0-16","2014-2018","0.6"
"207","all","0-16","2015-2019","0.6"
"207","all","0-16","2016-2020","0.4"
"207","all","0-16","2017-2021","0.4"
"207","all","0-16","2018-2022","0.4"
"208","all","0-16","2008-2012","0"
"208","all","0-16","2009-2013","0"
"208","all","0-16","2010-2014","0"
"208","all","0-16","2011-2015","0"
"208","all","0-16","2012-2016","0"
"208","all","0-16","2013-2017","0"
"208","all","0-16","2014-2018","0"
"208","all","0-16","2015-2019","0"
"208","all","0-16","2016-2020","0"
"208","all","0-16","2017-2021","0.4"
"208","all","0-16","2018-2022","0.4"
"209","all","0-16","2008-2012","0"
"209","all","0-16","2009-2013","0"
"209","all","0-16","2010-2014","0"
"209","all","0-16","2011-2015","0.2"
"209","all","0-16","2012-2016","0.2"
"209","all","0-16","2013-2017","0.2"
"209","all","0-16","2014-2018","0.2"
"209","all","0-16","2015-2019","0.4"
"209","all","0-16","2016-2020","0.2"
"209","all","0-16","2017-2021","0.2"
"209","all","0-16","2018-2022","0.2"
"210","all","0-16","2008-2012","0"
"210","all","0-16","2009-2013","0"
"210","all","0-16","2010-2014","0"
"210","all","0-16","2011-2015","0.4"
"210","all","0-16","2012-2016","0.4"
"210","all","0-16","2013-2017","0.4"
"210","all","0-16","2014-2018","0.4"
"210","all","0-16","2015-2019","0.4"
"210","all","0-16","2016-2020","0"
"210","all","0-16","2017-2021","0.4"
"210","all","0-16","2018-2022","0.4"
"211","all","0-16","2008-2012","0"
"211","all","0-16","2009-2013","0"
"211","all","0-16","2010-2014","0"
"211","all","0-16","2011-2015","0.4"
"211","all","0-16","2012-2016","0.4"
"211","all","0-16","2013-2017","0.4"
"211","all","0-16","2014-2018","0.6"
"211","all","0-16","2015-2019","0.8"
"211","all","0-16","2016-2020","0.4"
"211","all","0-16","2017-2021","0.4"
"211","all","0-16","2018-2022","0.4"
"212","all","0-16","2008-2012","0"
"212","all","0-16","2009-2013","0"
"212","all","0-16","2010-2014","0"
"212","all","0-16","2011-2015","0.4"
"212","all","0-16","2012-2016","0.4"
"212","all","0-16","2013-2017","0.8"
"212","all","0-16","2014-2018","1"
"212","all","0-16","2015-2019","1.2"
"212","all","0-16","2016-2020","0.8"
"212","all","0-16","2017-2021","0.8"
"212","all","0-16","2018-2022","0.4"
"213","all","0-16","2008-2012","0"
"213","all","0-16","2009-2013","0"
"213","all","0-16","2010-2014","0"
"213","all","0-16","2011-2015","0.2"
"213","all","0-16","2012-2016","0.2"
"213","all","0-16","2013-2017","0.4"
"213","all","0-16","2014-2018","0.8"
"213","all","0-16","2015-2019","0.8"
"213","all","0-16","2016-2020","0.6"
"213","all","0-16","2017-2021","1.2"
"213","all","0-16","2018-2022","1.4"
"214","all","0-16","2008-2012","0"
"214","all","0-16","2009-2013","0"
"214","all","0-16","2010-2014","0"
"214","all","0-16","2011-2015","0"
"214","all","0-16","2012-2016","0"
"214","all","0-16","2013-2017","0.2"
"214","all","0-16","2014-2018","0.2"
"214","all","0-16","2015-2019","0.2"
"214","all","0-16","2016-2020","0.8"
"214","all","0-16","2017-2021","0.8"
"214","all","0-16","2018-2022","0.8"
"215","all","0-16","2008-2012","0"
"215","all","0-16","2009-2013","0"
"215","all","0-16","2010-2014","0"
"215","all","0-16","2011-2015","0.2"
"215","all","0-16","2012-2016","0.2"
"215","all","0-16","2013-2017","0.2"
"215","all","0-16","2014-2018","0.2"
"215","all","0-16","2015-2019","0.4"
"215","all","0-16","2016-2020","0.2"
"215","all","0-16","2017-2021","0.2"
"215","all","0-16","2018-2022","0.2"
"216","all","0-16","2008-2012","0"
"216","all","0-16","2009-2013","0"
"216","all","0-16","2010-2014","0"
"216","all","0-16","2011-2015","0"
"216","all","0-16","2012-2016","0"
"216","all","0-16","2013-2017","0.2"
"216","all","0-16","2014-2018","0.4"
"216","all","0-16","2015-2019","0.6"
"216","all","0-16","2016-2020","0.6"
"216","all","0-16","2017-2021","0.6"
"216","all","0-16","2018-2022","0.4"
"217","all","0-16","2008-2012","0"
"217","all","0-16","2009-2013","0"
"217","all","0-16","2010-2014","0"
"217","all","0-16","2011-2015","0.2"
"217","all","0-16","2012-2016","0.2"
"217","all","0-16","2013-2017","0.4"
"217","all","0-16","2014-2018","0.4"
"217","all","0-16","2015-2019","0.8"
"217","all","0-16","2016-2020","0.8"
"217","all","0-16","2017-2021","1"
"217","all","0-16","2018-2022","1"
"301","all","0-16","2008-2012","0"
"301","all","0-16","2009-2013","0"
"301","all","0-16","2010-2014","0"
"301","all","0-16","2011-2015","0"
"301","all","0-16","2012-2016","0"
"301","all","0-16","2013-2017","0"
"301","all","0-16","2014-2018","0"
"301","all","0-16","2015-2019","0"
