"SA4_CODE16","sex","age_group","year_range","type_of_road_user","rolling_average_fatally_injured_in_road_accident"
"118","all","17-25","2009-2013","passenger","0"
"118","all","17-25","2009-2013","other","0"
"118","all","17-25","2010-2014","driver","0"
"118","all","17-25","2010-2014","passenger","0"
"118","all","17-25","2010-2014","other","0"
"118","all","17-25","2011-2015","driver","0"
"118","all","17-25","2011-2015","passenger","0"
"118","all","17-25","2011-2015","other","0.4"
"118","all","17-25","2012-2016","driver","0"
"118","all","17-25","2012-2016","passenger","0"
"118","all","17-25","2012-2016","other","0.4"
"118","all","17-25","2013-2017","driver","0"
"118","all","17-25","2013-2017","passenger","0"
"118","all","17-25","2013-2017","other","0.6"
"118","all","17-25","2014-2018","driver","0"
"118","all","17-25","2014-2018","passenger","0"
"118","all","17-25","2014-2018","other","0.6"
"118","all","17-25","2015-2019","driver","0"
"118","all","17-25","2015-2019","passenger","0"
"118","all","17-25","2015-2019","other","0.6"
"118","all","17-25","2016-2020","driver","0"
"118","all","17-25","2016-2020","passenger","0"
"118","all","17-25","2016-2020","other","0.4"
"118","all","17-25","2017-2021","driver","0"
"118","all","17-25","2017-2021","passenger","0"
"118","all","17-25","2017-2021","other","0.4"
"118","all","17-25","2018-2022","driver","0"
"118","all","17-25","2018-2022","passenger","0"
"118","all","17-25","2018-2022","other","0.2"
"119","all","17-25","2008-2012","driver","0"
"119","all","17-25","2008-2012","passenger","0"
"119","all","17-25","2008-2012","other","0"
"119","all","17-25","2009-2013","driver","0"
"119","all","17-25","2009-2013","passenger","0"
"119","all","17-25","2009-2013","other","0"
"119","all","17-25","2010-2014","driver","0"
"119","all","17-25","2010-2014","passenger","0"
"119","all","17-25","2010-2014","other","0"
"119","all","17-25","2011-2015","driver","0"
"119","all","17-25","2011-2015","passenger","0"
"119","all","17-25","2011-2015","other","0.2"
"119","all","17-25","2012-2016","driver","0.4"
"119","all","17-25","2012-2016","passenger","0.2"
"119","all","17-25","2012-2016","other","0.6"
"119","all","17-25","2013-2017","driver","0.4"
"119","all","17-25","2013-2017","passenger","0.2"
"119","all","17-25","2013-2017","other","1.2"
"119","all","17-25","2014-2018","driver","0.4"
"119","all","17-25","2014-2018","passenger","0.4"
"119","all","17-25","2014-2018","other","1.2"
"119","all","17-25","2015-2019","driver","0.4"
"119","all","17-25","2015-2019","passenger","0.8"
"119","all","17-25","2015-2019","other","1.4"
"119","all","17-25","2016-2020","driver","0.6"
"119","all","17-25","2016-2020","passenger","1.2"
"119","all","17-25","2016-2020","other","1.6"
"119","all","17-25","2017-2021","driver","0.6"
"119","all","17-25","2017-2021","passenger","1"
