"SA4_CODE16","sex","age_group","year_range","rolling_average_fatally_injured_in_road_accident"
"307","all","0-16","2008-2017","0"
"307","all","0-16","2009-2018","4"
"307","all","0-16","2010-2019","5"
"307","all","0-16","2011-2020","7"
"307","all","0-16","2012-2021","11"
"307","all","0-16","2013-2022","14"
"308","all","0-16","2008-2017","0"
"308","all","0-16","2009-2018","0"
"308","all","0-16","2010-2019","3"
"308","all","0-16","2011-2020","4"
"308","all","0-16","2012-2021","6"
"308","all","0-16","2013-2022","8"
"309","all","0-16","2008-2017","0"
"309","all","0-16","2009-2018","2"
"309","all","0-16","2010-2019","3"
"309","all","0-16","2011-2020","4"
"309","all","0-16","2012-2021","4"
"309","all","0-16","2013-2022","4"
"310","all","0-16","2008-2017","0"
"310","all","0-16","2009-2018","1"
"310","all","0-16","2010-2019","4"
"310","all","0-16","2011-2020","7"
"310","all","0-16","2012-2021","8"
"310","all","0-16","2013-2022","8"
"311","all","0-16","2008-2017","0"
"311","all","0-16","2009-2018","1"
"311","all","0-16","2010-2019","1"
"311","all","0-16","2011-2020","2"
"311","all","0-16","2012-2021","2"
"311","all","0-16","2013-2022","5"
"312","all","0-16","2008-2017","0"
"312","all","0-16","2009-2018","0"
"312","all","0-16","2010-2019","2"
"312","all","0-16","2011-2020","4"
"312","all","0-16","2012-2021","6"
"312","all","0-16","2013-2022","7"
"313","all","0-16","2008-2017","0"
"313","all","0-16","2009-2018","0"
"313","all","0-16","2010-2019","1"
"313","all","0-16","2011-2020","2"
"313","all","0-16","2012-2021","2"
"313","all","0-16","2013-2022","2"
"315","all","0-16","2008-2017","0"
"315","all","0-16","2009-2018","0"
"315","all","0-16","2010-2019","0"
"315","all","0-16","2011-2020","1"
"315","all","0-16","2012-2021","2"
"315","all","0-16","2013-2022","4"
"316","all","0-16","2008-2017","0"
"316","all","0-16","2009-2018","0"
"316","all","0-16","2010-2019","0"
"316","all","0-16","2011-2020","0"
"316","all","0-16","2012-2021","1"
"316","all","0-16","2013-2022","3"
"317","all","0-16","2008-2017","0"
"317","all","0-16","2009-2018","1"
"317","all","0-16","2010-2019","1"
"317","all","0-16","2011-2020","1"
"317","all","0-16","2012-2021","1"
"317","all","0-16","2013-2022","1"
"318","all","0-16","2008-2017","0"
"318","all","0-16","2009-2018","0"
"318","all","0-16","2010-2019","2"
"318","all","0-16","2011-2020","4"
"318","all","0-16","2012-2021","6"
"318","all","0-16","2013-2022","7"
"319","all","0-16","2008-2017","0"
"319","all","0-16","2009-2018","3"
"319","all","0-16","2010-2019","3"
"319","all","0-16","2011-2020","3"
"319","all","0-16","2012-2021","3"
"319","all","0-16","2013-2022","4"
"401","all","0-16","2008-2017","0"
"401","all","0-16","2009-2018","0"
"401","all","0-16","2010-2019","0"
"401","all","0-16","2011-2020","1"
"401","all","0-16","2012-2021","2"
"401","all","0-16","2013-2022","3"
"402","all","0-16","2008-2017","4"
"402","all","0-16","2009-2018","4"
"402","all","0-16","2010-2019","5"
"402","all","0-16","2011-2020","5"
"402","all","0-16","2012-2021","5"
"402","all","0-16","2013-2022","5"
"403","all","0-16","2008-2017","1"
"403","all","0-16","2009-2018","1"
"403","all","0-16","2010-2019","2"
"403","all","0-16","2011-2020","2"
"403","all","0-16","2012-2021","2"
"403","all","0-16","2013-2022","2"
"404","all","0-16","2008-2017","1"
"404","all","0-16","2009-2018","1"
"404","all","0-16","2010-2019","1"
"404","all","0-16","2011-2020","1"
"404","all","0-16","2012-2021","1"
"404","all","0-16","2013-2022","1"
"405","all","0-16","2008-2017","8"
"405","all","0-16","2009-2018","9"
"405","all","0-16","2010-2019","9"
"405","all","0-16","2011-2020","12"
"405","all","0-16","2012-2021","14"
"405","all","0-16","2013-2022","14"
"406","all","0-16","2008-2017","2"
"406","all","0-16","2009-2018","5"
"406","all","0-16","2010-2019","5"
"406","all","0-16","2011-2020","5"
"406","all","0-16","2012-2021","6"
"406","all","0-16","2013-2022","7"
"407","all","0-16","2008-2017","5"
"407","all","0-16","2009-2018","5"
"407","all","0-16","2010-2019","7"
"407","all","0-16","2011-2020","7"
"407","all","0-16","2012-2021","7"
"407","all","0-16","2013-2022","7"
"501","all","0-16","2008-2017","3"
"501","all","0-16","2009-2018","3"
"501","all","0-16","2010-2019","4"
"501","all","0-16","2011-2020","6"
"501","all","0-16","2012-2021","8"
"501","all","0-16","2013-2022","8"
"502","all","0-16","2008-2017","0"
"502","all","0-16","2009-2018","0"
"502","all","0-16","2010-2019","0"
"502","all","0-16","2011-2020","2"
"502","all","0-16","2012-2021","2"
"502","all","0-16","2013-2022","2"
"504","all","0-16","2008-2017","1"
"504","all","0-16","2009-2018","3"
"504","all","0-16","2010-2019","3"
"504","all","0-16","2011-2020","4"
"504","all","0-16","2012-2021","5"
"504","all","0-16","2013-2022","5"
"505","all","0-16","2008-2017","4"
"505","all","0-16","2009-2018","4"
"505","all","0-16","2010-2019","4"
"505","all","0-16","2011-2020","4"
"505","all","0-16","2012-2021","4"
"505","all","0-16","2013-2022","4"
"506","all","0-16","2008-2017","6"
"506","all","0-16","2009-2018","7"
"506","all","0-16","2010-2019","8"
"506","all","0-16","2011-2020","8"
"506","all","0-16","2012-2021","10"
"506","all","0-16","2013-2022","10"
"507","all","0-16","2008-2017","3"
"507","all","0-16","2009-2018","5"
"507","all","0-16","2010-2019","5"
"507","all","0-16","2011-2020","5"
"507","all","0-16","2012-2021","5"
"507","all","0-16","2013-2022","5"
"509","all","0-16","2008-2017","7"
"509","all","0-16","2009-2018","9"
"509","all","0-16","2010-2019","10"
"509","all","0-16","2011-2020","10"
"509","all","0-16","2012-2021","13"
"509","all","0-16","2013-2022","13"
"510","all","0-16","2008-2017","6"
"510","all","0-16","2009-2018","6"
"510","all","0-16","2010-2019","7"
"510","all","0-16","2011-2020","8"
"510","all","0-16","2012-2021","8"
"510","all","0-16","2013-2022","8"
"511","all","0-16","2008-2017","10"
"511","all","0-16","2009-2018","12"
"511","all","0-16","2010-2019","12"
"511","all","0-16","2011-2020","14"
"511","all","0-16","2012-2021","14"
"511","all","0-16","2013-2022","14"
"601","all","0-16","2008-2017","3"
"601","all","0-16","2009-2018","3"
"601","all","0-16","2010-2019","3"
"601","all","0-16","2011-2020","5"
"601","all","0-16","2012-2021","6"
"601","all","0-16","2013-2022","7"
"602","all","0-16","2008-2017","3"
"602","all","0-16","2009-2018","3"
"602","all","0-16","2010-2019","3"
"602","all","0-16","2011-2020","4"
"602","all","0-16","2012-2021","5"
"602","all","0-16","2013-2022","5"
"604","all","0-16","2008-2017","5"
"604","all","0-16","2009-2018","5"
"604","all","0-16","2010-2019","5"
"604","all","0-16","2011-2020","5"
"604","all","0-16","2012-2021","5"
"604","all","0-16","2013-2022","8"
"701","all","0-16","2008-2017","1"
"701","all","0-16","2009-2018","2"
"701","all","0-16","2010-2019","3"
"701","all","0-16","2011-2020","3"
"701","all","0-16","2012-2021","4"
"701","all","0-16","2013-2022","4"
"702","all","0-16","2008-2017","5"
"702","all","0-16","2009-2018","6"
"702","all","0-16","2010-2019","8"
"702","all","0-16","2011-2020","10"
"702","all","0-16","2012-2021","12"
"702","all","0-16","2013-2022","15"
"801","all","0-16","2008-2017","1"
"801","all","0-16","2009-2018","3"
"801","all","0-16","2010-2019","3"
"801","all","0-16","2011-2020","3"
"801","all","0-16","2012-2021","3"
"801","all","0-16","2013-2022","4"
