"SA4_CODE16","sex","age_group","year_range","type_of_road_user","rolling_average_fatally_injured_in_road_accident"
"104","all","17-25","2013-2022","passenger","7"
"104","all","17-25","2013-2022","other","4"
"105","all","17-25","2008-2017","driver","5"
"105","all","17-25","2008-2017","passenger","3"
"105","all","17-25","2008-2017","other","0"
"105","all","17-25","2009-2018","driver","7"
"105","all","17-25","2009-2018","passenger","5"
"105","all","17-25","2009-2018","other","1"
"105","all","17-25","2010-2019","driver","9"
"105","all","17-25","2010-2019","passenger","6"
"105","all","17-25","2010-2019","other","2"
"105","all","17-25","2011-2020","driver","9"
"105","all","17-25","2011-2020","passenger","7"
"105","all","17-25","2011-2020","other","2"
"105","all","17-25","2012-2021","driver","11"
"105","all","17-25","2012-2021","passenger","7"
"105","all","17-25","2012-2021","other","3"
"105","all","17-25","2013-2022","driver","11"
"105","all","17-25","2013-2022","passenger","9"
"105","all","17-25","2013-2022","other","3"
"106","all","17-25","2008-2017","driver","12"
"106","all","17-25","2008-2017","passenger","3"
"106","all","17-25","2008-2017","other","5"
"106","all","17-25","2009-2018","driver","16"
"106","all","17-25","2009-2018","passenger","4"
"106","all","17-25","2009-2018","other","7"
"106","all","17-25","2010-2019","driver","17"
"106","all","17-25","2010-2019","passenger","4"
"106","all","17-25","2010-2019","other","8"
"106","all","17-25","2011-2020","driver","17"
"106","all","17-25","2011-2020","passenger","4"
"106","all","17-25","2011-2020","other","8"
"106","all","17-25","2012-2021","driver","18"
"106","all","17-25","2012-2021","passenger","5"
"106","all","17-25","2012-2021","other","8"
"106","all","17-25","2013-2022","driver","20"
"106","all","17-25","2013-2022","passenger","5"
"106","all","17-25","2013-2022","other","9"
"107","all","17-25","2008-2017","driver","2"
"107","all","17-25","2008-2017","passenger","2"
"107","all","17-25","2008-2017","other","2"
"107","all","17-25","2009-2018","driver","4"
"107","all","17-25","2009-2018","passenger","2"
"107","all","17-25","2009-2018","other","3"
"107","all","17-25","2010-2019","driver","5"
"107","all","17-25","2010-2019","passenger","2"
"107","all","17-25","2010-2019","other","4"
"107","all","17-25","2011-2020","driver","6"
"107","all","17-25","2011-2020","passenger","3"
"107","all","17-25","2011-2020","other","7"
"107","all","17-25","2012-2021","driver","6"
"107","all","17-25","2012-2021","passenger","3"
"107","all","17-25","2012-2021","other","9"
"107","all","17-25","2013-2022","driver","6"
"107","all","17-25","2013-2022","passenger","3"
"107","all","17-25","2013-2022","other","10"
"108","all","17-25","2008-2017","driver","8"
"108","all","17-25","2008-2017","passenger","2"
"108","all","17-25","2008-2017","other","0"
"108","all","17-25","2009-2018","driver","12"
"108","all","17-25","2009-2018","passenger","3"
"108","all","17-25","2009-2018","other","1"
"108","all","17-25","2010-2019","driver","13"
"108","all","17-25","2010-2019","passenger","5"
"108","all","17-25","2010-2019","other","2"
"108","all","17-25","2011-2020","driver","14"
"108","all","17-25","2011-2020","passenger","5"
"108","all","17-25","2011-2020","other","2"
"108","all","17-25","2012-2021","driver","17"
"108","all","17-25","2012-2021","passenger","5"
"108","all","17-25","2012-2021","other","2"
"108","all","17-25","2013-2022","driver","17"
"108","all","17-25","2013-2022","passenger","5"
"108","all","17-25","2013-2022","other","2"
"109","all","17-25","2008-2017","driver","5"
"109","all","17-25","2008-2017","passenger","2"
"109","all","17-25","2008-2017","other","0"
"109","all","17-25","2009-2018","driver","7"
"109","all","17-25","2009-2018","passenger","3"
"109","all","17-25","2009-2018","other","1"
"109","all","17-25","2010-2019","driver","8"
"109","all","17-25","2010-2019","passenger","6"
"109","all","17-25","2010-2019","other","1"
"109","all","17-25","2011-2020","driver","11"
"109","all","17-25","2011-2020","passenger","6"
"109","all","17-25","2011-2020","other","1"
"109","all","17-25","2012-2021","driver","11"
"109","all","17-25","2012-2021","passenger","6"
"109","all","17-25","2012-2021","other","1"
"109","all","17-25","2013-2022","driver","14"
"109","all","17-25","2013-2022","passenger","6"
"109","all","17-25","2013-2022","other","2"
"110","all","17-25","2008-2017","driver","9"
"110","all","17-25","2008-2017","passenger","5"
"110","all","17-25","2008-2017","other","3"
"110","all","17-25","2009-2018","driver","13"
"110","all","17-25","2009-2018","passenger","6"
"110","all","17-25","2009-2018","other","4"
"110","all","17-25","2010-2019","driver","14"
"110","all","17-25","2010-2019","passenger","7"
"110","all","17-25","2010-2019","other","5"
"110","all","17-25","2011-2020","driver","15"
"110","all","17-25","2011-2020","passenger","8"
"110","all","17-25","2011-2020","other","5"
"110","all","17-25","2012-2021","driver","18"
"110","all","17-25","2012-2021","passenger","8"
"110","all","17-25","2012-2021","other","7"
"110","all","17-25","2013-2022","driver","21"
"110","all","17-25","2013-2022","passenger","8"
"110","all","17-25","2013-2022","other","7"
"111","all","17-25","2008-2017","driver","2"
"111","all","17-25","2008-2017","passenger","2"
"111","all","17-25","2008-2017","other","3"
"111","all","17-25","2009-2018","driver","3"
"111","all","17-25","2009-2018","passenger","2"
"111","all","17-25","2009-2018","other","3"
"111","all","17-25","2010-2019","driver","3"
"111","all","17-25","2010-2019","passenger","2"
"111","all","17-25","2010-2019","other","3"
"111","all","17-25","2011-2020","driver","3"
"111","all","17-25","2011-2020","passenger","2"
"111","all","17-25","2011-2020","other","4"
"111","all","17-25","2012-2021","driver","3"
"111","all","17-25","2012-2021","passenger","2"
"111","all","17-25","2012-2021","other","7"
"111","all","17-25","2013-2022","driver","5"
"111","all","17-25","2013-2022","passenger","2"
"111","all","17-25","2013-2022","other","9"
"112","all","17-25","2008-2017","driver","4"
"112","all","17-25","2008-2017","passenger","0"
"112","all","17-25","2008-2017","other","4"
"112","all","17-25","2009-2018","driver","6"
"112","all","17-25","2009-2018","passenger","0"
"112","all","17-25","2009-2018","other","5"
"112","all","17-25","2010-2019","driver","7"
"112","all","17-25","2010-2019","passenger","1"
"112","all","17-25","2010-2019","other","10"
"112","all","17-25","2011-2020","driver","10"
"112","all","17-25","2011-2020","passenger","1"
"112","all","17-25","2011-2020","other","10"
"112","all","17-25","2012-2021","driver","11"
"112","all","17-25","2012-2021","passenger","1"
"112","all","17-25","2012-2021","other","12"
"112","all","17-25","2013-2022","driver","11"
"112","all","17-25","2013-2022","passenger","1"
"112","all","17-25","2013-2022","other","14"
"113","all","17-25","2008-2017","driver","9"
"113","all","17-25","2008-2017","passenger","3"
"113","all","17-25","2008-2017","other","1"
"113","all","17-25","2009-2018","driver","12"
"113","all","17-25","2009-2018","passenger","5"
"113","all","17-25","2009-2018","other","1"
"113","all","17-25","2010-2019","driver","13"
"113","all","17-25","2010-2019","passenger","5"
"113","all","17-25","2010-2019","other","1"
"113","all","17-25","2011-2020","driver","16"
"113","all","17-25","2011-2020","passenger","5"
"113","all","17-25","2011-2020","other","2"
"113","all","17-25","2012-2021","driver","18"
"113","all","17-25","2012-2021","passenger","7"
"113","all","17-25","2012-2021","other","2"
"113","all","17-25","2013-2022","driver","19"
"113","all","17-25","2013-2022","passenger","8"
"113","all","17-25","2013-2022","other","2"
"114","all","17-25","2008-2017","driver","5"
"114","all","17-25","2008-2017","passenger","4"
"114","all","17-25","2008-2017","other","0"
"114","all","17-25","2009-2018","driver","5"
"114","all","17-25","2009-2018","passenger","4"
"114","all","17-25","2009-2018","other","0"
"114","all","17-25","2010-2019","driver","6"
"114","all","17-25","2010-2019","passenger","4"
"114","all","17-25","2010-2019","other","2"
"114","all","17-25","2011-2020","driver","6"
"114","all","17-25","2011-2020","passenger","4"
"114","all","17-25","2011-2020","other","2"
"114","all","17-25","2012-2021","driver","6"
"114","all","17-25","2012-2021","passenger","4"
"114","all","17-25","2012-2021","other","2"
"114","all","17-25","2013-2022","driver","6"
"114","all","17-25","2013-2022","passenger","5"
"114","all","17-25","2013-2022","other","2"
"115","all","17-25","2008-2017","driver","3"
"115","all","17-25","2008-2017","passenger","2"
"115","all","17-25","2008-2017","other","0"
"115","all","17-25","2009-2018","driver","4"
"115","all","17-25","2009-2018","passenger","2"
"115","all","17-25","2009-2018","other","0"
"115","all","17-25","2010-2019","driver","5"
"115","all","17-25","2010-2019","passenger","2"
"115","all","17-25","2010-2019","other","0"
"115","all","17-25","2011-2020","driver","6"
"115","all","17-25","2011-2020","passenger","2"
"115","all","17-25","2011-2020","other","0"
"115","all","17-25","2012-2021","driver","7"
"115","all","17-25","2012-2021","passenger","2"
"115","all","17-25","2012-2021","other","0"
"115","all","17-25","2013-2022","driver","8"
"115","all","17-25","2013-2022","passenger","2"
"115","all","17-25","2013-2022","other","1"
"116","all","17-25","2008-2017","driver","0"
"116","all","17-25","2008-2017","passenger","1"
"116","all","17-25","2008-2017","other","4"
"116","all","17-25","2009-2018","driver","1"
"116","all","17-25","2009-2018","passenger","2"
"116","all","17-25","2009-2018","other","4"
"116","all","17-25","2010-2019","driver","2"
"116","all","17-25","2010-2019","passenger","2"
"116","all","17-25","2010-2019","other","5"
"116","all","17-25","2011-2020","driver","3"
"116","all","17-25","2011-2020","passenger","4"
"116","all","17-25","2011-2020","other","5"
"116","all","17-25","2012-2021","driver","3"
"116","all","17-25","2012-2021","passenger","4"
"116","all","17-25","2012-2021","other","5"
"116","all","17-25","2013-2022","driver","3"
"116","all","17-25","2013-2022","passenger","4"
"116","all","17-25","2013-2022","other","7"
"117","all","17-25","2008-2017","driver","1"
"117","all","17-25","2008-2017","passenger","3"
"117","all","17-25","2008-2017","other","0"
"117","all","17-25","2009-2018","driver","1"
"117","all","17-25","2009-2018","passenger","3"
"117","all","17-25","2009-2018","other","2"
"117","all","17-25","2010-2019","driver","1"
"117","all","17-25","2010-2019","passenger","3"
"117","all","17-25","2010-2019","other","3"
"117","all","17-25","2011-2020","driver","1"
"117","all","17-25","2011-2020","passenger","3"
"117","all","17-25","2011-2020","other","4"
"117","all","17-25","2012-2021","driver","1"
"117","all","17-25","2012-2021","passenger","3"
"117","all","17-25","2012-2021","other","4"
"117","all","17-25","2013-2022","driver","1"
"117","all","17-25","2013-2022","passenger","3"
"117","all","17-25","2013-2022","other","6"
"118","all","17-25","2008-2017","driver","0"
"118","all","17-25","2008-2017","passenger","0"
"118","all","17-25","2008-2017","other","3"
"118","all","17-25","2009-2018","driver","0"
"118","all","17-25","2009-2018","passenger","0"
"118","all","17-25","2009-2018","other","3"
"118","all","17-25","2010-2019","driver","0"
"118","all","17-25","2010-2019","passenger","0"
"118","all","17-25","2010-2019","other","3"
"118","all","17-25","2011-2020","driver","0"
"118","all","17-25","2011-2020","passenger","0"
"118","all","17-25","2011-2020","other","4"
"118","all","17-25","2012-2021","driver","0"
"118","all","17-25","2012-2021","passenger","0"
"118","all","17-25","2012-2021","other","4"
"118","all","17-25","2013-2022","driver","0"
"118","all","17-25","2013-2022","passenger","0"
"118","all","17-25","2013-2022","other","4"
"119","all","17-25","2008-2017","driver","2"
"119","all","17-25","2008-2017","passenger","1"
"119","all","17-25","2008-2017","other","6"
"119","all","17-25","2009-2018","driver","2"
"119","all","17-25","2009-2018","passenger","2"
"119","all","17-25","2009-2018","other","6"
"119","all","17-25","2010-2019","driver","2"
"119","all","17-25","2010-2019","passenger","4"
"119","all","17-25","2010-2019","other","7"
"119","all","17-25","2011-2020","driver","3"
"119","all","17-25","2011-2020","passenger","6"
"119","all","17-25","2011-2020","other","9"
"119","all","17-25","2012-2021","driver","5"
"119","all","17-25","2012-2021","passenger","6"
"119","all","17-25","2012-2021","other","9"
"119","all","17-25","2013-2022","driver","5"
"119","all","17-25","2013-2022","passenger","6"
"119","all","17-25","2013-2022","other","11"
"120","all","17-25","2008-2017","driver","0"
"120","all","17-25","2008-2017","passenger","0"
"120","all","17-25","2008-2017","other","1"
"120","all","17-25","2009-2018","driver","1"
"120","all","17-25","2009-2018","passenger","0"
"120","all","17-25","2009-2018","other","1"
"120","all","17-25","2010-2019","driver","1"
"120","all","17-25","2010-2019","passenger","1"
"120","all","17-25","2010-2019","other","1"
"120","all","17-25","2011-2020","driver","1"
"120","all","17-25","2011-2020","passenger","1"
"120","all","17-25","2011-2020","other","1"
"120","all","17-25","2012-2021","driver","1"
"120","all","17-25","2012-2021","passenger","1"
"120","all","17-25","2012-2021","other","1"
"120","all","17-25","2013-2022","driver","2"
"120","all","17-25","2013-2022","passenger","1"
"120","all","17-25","2013-2022","other","2"
"121","all","17-25","2008-2017","driver","0"
"121","all","17-25","2008-2017","passenger","0"
"121","all","17-25","2008-2017","other","2"
"121","all","17-25","2009-2018","driver","1"
"121","all","17-25","2009-2018","passenger","0"
"121","all","17-25","2009-2018","other","4"
"121","all","17-25","2010-2019","driver","1"
"121","all","17-25","2010-2019","passenger","0"
"121","all","17-25","2010-2019","other","5"
"121","all","17-25","2011-2020","driver","2"
"121","all","17-25","2011-2020","passenger","0"
"121","all","17-25","2011-2020","other","5"
"121","all","17-25","2012-2021","driver","2"
"121","all","17-25","2012-2021","passenger","0"
"121","all","17-25","2012-2021","other","5"
"121","all","17-25","2013-2022","driver","2"
"121","all","17-25","2013-2022","passenger","1"
"121","all","17-25","2013-2022","other","5"
"122","all","17-25","2008-2017","driver","2"
"122","all","17-25","2008-2017","passenger","0"
"122","all","17-25","2008-2017","other","0"
"122","all","17-25","2009-2018","driver","2"
"122","all","17-25","2009-2018","passenger","0"
"122","all","17-25","2009-2018","other","0"
"122","all","17-25","2010-2019","driver","2"
"122","all","17-25","2010-2019","passenger","0"
"122","all","17-25","2010-2019","other","0"
"122","all","17-25","2011-2020","driver","2"
"122","all","17-25","2011-2020","passenger","1"
"122","all","17-25","2011-2020","other","0"
"122","all","17-25","2012-2021","driver","2"
"122","all","17-25","2012-2021","passenger","1"
"122","all","17-25","2012-2021","other","0"
"122","all","17-25","2013-2022","driver","2"
"122","all","17-25","2013-2022","passenger","1"
"122","all","17-25","2013-2022","other","0"
"123","all","17-25","2008-2017","driver","1"
"123","all","17-25","2008-2017","passenger","1"
"123","all","17-25","2008-2017","other","1"
"123","all","17-25","2009-2018","driver","3"
"123","all","17-25","2009-2018","passenger","2"
"123","all","17-25","2009-2018","other","1"
"123","all","17-25","2010-2019","driver","3"
"123","all","17-25","2010-2019","passenger","2"
"123","all","17-25","2010-2019","other","1"
"123","all","17-25","2011-2020","driver","4"
"123","all","17-25","2011-2020","passenger","3"
"123","all","17-25","2011-2020","other","2"
"123","all","17-25","2012-2021","driver","4"
"123","all","17-25","2012-2021","passenger","3"
"123","all","17-25","2012-2021","other","4"
"123","all","17-25","2013-2022","driver","4"
"123","all","17-25","2013-2022","passenger","3"
"123","all","17-25","2013-2022","other","5"
"124","all","17-25","2008-2017","driver","2"
"124","all","17-25","2008-2017","passenger","2"
"124","all","17-25","2008-2017","other","0"
"124","all","17-25","2009-2018","driver","4"
"124","all","17-25","2009-2018","passenger","4"
"124","all","17-25","2009-2018","other","1"
"124","all","17-25","2010-2019","driver","6"
"124","all","17-25","2010-2019","passenger","4"
"124","all","17-25","2010-2019","other","1"
"124","all","17-25","2011-2020","driver","6"
"124","all","17-25","2011-2020","passenger","4"
"124","all","17-25","2011-2020","other","1"
"124","all","17-25","2012-2021","driver","7"
"124","all","17-25","2012-2021","passenger","4"
"124","all","17-25","2012-2021","other","2"
"124","all","17-25","2013-2022","driver","9"
"124","all","17-25","2013-2022","passenger","5"
"124","all","17-25","2013-2022","other","3"
"125","all","17-25","2008-2017","driver","1"
"125","all","17-25","2008-2017","passenger","0"
"125","all","17-25","2008-2017","other","8"
"125","all","17-25","2009-2018","driver","1"
"125","all","17-25","2009-2018","passenger","0"
"125","all","17-25","2009-2018","other","9"
"125","all","17-25","2010-2019","driver","1"
"125","all","17-25","2010-2019","passenger","1"
"125","all","17-25","2010-2019","other","10"
"125","all","17-25","2011-2020","driver","3"
"125","all","17-25","2011-2020","passenger","1"
"125","all","17-25","2011-2020","other","11"
"125","all","17-25","2012-2021","driver","4"
"125","all","17-25","2012-2021","passenger","1"
"125","all","17-25","2012-2021","other","11"
"125","all","17-25","2013-2022","driver","4"
"125","all","17-25","2013-2022","passenger","1"
"125","all","17-25","2013-2022","other","12"
"126","all","17-25","2008-2017","driver","1"
"126","all","17-25","2008-2017","passenger","0"
"126","all","17-25","2008-2017","other","1"
"126","all","17-25","2009-2018","driver","1"
"126","all","17-25","2009-2018","passenger","0"
"126","all","17-25","2009-2018","other","1"
"126","all","17-25","2010-2019","driver","1"
"126","all","17-25","2010-2019","passenger","1"
"126","all","17-25","2010-2019","other","1"
"126","all","17-25","2011-2020","driver","1"
"126","all","17-25","2011-2020","passenger","1"
"126","all","17-25","2011-2020","other","1"
"126","all","17-25","2012-2021","driver","2"
"126","all","17-25","2012-2021","passenger","2"
"126","all","17-25","2012-2021","other","1"
"126","all","17-25","2013-2022","driver","2"
"126","all","17-25","2013-2022","passenger","2"
"126","all","17-25","2013-2022","other","1"
"127","all","17-25","2008-2017","driver","4"
"127","all","17-25","2008-2017","passenger","0"
"127","all","17-25","2008-2017","other","5"
"127","all","17-25","2009-2018","driver","4"
"127","all","17-25","2009-2018","passenger","0"
"127","all","17-25","2009-2018","other","7"
"127","all","17-25","2010-2019","driver","4"
"127","all","17-25","2010-2019","passenger","0"
"127","all","17-25","2010-2019","other","11"
"127","all","17-25","2011-2020","driver","5"
"127","all","17-25","2011-2020","passenger","1"
"127","all","17-25","2011-2020","other","12"
"127","all","17-25","2012-2021","driver","7"
"127","all","17-25","2012-2021","passenger","1"
"127","all","17-25","2012-2021","other","14"
"127","all","17-25","2013-2022","driver","7"
"127","all","17-25","2013-2022","passenger","2"
"127","all","17-25","2013-2022","other","16"
"128","all","17-25","2008-2017","driver","4"
"128","all","17-25","2008-2017","passenger","0"
"128","all","17-25","2008-2017","other","2"
"128","all","17-25","2009-2018","driver","4"
"128","all","17-25","2009-2018","passenger","0"
"128","all","17-25","2009-2018","other","2"
"128","all","17-25","2010-2019","driver","4"
"128","all","17-25","2010-2019","passenger","0"
"128","all","17-25","2010-2019","other","2"
"128","all","17-25","2011-2020","driver","5"
"128","all","17-25","2011-2020","passenger","1"
"128","all","17-25","2011-2020","other","2"
"128","all","17-25","2012-2021","driver","5"
"128","all","17-25","2012-2021","passenger","1"
"128","all","17-25","2012-2021","other","2"
"128","all","17-25","2013-2022","driver","6"
"128","all","17-25","2013-2022","passenger","2"
"128","all","17-25","2013-2022","other","3"
"201","all","17-25","2008-2017","driver","4"
"201","all","17-25","2008-2017","passenger","2"
"201","all","17-25","2008-2017","other","1"
"201","all","17-25","2009-2018","driver","5"
"201","all","17-25","2009-2018","passenger","3"
"201","all","17-25","2009-2018","other","1"
"201","all","17-25","2010-2019","driver","6"
"201","all","17-25","2010-2019","passenger","5"
"201","all","17-25","2010-2019","other","2"
"201","all","17-25","2011-2020","driver","7"
"201","all","17-25","2011-2020","passenger","5"
"201","all","17-25","2011-2020","other","2"
"201","all","17-25","2012-2021","driver","8"
"201","all","17-25","2012-2021","passenger","5"
"201","all","17-25","2012-2021","other","2"
"201","all","17-25","2013-2022","driver","8"
"201","all","17-25","2013-2022","passenger","6"
"201","all","17-25","2013-2022","other","2"
"202","all","17-25","2008-2017","driver","4"
"202","all","17-25","2008-2017","passenger","0"
"202","all","17-25","2008-2017","other","1"
"202","all","17-25","2009-2018","driver","5"
"202","all","17-25","2009-2018","passenger","1"
"202","all","17-25","2009-2018","other","1"
"202","all","17-25","2010-2019","driver","8"
"202","all","17-25","2010-2019","passenger","1"
"202","all","17-25","2010-2019","other","2"
"202","all","17-25","2011-2020","driver","9"
"202","all","17-25","2011-2020","passenger","1"
"202","all","17-25","2011-2020","other","2"
"202","all","17-25","2012-2021","driver","10"
"202","all","17-25","2012-2021","passenger","1"
"202","all","17-25","2012-2021","other","2"
"202","all","17-25","2013-2022","driver","12"
"202","all","17-25","2013-2022","passenger","1"
"202","all","17-25","2013-2022","other","4"
"203","all","17-25","2008-2017","driver","5"
"203","all","17-25","2008-2017","passenger","2"
"203","all","17-25","2008-2017","other","1"
"203","all","17-25","2009-2018","driver","5"
"203","all","17-25","2009-2018","passenger","2"
"203","all","17-25","2009-2018","other","1"
"203","all","17-25","2010-2019","driver","7"
"203","all","17-25","2010-2019","passenger","2"
"203","all","17-25","2010-2019","other","2"
"203","all","17-25","2011-2020","driver","7"
"203","all","17-25","2011-2020","passenger","2"
"203","all","17-25","2011-2020","other","2"
"203","all","17-25","2012-2021","driver","7"
"203","all","17-25","2012-2021","passenger","2"
"203","all","17-25","2012-2021","other","2"
"203","all","17-25","2013-2022","driver","7"
"203","all","17-25","2013-2022","passenger","2"
"203","all","17-25","2013-2022","other","2"
"204","all","17-25","2008-2017","driver","8"
"204","all","17-25","2008-2017","passenger","3"
"204","all","17-25","2008-2017","other","0"
"204","all","17-25","2009-2018","driver","9"
"204","all","17-25","2009-2018","passenger","3"
"204","all","17-25","2009-2018","other","0"
"204","all","17-25","2010-2019","driver","11"
"204","all","17-25","2010-2019","passenger","3"
"204","all","17-25","2010-2019","other","1"
"204","all","17-25","2011-2020","driver","11"
"204","all","17-25","2011-2020","passenger","3"
"204","all","17-25","2011-2020","other","1"
"204","all","17-25","2012-2021","driver","13"
"204","all","17-25","2012-2021","passenger","3"
"204","all","17-25","2012-2021","other","2"
"204","all","17-25","2013-2022","driver","15"
"204","all","17-25","2013-2022","passenger","3"
"204","all","17-25","2013-2022","other","3"
"205","all","17-25","2008-2017","driver","10"
"205","all","17-25","2008-2017","passenger","2"
"205","all","17-25","2008-2017","other","0"
"205","all","17-25","2009-2018","driver","11"
"205","all","17-25","2009-2018","passenger","2"
"205","all","17-25","2009-2018","other","0"
"205","all","17-25","2010-2019","driver","14"
"205","all","17-25","2010-2019","passenger","5"
"205","all","17-25","2010-2019","other","1"
"205","all","17-25","2011-2020","driver","17"
"205","all","17-25","2011-2020","passenger","6"
"205","all","17-25","2011-2020","other","1"
"205","all","17-25","2012-2021","driver","22"
"205","all","17-25","2012-2021","passenger","7"
"205","all","17-25","2012-2021","other","1"
"205","all","17-25","2013-2022","driver","26"
"205","all","17-25","2013-2022","passenger","9"
"205","all","17-25","2013-2022","other","1"
"206","all","17-25","2008-2017","driver","0"
"206","all","17-25","2008-2017","passenger","0"
"206","all","17-25","2008-2017","other","1"
"206","all","17-25","2009-2018","driver","2"
"206","all","17-25","2009-2018","passenger","1"
"206","all","17-25","2009-2018","other","1"
"206","all","17-25","2010-2019","driver","2"
"206","all","17-25","2010-2019","passenger","1"
"206","all","17-25","2010-2019","other","2"
"206","all","17-25","2011-2020","driver","3"
"206","all","17-25","2011-2020","passenger","1"
"206","all","17-25","2011-2020","other","4"
"206","all","17-25","2012-2021","driver","3"
"206","all","17-25","2012-2021","passenger","1"
"206","all","17-25","2012-2021","other","5"
"206","all","17-25","2013-2022","driver","3"
"206","all","17-25","2013-2022","passenger","1"
"206","all","17-25","2013-2022","other","5"
"207","all","17-25","2008-2017","driver","0"
"207","all","17-25","2008-2017","passenger","0"
"207","all","17-25","2008-2017","other","0"
"207","all","17-25","2009-2018","driver","0"
"207","all","17-25","2009-2018","passenger","0"
"207","all","17-25","2009-2018","other","0"
"207","all","17-25","2010-2019","driver","0"
"207","all","17-25","2010-2019","passenger","0"
"207","all","17-25","2010-2019","other","0"
"207","all","17-25","2011-2020","driver","0"
"207","all","17-25","2011-2020","passenger","0"
"207","all","17-25","2011-2020","other","1"
"207","all","17-25","2012-2021","driver","0"
"207","all","17-25","2012-2021","passenger","1"
"207","all","17-25","2012-2021","other","1"
"207","all","17-25","2013-2022","driver","0"
"207","all","17-25","2013-2022","passenger","1"
"207","all","17-25","2013-2022","other","1"
"208","all","17-25","2008-2017","driver","1"
"208","all","17-25","2008-2017","passenger","0"
"208","all","17-25","2008-2017","other","2"
"208","all","17-25","2009-2018","driver","2"
"208","all","17-25","2009-2018","passenger","0"
"208","all","17-25","2009-2018","other","2"
"208","all","17-25","2010-2019","driver","2"
"208","all","17-25","2010-2019","passenger","0"
"208","all","17-25","2010-2019","other","2"
"208","all","17-25","2011-2020","driver","2"
"208","all","17-25","2011-2020","passenger","0"
"208","all","17-25","2011-2020","other","2"
"208","all","17-25","2012-2021","driver","2"
"208","all","17-25","2012-2021","passenger","0"
"208","all","17-25","2012-2021","other","2"
"208","all","17-25","2013-2022","driver","2"
"208","all","17-25","2013-2022","passenger","0"
"208","all","17-25","2013-2022","other","2"
"209","all","17-25","2008-2017","driver","0"
"209","all","17-25","2008-2017","passenger","1"
"209","all","17-25","2008-2017","other","2"
"209","all","17-25","2009-2018","driver","1"
"209","all","17-25","2009-2018","passenger","1"
"209","all","17-25","2009-2018","other","2"
"209","all","17-25","2010-2019","driver","1"
"209","all","17-25","2010-2019","passenger","1"
"209","all","17-25","2010-2019","other","2"
"209","all","17-25","2011-2020","driver","2"
"209","all","17-25","2011-2020","passenger","1"
"209","all","17-25","2011-2020","other","4"
"209","all","17-25","2012-2021","driver","4"
