"SA4_CODE16","sex","age_group","year_range","type_of_road_user","rolling_average_fatally_injured_in_road_accident"
"107","all","17-25","2017-2021","other","9"
"107","all","17-25","2018-2022","driver","4"
"107","all","17-25","2018-2022","passenger","1"
"107","all","17-25","2018-2022","other","8"
"108","all","17-25","2008-2012","driver","0"
"108","all","17-25","2008-2012","passenger","0"
"108","all","17-25","2008-2012","other","0"
"108","all","17-25","2009-2013","driver","0"
"108","all","17-25","2009-2013","passenger","0"
"108","all","17-25","2009-2013","other","0"
"108","all","17-25","2010-2014","driver","0"
"108","all","17-25","2010-2014","passenger","0"
"108","all","17-25","2010-2014","other","0"
"108","all","17-25","2011-2015","driver","3"
"108","all","17-25","2011-2015","passenger","0"
"108","all","17-25","2011-2015","other","0"
"108","all","17-25","2012-2016","driver","6"
"108","all","17-25","2012-2016","passenger","0"
"108","all","17-25","2012-2016","other","0"
"108","all","17-25","2013-2017","driver","8"
"108","all","17-25","2013-2017","passenger","2"
"108","all","17-25","2013-2017","other","0"
"108","all","17-25","2014-2018","driver","12"
"108","all","17-25","2014-2018","passenger","3"
"108","all","17-25","2014-2018","other","1"
"108","all","17-25","2015-2019","driver","13"
"108","all","17-25","2015-2019","passenger","5"
"108","all","17-25","2015-2019","other","2"
"108","all","17-25","2016-2020","driver","11"
"108","all","17-25","2016-2020","passenger","5"
"108","all","17-25","2016-2020","other","2"
"108","all","17-25","2017-2021","driver","11"
"108","all","17-25","2017-2021","passenger","5"
"108","all","17-25","2017-2021","other","2"
"108","all","17-25","2018-2022","driver","9"
"108","all","17-25","2018-2022","passenger","3"
"108","all","17-25","2018-2022","other","2"
"109","all","17-25","2008-2012","driver","0"
"109","all","17-25","2008-2012","passenger","0"
"109","all","17-25","2008-2012","other","0"
"109","all","17-25","2009-2013","driver","0"
"109","all","17-25","2009-2013","passenger","0"
"109","all","17-25","2009-2013","other","0"
"109","all","17-25","2010-2014","driver","0"
"109","all","17-25","2010-2014","passenger","0"
"109","all","17-25","2010-2014","other","0"
"109","all","17-25","2011-2015","driver","0"
"109","all","17-25","2011-2015","passenger","0"
"109","all","17-25","2011-2015","other","0"
"109","all","17-25","2012-2016","driver","2"
"109","all","17-25","2012-2016","passenger","1"
"109","all","17-25","2012-2016","other","0"
"109","all","17-25","2013-2017","driver","5"
"109","all","17-25","2013-2017","passenger","2"
"109","all","17-25","2013-2017","other","0"
"109","all","17-25","2014-2018","driver","7"
"109","all","17-25","2014-2018","passenger","3"
"109","all","17-25","2014-2018","other","1"
"109","all","17-25","2015-2019","driver","8"
"109","all","17-25","2015-2019","passenger","6"
"109","all","17-25","2015-2019","other","1"
"109","all","17-25","2016-2020","driver","11"
"109","all","17-25","2016-2020","passenger","6"
"109","all","17-25","2016-2020","other","1"
"109","all","17-25","2017-2021","driver","9"
"109","all","17-25","2017-2021","passenger","5"
"109","all","17-25","2017-2021","other","1"
"109","all","17-25","2018-2022","driver","9"
"109","all","17-25","2018-2022","passenger","4"
"109","all","17-25","2018-2022","other","2"
"110","all","17-25","2008-2012","driver","0"
"110","all","17-25","2008-2012","passenger","0"
"110","all","17-25","2008-2012","other","0"
"110","all","17-25","2009-2013","driver","0"
"110","all","17-25","2009-2013","passenger","0"
"110","all","17-25","2009-2013","other","0"
"110","all","17-25","2010-2014","driver","0"
"110","all","17-25","2010-2014","passenger","0"
"110","all","17-25","2010-2014","other","0"
"110","all","17-25","2011-2015","driver","1"
"110","all","17-25","2011-2015","passenger","2"
"110","all","17-25","2011-2015","other","0"
"110","all","17-25","2012-2016","driver","4"
"110","all","17-25","2012-2016","passenger","3"
"110","all","17-25","2012-2016","other","3"
"110","all","17-25","2013-2017","driver","9"
"110","all","17-25","2013-2017","passenger","5"
"110","all","17-25","2013-2017","other","3"
"110","all","17-25","2014-2018","driver","13"
"110","all","17-25","2014-2018","passenger","6"
"110","all","17-25","2014-2018","other","4"
"110","all","17-25","2015-2019","driver","14"
"110","all","17-25","2015-2019","passenger","7"
"110","all","17-25","2015-2019","other","5"
"110","all","17-25","2016-2020","driver","14"
"110","all","17-25","2016-2020","passenger","6"
"110","all","17-25","2016-2020","other","5"
"110","all","17-25","2017-2021","driver","14"
"110","all","17-25","2017-2021","passenger","5"
"110","all","17-25","2017-2021","other","4"
"110","all","17-25","2018-2022","driver","12"
"110","all","17-25","2018-2022","passenger","3"
"110","all","17-25","2018-2022","other","4"
"111","all","17-25","2008-2012","driver","0"
"111","all","17-25","2008-2012","passenger","0"
"111","all","17-25","2008-2012","other","0"
"111","all","17-25","2009-2013","driver","0"
"111","all","17-25","2009-2013","passenger","0"
"111","all","17-25","2009-2013","other","0"
"111","all","17-25","2010-2014","driver","0"
"111","all","17-25","2010-2014","passenger","0"
"111","all","17-25","2010-2014","other","0"
"111","all","17-25","2011-2015","driver","0"
"111","all","17-25","2011-2015","passenger","0"
"111","all","17-25","2011-2015","other","0"
"111","all","17-25","2012-2016","driver","1"
"111","all","17-25","2012-2016","passenger","1"
"111","all","17-25","2012-2016","other","1"
"111","all","17-25","2013-2017","driver","2"
"111","all","17-25","2013-2017","passenger","2"
"111","all","17-25","2013-2017","other","3"
"111","all","17-25","2014-2018","driver","3"
"111","all","17-25","2014-2018","passenger","2"
"111","all","17-25","2014-2018","other","3"
"111","all","17-25","2015-2019","driver","3"
"111","all","17-25","2015-2019","passenger","2"
"111","all","17-25","2015-2019","other","3"
"111","all","17-25","2016-2020","driver","3"
"111","all","17-25","2016-2020","passenger","2"
"111","all","17-25","2016-2020","other","4"
"111","all","17-25","2017-2021","driver","2"
"111","all","17-25","2017-2021","passenger","1"
"111","all","17-25","2017-2021","other","6"
"111","all","17-25","2018-2022","driver","3"
"111","all","17-25","2018-2022","passenger","0"
"111","all","17-25","2018-2022","other","6"
"112","all","17-25","2008-2012","driver","0"
"112","all","17-25","2008-2012","passenger","0"
"112","all","17-25","2008-2012","other","0"
"112","all","17-25","2009-2013","driver","0"
"112","all","17-25","2009-2013","passenger","0"
"112","all","17-25","2009-2013","other","0"
"112","all","17-25","2010-2014","driver","0"
"112","all","17-25","2010-2014","passenger","0"
"112","all","17-25","2010-2014","other","0"
"112","all","17-25","2011-2015","driver","3"
"112","all","17-25","2011-2015","passenger","0"
"112","all","17-25","2011-2015","other","1"
"112","all","17-25","2012-2016","driver","4"
"112","all","17-25","2012-2016","passenger","0"
"112","all","17-25","2012-2016","other","3"
"112","all","17-25","2013-2017","driver","4"
"112","all","17-25","2013-2017","passenger","0"
"112","all","17-25","2013-2017","other","4"
"112","all","17-25","2014-2018","driver","6"
"112","all","17-25","2014-2018","passenger","0"
"112","all","17-25","2014-2018","other","5"
"112","all","17-25","2015-2019","driver","7"
"112","all","17-25","2015-2019","passenger","1"
"112","all","17-25","2015-2019","other","10"
"112","all","17-25","2016-2020","driver","7"
"112","all","17-25","2016-2020","passenger","1"
"112","all","17-25","2016-2020","other","9"
"112","all","17-25","2017-2021","driver","7"
"112","all","17-25","2017-2021","passenger","1"
"112","all","17-25","2017-2021","other","9"
"112","all","17-25","2018-2022","driver","7"
"112","all","17-25","2018-2022","passenger","1"
"112","all","17-25","2018-2022","other","10"
"113","all","17-25","2008-2012","driver","0"
"113","all","17-25","2008-2012","passenger","0"
"113","all","17-25","2008-2012","other","0"
"113","all","17-25","2009-2013","driver","0"
"113","all","17-25","2009-2013","passenger","0"
"113","all","17-25","2009-2013","other","0"
"113","all","17-25","2010-2014","driver","0"
"113","all","17-25","2010-2014","passenger","0"
"113","all","17-25","2010-2014","other","0"
"113","all","17-25","2011-2015","driver","6"
"113","all","17-25","2011-2015","passenger","2"
"113","all","17-25","2011-2015","other","1"
"113","all","17-25","2012-2016","driver","7"
"113","all","17-25","2012-2016","passenger","2"
"113","all","17-25","2012-2016","other","1"
"113","all","17-25","2013-2017","driver","9"
"113","all","17-25","2013-2017","passenger","3"
"113","all","17-25","2013-2017","other","1"
"113","all","17-25","2014-2018","driver","12"
"113","all","17-25","2014-2018","passenger","5"
"113","all","17-25","2014-2018","other","1"
"113","all","17-25","2015-2019","driver","13"
"113","all","17-25","2015-2019","passenger","5"
"113","all","17-25","2015-2019","other","1"
"113","all","17-25","2016-2020","driver","10"
"113","all","17-25","2016-2020","passenger","3"
"113","all","17-25","2016-2020","other","1"
"113","all","17-25","2017-2021","driver","11"
"113","all","17-25","2017-2021","passenger","5"
"113","all","17-25","2017-2021","other","1"
"113","all","17-25","2018-2022","driver","10"
"113","all","17-25","2018-2022","passenger","5"
"113","all","17-25","2018-2022","other","1"
"114","all","17-25","2008-2012","driver","0"
"114","all","17-25","2008-2012","passenger","0"
"114","all","17-25","2008-2012","other","0"
"114","all","17-25","2009-2013","driver","0"
"114","all","17-25","2009-2013","passenger","0"
"114","all","17-25","2009-2013","other","0"
"114","all","17-25","2010-2014","driver","0"
"114","all","17-25","2010-2014","passenger","0"
"114","all","17-25","2010-2014","other","0"
"114","all","17-25","2011-2015","driver","0"
"114","all","17-25","2011-2015","passenger","1"
"114","all","17-25","2011-2015","other","0"
"114","all","17-25","2012-2016","driver","4"
"114","all","17-25","2012-2016","passenger","2"
"114","all","17-25","2012-2016","other","0"
"114","all","17-25","2013-2017","driver","5"
"114","all","17-25","2013-2017","passenger","4"
"114","all","17-25","2013-2017","other","0"
"114","all","17-25","2014-2018","driver","5"
"114","all","17-25","2014-2018","passenger","4"
"114","all","17-25","2014-2018","other","0"
"114","all","17-25","2015-2019","driver","6"
"114","all","17-25","2015-2019","passenger","4"
"114","all","17-25","2015-2019","other","2"
"114","all","17-25","2016-2020","driver","6"
"114","all","17-25","2016-2020","passenger","3"
"114","all","17-25","2016-2020","other","2"
"114","all","17-25","2017-2021","driver","2"
"114","all","17-25","2017-2021","passenger","2"
"114","all","17-25","2017-2021","other","2"
"114","all","17-25","2018-2022","driver","1"
"114","all","17-25","2018-2022","passenger","1"
"114","all","17-25","2018-2022","other","2"
"115","all","17-25","2008-2012","driver","0"
"115","all","17-25","2008-2012","passenger","0"
"115","all","17-25","2008-2012","other","0"
"115","all","17-25","2009-2013","driver","0"
"115","all","17-25","2009-2013","passenger","0"
"115","all","17-25","2009-2013","other","0"
"115","all","17-25","2010-2014","driver","0"
"115","all","17-25","2010-2014","passenger","0"
"115","all","17-25","2010-2014","other","0"
"115","all","17-25","2011-2015","driver","3"
"115","all","17-25","2011-2015","passenger","2"
"115","all","17-25","2011-2015","other","0"
"115","all","17-25","2012-2016","driver","3"
"115","all","17-25","2012-2016","passenger","2"
"115","all","17-25","2012-2016","other","0"
"115","all","17-25","2013-2017","driver","3"
"115","all","17-25","2013-2017","passenger","2"
"115","all","17-25","2013-2017","other","0"
"115","all","17-25","2014-2018","driver","4"
"115","all","17-25","2014-2018","passenger","2"
"115","all","17-25","2014-2018","other","0"
"115","all","17-25","2015-2019","driver","5"
"115","all","17-25","2015-2019","passenger","2"
"115","all","17-25","2015-2019","other","0"
"115","all","17-25","2016-2020","driver","3"
"115","all","17-25","2016-2020","passenger","0"
"115","all","17-25","2016-2020","other","0"
"115","all","17-25","2017-2021","driver","4"
"115","all","17-25","2017-2021","passenger","0"
"115","all","17-25","2017-2021","other","0"
"115","all","17-25","2018-2022","driver","5"
"115","all","17-25","2018-2022","passenger","0"
"115","all","17-25","2018-2022","other","1"
"116","all","17-25","2008-2012","driver","0"
"116","all","17-25","2008-2012","passenger","0"
"116","all","17-25","2008-2012","other","0"
"116","all","17-25","2009-2013","driver","0"
"116","all","17-25","2009-2013","passenger","0"
"116","all","17-25","2009-2013","other","0"
"116","all","17-25","2010-2014","driver","0"
"116","all","17-25","2010-2014","passenger","0"
"116","all","17-25","2010-2014","other","0"
"116","all","17-25","2011-2015","driver","0"
"116","all","17-25","2011-2015","passenger","0"
"116","all","17-25","2011-2015","other","0"
"116","all","17-25","2012-2016","driver","0"
"116","all","17-25","2012-2016","passenger","0"
"116","all","17-25","2012-2016","other","2"
"116","all","17-25","2013-2017","driver","0"
"116","all","17-25","2013-2017","passenger","1"
"116","all","17-25","2013-2017","other","4"
"116","all","17-25","2014-2018","driver","1"
"116","all","17-25","2014-2018","passenger","2"
"116","all","17-25","2014-2018","other","4"
"116","all","17-25","2015-2019","driver","2"
"116","all","17-25","2015-2019","passenger","2"
"116","all","17-25","2015-2019","other","5"
"116","all","17-25","2016-2020","driver","3"
"116","all","17-25","2016-2020","passenger","4"
"116","all","17-25","2016-2020","other","5"
"116","all","17-25","2017-2021","driver","3"
"116","all","17-25","2017-2021","passenger","4"
"116","all","17-25","2017-2021","other","3"
"116","all","17-25","2018-2022","driver","3"
"116","all","17-25","2018-2022","passenger","3"
"116","all","17-25","2018-2022","other","3"
"117","all","17-25","2008-2012","driver","0"
"117","all","17-25","2008-2012","passenger","0"
"117","all","17-25","2008-2012","other","0"
"117","all","17-25","2009-2013","driver","0"
"117","all","17-25","2009-2013","passenger","0"
"117","all","17-25","2009-2013","other","0"
"117","all","17-25","2010-2014","driver","0"
"117","all","17-25","2010-2014","passenger","0"
"117","all","17-25","2010-2014","other","0"
"117","all","17-25","2011-2015","driver","0"
"117","all","17-25","2011-2015","passenger","0"
"117","all","17-25","2011-2015","other","0"
"117","all","17-25","2012-2016","driver","0"
"117","all","17-25","2012-2016","passenger","0"
"117","all","17-25","2012-2016","other","0"
"117","all","17-25","2013-2017","driver","1"
"117","all","17-25","2013-2017","passenger","3"
"117","all","17-25","2013-2017","other","0"
"117","all","17-25","2014-2018","driver","1"
"117","all","17-25","2014-2018","passenger","3"
"117","all","17-25","2014-2018","other","2"
"117","all","17-25","2015-2019","driver","1"
"117","all","17-25","2015-2019","passenger","3"
"117","all","17-25","2015-2019","other","3"
"117","all","17-25","2016-2020","driver","1"
"117","all","17-25","2016-2020","passenger","3"
"117","all","17-25","2016-2020","other","4"
"117","all","17-25","2017-2021","driver","1"
"117","all","17-25","2017-2021","passenger","3"
"117","all","17-25","2017-2021","other","4"
"117","all","17-25","2018-2022","driver","0"
"117","all","17-25","2018-2022","passenger","0"
"117","all","17-25","2018-2022","other","6"
"118","all","17-25","2008-2012","driver","0"
"118","all","17-25","2008-2012","passenger","0"
"118","all","17-25","2008-2012","other","0"
"118","all","17-25","2009-2013","driver","0"
"118","all","17-25","2009-2013","passenger","0"
"118","all","17-25","2009-2013","other","0"
"118","all","17-25","2010-2014","driver","0"
"118","all","17-25","2010-2014","passenger","0"
"118","all","17-25","2010-2014","other","0"
"118","all","17-25","2011-2015","driver","0"
"118","all","17-25","2011-2015","passenger","0"
"118","all","17-25","2011-2015","other","2"
"118","all","17-25","2012-2016","driver","0"
"118","all","17-25","2012-2016","passenger","0"
"118","all","17-25","2012-2016","other","2"
"118","all","17-25","2013-2017","driver","0"
"118","all","17-25","2013-2017","passenger","0"
"118","all","17-25","2013-2017","other","3"
"118","all","17-25","2014-2018","driver","0"
"118","all","17-25","2014-2018","passenger","0"
"118","all","17-25","2014-2018","other","3"
"118","all","17-25","2015-2019","driver","0"
"118","all","17-25","2015-2019","passenger","0"
"118","all","17-25","2015-2019","other","3"
"118","all","17-25","2016-2020","driver","0"
"118","all","17-25","2016-2020","passenger","0"
"118","all","17-25","2016-2020","other","2"
"118","all","17-25","2017-2021","driver","0"
"118","all","17-25","2017-2021","passenger","0"
"118","all","17-25","2017-2021","other","2"
"118","all","17-25","2018-2022","driver","0"
"118","all","17-25","2018-2022","passenger","0"
"118","all","17-25","2018-2022","other","1"
"119","all","17-25","2008-2012","driver","0"
"119","all","17-25","2008-2012","passenger","0"
"119","all","17-25","2008-2012","other","0"
"119","all","17-25","2009-2013","driver","0"
"119","all","17-25","2009-2013","passenger","0"
"119","all","17-25","2009-2013","other","0"
"119","all","17-25","2010-2014","driver","0"
"119","all","17-25","2010-2014","passenger","0"
"119","all","17-25","2010-2014","other","0"
"119","all","17-25","2011-2015","driver","0"
"119","all","17-25","2011-2015","passenger","0"
"119","all","17-25","2011-2015","other","1"
"119","all","17-25","2012-2016","driver","2"
"119","all","17-25","2012-2016","passenger","1"
"119","all","17-25","2012-2016","other","3"
"119","all","17-25","2013-2017","driver","2"
"119","all","17-25","2013-2017","passenger","1"
"119","all","17-25","2013-2017","other","6"
"119","all","17-25","2014-2018","driver","2"
"119","all","17-25","2014-2018","passenger","2"
"119","all","17-25","2014-2018","other","6"
"119","all","17-25","2015-2019","driver","2"
"119","all","17-25","2015-2019","passenger","4"
"119","all","17-25","2015-2019","other","7"
"119","all","17-25","2016-2020","driver","3"
"119","all","17-25","2016-2020","passenger","6"
"119","all","17-25","2016-2020","other","8"
"119","all","17-25","2017-2021","driver","3"
"119","all","17-25","2017-2021","passenger","5"
"119","all","17-25","2017-2021","other","6"
"119","all","17-25","2018-2022","driver","3"
"119","all","17-25","2018-2022","passenger","5"
"119","all","17-25","2018-2022","other","5"
"120","all","17-25","2008-2012","driver","0"
"120","all","17-25","2008-2012","passenger","0"
"120","all","17-25","2008-2012","other","0"
"120","all","17-25","2009-2013","driver","0"
"120","all","17-25","2009-2013","passenger","0"
"120","all","17-25","2009-2013","other","0"
"120","all","17-25","2010-2014","driver","0"
"120","all","17-25","2010-2014","passenger","0"
"120","all","17-25","2010-2014","other","0"
"120","all","17-25","2011-2015","driver","0"
"120","all","17-25","2011-2015","passenger","0"
"120","all","17-25","2011-2015","other","0"
"120","all","17-25","2012-2016","driver","0"
"120","all","17-25","2012-2016","passenger","0"
"120","all","17-25","2012-2016","other","1"
"120","all","17-25","2013-2017","driver","0"
"120","all","17-25","2013-2017","passenger","0"
"120","all","17-25","2013-2017","other","1"
"120","all","17-25","2014-2018","driver","1"
"120","all","17-25","2014-2018","passenger","0"
"120","all","17-25","2014-2018","other","1"
"120","all","17-25","2015-2019","driver","1"
"120","all","17-25","2015-2019","passenger","1"
"120","all","17-25","2015-2019","other","1"
"120","all","17-25","2016-2020","driver","1"
"120","all","17-25","2016-2020","passenger","1"
"120","all","17-25","2016-2020","other","1"
"120","all","17-25","2017-2021","driver","1"
"120","all","17-25","2017-2021","passenger","1"
"120","all","17-25","2017-2021","other","0"
"120","all","17-25","2018-2022","driver","2"
"120","all","17-25","2018-2022","passenger","1"
