"SA4_CODE16","sex","age_group","calendar_year","type_of_road_user","n_fatally_injured_in_road_accident"
123,"male","17-25",2020,"other",1
123,"male","17-25",2020,"passenger",1
123,"male","17-25",2021,"other",2
123,"male","17-25",2022,"other",1
124,"female","17-25",2018,"driver",1
124,"female","17-25",2018,"passenger",1
124,"female","17-25",2019,"driver",1
124,"female","17-25",2021,"other",1
124,"female","17-25",2022,"driver",1
124,"male","17-25",2015,"passenger",1
124,"male","17-25",2016,"driver",1
124,"male","17-25",2017,"driver",1
124,"male","17-25",2017,"passenger",1
124,"male","17-25",2018,"driver",1
124,"male","17-25",2018,"other",1
124,"male","17-25",2018,"passenger",1
124,"male","17-25",2019,"driver",1
124,"male","17-25",2021,"driver",1
124,"male","17-25",2022,"driver",1
124,"male","17-25",2022,"other",1
124,"male","17-25",2022,"passenger",1
125,"female","17-25",2019,"passenger",1
125,"female","17-25",2020,"driver",1
125,"female","17-25",2020,"other",1
125,"male","17-25",2015,"other",1
125,"male","17-25",2016,"driver",1
125,"male","17-25",2016,"other",7
125,"male","17-25",2018,"other",1
125,"male","17-25",2019,"other",1
125,"male","17-25",2020,"driver",1
125,"male","17-25",2021,"driver",1
125,"male","17-25",2022,"other",1
126,"female","17-25",2019,"passenger",1
126,"female","17-25",2021,"driver",1
126,"male","17-25",2017,"driver",1
126,"male","17-25",2017,"other",1
126,"male","17-25",2021,"passenger",1
127,"female","17-25",2015,"driver",1
127,"female","17-25",2016,"driver",1
127,"male","17-25",2015,"other",1
127,"male","17-25",2016,"driver",1
127,"male","17-25",2017,"driver",1
127,"male","17-25",2017,"other",4
127,"male","17-25",2018,"other",2
127,"male","17-25",2019,"other",4
127,"male","17-25",2020,"driver",1
127,"male","17-25",2020,"other",1
127,"male","17-25",2020,"passenger",1
127,"male","17-25",2021,"driver",2
127,"male","17-25",2021,"other",2
127,"male","17-25",2022,"other",2
127,"male","17-25",2022,"passenger",1
128,"female","17-25",2020,"passenger",1
128,"male","17-25",2015,"driver",2
128,"male","17-25",2016,"other",1
128,"male","17-25",2017,"driver",2
128,"male","17-25",2017,"other",1
128,"male","17-25",2020,"driver",1
128,"male","17-25",2022,"driver",1
128,"male","17-25",2022,"other",1
128,"male","17-25",2022,"passenger",1
201,"female","17-25",2017,"driver",1
201,"female","17-25",2017,"passenger",1
201,"female","17-25",2018,"passenger",1
201,"female","17-25",2019,"passenger",2
201,"female","17-25",2022,"passenger",1
201,"male","17-25",2015,"driver",1
201,"male","17-25",2015,"other",1
201,"male","17-25",2017,"driver",2
201,"male","17-25",2017,"passenger",1
201,"male","17-25",2018,"driver",1
201,"male","17-25",2019,"driver",1
201,"male","17-25",2019,"other",1
201,"male","17-25",2020,"driver",1
201,"male","17-25",2021,"driver",1
202,"female","17-25",2015,"driver",1
202,"female","17-25",2018,"passenger",1
202,"female","17-25",2022,"driver",2
202,"female","17-25",2022,"other",1
202,"male","17-25",2015,"driver",2
202,"male","17-25",2017,"driver",1
202,"male","17-25",2017,"other",1
202,"male","17-25",2018,"driver",1
202,"male","17-25",2019,"driver",3
202,"male","17-25",2019,"other",1
202,"male","17-25",2020,"driver",1
202,"male","17-25",2021,"driver",1
202,"male","17-25",2022,"other",1
203,"female","17-25",2017,"driver",2
203,"female","17-25",2019,"other",1
203,"male","17-25",2015,"driver",3
203,"male","17-25",2015,"passenger",2
203,"male","17-25",2017,"other",1
203,"male","17-25",2019,"driver",2
204,"female","17-25",2017,"driver",1
204,"male","17-25",2015,"driver",3
204,"male","17-25",2015,"passenger",2
204,"male","17-25",2017,"driver",4
204,"male","17-25",2017,"passenger",1
204,"male","17-25",2018,"driver",1
204,"male","17-25",2019,"driver",2
204,"male","17-25",2019,"other",1
204,"male","17-25",2021,"driver",2
204,"male","17-25",2021,"other",1
204,"male","17-25",2022,"driver",2
204,"male","17-25",2022,"other",1
205,"female","17-25",2015,"driver",1
205,"female","17-25",2015,"passenger",1
205,"female","17-25",2017,"driver",4
205,"female","17-25",2019,"passenger",2
205,"female","17-25",2020,"driver",1
205,"female","17-25",2021,"driver",2
205,"female","17-25",2022,"driver",1
205,"male","17-25",2015,"driver",2
205,"male","17-25",2017,"driver",3
205,"male","17-25",2017,"passenger",1
205,"male","17-25",2018,"driver",1
205,"male","17-25",2019,"driver",3
205,"male","17-25",2019,"other",1
205,"male","17-25",2019,"passenger",1
205,"male","17-25",2020,"driver",2
205,"male","17-25",2020,"passenger",1
205,"male","17-25",2021,"driver",3
205,"male","17-25",2021,"passenger",1
205,"male","17-25",2022,"driver",3
205,"male","17-25",2022,"passenger",2
206,"female","17-25",2015,"other",1
206,"female","17-25",2020,"other",1
206,"female","17-25",2021,"other",1
206,"male","17-25",2018,"driver",2
206,"male","17-25",2018,"passenger",1
206,"male","17-25",2019,"other",1
206,"male","17-25",2020,"driver",1
206,"male","17-25",2020,"other",1
207,"female","17-25",2020,"other",1
207,"male","17-25",2021,"passenger",1
208,"female","17-25",2018,"driver",1
208,"male","17-25",2015,"other",1
208,"male","17-25",2017,"driver",1
208,"male","17-25",2017,"other",1
209,"female","17-25",2021,"driver",1
209,"male","17-25",2015,"other",1
209,"male","17-25",2017,"other",1
209,"male","17-25",2017,"passenger",1
209,"male","17-25",2018,"driver",1
209,"male","17-25",2020,"driver",1
209,"male","17-25",2020,"other",2
209,"male","17-25",2021,"driver",1
209,"male","17-25",2021,"passenger",1
209,"male","17-25",2022,"driver",2
209,"male","17-25",2022,"other",1
210,"female","17-25",2018,"driver",1
210,"female","17-25",2019,"other",1
210,"female","17-25",2021,"other",1
210,"female","17-25",2021,"passenger",1
210,"male","17-25",2015,"driver",2
210,"male","17-25",2017,"driver",1
210,"male","17-25",2018,"driver",1
210,"male","17-25",2018,"other",2
210,"male","17-25",2018,"passenger",1
210,"male","17-25",2019,"driver",3
210,"male","17-25",2019,"passenger",1
210,"male","17-25",2021,"driver",3
210,"male","17-25",2022,"other",3
211,"female","17-25",2015,"driver",1
211,"female","17-25",2019,"driver",1
211,"female","17-25",2019,"passenger",1
211,"male","17-25",2015,"passenger",1
211,"male","17-25",2017,"passenger",2
211,"male","17-25",2018,"other",1
211,"male","17-25",2020,"driver",2
211,"male","17-25",2020,"other",1
211,"male","17-25",2022,"driver",2
211,"male","17-25",2022,"other",2
212,"female","17-25",2015,"passenger",1
212,"female","17-25",2019,"other",1
212,"female","17-25",2019,"passenger",2
212,"male","17-25",2015,"driver",2
212,"male","17-25",2015,"passenger",1
212,"male","17-25",2017,"driver",1
212,"male","17-25",2017,"other",1
212,"male","17-25",2018,"driver",1
212,"male","17-25",2018,"other",3
212,"male","17-25",2019,"driver",3
212,"male","17-25",2019,"other",2
212,"male","17-25",2019,"passenger",1
212,"male","17-25",2020,"other",1
212,"male","17-25",2021,"driver",3
212,"male","17-25",2021,"other",3
212,"male","17-25",2022,"other",2
213,"female","17-25",2015,"passenger",1
213,"female","17-25",2017,"driver",1
213,"female","17-25",2022,"other",1
213,"male","17-25",2015,"driver",4
213,"male","17-25",2015,"other",1
213,"male","17-25",2017,"driver",1
213,"male","17-25",2017,"other",1
213,"male","17-25",2017,"passenger",1
213,"male","17-25",2018,"other",1
213,"male","17-25",2019,"other",2
213,"male","17-25",2020,"driver",1
213,"male","17-25",2021,"driver",1
213,"male","17-25",2021,"passenger",1
213,"male","17-25",2022,"other",2
213,"male","17-25",2022,"passenger",1
214,"female","17-25",2015,"driver",2
214,"female","17-25",2018,"passenger",1
214,"female","17-25",2019,"passenger",1
214,"female","17-25",2020,"passenger",1
214,"male","17-25",2015,"other",1
214,"male","17-25",2017,"driver",1
214,"male","17-25",2017,"passenger",1
214,"male","17-25",2018,"driver",1
214,"male","17-25",2018,"other",1
214,"male","17-25",2019,"driver",1
214,"male","17-25",2019,"passenger",2
214,"male","17-25",2020,"other",1
214,"male","17-25",2021,"driver",2
215,"female","17-25",2015,"driver",1
215,"female","17-25",2018,"passenger",1
215,"female","17-25",2020,"passenger",1
215,"female","17-25",2022,"driver",2
215,"male","17-25",2015,"driver",1
215,"male","17-25",2015,"passenger",1
215,"male","17-25",2017,"driver",2
215,"male","17-25",2017,"other",2
215,"male","17-25",2018,"passenger",1
215,"male","17-25",2019,"driver",1
215,"male","17-25",2019,"other",1
215,"male","17-25",2019,"passenger",2
215,"male","17-25",2020,"driver",4
215,"male","17-25",2020,"other",2
215,"male","17-25",2021,"driver",1
215,"male","17-25",2021,"other",1
215,"male","17-25",2022,"driver",1
216,"female","17-25",2019,"passenger",1
216,"female","17-25",2022,"driver",2
216,"female","17-25",2022,"passenger",2
216,"male","17-25",2015,"driver",1
216,"male","17-25",2015,"other",1
216,"male","17-25",2015,"passenger",1
216,"male","17-25",2017,"driver",4
216,"male","17-25",2019,"other",2
216,"male","17-25",2020,"driver",3
216,"male","17-25",2020,"passenger",2
216,"male","17-25",2021,"driver",1
217,"female","17-25",2017,"driver",1
217,"female","17-25",2020,"driver",1
217,"female","17-25",2021,"driver",2
217,"female","17-25",2021,"passenger",1
217,"male","17-25",2015,"other",1
217,"male","17-25",2015,"passenger",2
217,"male","17-25",2018,"driver",2
217,"male","17-25",2019,"other",2
217,"male","17-25",2022,"driver",2
217,"male","17-25",2022,"other",1
217,"male","17-25",2022,"passenger",2
301,"male","17-25",2018,"driver",1
301,"male","17-25",2018,"passenger",1
301,"male","17-25",2020,"other",1
301,"male","17-25",2021,"driver",1
301,"male","17-25",2022,"driver",1
302,"male","17-25",2018,"other",1
302,"male","17-25",2019,"driver",1
302,"male","17-25",2022,"other",1
303,"female","17-25",2018,"passenger",1
303,"female","17-25",2021,"driver",1
303,"male","17-25",2018,"driver",1
303,"male","17-25",2019,"other",1
303,"male","17-25",2020,"passenger",1
303,"male","17-25",2021,"other",2
303,"male","17-25",2022,"other",1
304,"male","17-25",2022,"passenger",1
305,"male","17-25",2019,"driver",1
305,"male","17-25",2020,"other",1
306,"female","17-25",2018,"driver",1
306,"female","17-25",2019,"passenger",1
306,"female","17-25",2021,"passenger",1
306,"male","17-25",2018,"driver",1
306,"male","17-25",2018,"other",1
306,"male","17-25",2019,"driver",3
306,"male","17-25",2019,"other",2
306,"male","17-25",2019,"passenger",2
306,"male","17-25",2020,"driver",3
306,"male","17-25",2020,"other",2
306,"male","17-25",2021,"driver",1
306,"male","17-25",2021,"other",2
306,"male","17-25",2022,"driver",7
306,"male","17-25",2022,"other",1
307,"female","17-25",2018,"passenger",1
307,"female","17-25",2019,"passenger",2
307,"female","17-25",2021,"driver",1
307,"female","17-25",2021,"passenger",1
307,"female","17-25",2022,"driver",4
307,"female","17-25",2022,"passenger",1
307,"male","17-25",2018,"driver",3
307,"male","17-25",2018,"other",1
307,"male","17-25",2018,"passenger",1
307,"male","17-25",2019,"driver",7
307,"male","17-25",2020,"driver",3
307,"male","17-25",2021,"driver",2
307,"male","17-25",2021,"other",1
307,"male","17-25",2022,"driver",1
307,"male","17-25",2022,"other",1
308,"female","17-25",2020,"driver",2
308,"female","17-25",2020,"passenger",2
308,"female","17-25",2022,"passenger",1
308,"male","17-25",2018,"driver",3
308,"male","17-25",2018,"other",1
308,"male","17-25",2019,"driver",4
308,"male","17-25",2019,"passenger",1
308,"male","17-25",2020,"driver",1
308,"male","17-25",2021,"driver",1
308,"male","17-25",2021,"other",1
308,"male","17-25",2022,"driver",1
308,"male","17-25",2022,"passenger",1
309,"female","17-25",2018,"driver",1
309,"female","17-25",2020,"driver",1
309,"female","17-25",2020,"passenger",2
309,"male","17-25",2018,"driver",3
309,"male","17-25",2018,"other",1
309,"male","17-25",2019,"driver",1
309,"male","17-25",2019,"other",1
309,"male","17-25",2020,"driver",1
309,"male","17-25",2020,"passenger",2
309,"male","17-25",2021,"other",4
309,"male","17-25",2022,"driver",2
310,"female","17-25",2018,"driver",1
310,"male","17-25",2018,"other",1
310,"male","17-25",2019,"driver",3
310,"male","17-25",2021,"driver",1
310,"male","17-25",2021,"passenger",1
310,"male","17-25",2022,"driver",2
310,"male","17-25",2022,"other",1
311,"female","17-25",2020,"passenger",1
311,"female","17-25",2022,"driver",1
311,"male","17-25",2018,"other",1
311,"male","17-25",2019,"driver",2
311,"male","17-25",2020,"driver",2
311,"male","17-25",2020,"other",1
311,"male","17-25",2021,"driver",3
311,"male","17-25",2021,"other",1
311,"male","17-25",2022,"passenger",1
312,"female","17-25",2022,"driver",1
312,"female","17-25",2022,"other",1
312,"male","17-25",2018,"driver",2
312,"male","17-25",2019,"driver",1
312,"male","17-25",2020,"driver",1
312,"male","17-25",2021,"driver",1
312,"male","17-25",2021,"passenger",2
312,"male","17-25",2022,"driver",1
312,"male","17-25",2022,"other",3
313,"male","17-25",2018,"driver",1
313,"male","17-25",2018,"other",1
313,"male","17-25",2019,"driver",1
313,"male","17-25",2019,"other",1
313,"male","17-25",2020,"driver",1
313,"male","17-25",2021,"driver",3
313,"male","17-25",2021,"other",1
313,"male","17-25",2021,"passenger",3
313,"male","17-25",2022,"other",1
313,"male","17-25",2022,"passenger",1
314,"female","17-25",2020,"driver",1
314,"female","17-25",2020,"passenger",1
314,"female","17-25",2022,"driver",1
314,"male","17-25",2018,"driver",1
314,"male","17-25",2018,"passenger",1
314,"male","17-25",2019,"driver",2
314,"male","17-25",2019,"other",2
315,"female","17-25",2019,"passenger",1
315,"female","17-25",2020,"passenger",1
315,"female","17-25",2021,"driver",1
