"SA4_CODE21","calendar_year","sex","age_group","n_births"
"205",2014,"all","0-0",3042
"215",2014,"all","0-0",1712
"216",2014,"all","0-0",1626
"217",2014,"all","0-0",1267
"301",2014,"all","0-0",2601
"302",2014,"all","0-0",2856
"303",2014,"all","0-0",4970
"304",2014,"all","0-0",1934
"305",2014,"all","0-0",2863
"310",2014,"all","0-0",5152
"311",2014,"all","0-0",4925
"313",2014,"all","0-0",2919
"314",2014,"all","0-0",2709
"306",2014,"all","0-0",3390
"307",2014,"all","0-0",1762
"308",2014,"all","0-0",3535
"309",2014,"all","0-0",7074
"312",2014,"all","0-0",2533
"315",2014,"all","0-0",1653
"316",2014,"all","0-0",3529
"317",2014,"all","0-0",1980
"318",2014,"all","0-0",3394
"319",2014,"all","0-0",3155
"401",2014,"all","0-0",2888
"402",2014,"all","0-0",6172
"403",2014,"all","0-0",4248
"404",2014,"all","0-0",2774
"405",2014,"all","0-0",1143
"406",2014,"all","0-0",1205
"407",2014,"all","0-0",1949
"502",2014,"all","0-0",1216
"503",2014,"all","0-0",1879
"504",2014,"all","0-0",3633
"505",2014,"all","0-0",7702
"506",2014,"all","0-0",7381
"507",2014,"all","0-0",5601
"501",2014,"all","0-0",2272
"509",2014,"all","0-0",1716
"510",2014,"all","0-0",1794
"511",2014,"all","0-0",1881
"601",2014,"all","0-0",2742
"602",2014,"all","0-0",1563
"603",2014,"all","0-0",378
"604",2014,"all","0-0",1223
"701",2014,"all","0-0",2328
"702",2014,"all","0-0",1695
"801",2014,"all","0-0",5550
"102",2015,"all","0-0",3818
"115",2015,"all","0-0",2445
"116",2015,"all","0-0",5643
"117",2015,"all","0-0",3797
"118",2015,"all","0-0",3806
"119",2015,"all","0-0",8626
"120",2015,"all","0-0",4216
"121",2015,"all","0-0",4842
"122",2015,"all","0-0",3308
"123",2015,"all","0-0",3918
"124",2015,"all","0-0",4308
"125",2015,"all","0-0",7868
"126",2015,"all","0-0",2113
"127",2015,"all","0-0",5833
"128",2015,"all","0-0",2729
"101",2015,"all","0-0",2391
"103",2015,"all","0-0",2740
"104",2015,"all","0-0",1397
"105",2015,"all","0-0",1665
"106",2015,"all","0-0",3426
"107",2015,"all","0-0",3550
"108",2015,"all","0-0",2064
"109",2015,"all","0-0",1395
"110",2015,"all","0-0",2373
"111",2015,"all","0-0",4318
"112",2015,"all","0-0",2484
"113",2015,"all","0-0",2032
"114",2015,"all","0-0",1372
"206",2015,"all","0-0",6727
"207",2015,"all","0-0",3397
"208",2015,"all","0-0",4510
"209",2015,"all","0-0",6699
"210",2015,"all","0-0",5110
"211",2015,"all","0-0",5871
"212",2015,"all","0-0",10250
"213",2015,"all","0-0",11671
"214",2015,"all","0-0",3283
"201",2015,"all","0-0",1780
"202",2015,"all","0-0",1600
"203",2015,"all","0-0",3286
"204",2015,"all","0-0",1769
"205",2015,"all","0-0",2867
"215",2015,"all","0-0",1736
"216",2015,"all","0-0",1519
"217",2015,"all","0-0",1317
"301",2015,"all","0-0",2664
"302",2015,"all","0-0",2863
"303",2015,"all","0-0",4645
"304",2015,"all","0-0",1975
"305",2015,"all","0-0",2851
"310",2015,"all","0-0",5154
"311",2015,"all","0-0",4914
"313",2015,"all","0-0",2747
"314",2015,"all","0-0",2679
"306",2015,"all","0-0",3334
"307",2015,"all","0-0",1693
"308",2015,"all","0-0",3403
"309",2015,"all","0-0",6936
"312",2015,"all","0-0",2411
"315",2015,"all","0-0",1595
"316",2015,"all","0-0",3435
"317",2015,"all","0-0",1918
"318",2015,"all","0-0",3349
"319",2015,"all","0-0",3047
"401",2015,"all","0-0",2849
"402",2015,"all","0-0",5947
"403",2015,"all","0-0",4097
"404",2015,"all","0-0",2617
"405",2015,"all","0-0",1085
"406",2015,"all","0-0",1120
"407",2015,"all","0-0",1865
"502",2015,"all","0-0",1141
"503",2015,"all","0-0",1779
"504",2015,"all","0-0",3534
"505",2015,"all","0-0",7745
"506",2015,"all","0-0",7277
"507",2015,"all","0-0",5668
"501",2015,"all","0-0",2286
"509",2015,"all","0-0",1635
"510",2015,"all","0-0",1807
"511",2015,"all","0-0",1876
"601",2015,"all","0-0",2608
"602",2015,"all","0-0",1532
"603",2015,"all","0-0",358
"604",2015,"all","0-0",1172
"701",2015,"all","0-0",2383
"702",2015,"all","0-0",1621
"801",2015,"all","0-0",5537
"102",2016,"all","0-0",3472
"115",2016,"all","0-0",2261
"116",2016,"all","0-0",5547
"117",2016,"all","0-0",3816
"118",2016,"all","0-0",3673
"119",2016,"all","0-0",8455
"120",2016,"all","0-0",3941
"121",2016,"all","0-0",5009
"122",2016,"all","0-0",3173
"123",2016,"all","0-0",3687
"124",2016,"all","0-0",4184
"125",2016,"all","0-0",7641
"126",2016,"all","0-0",2152
"127",2016,"all","0-0",5781
"128",2016,"all","0-0",2598
"101",2016,"all","0-0",2185
"103",2016,"all","0-0",2460
"104",2016,"all","0-0",1374
"105",2016,"all","0-0",1612
"106",2016,"all","0-0",3143
"107",2016,"all","0-0",3388
"108",2016,"all","0-0",1843
"109",2016,"all","0-0",1423
"110",2016,"all","0-0",2133
"111",2016,"all","0-0",4210
"112",2016,"all","0-0",2354
"113",2016,"all","0-0",1883
"114",2016,"all","0-0",1338
"206",2016,"all","0-0",7509
"207",2016,"all","0-0",3680
"208",2016,"all","0-0",5031
"209",2016,"all","0-0",7855
"210",2016,"all","0-0",5987
"211",2016,"all","0-0",6433
"212",2016,"all","0-0",11829
"213",2016,"all","0-0",13213
"214",2016,"all","0-0",3610
"201",2016,"all","0-0",1899
"202",2016,"all","0-0",1860
"203",2016,"all","0-0",3556
"204",2016,"all","0-0",1860
"205",2016,"all","0-0",3262
"215",2016,"all","0-0",1889
"216",2016,"all","0-0",1739
"217",2016,"all","0-0",1483
"301",2016,"all","0-0",2619
"302",2016,"all","0-0",2946
"303",2016,"all","0-0",4956
"304",2016,"all","0-0",2009
"305",2016,"all","0-0",2849
"310",2016,"all","0-0",5102
"311",2016,"all","0-0",4996
"313",2016,"all","0-0",2887
"314",2016,"all","0-0",2907
"306",2016,"all","0-0",3127
"307",2016,"all","0-0",1650
"308",2016,"all","0-0",3285
"309",2016,"all","0-0",7003
"312",2016,"all","0-0",2430
"315",2016,"all","0-0",1423
"316",2016,"all","0-0",3546
"317",2016,"all","0-0",2004
"318",2016,"all","0-0",3125
"319",2016,"all","0-0",2860
"401",2016,"all","0-0",2829
"402",2016,"all","0-0",6132
"403",2016,"all","0-0",4062
"404",2016,"all","0-0",2656
"405",2016,"all","0-0",1146
"406",2016,"all","0-0",1116
"407",2016,"all","0-0",1824
"502",2016,"all","0-0",1158
"503",2016,"all","0-0",1777
"504",2016,"all","0-0",3735
"505",2016,"all","0-0",7917
"506",2016,"all","0-0",7442
"507",2016,"all","0-0",5799
"501",2016,"all","0-0",2228
"509",2016,"all","0-0",1534
"510",2016,"all","0-0",1642
"511",2016,"all","0-0",1848
"601",2016,"all","0-0",2768
"602",2016,"all","0-0",1646
"603",2016,"all","0-0",360
"604",2016,"all","0-0",1175
"701",2016,"all","0-0",2324
"702",2016,"all","0-0",1601
"801",2016,"all","0-0",5148
"102",2017,"all","0-0",3661
"115",2017,"all","0-0",2273
"116",2017,"all","0-0",5518
"117",2017,"all","0-0",3667
"118",2017,"all","0-0",3556
"119",2017,"all","0-0",8528
"120",2017,"all","0-0",3985
"121",2017,"all","0-0",4758
"122",2017,"all","0-0",3049
"123",2017,"all","0-0",3859
"124",2017,"all","0-0",4170
"125",2017,"all","0-0",7776
"126",2017,"all","0-0",2047
"127",2017,"all","0-0",5946
"128",2017,"all","0-0",2495
"101",2017,"all","0-0",2450
"103",2017,"all","0-0",2472
"104",2017,"all","0-0",1420
"105",2017,"all","0-0",1621
"106",2017,"all","0-0",3134
"107",2017,"all","0-0",3331
"108",2017,"all","0-0",1982
"109",2017,"all","0-0",1447
"110",2017,"all","0-0",2233
"111",2017,"all","0-0",4090
"112",2017,"all","0-0",2432
"113",2017,"all","0-0",2022
"114",2017,"all","0-0",1373
"206",2017,"all","0-0",7327
"207",2017,"all","0-0",3504
"208",2017,"all","0-0",4851
"209",2017,"all","0-0",7657
"210",2017,"all","0-0",6133
"211",2017,"all","0-0",6297
"212",2017,"all","0-0",11890
"213",2017,"all","0-0",13143
"214",2017,"all","0-0",3741
"201",2017,"all","0-0",1935
"202",2017,"all","0-0",1863
"203",2017,"all","0-0",3560
"204",2017,"all","0-0",1901
"205",2017,"all","0-0",3197
"215",2017,"all","0-0",1906
"216",2017,"all","0-0",1644
"217",2017,"all","0-0",1281
"301",2017,"all","0-0",2619
"302",2017,"all","0-0",2946
"303",2017,"all","0-0",4742
"304",2017,"all","0-0",1782
"305",2017,"all","0-0",2852
"310",2017,"all","0-0",5166
"311",2017,"all","0-0",5107
"313",2017,"all","0-0",2768
"314",2017,"all","0-0",2810
"306",2017,"all","0-0",3393
"307",2017,"all","0-0",1508
"308",2017,"all","0-0",3024
"309",2017,"all","0-0",7069
"312",2017,"all","0-0",2214
"315",2017,"all","0-0",1495
"316",2017,"all","0-0",3579
"317",2017,"all","0-0",1980
"318",2017,"all","0-0",3043
"319",2017,"all","0-0",2972
"401",2017,"all","0-0",2751
"402",2017,"all","0-0",5881
"403",2017,"all","0-0",3813
"404",2017,"all","0-0",2729
"405",2017,"all","0-0",1100
"406",2017,"all","0-0",1065
"407",2017,"all","0-0",1727
"502",2017,"all","0-0",1185
"503",2017,"all","0-0",1746
"504",2017,"all","0-0",3798
"505",2017,"all","0-0",7484
"506",2017,"all","0-0",7244
"507",2017,"all","0-0",5794
"501",2017,"all","0-0",2049
"509",2017,"all","0-0",1565
"510",2017,"all","0-0",1653
"511",2017,"all","0-0",1665
"601",2017,"all","0-0",2564
"602",2017,"all","0-0",1493
"603",2017,"all","0-0",371
"604",2017,"all","0-0",1177
"701",2017,"all","0-0",2323
"702",2017,"all","0-0",1558
"801",2017,"all","0-0",6202
"102",2018,"all","0-0",4258
"115",2018,"all","0-0",2570
"116",2018,"all","0-0",6468
"117",2018,"all","0-0",4102
"118",2018,"all","0-0",3751
"119",2018,"all","0-0",9079
"120",2018,"all","0-0",4099
"121",2018,"all","0-0",5072
"122",2018,"all","0-0",3248
"123",2018,"all","0-0",4707
"124",2018,"all","0-0",4715
"125",2018,"all","0-0",8326
"126",2018,"all","0-0",2235
"127",2018,"all","0-0",6989
"128",2018,"all","0-0",2895
"101",2018,"all","0-0",2625
"103",2018,"all","0-0",2808
"104",2018,"all","0-0",1556
"105",2018,"all","0-0",1825
"106",2018,"all","0-0",3692
"107",2018,"all","0-0",3885
"108",2018,"all","0-0",2151
"109",2018,"all","0-0",1465
"110",2018,"all","0-0",2486
"111",2018,"all","0-0",4528
"112",2018,"all","0-0",2770
"113",2018,"all","0-0",2304
"114",2018,"all","0-0",1661
"206",2018,"all","0-0",6953
"207",2018,"all","0-0",3170
"208",2018,"all","0-0",4440
"209",2018,"all","0-0",7276
"210",2018,"all","0-0",6107
"211",2018,"all","0-0",5962
"212",2018,"all","0-0",11277
"213",2018,"all","0-0",12831
"214",2018,"all","0-0",3342
"201",2018,"all","0-0",1786
"202",2018,"all","0-0",1791
"203",2018,"all","0-0",3519
"204",2018,"all","0-0",1831
"205",2018,"all","0-0",3093
"215",2018,"all","0-0",1845
"216",2018,"all","0-0",1649
"217",2018,"all","0-0",1348
"301",2018,"all","0-0",2656
"302",2018,"all","0-0",2960
"303",2018,"all","0-0",4684
"304",2018,"all","0-0",1843
"305",2018,"all","0-0",2923
"310",2018,"all","0-0",5480
"311",2018,"all","0-0",5290
"313",2018,"all","0-0",2845
"314",2018,"all","0-0",2897
"306",2018,"all","0-0",3108
"307",2018,"all","0-0",1677
"308",2018,"all","0-0",3050
"309",2018,"all","0-0",7170
"312",2018,"all","0-0",2313
"315",2018,"all","0-0",1350
"316",2018,"all","0-0",3627
"317",2018,"all","0-0",1989
"318",2018,"all","0-0",3015
"319",2018,"all","0-0",2945
"401",2018,"all","0-0",2731
"402",2018,"all","0-0",5788
"403",2018,"all","0-0",3849
"404",2018,"all","0-0",2614
"405",2018,"all","0-0",1052
"406",2018,"all","0-0",1139
"407",2018,"all","0-0",1932
"502",2018,"all","0-0",1145
"503",2018,"all","0-0",1726
"504",2018,"all","0-0",3517
"505",2018,"all","0-0",7416
"506",2018,"all","0-0",7026
"507",2018,"all","0-0",5572
"501",2018,"all","0-0",2035
"509",2018,"all","0-0",1341
"510",2018,"all","0-0",1629
"511",2018,"all","0-0",1552
"601",2018,"all","0-0",2535
"602",2018,"all","0-0",1516
"603",2018,"all","0-0",372
"604",2018,"all","0-0",1117
"701",2018,"all","0-0",2188
"702",2018,"all","0-0",1858
"801",2018,"all","0-0",5368
"102",2019,"all","0-0",3821
"115",2019,"all","0-0",2427
"116",2019,"all","0-0",5985
"117",2019,"all","0-0",3688
"118",2019,"all","0-0",3368
"119",2019,"all","0-0",8373
"120",2019,"all","0-0",3671
"121",2019,"all","0-0",4527
"122",2019,"all","0-0",2892
"123",2019,"all","0-0",4354
"124",2019,"all","0-0",4580
"125",2019,"all","0-0",7692
"126",2019,"all","0-0",2181
"127",2019,"all","0-0",6501
"128",2019,"all","0-0",2597
"101",2019,"all","0-0",2493
"103",2019,"all","0-0",2528
"104",2019,"all","0-0",1443
"105",2019,"all","0-0",1656
"106",2019,"all","0-0",3435
"107",2019,"all","0-0",3507
"108",2019,"all","0-0",2077
"109",2019,"all","0-0",1422
"110",2019,"all","0-0",2358
"111",2019,"all","0-0",4307
"112",2019,"all","0-0",2572
"113",2019,"all","0-0",2130
"114",2019,"all","0-0",1565
"206",2019,"all","0-0",6731
"207",2019,"all","0-0",3280
"208",2019,"all","0-0",4439
"209",2019,"all","0-0",7009
"210",2019,"all","0-0",6092
"211",2019,"all","0-0",5785
"212",2019,"all","0-0",11364
"213",2019,"all","0-0",12867
"214",2019,"all","0-0",3197
"201",2019,"all","0-0",1799
"202",2019,"all","0-0",1750
"203",2019,"all","0-0",3454
"204",2019,"all","0-0",1784
"205",2019,"all","0-0",2915
"215",2019,"all","0-0",1701
"216",2019,"all","0-0",1501
"217",2019,"all","0-0",1251
"301",2019,"all","0-0",2599
"302",2019,"all","0-0",2976
"303",2019,"all","0-0",4748
"304",2019,"all","0-0",1767
"305",2019,"all","0-0",2875
"310",2019,"all","0-0",5507
"311",2019,"all","0-0",5395
"313",2019,"all","0-0",2874
"314",2019,"all","0-0",2905
"306",2019,"all","0-0",3069
"307",2019,"all","0-0",1655
"308",2019,"all","0-0",2985
"309",2019,"all","0-0",7036
"312",2019,"all","0-0",2320
"315",2019,"all","0-0",1356
"316",2019,"all","0-0",3691
"317",2019,"all","0-0",2063
"318",2019,"all","0-0",2946
"319",2019,"all","0-0",2884
"401",2019,"all","0-0",2780
"402",2019,"all","0-0",6128
"403",2019,"all","0-0",4024
"404",2019,"all","0-0",2653
"405",2019,"all","0-0",1038
"406",2019,"all","0-0",1057
"407",2019,"all","0-0",1800
"502",2019,"all","0-0",1115
"503",2019,"all","0-0",1714
"504",2019,"all","0-0",3764
"505",2019,"all","0-0",7452
"506",2019,"all","0-0",7029
"507",2019,"all","0-0",5580
"501",2019,"all","0-0",2006
"509",2019,"all","0-0",1400
"510",2019,"all","0-0",1600
"511",2019,"all","0-0",1615
"601",2019,"all","0-0",2717
"602",2019,"all","0-0",1506
"603",2019,"all","0-0",354
"604",2019,"all","0-0",1158
"701",2019,"all","0-0",2141
"702",2019,"all","0-0",1511
"801",2019,"all","0-0",5505
"102",2020,"all","0-0",3756
"115",2020,"all","0-0",2288
"116",2020,"all","0-0",6053
"117",2020,"all","0-0",3491
"118",2020,"all","0-0",3103
"119",2020,"all","0-0",7799
"120",2020,"all","0-0",3467
"121",2020,"all","0-0",4317
"122",2020,"all","0-0",2825
"123",2020,"all","0-0",4328
"124",2020,"all","0-0",4442
"125",2020,"all","0-0",7226
"126",2020,"all","0-0",2076
"127",2020,"all","0-0",6359
"128",2020,"all","0-0",2449
"101",2020,"all","0-0",2497
"103",2020,"all","0-0",2507
"104",2020,"all","0-0",1395
"105",2020,"all","0-0",1645
"106",2020,"all","0-0",3387
"107",2020,"all","0-0",3487
"108",2020,"all","0-0",2157
"109",2020,"all","0-0",1317
"110",2020,"all","0-0",2283
"111",2020,"all","0-0",4141
"112",2020,"all","0-0",2429
"113",2020,"all","0-0",2116
"114",2020,"all","0-0",1557
"206",2020,"all","0-0",6176
"207",2020,"all","0-0",2913
"208",2020,"all","0-0",4113
"209",2020,"all","0-0",6644
"210",2020,"all","0-0",5748
"211",2020,"all","0-0",5374
"212",2020,"all","0-0",10846
"213",2020,"all","0-0",12249
"214",2020,"all","0-0",3143
"201",2020,"all","0-0",1710
"202",2020,"all","0-0",1689
"203",2020,"all","0-0",3598
"204",2020,"all","0-0",1708
"205",2020,"all","0-0",2921
"215",2020,"all","0-0",1731
"216",2020,"all","0-0",1508
"217",2020,"all","0-0",1279
"301",2020,"all","0-0",2537
"302",2020,"all","0-0",2796
"303",2020,"all","0-0",4469
"304",2020,"all","0-0",1813
"305",2020,"all","0-0",2839
"310",2020,"all","0-0",5299
"311",2020,"all","0-0",5282
"313",2020,"all","0-0",2751
"314",2020,"all","0-0",2727
"306",2020,"all","0-0",3005
"307",2020,"all","0-0",1582
"308",2020,"all","0-0",2899
"309",2020,"all","0-0",6883
"312",2020,"all","0-0",2324
"315",2020,"all","0-0",1185
"316",2020,"all","0-0",3568
"317",2020,"all","0-0",1961
"318",2020,"all","0-0",2730
"319",2020,"all","0-0",2761
"401",2020,"all","0-0",2708
"402",2020,"all","0-0",5770
"403",2020,"all","0-0",3631
"404",2020,"all","0-0",2679
"405",2020,"all","0-0",1018
"406",2020,"all","0-0",958
"407",2020,"all","0-0",1750
"502",2020,"all","0-0",1060
"503",2020,"all","0-0",1705
"504",2020,"all","0-0",3536
"505",2020,"all","0-0",7152
"506",2020,"all","0-0",6747
"507",2020,"all","0-0",5420
"501",2020,"all","0-0",1904
"509",2020,"all","0-0",1422
"510",2020,"all","0-0",1599
"511",2020,"all","0-0",1570
"601",2020,"all","0-0",2734
"602",2020,"all","0-0",1499
"603",2020,"all","0-0",344
"604",2020,"all","0-0",1192
"701",2020,"all","0-0",2164
"702",2020,"all","0-0",1587
"801",2020,"all","0-0",5365
"102",2021,"all","0-0",4068
"115",2021,"all","0-0",2625
"116",2021,"all","0-0",6136
"117",2021,"all","0-0",3996
"118",2021,"all","0-0",3516
"119",2021,"all","0-0",7959
"120",2021,"all","0-0",3764
"121",2021,"all","0-0",4439
"122",2021,"all","0-0",3183
"123",2021,"all","0-0",4519
"124",2021,"all","0-0",4713
"125",2021,"all","0-0",7367
"126",2021,"all","0-0",2236
"127",2021,"all","0-0",6604
"128",2021,"all","0-0",2803
"101",2021,"all","0-0",2576
"103",2021,"all","0-0",2774
"104",2021,"all","0-0",1499
"105",2021,"all","0-0",1708
"106",2021,"all","0-0",3624
"107",2021,"all","0-0",3801
"108",2021,"all","0-0",2155
"109",2021,"all","0-0",1359
"110",2021,"all","0-0",2350
"111",2021,"all","0-0",4529
"112",2021,"all","0-0",2655
"113",2021,"all","0-0",2253
"114",2021,"all","0-0",1737
"206",2021,"all","0-0",6212
"207",2021,"all","0-0",2836
"208",2021,"all","0-0",4300
"209",2021,"all","0-0",6754
"210",2021,"all","0-0",6184
"211",2021,"all","0-0",5555
"212",2021,"all","0-0",11037
"213",2021,"all","0-0",12211
"214",2021,"all","0-0",3200
"201",2021,"all","0-0",1898
"202",2021,"all","0-0",1810
"203",2021,"all","0-0",3825
"204",2021,"all","0-0",1859
"205",2021,"all","0-0",3088
"215",2021,"all","0-0",1729
"216",2021,"all","0-0",1506
"217",2021,"all","0-0",1239
"301",2021,"all","0-0",2772
"302",2021,"all","0-0",3051
"303",2021,"all","0-0",4726
"304",2021,"all","0-0",1813
"305",2021,"all","0-0",2858
"310",2021,"all","0-0",5615
"311",2021,"all","0-0",5667
"313",2021,"all","0-0",3034
"314",2021,"all","0-0",2950
"306",2021,"all","0-0",3078
"307",2021,"all","0-0",1669
"308",2021,"all","0-0",3097
"309",2021,"all","0-0",7635
"312",2021,"all","0-0",2322
"315",2021,"all","0-0",1304
"316",2021,"all","0-0",4061
"317",2021,"all","0-0",2148
"318",2021,"all","0-0",3102
"319",2021,"all","0-0",3118
"401",2021,"all","0-0",2873
"402",2021,"all","0-0",5955
"403",2021,"all","0-0",4125
"404",2021,"all","0-0",2870
"405",2021,"all","0-0",1124
"406",2021,"all","0-0",938
"407",2021,"all","0-0",1861
"502",2021,"all","0-0",1166
"503",2021,"all","0-0",1774
"504",2021,"all","0-0",3820
"505",2021,"all","0-0",7541
"506",2021,"all","0-0",7012
"507",2021,"all","0-0",5730
"501",2021,"all","0-0",2127
"509",2021,"all","0-0",1464
"510",2021,"all","0-0",1603
"511",2021,"all","0-0",1553
"601",2021,"all","0-0",2839
"602",2021,"all","0-0",1565
"603",2021,"all","0-0",391
"604",2021,"all","0-0",1232
"701",2021,"all","0-0",2307
"702",2021,"all","0-0",1475
"801",2021,"all","0-0",5541
