"SA2_NAME","3_yr_olds_preschool_attendance_2014","4_yr_olds_preschool_attendance_2014","5_yr_olds_preschool_attendance_2014","3_yr_olds_preschool_attendance_2015","4_yr_olds_preschool_attendance_2015","5_yr_olds_preschool_attendanc_2015","6_yr_olds_preschool_attendance_2015","3_yr_olds_preschool_attendance_2016","4_yr_olds_preschool_attendance_2016","5_yr_olds_preschool_attendance_2016","6_yr_olds_preschool_attendance_2016","3_yr_olds_preschool_attendance_2017","4_yr_olds_preschool_attendance_2017","5_yr_olds_preschool_attendance_2017","6_yr_olds_preschool_attendance_2017","3_yr_olds_preschool_attendance_2018","4_yr_olds_preschool_attendance_2018","5_yr_olds_preschool_attendance_2018","6_yr_olds_preschool_attendance_2018","3_yr_olds_preschool_attendance_2019","4_yr_olds_preschool_attendance_2019","5_yr_olds_preschool_attendance_2019","6_yr_olds_preschool_attendance_2019","3_yr_olds_preschool_attendance_2020","4_yr_olds_preschool_attendance_2020","5_yr_olds_preschool_attendance_2020","6_yr_olds_preschool_attendance_2020","3_yr_olds_preschool_attendance_2021","4_yr_olds_preschool_attendance_2021","5_yr_olds_preschool_attendance_2021","6_yr_olds_preschool_attendance_2021"
"Statistical area level 2 (SA2) of child",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Penrith",0,90,7,0,141,10,0,0,125,7,0,0,138,4,0,0,212,5,0,0,199,12,0,0,167,6,0,0,192,3,0
"Warragamba - Silverdale",0,50,6,0,73,4,0,0,81,3,0,0,73,5,0,0,70,0,0,0,66,5,0,0,57,4,0,0,56,7,0
"Richmond - Clarendon",0,102,6,0,131,28,0,0,135,9,0,0,147,6,0,0,142,8,0,0,153,7,0,0,157,8,0,0,158,0,0
"Windsor - Bligh Park",0,145,19,0,205,28,0,0,208,12,0,0,175,9,0,0,214,13,0,0,203,13,0,0,207,4,0,0,230,9,0
"Yarramundi - Londonderry",0,48,3,0,63,11,0,0,62,3,0,0,66,7,0,0,97,7,0,0,94,7,0,0,102,7,0,0,107,9,0
"Erskine Park",0,50,10,0,73,11,0,0,71,0,0,0,77,6,0,0,56,0,0,0,58,6,0,0,52,7,0,0,47,0,0
"St Clair",0,224,14,0,237,16,0,0,257,7,0,0,223,4,0,0,215,10,0,0,214,17,0,0,236,10,0,0,234,8,0
"St Marys - Colyton",0,273,12,0,301,31,0,0,313,18,0,0,352,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auburn",0,211,5,0,300,12,0,0,303,18,0,0,266,6,0,0,97,12,0,0,102,13,0,0,107,3,0,0,87,9,0
"Homebush Bay - Silverwater",0,107,5,0,149,3,0,0,162,10,0,0,192,5,0,0,132,4,0,0,114,16,0,0,120,6,0,0,97,5,0
"Lidcombe - Regents Park",0,195,3,0,264,9,0,0,287,9,0,0,275,10,0,0,213,11,0,0,220,24,0,0,248,10,0,0,221,11,0
"Rookwood Cemetery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,8,0,0,49,3,0,0,53,3,0,0,66,4,0
"Carlingford",0,238,14,0,279,17,0,0,306,17,0,0,340,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ermington - Rydalmere",0,187,11,0,250,23,0,0,260,8,0,0,289,12,0,0,193,11,0,0,194,18,0,0,192,9,0,0,184,13,0
"Oatlands - Dundas Valley",0,140,14,0,193,15,0,0,202,13,0,0,167,13,0,0,399,13,0,0,411,12,0,0,489,18,0,0,446,15,0
"Chester Hill - Sefton",0,112,3,0,196,8,0,0,167,4,0,0,196,9,0,0,158,0,0,0,152,5,0,0,157,9,0,0,156,8,0
"Fairfield - East",0,97,7,0,152,3,0,0,150,6,0,0,140,4,0,0,254,8,0,0,263,12,0,0,253,11,0,0,278,13,0
"Granville - Clyde",0,145,8,0,254,8,0,0,217,6,0,0,213,7,0,0,184,10,0,0,234,9,0,0,185,19,0,0,202,6,0
"Greystanes - Pemulwuy",0,249,23,0,329,31,0,0,363,11,0,0,375,6,0,0,253,13,0,0,304,18,0,0,298,25,0,0,333,25,0
"Guildford - South Granville",0,119,7,0,244,4,0,0,256,4,0,0,225,11,0,0,107,5,0,0,140,4,0,0,176,3,0,0,137,6,0
"Guildford West - Merrylands West",0,163,7,0,173,5,0,0,228,7,0,0,210,0,0,0,128,9,0,0,131,13,0,0,156,0,0,0,161,9,0
"Merrylands - Holroyd",0,168,8,0,312,15,0,0,311,8,0,0,325,3,0,0,71,4,0,0,72,5,0,0,62,3,0,0,84,0,0
"Smithfield Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,8,0,0,139,12,0,0,136,8,0,0,163,8,0
"Yennora Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,7,0,0,183,11,0,0,187,3,0,0,191,14,0
"Girraween - Westmead",0,287,12,0,351,15,0,0,379,4,0,0,426,7,0,0,54,4,0,0,61,0,0,0,64,6,0,0,65,0,0
"North Parramatta",0,118,5,0,191,10,0,0,228,4,0,0,227,7,0,0,66,6,0,0,73,0,0,0,63,4,0,0,76,6,0
"North Rocks",0,83,9,0,87,5,0,0,107,0,0,0,109,5,0,0,226,13,0,0,254,17,0,0,203,9,0,0,242,11,0
"Northmead",0,187,14,0,259,14,0,0,278,9,0,0,354,7,0,0,154,7,0,0,137,6,0,0,156,4,0,0,141,9,0
"Parramatta - Rosehill",0,188,8,0,292,17,0,0,321,9,0,0,386,5,0,0,201,11,0,0,220,15,0,0,190,17,0,0,198,16,0
"Toongabbie - Constitution Hill",0,170,11,0,223,18,0,0,255,7,0,0,250,4,0,0,183,13,0,0,210,11,0,0,217,10,0,0,268,13,0
"Winston Hills",0,96,5,0,153,6,0,0,153,3,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epping - North Epping",0,265,17,0,270,16,0,0,300,13,0,0,342,8,0,0,144,8,0,0,147,11,0,0,146,4,0,0,170,4,0
"Pennant Hills - Cheltenham",0,222,20,0,229,19,0,0,228,9,0,0,265,11,0,0,76,0,0,0,83,5,0,0,75,3,0,0,80,0,0
"Eastwood - Denistone",0,226,19,0,258,13,0,0,270,16,0,0,287,10,0,0,84,0,0,0,106,0,0,0,63,0,0,0,88,0,0
"Gladesville - Huntleys Point",0,146,11,0,164,13,0,0,168,3,0,0,175,9,0,0,78,3,0,0,79,7,0,0,81,3,0,0,67,0,0
"Hunters Hill - Woolwich",0,108,8,0,92,7,0,0,118,0,0,0,112,4,0,0,157,6,0,0,157,4,0,0,147,9,0,0,170,8,0
"Macquarie Park - Marsfield",0,180,3,0,186,3,0,0,188,5,0,0,237,12,0,0,35,3,0,0,32,3,0,0,45,0,0,0,36,4,0
"North Ryde - East Ryde",0,136,10,0,147,11,0,0,137,3,0,0,157,7,0,0,339,16,0,0,368,24,0,0,345,9,0,0,376,9,0
"Ryde - Putney",0,270,22,0,319,18,0,0,316,10,0,0,352,16,0,0,263,11,0,0,293,20,0,0,277,16,0,0,300,10,0
"West Ryde - Meadowbank",0,148,14,0,196,13,0,0,207,4,0,0,205,6,0,0,213,9,0,0,176,8,0,0,198,9,0,0,212,11,0
"Ashcroft - Busby - Miller",0,125,8,0,213,16,0,0,219,10,0,0,232,5,0,0,210,10,0,0,183,7,0,0,226,9,0,0,197,7,0
"Badgerys Creek - Greendale",0,94,6,0,126,11,0,0,128,5,0,0,132,8,0,0,139,3,0,0,141,3,0,0,127,4,0,0,147,3,0
"Cobbitty - Leppington",0,75,16,0,141,23,0,0,233,9,0,0,300,13,0,0,224,3,0,0,196,17,0,0,220,6,0,0,209,16,0
"Green Valley - Cecil Hills",0,201,11,0,293,24,0,0,369,8,0,0,273,14,0,0,375,10,0,0,352,9,0,0,328,10,0,0,311,10,0
"Hoxton Park - Horningsea Park",0,202,11,0,258,19,0,0,301,14,0,0,342,13,0,0,217,5,0,0,242,13,0,0,217,3,0,0,236,7,0
"Bonnyrigg Heights - Bonnyrigg",0,126,7,0,156,12,0,0,141,7,0,0,180,3,0,0,221,0,0,0,239,9,0,0,208,8,0,0,257,15,0
"Bossley Park - Abbotsbury",0,141,12,0,162,8,0,0,148,5,0,0,160,0,0,0,298,14,0,0,338,8,0,0,283,8,0,0,346,10,0
"Cabramatta - Lansvale",0,191,8,0,226,11,0,0,237,3,0,0,234,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cabramatta West - Mount Pritchard",0,134,13,0,176,12,0,0,192,6,0,0,166,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canley Vale - Canley Heights",0,173,14,0,203,12,0,0,205,9,0,0,260,7,0,0,238,10,0,0,259,8,0,0,235,9,0,0,223,6,0
"Edensor Park",0,62,0,0,76,0,0,0,80,5,0,0,86,5,0,0,101,4,0,0,111,3,0,0,83,3,0,0,114,0,0
"Fairfield",0,126,3,0,147,7,0,0,135,5,0,0,161,3,0,0,320,9,0,0,307,10,0,0,276,11,0,0,253,6,0
"Fairfield - West",0,119,9,0,149,7,0,0,163,3,0,0,168,9,0,0,378,5,0,0,397,10,0,0,342,8,0,0,334,10,0
"Greenfield Park - Prairiewood",0,58,0,0,66,3,0,0,85,0,0,0,74,0,0,0,250,8,0,0,238,10,0,0,235,5,0,0,237,9,0
"Horsley Park - Kemps Creek",0,22,3,0,33,5,0,0,37,0,0,0,30,7,0,0,161,3,0,0,162,11,0,0,136,0,0,0,154,5,0
"Smithfield - Wetherill Park",0,163,12,0,162,5,0,0,181,7,0,0,178,9,0,0,187,7,0,0,191,7,0,0,153,5,0,0,182,6,0
"St Johns Park - Wakeley",0,77,3,0,103,9,0,0,129,3,0,0,119,3,0,0,221,12,0,0,262,5,0,0,221,9,0,0,232,16,0
"Wetherill Park Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,17,0,0,311,7,0,0,330,15,0,0,358,13,0
"Casula",0,123,10,0,169,7,0,0,161,7,0,0,157,8,0,0,238,10,0,0,225,14,0,0,236,12,0,0,233,11,0
"Chipping Norton - Moorebank",0,179,8,0,173,10,0,0,266,5,0,0,252,10,0,0,295,18,0,0,280,18,0,0,238,8,0,0,299,11,0
"Holsworthy - Wattle Grove",0,183,10,0,300,24,0,0,307,7,0,0,277,11,0,0,162,5,0,0,173,16,0,0,144,7,0,0,152,5,0
"Liverpool - Warwick Farm",0,215,11,0,303,18,0,0,300,6,0,0,305,16,0,0,104,0,0,0,100,8,0,0,82,6,0,0,84,5,0
"Prestons - Lurnea",0,238,9,0,383,28,0,0,337,11,0,0,395,14,0,0,219,3,0,0,181,9,0,0,212,7,0,0,202,8,0
"Caringbah - Lilli Pilli",0,260,22,0,312,24,0,0,370,10,0,0,324,10,0,0,153,8,0,0,179,11,0,0,153,9,0,0,172,5,0
"Cronulla - Kurnell - Bundeena",0,305,23,0,281,12,0,0,321,20,0,0,301,15,0,0,211,8,0,0,185,9,0,0,186,7,0,0,214,7,0
"Gymea - Grays Point",0,222,19,0,183,23,0,0,197,3,0,0,233,9,0,0,36,0,0,0,30,0,0,0,33,0,0,0,28,0,0
"Miranda - Yowie Bay",0,149,14,0,209,9,0,0,206,3,0,0,190,11,0,0,305,7,0,0,346,11,0,0,383,3,0,0,341,12,0
"Sylvania - Taren Point",0,88,3,0,144,15,0,0,182,7,0,0,164,5,0,0,210,11,0,0,219,14,0,0,218,6,0,0,205,10,0
"Engadine - Loftus",0,321,19,0,394,43,0,0,412,13,0,0,392,12,0,0,84,6,0,0,88,3,0,0,104,3,0,0,139,11,0
"Heathcote - Waterfall",0,93,3,0,88,3,0,0,80,0,0,0,90,5,0,0,439,19,0,0,515,20,0,0,676,23,0,0,768,32,0
"Illawong - Alfords Point",0,55,0,0,82,4,0,0,103,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Menai - Lucas Heights - Woronora",0,152,13,0,214,16,0,0,219,13,0,0,266,9,0,0,59,0,0,0,62,0,0,0,45,5,0,0,47,3,0
"Oyster Bay - Como - Jannali",0,258,14,0,329,24,0,0,312,11,0,0,314,8,0,0,113,0,0,0,135,8,0,0,104,7,0,0,108,8,0
"Royal National Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,4,0,0,152,6,0,0,137,8,0,0,123,4,0
"Sutherland - Kirrawee",0,227,7,0,247,14,0,0,273,14,0,0,270,10,0,0,157,10,0,0,180,4,0,0,163,3,0,0,172,4,0
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,10,0,0,231,17,0,0,245,10,0,0,223,9,0
"199999919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,3,0,0,128,14,0,0,129,5,0,0,151,9,0
"199999989",0,7,0,0,0,0,0,0,5,0,0,0,3,0,0,0,174,4,0,0,134,3,0,0,170,3,0,0,144,5,0
"No usual address (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,15,0,0,187,5,0,0,171,8,0,0,167,11,0
"Alfredton",0,116,52,0,118,51,0,0,145,59,0,0,134,61,0,0,179,13,0,0,155,12,0,0,161,11,0,0,162,12,0
"Ballarat",0,118,52,0,114,47,0,0,112,49,0,0,122,49,0,0,196,14,0,0,215,10,0,0,209,10,0,0,190,12,0
"Ballarat - North",0,245,107,0,229,113,0,0,249,92,0,0,252,103,0,0,100,3,0,0,79,3,0,0,96,0,0,0,70,0,0
"Ballarat - South",0,275,110,0,257,96,0,0,291,77,0,0,286,83,0,0,153,0,0,0,143,8,0,0,131,0,0,0,123,3,0
"Buninyong",0,88,35,0,78,32,0,0,78,22,0,0,82,38,0,0,176,8,0,0,183,6,0,0,175,9,0,0,191,7,0
"Delacombe",0,76,28,0,70,31,0,0,86,30,0,0,79,33,0,0,61,4,0,0,60,0,0,0,65,0,0,0,69,0,0
"Smythes Creek",0,50,11,0,47,18,0,0,41,24,0,0,44,6,0,0,39,0,0,0,32,0,0,0,36,0,0,0,29,0,0
"Wendouree - Miners Rest",0,198,57,0,182,69,0,0,195,59,0,0,172,54,0,0,178,12,0,0,183,14,0,0,166,5,0,0,190,11,0
"Bacchus Marsh Region",0,54,26,0,66,23,0,0,58,23,0,0,62,19,0,0,109,3,0,0,104,3,0,0,109,0,0,0,119,6,0
"Creswick - Clunes",0,70,27,0,87,41,0,0,67,19,0,0,74,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daylesford",0,67,33,0,72,25,0,0,71,27,0,0,66,25,0,0,169,3,0,0,166,3,0,0,179,3,0,0,173,14,0
"Gordon (Vic.)",0,49,27,0,49,28,0,0,53,15,0,0,46,15,0,0,255,11,0,0,270,3,0,0,274,7,0,0,264,3,0
"Avoca",0,26,13,0,20,4,0,0,30,11,0,0,35,7,0,0,294,8,0,0,303,19,0,0,268,11,0,0,266,7,0
"Beaufort",0,36,15,0,25,22,0,0,41,17,0,0,38,18,0,0,295,17,0,0,262,18,0,0,257,15,0,0,288,13,0
"Golden Plains - North",0,55,19,0,44,12,0,0,41,20,0,0,43,22,0,0,143,3,0,0,146,5,0,0,150,3,0,0,146,12,0
"Maryborough (Vic.)",0,68,17,0,89,23,0,0,67,25,0,0,78,30,0,0,282,9,0,0,285,7,0,0,290,4,0,0,318,11,0
"Maryborough Region",0,56,18,0,35,17,0,0,52,13,0,0,35,7,0,0,50,0,0,0,57,0,0,0,41,0,0,0,51,10,0
"Bendigo",0,123,58,0,108,48,0,0,140,45,0,0,143,47,0,0,188,5,0,0,229,11,0,0,226,6,0,0,198,12,0
"California Gully - Eaglehawk",0,110,62,0,146,53,0,0,155,55,0,0,157,67,0,0,208,10,0,0,210,12,0,0,201,11,0,0,202,15,0
"East Bendigo - Kennington",0,110,67,0,105,39,0,0,126,52,0,0,128,34,0,0,170,4,0,0,165,9,0,0,163,5,0,0,157,3,0
"Flora Hill - Spring Gully",0,95,45,0,96,40,0,0,90,42,0,0,77,30,0,0,170,8,0,0,147,5,0,0,150,10,0,0,152,3,0
"Kangaroo Flat - Golden Square",0,183,70,0,183,78,0,0,216,67,0,0,225,80,0,0,165,3,0,0,156,8,0,0,156,0,0,0,162,6,0
"Maiden Gully",0,77,34,0,66,34,0,0,93,29,0,0,64,32,0,0,194,14,0,0,221,10,0,0,231,3,0,0,199,12,0
"Strathfieldsaye",0,120,66,0,90,53,0,0,129,51,0,0,117,49,0,0,30,0,0,0,35,0,0,0,34,0,0,0,42,0,0
"White Hills - Ascot",0,126,61,0,142,70,0,0,192,77,0,0,165,83,0,0,90,3,0,0,77,0,0,0,100,3,0,0,97,3,0
"Bendigo Region - South",0,77,40,0,73,30,0,0,80,34,0,0,79,40,0,0,76,7,0,0,75,3,0,0,78,0,0,0,60,4,0
"Castlemaine",0,81,37,0,85,44,0,0,84,32,0,0,99,31,0,0,101,0,0,0,91,0,0,0,99,0,0,0,109,3,0
"Castlemaine Region",0,69,27,0,73,23,0,0,67,30,0,0,43,28,0,0,250,9,0,0,226,11,0,0,252,3,0,0,216,6,0
"Heathcote",0,36,12,0,34,16,0,0,40,0,0,0,33,15,0,0,312,8,0,0,283,20,0,0,289,19,0,0,280,7,0
"Kyneton",0,109,29,0,80,20,0,0,116,40,0,0,88,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Woodend",0,73,18,0,83,22,0,0,85,34,0,0,83,31,0,0,249,10,0,0,273,10,0,0,252,5,0,0,244,8,0
"Bendigo Region - North",0,41,25,0,40,13,0,0,39,17,0,0,89,31,0,0,233,11,0,0,236,10,0,0,243,7,0,0,229,6,0
"Loddon",0,60,15,0,60,30,0,0,46,15,0,0,0,0,0,0,96,3,0,0,79,7,0,0,118,3,0,0,84,0,0
"Bannockburn",0,99,42,0,70,30,0,0,117,30,0,0,120,39,0,0,35,0,0,0,38,0,0,0,38,5,0,0,40,0,0
"Golden Plains - South",0,78,30,0,62,34,0,0,79,30,0,0,87,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Winchelsea",0,47,17,0,49,29,0,0,54,15,0,0,44,28,0,0,238,10,0,0,0,0,0,0,3,0,0,0,0,4,0
"Belmont",0,127,61,0,136,59,0,0,164,42,0,0,152,54,0,0,174,49,0,0,184,72,0,0,222,63,0,0,216,58,0
"Corio - Norlane",0,303,109,0,326,85,0,0,312,76,0,0,328,82,0,0,98,36,0,0,86,44,0,0,86,32,0,0,84,39,0
"Geelong",0,126,32,0,126,39,0,0,110,47,0,0,119,46,0,0,241,108,0,0,235,85,0,0,266,85,0,0,242,102,0
"Geelong West - Hamlyn Heights",0,194,84,0,183,82,0,0,262,64,0,0,209,97,0,0,295,90,0,0,258,91,0,0,252,78,0,0,293,82,0
"Grovedale",0,210,94,0,212,121,0,0,266,114,0,0,271,102,0,0,86,32,0,0,69,36,0,0,79,30,0,0,76,31,0
"Highton",0,197,96,0,213,90,0,0,260,83,0,0,262,95,0,0,80,28,0,0,119,36,0,0,112,31,0,0,155,48,0
"Lara",0,230,91,0,170,67,0,0,212,85,0,0,205,58,0,0,49,14,0,0,41,18,0,0,33,9,0,0,44,18,0
"Leopold",0,142,34,0,145,74,0,0,158,44,0,0,166,52,0,0,160,65,0,0,187,54,0,0,179,50,0,0,159,43,0
"Newcomb - Moolap",0,135,54,0,124,62,0,0,157,57,0,0,133,39,0,0,67,18,0,0,67,26,0,0,45,7,0,0,52,21,0
"Newtown (Vic.)",0,86,49,0,81,34,0,0,114,39,0,0,105,35,0,0,124,44,0,0,130,51,0,0,66,26,0,0,85,20,0
"North Geelong - Bell Park",0,141,43,0,124,60,0,0,166,57,0,0,135,56,0,0,70,24,0,0,63,30,0,0,45,19,0,0,59,18,0
"Clifton Springs",0,119,46,0,132,49,0,0,125,46,0,0,136,46,0,0,0,0,0,0,0,0,0,0,52,23,0,0,45,25,0
"Lorne - Anglesea",0,37,9,0,42,16,0,0,32,13,0,0,28,15,0,0,16,9,0,0,26,9,0,0,25,5,0,0,18,7,0
"Ocean Grove - Barwon Heads",0,278,92,0,265,129,0,0,325,100,0,0,328,129,0,0,30,10,0,0,26,14,0,0,18,5,0,0,19,10,0
"Portarlington",0,51,18,0,53,13,0,0,65,33,0,0,51,23,0,0,38,21,0,0,48,20,0,0,47,5,0,0,42,15,0
"Queenscliff",0,46,9,0,44,7,0,0,25,13,0,0,22,8,0,0,39,23,0,0,60,11,0,0,49,15,0,0,53,12,0
"Torquay",0,214,139,0,207,122,0,0,268,121,0,0,298,118,0,0,32,9,0,0,34,10,0,0,38,5,0,0,31,10,0
"Alexandra",0,47,21,0,54,23,0,0,50,23,0,0,44,16,0,0,121,47,0,0,132,47,0,0,141,56,0,0,110,40,0
"Euroa",0,51,17,0,47,10,0,0,43,13,0,0,43,16,0,0,161,46,0,0,114,54,0,0,127,38,0,0,146,47,0
"Kilmore - Broadford",0,149,72,0,150,56,0,0,151,65,0,0,163,41,0,0,136,48,0,0,124,50,0,0,118,38,0,0,126,40,0
"Mansfield (Vic.)",0,74,38,0,96,33,0,0,75,43,0,0,67,32,0,0,86,27,0,0,91,20,0,0,77,26,0,0,88,33,0
"Nagambie",0,36,10,0,35,16,0,0,38,12,0,0,32,11,0,0,202,67,0,0,230,71,0,0,201,63,0,0,235,79,0
"Seymour",0,41,20,0,56,15,0,0,61,21,0,0,68,23,0,0,74,22,0,0,71,36,0,0,73,20,0,0,59,25,0
"Seymour Region",0,57,15,0,48,9,0,0,70,13,0,0,65,11,0,0,146,38,0,0,131,54,0,0,139,50,0,0,142,55,0
"Upper Yarra Valley",0,5,0,0,0,0,0,0,3,0,0,0,5,0,0,0,193,67,0,0,178,62,0,0,219,69,0,0,199,86,0
"Yea",0,38,18,0,30,15,0,0,31,12,0,0,23,19,0,0,82,21,0,0,85,37,0,0,89,18,0,0,76,27,0
"Benalla",0,91,53,0,78,39,0,0,92,32,0,0,92,35,0,0,63,41,0,0,64,39,0,0,92,30,0,0,67,53,0
"Benalla Region",0,22,24,0,27,11,0,0,21,17,0,0,24,11,0,0,77,27,0,0,74,29,0,0,72,25,0,0,64,29,0
"Rutherglen",0,36,16,0,36,14,0,0,28,7,0,0,32,10,0,0,32,14,0,0,20,4,0,0,36,15,0,0,22,7,0
"Wangaratta",0,213,88,0,177,82,0,0,205,80,0,0,200,66,0,0,99,31,0,0,106,36,0,0,104,25,0,0,101,28,0
"Wangaratta Region",0,88,33,0,82,39,0,0,81,31,0,0,69,34,0,0,87,26,0,0,84,19,0,0,81,12,0,0,79,13,0
"Beechworth",0,39,10,0,47,12,0,0,42,13,0,0,47,20,0,0,51,13,0,0,0,0,0,0,39,15,0,0,40,19,0
"Bright - Mount Beauty",0,91,23,0,73,26,0,0,83,17,0,0,68,34,0,0,50,26,0,0,93,29,0,0,46,22,0,0,54,18,0
"Chiltern - Indigo Valley",0,29,8,0,22,10,0,0,0,0,0,0,23,9,0,0,88,38,0,0,103,27,0,0,97,26,0,0,94,49,0
"Myrtleford",0,26,12,0,23,22,0,0,65,22,0,0,38,21,0,0,81,32,0,0,67,36,0,0,91,18,0,0,71,29,0
"Towong",0,53,17,0,28,21,0,0,49,19,0,0,48,9,0,0,44,31,0,0,50,29,0,0,66,23,0,0,60,20,0
"West Wodonga",0,207,54,0,194,82,0,0,209,56,0,0,229,50,0,0,150,39,0,0,162,43,0,0,150,54,0,0,173,51,0
"Wodonga",0,321,73,0,303,79,0,0,358,87,0,0,329,108,0,0,239,78,0,0,262,84,0,0,218,70,0,0,253,66,0
"Yackandandah",0,52,16,0,48,12,0,0,47,20,0,0,51,21,0,0,126,45,0,0,135,42,0,0,116,45,0,0,95,39,0
"Drouin",0,149,71,0,199,73,0,0,180,72,0,0,194,62,0,0,210,63,0,0,248,84,0,0,241,71,0,0,258,84,0
"Mount Baw Baw Region",0,40,26,0,44,20,0,0,44,29,0,0,36,20,0,0,297,117,0,0,291,101,0,0,348,128,0,0,396,129,0
"Trafalgar (Vic.)",0,74,40,0,78,33,0,0,68,37,0,0,101,31,0,0,243,107,0,0,251,77,0,0,249,91,0,0,250,91,0
"Warragul",0,150,112,0,180,95,0,0,178,85,0,0,170,74,0,0,223,101,0,0,256,77,0,0,210,77,0,0,226,65,0
"Alps - East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,51,0,0,154,56,0,0,138,56,0,0,155,36,0
"Bairnsdale",0,109,63,0,118,71,0,0,151,42,0,0,119,49,0,0,137,57,0,0,119,38,0,0,130,44,0,0,118,40,0
"Bruthen - Omeo",0,58,22,0,74,24,0,0,68,28,0,0,71,26,0,0,101,42,0,0,126,44,0,0,118,46,0,0,111,43,0
"Lake King",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,57,0,0,137,53,0,0,143,48,0,0,172,43,0
"Lakes Entrance",0,79,33,0,92,40,0,0,93,34,0,0,103,22,0,0,144,52,0,0,109,56,0,0,157,58,0,0,151,53,0
"Orbost",0,60,17,0,60,18,0,0,40,23,0,0,37,19,0,0,21,18,0,0,44,8,0,0,23,8,0,0,30,11,0
"Paynesville",0,35,13,0,48,17,0,0,45,20,0,0,34,11,0,0,280,108,0,0,333,96,0,0,330,113,0,0,319,125,0
"Foster",0,56,28,0,72,37,0,0,67,26,0,0,82,37,0,0,42,19,0,0,61,16,0,0,55,15,0,0,49,23,0
"French Island",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,0,0,26,7,0,0,32,11,0,0,29,7,0
"Korumburra",0,76,56,0,62,67,0,0,88,47,0,0,86,45,0,0,278,129,0,0,289,121,0,0,233,82,0,0,247,63,0
"Leongatha",0,125,64,0,97,59,0,0,124,58,0,0,129,55,0,0,42,23,0,0,32,9,0,0,46,10,0,0,53,19,0
"Phillip Island",0,65,47,0,96,42,0,0,87,56,0,0,102,43,0,0,48,17,0,0,46,14,0,0,41,16,0,0,48,12,0
"Wilsons Promontory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,56,0,0,165,59,0,0,156,46,0,0,162,55,0
"Wonthaggi - Inverloch",0,186,93,0,204,93,0,0,196,95,0,0,173,78,0,0,60,28,0,0,84,22,0,0,66,36,0,0,81,39,0
"Churchill",0,92,60,0,114,49,0,0,127,40,0,0,128,38,0,0,27,10,0,0,32,10,0,0,23,8,0,0,30,10,0
"Moe - Newborough",0,159,54,0,166,67,0,0,144,62,0,0,159,72,0,0,56,20,0,0,65,10,0,0,50,21,0,0,51,17,0
"Morwell",0,133,52,0,141,49,0,0,185,51,0,0,156,48,0,0,46,16,0,0,57,18,0,0,40,11,0,0,36,13,0
"Traralgon",0,243,125,0,332,137,0,0,301,131,0,0,328,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yallourn North - Glengarry",0,37,19,0,50,21,0,0,54,26,0,0,52,20,0,0,32,3,0,0,25,8,0,0,26,12,0,0,32,12,0
"Alps - West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,48,0,0,74,48,0,0,79,32,0,0,92,23,0
"Longford - Loch Sport",0,28,11,0,30,12,0,0,23,6,0,0,28,12,0,0,24,14,0,0,19,10,0,0,27,4,0,0,26,14,0
"Maffra",0,130,68,0,124,64,0,0,155,59,0,0,118,63,0,0,34,5,0,0,34,12,0,0,34,13,0,0,45,0,0
"Rosedale",0,35,18,0,44,7,0,0,32,19,0,0,45,13,0,0,169,56,0,0,182,61,0,0,195,59,0,0,206,63,0
"Sale",0,150,52,0,158,64,0,0,192,57,0,0,185,53,0,0,69,31,0,0,93,32,0,0,84,31,0,0,97,31,0
"Yarram",0,40,11,0,26,11,0,0,39,25,0,0,40,21,0,0,44,9,0,0,35,16,0,0,34,9,0,0,29,13,0
