SA1_MAINCODE_2011,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
50605113839,514,Swan,1,Good,Good,0
50605113901,514,Swan,1,Good,Good,0
50605113902,514,Swan,1,Good,Good,0
50605113903,514,Swan,1,Good,Good,0
50605113904,514,Swan,1,Good,Good,0
50605113905,514,Swan,1,Good,Good,0
50605113906,514,Swan,1,Good,Good,0
50605113907,514,Swan,1,Good,Good,0
50605113908,514,Swan,1,Good,Good,0
50605113909,514,Swan,1,Good,Good,0
50605113910,514,Swan,1,Good,Good,0
50605113911,514,Swan,1,Good,Good,0
50605113912,514,Swan,1,Good,Good,0
50605113913,514,Swan,1,Good,Good,0
50605113914,514,Swan,1,Good,Good,0
50605113915,514,Swan,1,Good,Good,0
50605113916,514,Swan,1,Good,Good,0
50605113917,514,Swan,1,Good,Good,0
50605113918,514,Swan,1,Good,Good,0
50605113919,514,Swan,1,Good,Good,0
50605113920,514,Swan,1,Good,Good,0
50605113921,514,Swan,1,Good,Good,0
50605113922,514,Swan,1,Good,Good,0
50605113923,514,Swan,1,Good,Good,0
50605113924,514,Swan,1,Good,Good,0
50605113925,514,Swan,1,Good,Good,0
50605114001,514,Swan,1,Good,Good,0
50605114002,514,Swan,1,Good,Good,0
50605114003,514,Swan,1,Good,Good,0
50605114004,514,Swan,1,Good,Good,0
50605114005,514,Swan,1,Good,Good,0
50605114006,509,Hasluck,1,Good,Good,0
50605114007,509,Hasluck,1,Good,Good,0
50605114008,509,Hasluck,1,Good,Good,0
50605114009,509,Hasluck,1,Good,Good,0
50605114010,509,Hasluck,1,Good,Good,0
50605114011,509,Hasluck,1,Good,Good,0
50605114012,509,Hasluck,1,Good,Good,0
50605114013,509,Hasluck,1,Good,Good,0
50605114014,509,Hasluck,1,Good,Good,0
50605114015,514,Swan,1,Good,Good,0
50605114016,514,Swan,1,Good,Good,0
50605114017,514,Swan,1,Good,Good,0
50605114018,509,Hasluck,0.2540536,Good,Good,0
50605114018,514,Swan,0.7459464,Good,Good,0
50605114019,509,Hasluck,1,Good,Good,0
50605114020,509,Hasluck,1,Good,Good,0
50605114021,509,Hasluck,1,Good,Good,0
50605114022,509,Hasluck,1,Good,Good,0
50605114023,509,Hasluck,1,Good,Good,0
50605114024,509,Hasluck,1,Good,Good,0
50605114025,509,Hasluck,1,Good,Good,0
50605114026,509,Hasluck,1,Good,Good,0
50605114027,514,Swan,0.3790496,Good,Good,0
50605114027,509,Hasluck,0.6209504,Good,Good,0
50605114028,509,Hasluck,1,Good,Good,0
50605114029,509,Hasluck,1,Good,Good,0
50605114030,514,Swan,1,Good,Good,0
50605114031,509,Hasluck,1,Good,Good,0
50605114032,509,Hasluck,1,Good,Good,0
50605114033,509,Hasluck,1,Good,Good,0
