SA1_MAINCODE_2011,SA1_UID_2011,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10101100528,170,13910,Hilltops,1,Good,Good,0
10101100529,171,13910,Hilltops,1,Good,Good,0
10101100530,172,13910,Hilltops,1,Good,Good,0
10101100601,173,13910,Hilltops,1,Good,Good,0
10101100602,174,13910,Hilltops,1,Good,Good,0
10101100603,175,13910,Hilltops,1,Good,Good,0
10101100604,176,13910,Hilltops,1,Good,Good,0
10101100605,177,13910,Hilltops,1,Good,Good,0
10101100606,178,13910,Hilltops,1,Good,Good,0
10101100607,179,13910,Hilltops,1,Good,Good,0
10101100608,180,13910,Hilltops,1,Good,Good,0
10101100609,181,13910,Hilltops,1,Good,Good,0
10101100610,182,13910,Hilltops,1,Good,Good,0
10101100611,183,13910,Hilltops,1,Good,Good,0
10101100612,184,13910,Hilltops,1,Good,Good,0
10101100613,185,13910,Hilltops,1,Good,Good,0
10101100614,186,13910,Hilltops,1,Good,Good,0
10101100615,187,13910,Hilltops,1,Good,Good,0
10101100616,188,13910,Hilltops,1,Good,Good,0
10101100617,189,13910,Hilltops,1,Good,Good,0
10101100618,190,13910,Hilltops,1,Good,Good,0
10101100619,191,13910,Hilltops,1,Good,Good,0
10101100620,192,13910,Hilltops,1,Good,Good,0
10101100621,193,13910,Hilltops,1,Good,Good,0
10102100701,194,13310,Goulburn Mulwaree,1,Good,Good,0
10102100702,195,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100703,196,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100704,197,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100705,198,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100706,199,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100707,200,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100708,201,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100709,202,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100710,203,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
