SA2_CODE_2021,SA2_NAME_2021,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
506041137,Thornlie,55202,Thornlie (East Metropolitan),1,Acceptable,Acceptable,0
506051138,Forrestfield - Wattle Grove,50702,Belmont (East Metropolitan),1.00E-06,Good,Acceptable,1
506051138,Forrestfield - Wattle Grove,52102,Forrestfield (East Metropolitan),0.999999,Acceptable,Acceptable,0
506051139,High Wycombe,52102,Forrestfield (East Metropolitan),1,Acceptable,Acceptable,0
506051140,Kalamunda - Maida Vale - Gooseberry Hill,52102,Forrestfield (East Metropolitan),0.2917649,Acceptable,Acceptable,0
506051140,Kalamunda - Maida Vale - Gooseberry Hill,52702,Kalamunda (East Metropolitan),0.7082351,Acceptable,Acceptable,0
506051141,Lesmurdie - Bickley - Carmel,52702,Kalamunda (East Metropolitan),1,Acceptable,Acceptable,0
506061142,Byford,51902,Darling Range (East Metropolitan),1,Acceptable,Acceptable,0
506061143,Mundijong,51902,Darling Range (East Metropolitan),1,Acceptable,Acceptable,0
506061144,Serpentine - Jarrahdale,51902,Darling Range (East Metropolitan),0.9853935,Acceptable,Acceptable,0
506061144,Serpentine - Jarrahdale,54006,Murray-Wellington (South West),0.0146065,Acceptable,Acceptable,0
506071145,Como,54905,South Perth (South Metropolitan),1,Good,Acceptable,0
506071146,Manning - Waterford,54905,South Perth (South Metropolitan),1,Good,Acceptable,0
506071147,South Perth - Kensington,54905,South Perth (South Metropolitan),0.972029,Good,Acceptable,0
506071147,South Perth - Kensington,55405,Victoria Park (South Metropolitan),0.027971,Acceptable,Acceptable,0
507011148,Banjup,51605,Cockburn (South Metropolitan),0.4267707,Poor,Acceptable,0
507011148,Banjup,52505,Jandakot (South Metropolitan),0.1976523,Acceptable,Acceptable,0
507011148,Banjup,53105,Kwinana (South Metropolitan),0.375577,Poor,Acceptable,0
507011150,Bibra Industrial,55905,Willagee (South Metropolitan),1,Poor,Acceptable,0
507011151,Bibra Lake,55905,Willagee (South Metropolitan),1,Poor,Acceptable,0
507011152,Coogee,51605,Cockburn (South Metropolitan),0.8371559,Poor,Acceptable,0
507011152,Coogee,55905,Willagee (South Metropolitan),0.1628441,Poor,Acceptable,0
507011153,Coolbellup,55905,Willagee (South Metropolitan),1,Poor,Acceptable,0
507011154,Hamilton Hill,52205,Fremantle (South Metropolitan),1,Acceptable,Acceptable,0
507011155,Henderson,53105,Kwinana (South Metropolitan),1,Poor,Acceptable,0
507011158,North Coogee,52205,Fremantle (South Metropolitan),1,Acceptable,Acceptable,0
507011159,South Lake - Cockburn Central,51605,Cockburn (South Metropolitan),0.246234,Poor,Acceptable,0
507011159,South Lake - Cockburn Central,55905,Willagee (South Metropolitan),0.753766,Poor,Acceptable,0
507011160,Spearwood,52205,Fremantle (South Metropolitan),0.3947693,Acceptable,Acceptable,0
507011160,Spearwood,55905,Willagee (South Metropolitan),0.6052307,Poor,Acceptable,0
507011161,Success - Hammond Park,51605,Cockburn (South Metropolitan),0.6497563,Poor,Acceptable,0
507011161,Success - Hammond Park,53105,Kwinana (South Metropolitan),0.3502437,Poor,Acceptable,0
507011163,Yangebup,51605,Cockburn (South Metropolitan),1,Poor,Acceptable,0
507011259,Beeliar - Wattleup,51605,Cockburn (South Metropolitan),0.8709052,Poor,Acceptable,0
507011259,Beeliar - Wattleup,53105,Kwinana (South Metropolitan),0.1290948,Poor,Acceptable,0
507011260,Jandakot,52505,Jandakot (South Metropolitan),1,Acceptable,Acceptable,0
507021164,East Fremantle,50805,Bicton (South Metropolitan),1,Good,Acceptable,0
507021165,Fremantle,50805,Bicton (South Metropolitan),0.0958508,Good,Acceptable,0
507021165,Fremantle,51804,Cottesloe (North Metropolitan),0.2365673,Acceptable,Acceptable,0
507021165,Fremantle,52205,Fremantle (South Metropolitan),0.6675819,Acceptable,Acceptable,0
507021166,Fremantle - South,52205,Fremantle (South Metropolitan),0.8588053,Acceptable,Acceptable,0
507021166,Fremantle - South,55905,Willagee (South Metropolitan),0.1411947,Poor,Acceptable,0
507021167,O'Connor (WA),52205,Fremantle (South Metropolitan),0.55,Acceptable,Acceptable,0
507021167,O'Connor (WA),55905,Willagee (South Metropolitan),0.45,Poor,Acceptable,0
507031169,Wellard (West) - Bertram,50405,Baldivis (South Metropolitan),0.6549919,Acceptable,Acceptable,0
507031169,Wellard (West) - Bertram,53105,Kwinana (South Metropolitan),0.3450081,Poor,Acceptable,0
507031170,Calista,50405,Baldivis (South Metropolitan),1.30E-06,Acceptable,Acceptable,1
507031170,Calista,53105,Kwinana (South Metropolitan),0.9999987,Poor,Acceptable,0
507031172,Hope Valley - Postans,53105,Kwinana (South Metropolitan),1,Poor,Acceptable,0
507031173,Kwinana Industrial,53105,Kwinana (South Metropolitan),1,Poor,Acceptable,0
507031174,Parmelia - Orelia,53105,Kwinana (South Metropolitan),1,Poor,Acceptable,0
507031261,Casuarina - Wandi,53105,Kwinana (South Metropolitan),1,Poor,Acceptable,0
507041175,Applecross - Ardross,50605,Bateman (South Metropolitan),1,Acceptable,Acceptable,0
507041176,Bateman,50605,Bateman (South Metropolitan),1,Acceptable,Acceptable,0
507041177,Bicton - Palmyra,50805,Bicton (South Metropolitan),0.9993911,Good,Acceptable,0
507041177,Bicton - Palmyra,52205,Fremantle (South Metropolitan),0.0006089,Acceptable,Acceptable,1
507041178,Booragoon,50605,Bateman (South Metropolitan),0.9539312,Acceptable,Acceptable,0
507041178,Booragoon,54505,Riverton (South Metropolitan),0.0460688,Good,Acceptable,0
507041179,Bull Creek,54505,Riverton (South Metropolitan),1,Good,Acceptable,0
507041180,Leeming,52505,Jandakot (South Metropolitan),0.6878831,Acceptable,Acceptable,0
507041180,Leeming,54505,Riverton (South Metropolitan),0.3121169,Good,Acceptable,0
507041181,Melville,50605,Bateman (South Metropolitan),0.139209,Acceptable,Acceptable,0
507041181,Melville,50805,Bicton (South Metropolitan),0.860791,Good,Acceptable,0
507041182,Murdoch - Kardinya,50605,Bateman (South Metropolitan),0.4331236,Acceptable,Acceptable,0
507041182,Murdoch - Kardinya,55905,Willagee (South Metropolitan),0.5668764,Poor,Acceptable,0
507041183,Willagee,55905,Willagee (South Metropolitan),1,Poor,Acceptable,0
507041184,Winthrop,50605,Bateman (South Metropolitan),1,Acceptable,Acceptable,0
507051186,Cooloongup,50405,Baldivis (South Metropolitan),0.269202,Acceptable,Acceptable,0
507051186,Cooloongup,54605,Rockingham (South Metropolitan),0.730798,Acceptable,Acceptable,0
507051187,Port Kennedy,55605,Warnbro (South Metropolitan),1,Good,Acceptable,0
507051188,Rockingham,53105,Kwinana (South Metropolitan),1.20E-06,Poor,Acceptable,1
507051188,Rockingham,54605,Rockingham (South Metropolitan),0.9999988,Acceptable,Acceptable,0
507051189,Rockingham Lakes,50405,Baldivis (South Metropolitan),0.0162866,Acceptable,Acceptable,0
507051189,Rockingham Lakes,55605,Warnbro (South Metropolitan),0.9837134,Good,Acceptable,0
507051190,Safety Bay - Shoalwater,54605,Rockingham (South Metropolitan),1,Acceptable,Acceptable,0
507051191,Singleton - Golden Bay - Secret Harbour,55605,Warnbro (South Metropolitan),1,Good,Acceptable,0
507051192,Waikiki,50405,Baldivis (South Metropolitan),0.4992397,Acceptable,Acceptable,0
507051192,Waikiki,54605,Rockingham (South Metropolitan),0.4945337,Acceptable,Acceptable,0
507051192,Waikiki,55605,Warnbro (South Metropolitan),0.0062266,Good,Acceptable,1
507051193,Warnbro,55605,Warnbro (South Metropolitan),1,Good,Acceptable,0
507051312,Baldivis - North,50405,Baldivis (South Metropolitan),1,Acceptable,Acceptable,0
507051313,Baldivis - South,50405,Baldivis (South Metropolitan),0.974627,Acceptable,Acceptable,0
507051313,Baldivis - South,51902,Darling Range (East Metropolitan),4.00E-07,Acceptable,Acceptable,1
507051313,Baldivis - South,55605,Warnbro (South Metropolitan),0.0253726,Good,Acceptable,0
507051314,Karnup,51902,Darling Range (East Metropolitan),9.60E-06,Acceptable,Acceptable,1
507051314,Karnup,55605,Warnbro (South Metropolitan),0.9999904,Good,Acceptable,0
509011225,Albany,50106,Albany (South West),1,Good,Acceptable,0
509011226,Albany Surrounds,50106,Albany (South West),1,Good,Acceptable,0
509011227,Bayonet Head - Lower King,50106,Albany (South West),1,Good,Acceptable,0
509011228,Denmark,55706,Warren-Blackwood (South West),1,Good,Acceptable,0
509011229,Gnowangerup,54701,Roe (Agricultural),1,Good,Acceptable,0
509011230,Katanning,54701,Roe (Agricultural),1,Good,Acceptable,0
509011231,Kojonup,54701,Roe (Agricultural),1,Good,Acceptable,0
509011232,Little Grove - Elleker,50106,Albany (South West),1,Good,Acceptable,0
509011233,McKail - Willyung,50106,Albany (South West),1,Good,Acceptable,0
509011234,Plantagenet,55706,Warren-Blackwood (South West),1,Good,Acceptable,0
509011235,Stirling Range National Park,55706,Warren-Blackwood (South West),1,Good,Acceptable,0
509021236,Chittering,53701,Moore (Agricultural),1,Good,Acceptable,0
509021237,Cunderdin,51401,Central Wheatbelt (Agricultural),1,Good,Acceptable,0
509021238,Dowerin,51401,Central Wheatbelt (Agricultural),0.2220383,Good,Acceptable,0
509021238,Dowerin,53701,Moore (Agricultural),0.7779617,Good,Acceptable,0
509021239,Gingin - Dandaragan,53701,Moore (Agricultural),1,Good,Acceptable,0
509021240,Merredin,51401,Central Wheatbelt (Agricultural),1,Good,Acceptable,0
509021241,Moora,53701,Moore (Agricultural),1,Good,Acceptable,0
509021242,Mukinbudin,51401,Central Wheatbelt (Agricultural),0.9999967,Good,Acceptable,0
509021242,Mukinbudin,53701,Moore (Agricultural),3.30E-06,Good,Acceptable,1
509021243,Northam,51401,Central Wheatbelt (Agricultural),1,Good,Acceptable,0
509021244,Toodyay,53701,Moore (Agricultural),1,Good,Acceptable,0
509021245,York - Beverley,51401,Central Wheatbelt (Agricultural),1,Good,Acceptable,0
509031246,Brookton,51401,Central Wheatbelt (Agricultural),1,Good,Acceptable,0
509031247,Kulin,51401,Central Wheatbelt (Agricultural),0.5396664,Good,Acceptable,0
509031247,Kulin,54701,Roe (Agricultural),0.4603336,Good,Acceptable,0
509031248,Murray,51401,Central Wheatbelt (Agricultural),0.7211561,Good,Acceptable,0
509031248,Murray,54006,Murray-Wellington (South West),0.2788439,Acceptable,Acceptable,0
509031249,Narrogin,54701,Roe (Agricultural),1,Good,Acceptable,0
509031250,Wagin,51401,Central Wheatbelt (Agricultural),0.1846829,Good,Acceptable,0
