"SA1_CODE_2021","SA1_NAME_2021","Region","Region_Nam","RATIO_FROM_TO","INDIV_TO_REGION_QLTY_INDICATOR","OVERALL_QUALITY_INDICATOR","BMOS_NULL_FLAG"
"10103101625","","J","Eastern NSW","1","Good","Good",3
"10103101626","","J","Eastern NSW","1","Good","Good",3
"10103101627","","J","Eastern NSW","1","Good","Good",3
"10104101701","","J","Eastern NSW","1","Good","Good",3
"10104101702","","J","Eastern NSW","1","Good","Good",3
"10104101703","","J","Eastern NSW","1","Good","Good",3
"10104101704","","J","Eastern NSW","1","Good","Good",3
"10104101705","","J","Eastern NSW","1","Good","Good",3
"10104101706","","J","Eastern NSW","1","Good","Good",3
"10104101707","","J","Eastern NSW","1","Good","Good",3
"10104101708","","J","Eastern NSW","1","Good","Good",3
"10104101709","","J","Eastern NSW","1","Good","Good",3
"10104101710","","J","Eastern NSW","1","Good","Good",3
"10104101711","","J","Eastern NSW","1","Good","Good",3
"10104101713","","J","Eastern NSW","1","Good","Good",3
"10104101714","","J","Eastern NSW","1","Good","Good",3
"10104101715","","J","Eastern NSW","1","Good","Good",3
"10104101716","","J","Eastern NSW","1","Good","Good",3
"10104101717","","J","Eastern NSW","1","Good","Good",3
"10104101718","","J","Eastern NSW","1","Good","Good",3
"10104101719","","J","Eastern NSW","1","Good","Good",3
"10104101720","","J","Eastern NSW","1","Good","Good",3
"10104101721","","J","Eastern NSW","1","Good","Good",3
"10104101722","","J","Eastern NSW","1","Good","Good",3
"10104101723","","J","Eastern NSW","1","Good","Good",3
"10104101724","","J","Eastern NSW","1","Good","Good",3
"10104101801","","J","Eastern NSW","1","Good","Good",3
"10104101802","","J","Eastern NSW","1","Good","Good",3
"10104101803","","J","Eastern NSW","1","Good","Good",3
"10104101804","","J","Eastern NSW","1","Good","Good",3
"10104101805","","J","Eastern NSW","1","Good","Good",3
"10104101806","","J","Eastern NSW","1","Good","Good",3
"10104101807","","J","Eastern NSW","1","Good","Good",3
"10104101808","","J","Eastern NSW","1","Good","Good",3
"10104101809","","J","Eastern NSW","1","Good","Good",3
"10104101810","","J","Eastern NSW","1","Good","Good",3
"10104101811","","J","Eastern NSW","1","Good","Good",3
"10104101812","","J","Eastern NSW","1","Good","Good",3
"10104101813","","J","Eastern NSW","1","Good","Good",3
"10104101814","","J","Eastern NSW","1","Good","Good",3
"10104101815","","J","Eastern NSW","1","Good","Good",3
"10104101816","","J","Eastern NSW","1","Good","Good",3
"10104101817","","J","Eastern NSW","1","Good","Good",3
"10104101818","","J","Eastern NSW","1","Good","Good",3
"10104101819","","J","Eastern NSW","1","Good","Good",3
"10104101820","","J","Eastern NSW","1","Good","Good",3
"10104101821","","J","Eastern NSW","1","Good","Good",3
"10104101822","","J","Eastern NSW","1","Good","Good",3
"10104101823","","J","Eastern NSW","1","Good","Good",3
"10104101824","","J","Eastern NSW","1","Good","Good",3
"10104101901","","J","Eastern NSW","1","Good","Good",3
"10104101902","","J","Eastern NSW","1","Good","Good",3
"10104101903","","J","Eastern NSW","1","Good","Good",3
"10104101904","","J","Eastern NSW","1","Good","Good",3
"10104101905","","J","Eastern NSW","1","Good","Good",3
"10104101906","","J","Eastern NSW","1","Good","Good",3
"10104101907","","J","Eastern NSW","1","Good","Good",3
"10104101911","","J","Eastern NSW","1","Good","Good",3
"10104101912","","J","Eastern NSW","1","Good","Good",3
"10104101913","","J","Eastern NSW","1","Good","Good",3
"10104101915","","J","Eastern NSW","1","Good","Good",3
"10104101917","","J","Eastern NSW","1","Good","Good",3
"10104101918","","J","Eastern NSW","1","Good","Good",3
"10104101919","","J","Eastern NSW","1","Good","Good",3
"10104101920","","J","Eastern NSW","1","Good","Good",3
"10104101921","","J","Eastern NSW","1","Good","Good",3
"10104101924","","J","Eastern NSW","1","Good","Good",3
"10104101925","","J","Eastern NSW","1","Good","Good",3
"10104101926","","J","Eastern NSW","1","Good","Good",3
"10104101927","","J","Eastern NSW","1","Good","Good",3
"10104101928","","J","Eastern NSW","1","Good","Good",3
"10104101929","","J","Eastern NSW","1","Good","Good",3
"10104101930","","J","Eastern NSW","1","Good","Good",3
"10104101931","","J","Eastern NSW","1","Good","Good",3
"10104101932","","J","Eastern NSW","1","Good","Good",3
"10104101933","","J","Eastern NSW","1","Good","Good",3
"10104102001","","J","Eastern NSW","1","Good","Good",3
"10104102002","","J","Eastern NSW","1","Good","Good",3
"10104102003","","J","Eastern NSW","1","Good","Good",3
"10104102004","","J","Eastern NSW","1","Good","Good",3
"10104102005","","J","Eastern NSW","1","Good","Good",3
"10104102006","","J","Eastern NSW","1","Good","Good",3
"10104102007","","J","Eastern NSW","1","Good","Good",3
"10104102008","","J","Eastern NSW","1","Good","Good",3
"10104102009","","J","Eastern NSW","1","Good","Good",3
"10104102010","","J","Eastern NSW","1","Good","Good",3
"10104102011","","J","Eastern NSW","1","Good","Good",3
"10104102012","","J","Eastern NSW","1","Good","Good",3
"10104102013","","J","Eastern NSW","1","Good","Good",3
"10104102014","","J","Eastern NSW","1","Good","Good",3
"10104102015","","J","Eastern NSW","1","Good","Good",3
"10104102016","","J","Eastern NSW","1","Good","Good",3
"10104102017","","J","Eastern NSW","1","Good","Good",3
"10104102018","","J","Eastern NSW","1","Good","Good",3
"10104102019","","J","Eastern NSW","1","Good","Good",3
"10104102020","","J","Eastern NSW","1","Good","Good",3
"10104102021","","J","Eastern NSW","1","Good","Good",3
"10104102022","","J","Eastern NSW","1","Good","Good",3
"10104102023","","J","Eastern NSW","1","Good","Good",3
"10104102024","","J","Eastern NSW","1","Good","Good",3
"10104102025","","J","Eastern NSW","1","Good","Good",3
"10104102026","","J","Eastern NSW","1","Good","Good",3
"10104102027","","J","Eastern NSW","1","Good","Good",3
"10104102028","","J","Eastern NSW","1","Good","Good",3
"10104102029","","J","Eastern NSW","1","Good","Good",3
"10104102030","","J","Eastern NSW","1","Good","Good",3
"10104102031","","J","Eastern NSW","1","Good","Good",3
"10104102032","","J","Eastern NSW","1","Good","Good",3
"10104102102","","J","Eastern NSW","1","Good","Good",3
"10104102104","","J","Eastern NSW","1","Good","Good",3
"10104102105","","J","Eastern NSW","1","Good","Good",3
"10104102106","","J","Eastern NSW","1","Good","Good",3
"10104102107","","J","Eastern NSW","1","Good","Good",3
"10104102108","","J","Eastern NSW","1","Good","Good",3
"10104102110","","J","Eastern NSW","1","Good","Good",3
"10104102111","","J","Eastern NSW","1","Good","Good",3
"10104102201","","J","Eastern NSW","1","Good","Good",3
"10104102301","","J","Eastern NSW","1","Good","Good",3
"10104102302","","J","Eastern NSW","1","Good","Good",3
"10104102303","","J","Eastern NSW","1","Good","Good",3
"10104102304","","J","Eastern NSW","1","Good","Good",3
"10104102305","","J","Eastern NSW","1","Good","Good",3
"10104102306","","J","Eastern NSW","1","Good","Good",3
"10104102307","","J","Eastern NSW","1","Good","Good",3
"10104102308","","J","Eastern NSW","1","Good","Good",3
"10104102309","","J","Eastern NSW","1","Good","Good",3
"10104102310","","J","Eastern NSW","1","Good","Good",3
"10104102401","","J","Eastern NSW","1","Good","Good",3
"10104102402","","J","Eastern NSW","1","Good","Good",3
"10104102403","","J","Eastern NSW","1","Good","Good",3
"10104102404","","J","Eastern NSW","1","Good","Good",3
"10104102405","","J","Eastern NSW","1","Good","Good",3
"10104102406","","J","Eastern NSW","1","Good","Good",3
"10104102407","","J","Eastern NSW","1","Good","Good",3
"10104102408","","J","Eastern NSW","1","Good","Good",3
"10104102409","","J","Eastern NSW","1","Good","Good",3
"10104102410","","J","Eastern NSW","1","Good","Good",3
"10104102411","","J","Eastern NSW","1","Good","Good",3
"10104102412","","J","Eastern NSW","1","Good","Good",3
"10104102501","","J","Eastern NSW","1","Good","Good",3
"10104102502","","J","Eastern NSW","1","Good","Good",3
"10104102503","","J","Eastern NSW","1","Good","Good",3
"10104102504","","J","Eastern NSW","1","Good","Good",3
"10104102505","","J","Eastern NSW","1","Good","Good",3
"10104102506","","J","Eastern NSW","1","Good","Good",3
"10104102507","","J","Eastern NSW","1","Good","Good",3
"10104102508","","J","Eastern NSW","1","Good","Good",3
"10104102509","","J","Eastern NSW","1","Good","Good",3
"10104102510","","J","Eastern NSW","1","Good","Good",3
"10104102511","","J","Eastern NSW","1","Good","Good",3
"10104102512","","J","Eastern NSW","1","Good","Good",3
"10104102513","","J","Eastern NSW","1","Good","Good",3
"10104102514","","J","Eastern NSW","1","Good","Good",3
"10104102516","","J","Eastern NSW","1","Good","Good",3
"10104102517","","J","Eastern NSW","1","Good","Good",3
"10104102518","","J","Eastern NSW","1","Good","Good",3
"10104102519","","J","Eastern NSW","1","Good","Good",3
"10104102520","","J","Eastern NSW","1","Good","Good",3
"10104102521","","J","Eastern NSW","1","Good","Good",3
"10104102522","","J","Eastern NSW","1","Good","Good",3
"10104102523","","J","Eastern NSW","1","Good","Good",3
"10104102524","","J","Eastern NSW","1","Good","Good",3
"10104102525","","J","Eastern NSW","1","Good","Good",3
"10104102526","","J","Eastern NSW","1","Good","Good",3
"10104102527","","J","Eastern NSW","1","Good","Good",3
"10104102528","","J","Eastern NSW","1","Good","Good",3
"10104102529","","J","Eastern NSW","1","Good","Good",3
"10104102530","","J","Eastern NSW","1","Good","Good",3
"10104102531","","J","Eastern NSW","1","Good","Good",3
"10104102532","","J","Eastern NSW","1","Good","Good",3
"10104102601","","J","Eastern NSW","1","Good","Good",3
"10104102603","","J","Eastern NSW","1","Good","Good",3
"10104102604","","J","Eastern NSW","1","Good","Good",3
"10104102605","","J","Eastern NSW","1","Good","Good",3
"10104102606","","J","Eastern NSW","1","Good","Good",3
"10104102607","","J","Eastern NSW","1","Good","Good",3
"10104102608","","J","Eastern NSW","1","Good","Good",3
"10104102609","","J","Eastern NSW","1","Good","Good",3
"10104102610","","J","Eastern NSW","1","Good","Good",3
"10104102611","","J","Eastern NSW","1","Good","Good",3
"10104102613","","J","Eastern NSW","1","Good","Good",3
"10104102614","","J","Eastern NSW","1","Good","Good",3
"10104102615","","J","Eastern NSW","1","Good","Good",3
"10104102616","","J","Eastern NSW","1","Good","Good",3
