LOCALITY_PID_2021,LOCALITY_NAME_2021,SA2_CODE_2021,SA2_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW10,ABERGLASSLYN,106021615,Rutherford (North) - Aberglasslyn,1,Acceptable,Good,0
NSW100,ASHLEY,110031196,Moree Surrounds,1,Acceptable,Good,0
NSW1000,COMARA,108021156,Kempsey Surrounds,1,Good,Good,0
NSW1001,COMBANING,113031266,Temora,1,Good,Good,0
NSW1002,COMBARA,105011094,Coonamble,1,Good,Good,0
NSW1003,COMBERTON,114011273,Callala Bay - Currarong,1,Good,Good,0
NSW1004,COMBO,106011112,Singleton,1,Good,Good,0
NSW1005,COMBOYNE,108041165,Port Macquarie Surrounds,1,Good,Good,0
NSW1006,COME BY CHANCE,105011096,Walgett - Lightning Ridge,1,Good,Good,0
NSW1007,COMERONG ISLAND,114011274,Culburra Beach,1,Good,Good,0
NSW1008,COMMISSIONERS CREEK,112031252,Murwillumbah Surrounds,1,Good,Good,0
NSW1009,COMO,128021536,Oyster Bay - Como - Jannali,1,Good,Good,0
NSW101,ASHMONT,113031270,Wagga Wagga - West,1,Good,Good,0
NSW1010,COMOBELLA,105031106,Wellington,1,Good,Good,0
NSW1011,CONARGO,109031183,Deniliquin Surrounds,1,Good,Good,0
NSW1012,CONCORD,120011383,Concord - Mortlake - Cabarita,0.9999997,Good,Good,0
NSW1012,CONCORD,120011386,Five Dock - Abbotsford,3.00E-07,Good,Good,1
NSW1013,CONCORD WEST,120011672,Concord West - North Strathfield,1,Good,Good,0
NSW1014,CONDELL PARK,119011356,Condell Park,0.9699636,Good,Good,0
NSW1014,CONDELL PARK,119011572,Bankstown - South,0.0300364,Poor,Good,0
NSW1015,CONDOBOLIN,103021062,Condobolin,1,Good,Good,0
NSW1016,CONDONG,112031251,Murwillumbah,1.63E-05,Good,Good,1
NSW1016,CONDONG,112031252,Murwillumbah Surrounds,0.9999837,Good,Good,0
NSW1017,CONEAC,108051167,Gloucester,1,Good,Good,0
NSW1018,CONGARINNI,108021159,Nambucca Heads Surrounds,1,Good,Good,0
NSW1019,CONGARINNI NORTH,108021159,Nambucca Heads Surrounds,1,Good,Good,0
NSW102,ASHTONFIELD,106021614,East Maitland - Metford,1,Acceptable,Good,0
NSW1020,CONGEWAI,106011109,Cessnock Surrounds,1,Good,Good,0
NSW1021,CONGO,101041026,Moruya - Tuross Head,1,Good,Good,0
NSW1022,CONIMBIA,105011094,Coonamble,1,Good,Good,0
NSW1023,CONISTON,107011133,Port Kembla Industrial,4.20E-06,Poor,Good,1
NSW1023,CONISTON,107041548,Wollongong - East,0.0384379,Poor,Good,0
NSW1023,CONISTON,107041549,Wollongong - West,0.9615579,Poor,Good,0
NSW1024,CONJOLA,114011283,Ulladulla Surrounds,1,Good,Good,0
NSW1025,CONJOLA PARK,114011283,Ulladulla Surrounds,1,Good,Good,0
NSW1026,CONNELLS POINT,119031374,South Hurstville - Blakehurst,1,Acceptable,Good,0
NSW1027,CONSTITUTION HILL,125041493,Toongabbie - Constitution Hill,1,Poor,Good,0
NSW1028,COOGEE,118021651,Coogee - Clovelly,1,Good,Good,0
NSW1029,COOKAMIDGERA,103021068,Parkes Surrounds,1,Acceptable,Good,0
NSW103,ASQUITH,121021403,Asquith - Mount Colah,0.9974035,Good,Good,0
NSW103,ASQUITH,121021577,Hornsby - East,4.90E-06,Poor,Good,1
NSW103,ASQUITH,121021578,Hornsby - West,0.0025915,Poor,Good,1
NSW1030,COOKARDINIA,109011175,Albury Surrounds,1,Good,Good,0
NSW1031,COOKS GAP,103031074,Mudgee Surrounds - West,1,Good,Good,0
NSW1032,COOKS HILL,111031228,Merewether - The Junction,0.0308922,Good,Good,0
