DZN_CODE_2016,DZN_NAME_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
111038738,111038738,12390,Dubbo Regional,1,Good,Good,0
111038739,111038739,11400,Cabonne,0.0594065,Good,Good,0
111038739,111038739,12390,Dubbo Regional,0.9405935,Good,Good,0
111048724,111048724,17950,Warren,0.1204302,Good,Good,0
111048724,111048724,12950,Gilgandra,0.8795698,Good,Good,0
111048725,111048725,12950,Gilgandra,1,Good,Good,0
111048726,111048726,12950,Gilgandra,1,Good,Good,0
111050001,111050001,17950,Warren,0.002871,Good,Good,1
111050001,111050001,15850,Narromine,0.997129,Good,Good,0
111050002,111050002,15850,Narromine,1,Good,Good,0
111058720,111058720,15850,Narromine,1,Good,Good,0
111060001,111060001,12390,Dubbo Regional,1,Good,Good,0
111060002,111060002,12390,Dubbo Regional,1,Good,Good,0
111068754,111068754,12390,Dubbo Regional,1,Good,Good,0
111068755,111068755,11400,Cabonne,1,Good,Good,0
111068757,111068757,11400,Cabonne,0.0000002,Good,Good,1
111068757,111068757,12390,Dubbo Regional,0.9999998,Good,Good,0
111077020,111077020,11720,Cessnock,1,Good,Good,0
111077021,111077021,11720,Cessnock,1,Good,Good,0
111077022,111077022,17000,Singleton,1,Good,Good,0
111077023,111077023,15050,Maitland,0.0397913,Good,Good,0
111077023,111077023,11720,Cessnock,0.9602087,Good,Good,0
111077024,111077024,17000,Singleton,0.0065057,Good,Good,1
111077024,111077024,11720,Cessnock,0.9934943,Good,Good,0
111080001,111080001,11720,Cessnock,1,Good,Good,0
111080002,111080002,11720,Cessnock,1,Good,Good,0
111087055,111087055,11720,Cessnock,1,Good,Good,0
111087057,111087057,11720,Cessnock,1,Good,Good,0
111087058,111087058,11720,Cessnock,1,Good,Good,0
111087060,111087060,11720,Cessnock,1,Good,Good,0
111087061,111087061,11720,Cessnock,1,Good,Good,0
111087062,111087062,11720,Cessnock,1,Good,Good,0
111097037,111097037,11720,Cessnock,1,Good,Good,0
111097038,111097038,11720,Cessnock,1,Good,Good,0
111097039,111097039,11720,Cessnock,1,Good,Good,0
111097040,111097040,11720,Cessnock,1,Good,Good,0
111097041,111097041,11720,Cessnock,1,Good,Good,0
111108028,111108028,12700,Dungog,1,Good,Good,0
111108029,111108029,12700,Dungog,1,Good,Good,0
111108030,111108030,12700,Dungog,1,Good,Good,0
111108031,111108031,12700,Dungog,1,Good,Good,0
111108032,111108032,12700,Dungog,1,Good,Good,0
111110001,111110001,15050,Maitland,0.0076167,Good,Good,1
111110001,111110001,11720,Cessnock,0.9923833,Good,Good,0
111117075,111117075,11720,Cessnock,1,Good,Good,0
111117076,111117076,11720,Cessnock,1,Good,Good,0
