LOCALITY_PID_2021,LOCALITY_NAME_2021,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT558,MACQUARIE,802,Canberra,1,Good,Good,0
ACT559,BELCONNEN,803,Fenner,1,Good,Good,0
ACT560,FLOREY,803,Fenner,1,Good,Good,0
ACT561,PAGE,803,Fenner,1,Good,Good,0
ACT562,WEETANGERA,802,Canberra,1,Good,Good,0
ACT563,HAWKER,802,Canberra,1,Good,Good,0
ACT564,SCULLIN,803,Fenner,1,Good,Good,0
ACT566,LATHAM,803,Fenner,1,Good,Good,0
ACT567,HIGGINS,803,Fenner,1,Good,Good,0
ACT568,HOLT,803,Fenner,1,Good,Good,0
ACT569,MACGREGOR,803,Fenner,1,Good,Good,0
ACT570,CHARNWOOD,803,Fenner,1,Good,Good,0
ACT571,FLYNN,803,Fenner,1,Good,Good,0
ACT572,MELBA,803,Fenner,1,Good,Good,0
ACT574,EVATT,803,Fenner,1,Good,Good,0
ACT575,MCKELLAR,803,Fenner,1,Good,Good,0
ACT576,SPENCE,803,Fenner,1,Good,Good,0
ACT577,FRASER,803,Fenner,1,Good,Good,0
ACT578,DUNLOP,803,Fenner,1,Good,Good,0
ACT580,LAWSON,802,Canberra,1,Good,Good,0
ACT601,KAMBAH,801,Bean,1,Good,Good,0
ACT602,WANNIASSA,801,Bean,1,Good,Good,0
ACT603,MONASH,801,Bean,1,Good,Good,0
ACT604,GOWRIE,801,Bean,1,Good,Good,0
ACT605,FADDEN,801,Bean,1,Good,Good,0
ACT606,MACARTHUR,801,Bean,1,Good,Good,0
ACT607,RICHARDSON,801,Bean,1,Good,Good,0
ACT608,GILMORE,801,Bean,1,Good,Good,0
ACT609,CHISHOLM,801,Bean,1,Good,Good,0
ACT610,THEODORE,801,Bean,1,Good,Good,0
ACT611,CALWELL,801,Bean,1,Good,Good,0
ACT612,ISABELLA PLAINS,801,Bean,1,Good,Good,0
ACT613,CONDER,801,Bean,1,Good,Good,0
ACT614,BANKS,801,Bean,1,Good,Good,0
ACT615,GREENWAY,801,Bean,1,Good,Good,0
ACT616,GORDON,801,Bean,1,Good,Good,0
ACT619,BONYTHON,801,Bean,1,Good,Good,0
ACT623,OXLEY,801,Bean,1,Good,Good,0
ACT659,THARWA,801,Bean,1,Good,Good,0
ACT701,MITCHELL,803,Fenner,1,Good,Good,0
ACT706,NGUNNAWAL,803,Fenner,1,Good,Good,0
ACT707,AMAROO,803,Fenner,1,Good,Good,0
ACT708,NICHOLLS,803,Fenner,1,Good,Good,0
ACT709,PALMERSTON,803,Fenner,1,Good,Good,0
ACT710,GUNGAHLIN,803,Fenner,1,Good,Good,0
ACT711,HARRISON,803,Fenner,1,Good,Good,0
ACT716,FORDE,803,Fenner,1,Good,Good,0
ACT719,BONNER,803,Fenner,1,Good,Good,0
ACT801,OAKS ESTATE,802,Canberra,1,Good,Good,0
ACT802,HUME,801,Bean,1,Good,Good,0
ACT803,SYMONSTON,801,Bean,0.469307,Good,Good,0
ACT803,SYMONSTON,802,Canberra,0.530693,Good,Good,0
ACT901,HALL,803,Fenner,1,Good,Good,0
ACT902,FRANKLIN,803,Fenner,1,Good,Good,0
ACT903,CASEY,803,Fenner,1,Good,Good,0
ACT904,CRACE,803,Fenner,1,Good,Good,0
ACT905,BEARD,802,Canberra,1,Good,Good,0
ACT906,COOMBS,801,Bean,1,Good,Good,0
ACT907,WRIGHT,801,Bean,1,Good,Good,0
ACT927,URIARRA VILLAGE,801,Bean,1,Good,Good,0
ACT928,JACKA,803,Fenner,1,Good,Good,0
ACT929,DENMAN PROSPECT,801,Bean,1,Good,Good,0
ACT930,MOLONGLO,801,Bean,1,Good,Good,0
ACT931,CANBERRA AIRPORT,802,Canberra,1,Good,Good,0
ACT932,MONCRIEFF,803,Fenner,1,Good,Good,0
ACT933,THROSBY,803,Fenner,1,Good,Good,0
ACT934,TAYLOR,803,Fenner,1,Good,Good,0
ACT935,STRATHNAIRN,803,Fenner,1,Good,Good,0
ACT936,MACNAMARA,803,Fenner,1,Good,Good,0
ACT937,WHITLAM,802,Canberra,0.125208,Good,Good,0
ACT937,WHITLAM,801,Bean,0.874792,Good,Good,0
NSW1,AARONS PASS,107,Calare,1,Good,Good,0
NSW10,ABERGLASSLYN,136,Paterson,1,Good,Good,0
NSW100,ASHLEY,134,Parkes,1,Good,Good,0
NSW1000,COMARA,110,Cowper,1,Good,Good,0
NSW1001,COMBANING,139,Riverina,1,Good,Good,0
NSW1002,COMBARA,134,Parkes,1,Good,Good,0
NSW1003,COMBERTON,116,Gilmore,1,Good,Good,0
NSW1004,COMBO,121,Hunter,1,Good,Good,0
NSW1005,COMBOYNE,124,Lyne,1,Good,Good,0
NSW1006,COME BY CHANCE,134,Parkes,1,Good,Good,0
NSW1007,COMERONG ISLAND,116,Gilmore,1,Good,Good,0
NSW1008,COMMISSIONERS CREEK,138,Richmond,1,Good,Good,0
NSW1009,COMO,119,Hughes,1,Good,Good,0
NSW101,ASHMONT,139,Riverina,1,Good,Good,0
NSW1010,COMOBELLA,107,Calare,1,Good,Good,0
NSW1011,CONARGO,114,Farrer,1,Good,Good,0
NSW1012,CONCORD,137,Reid,1,Good,Good,0
NSW1013,CONCORD WEST,137,Reid,1,Good,Good,0
NSW1014,CONDELL PARK,105,Blaxland,1,Good,Good,0
NSW1015,CONDOBOLIN,134,Parkes,1,Good,Good,0
NSW1016,CONDONG,138,Richmond,1,Good,Good,0
NSW1017,CONEAC,124,Lyne,1,Good,Good,0
NSW1018,CONGARINNI,110,Cowper,1,Good,Good,0
NSW1019,CONGARINNI NORTH,110,Cowper,1,Good,Good,0
NSW102,ASHTONFIELD,136,Paterson,1,Good,Good,0
NSW1020,CONGEWAI,121,Hunter,1,Good,Good,0
NSW1021,CONGO,116,Gilmore,1,Good,Good,0
NSW1022,CONIMBIA,134,Parkes,1,Good,Good,0
NSW1023,CONISTON,111,Cunningham,1,Good,Good,0
NSW1024,CONJOLA,116,Gilmore,1,Good,Good,0
NSW1025,CONJOLA PARK,116,Gilmore,1,Good,Good,0
NSW1026,CONNELLS POINT,109,Cook,0.0726763,Good,Good,0
NSW1026,CONNELLS POINT,101,Banks,0.9273237,Acceptable,Good,0
NSW1027,CONSTITUTION HILL,135,Parramatta,1,Acceptable,Good,0
NSW1028,COOGEE,122,Kingsford Smith,1,Good,Good,0
NSW1029,COOKAMIDGERA,139,Riverina,1,Good,Good,0
NSW103,ASQUITH,106,Bradfield,0.3870274,Good,Good,0
NSW103,ASQUITH,104,Berowra,0.6129726,Acceptable,Good,0
NSW1030,COOKARDINIA,114,Farrer,1,Good,Good,0
NSW1031,COOKS GAP,107,Calare,1,Good,Good,0
NSW1032,COOKS HILL,131,Newcastle,1,Good,Good,0
NSW1033,COOKS MYALLS,139,Riverina,1,Good,Good,0
NSW1034,COOLABAH,134,Parkes,1,Good,Good,0
NSW1035,COOLAC,139,Riverina,1,Good,Good,0
NSW1036,COOLAGOLITE,113,Eden-Monaro,1,Good,Good,0
NSW1037,COOLAH,134,Parkes,1,Good,Good,0
NSW1038,COOLAMON,139,Riverina,1,Good,Good,0
NSW1039,COOLANGATTA,116,Gilmore,1,Good,Good,0
NSW104,ATHOLWOOD,130,New England,1,Good,Good,0
NSW1040,COOLANGUBRA,113,Eden-Monaro,1,Good,Good,0
NSW1041,COOLATAI,130,New England,0.1104778,Good,Good,0
NSW1041,COOLATAI,134,Parkes,0.8895222,Good,Good,0
NSW1043,COOLEMAN,113,Eden-Monaro,1,Good,Good,0
NSW1044,COOLEYS CREEK,113,Eden-Monaro,1,Good,Good,0
NSW1045,COOLGARDIE,133,Page,1,Good,Good,0
NSW1046,COOLONGOLOOK,124,Lyne,1,Good,Good,0
NSW1047,COOLRINGDON,113,Eden-Monaro,1,Good,Good,0
NSW1048,COOLUMBOOKA,113,Eden-Monaro,1,Good,Good,0
NSW1049,COOLUMBURRA,116,Gilmore,1,Good,Good,0
NSW105,ATTUNGA,130,New England,1,Good,Good,0
NSW1050,COOMA,113,Eden-Monaro,1,Good,Good,0
NSW1051,COOMBA BAY,124,Lyne,1,Good,Good,0
NSW1052,COOMBA PARK,124,Lyne,1,Good,Good,0
NSW1053,COOMBADJHA,130,New England,0.0009042,Good,Good,1
NSW1053,COOMBADJHA,133,Page,0.9990958,Good,Good,0
NSW1054,COOMBELL,133,Page,1,Good,Good,0
NSW1055,COOMOO COOMOO,130,New England,1,Good,Good,0
NSW1056,COONABARABRAN,134,Parkes,1,Good,Good,0
NSW1057,COONAMBLE,134,Parkes,1,Good,Good,0
NSW1058,COONGBAR,133,Page,1,Good,Good,0
NSW1059,COOPERABUNG,110,Cowper,1,Good,Good,0
NSW106,AUBURN,137,Reid,1.80E-06,Good,Good,1
NSW106,AUBURN,105,Blaxland,0.9999982,Good,Good,0
NSW1060,COOPERNOOK,124,Lyne,1,Good,Good,0
