ILOC_CODE_2021,ILOC_NAME_2021,RA_CODE_2016,RA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10700302,Blackett,10,Major Cities of Australia,1,Good,Good,0
10700303,Blacktown - North,10,Major Cities of Australia,1,Good,Good,0
10700304,Blacktown - South,10,Major Cities of Australia,1,Good,Good,0
10700305,Dharruk,10,Major Cities of Australia,1,Good,Good,0
10700306,Doonside - Woodcroft,10,Major Cities of Australia,1,Good,Good,0
10700307,Emerton,10,Major Cities of Australia,1,Good,Good,0
10700308,Glendenning,10,Major Cities of Australia,1,Good,Good,0
10700309,Hassall Grove - Oakhurst - Plumpton,10,Major Cities of Australia,1,Good,Good,0
10700310,Hebersham,10,Major Cities of Australia,1,Good,Good,0
10700311,Kings Langley,10,Major Cities of Australia,1,Good,Good,0
10700312,Lalor Park,10,Major Cities of Australia,1,Good,Good,0
10700313,Lethbridge Park,10,Major Cities of Australia,1,Good,Good,0
10700314,Marayong,10,Major Cities of Australia,1,Good,Good,0
10700315,Mount Druitt - Whalan,10,Major Cities of Australia,1,Good,Good,0
10700316,Parklea - Glenwood - Acacia Gardens,10,Major Cities of Australia,1,Good,Good,0
10700317,Quakers Hill,10,Major Cities of Australia,1,Good,Good,0
10700318,Rooty Hill,10,Major Cities of Australia,1,Good,Good,0
10700319,Shalvey - Willmot,10,Major Cities of Australia,1,Good,Good,0
10700320,Tregear - Ropes Crossing,10,Major Cities of Australia,1,Good,Good,0
10700401,Blaxland - Glenbrook,10,Major Cities of Australia,1,Good,Good,0
10700402,Blue Mountains -  Surrounds,10,Major Cities of Australia,0.7608692,Good,Good,0
10700402,Blue Mountains -  Surrounds,11,Inner Regional Australia,0.2391308,Acceptable,Good,0
10700403,Katoomba,10,Major Cities of Australia,0.9969639,Good,Good,0
10700403,Katoomba,11,Inner Regional Australia,0.0030361,Acceptable,Good,1
10700404,Lawson,10,Major Cities of Australia,1,Good,Good,0
10700405,Springwood,10,Major Cities of Australia,1,Good,Good,0
10700501,Botany Bay,10,Major Cities of Australia,1,Good,Good,0
10700601,Camden,10,Major Cities of Australia,1,Good,Good,0
10700701,Airds,10,Major Cities of Australia,1,Good,Good,0
10700702,Ambarvale - Glen Alpine,10,Major Cities of Australia,1,Good,Good,0
10700703,Bradbury,10,Major Cities of Australia,1,Good,Good,0
10700704,Campbelltown - Surrounds,10,Major Cities of Australia,1,Good,Good,0
10700705,Campbelltown - Woodbine - Leumeah,10,Major Cities of Australia,1,Good,Good,0
10700706,Claymore - Eagle Vale,10,Major Cities of Australia,1,Good,Good,0
10700707,Ingleburn - Denham Court,10,Major Cities of Australia,1,Good,Good,0
10700708,Macquarie Fields - Glenfield,10,Major Cities of Australia,1,Good,Good,0
10700709,Minto,10,Major Cities of Australia,1,Good,Good,0
10700710,Raby - St Andrews - Kearns,10,Major Cities of Australia,1,Good,Good,0
10700711,Rosemeadow,10,Major Cities of Australia,1,Good,Good,0
10700712,Ruse,10,Major Cities of Australia,1,Good,Good,0
10700713,St Helens Park,10,Major Cities of Australia,1,Good,Good,0
10700801,Bankstown - North-East,10,Major Cities of Australia,1,Good,Good,0
10700802,Bankstown - North-West,10,Major Cities of Australia,1,Good,Good,0
10700803,Bankstown - South,10,Major Cities of Australia,1,Good,Good,0
10700804,Canterbury,10,Major Cities of Australia,1,Good,Good,0
10700901,Fairfield - East,10,Major Cities of Australia,1,Good,Good,0
10700902,Fairfield - West,10,Major Cities of Australia,1,Good,Good,0
10701001,Hawkesbury,10,Major Cities of Australia,0.2426555,Good,Good,0
10701001,Hawkesbury,11,Inner Regional Australia,0.7451343,Acceptable,Good,0
10701001,Hawkesbury,12,Outer Regional Australia,0.0122102,Acceptable,Good,0
10701002,Hawkesbury - Richmond,10,Major Cities of Australia,1,Good,Good,0
10701003,Hawkesbury - Windsor,10,Major Cities of Australia,0.9301,Good,Good,0
10701003,Hawkesbury - Windsor,11,Inner Regional Australia,0.0699,Acceptable,Good,0
10701101,Holroyd,10,Major Cities of Australia,1,Good,Good,0
10701201,Hornsby - Ku-ring-gai,10,Major Cities of Australia,0.9804905,Good,Good,0
10701201,Hornsby - Ku-ring-gai,11,Inner Regional Australia,0.0195095,Acceptable,Good,0
10701301,Hunters Hill - Ryde,10,Major Cities of Australia,1,Good,Good,0
10701401,Hurstville,10,Major Cities of Australia,1,Good,Good,0
10701402,Kogarah,10,Major Cities of Australia,1,Good,Good,0
10701501,Kiama,11,Inner Regional Australia,1,Acceptable,Good,0
10701502,Shellharbour,10,Major Cities of Australia,0.9455582,Good,Good,0
10701502,Shellharbour,11,Inner Regional Australia,0.0544418,Acceptable,Good,0
10701601,Leichhardt,10,Major Cities of Australia,1,Good,Good,0
10701701,Liverpool - East,10,Major Cities of Australia,1,Good,Good,0
10701702,Liverpool - West,10,Major Cities of Australia,0.9921025,Good,Good,0
10701702,Liverpool - West,11,Inner Regional Australia,0.0078975,Acceptable,Good,1
10701801,Lord Howe Island,14,Very Remote Australia,1,Acceptable,Good,0
10701901,Marrickville,10,Major Cities of Australia,1,Good,Good,0
10702001,Manly - Warringah,10,Major Cities of Australia,1,Good,Good,0
10702002,Pittwater,10,Major Cities of Australia,0.994889,Good,Good,0
10702002,Pittwater,11,Inner Regional Australia,0.005111,Acceptable,Good,1
10702101,Parramatta - Central,10,Major Cities of Australia,1,Good,Good,0
10702102,Parramatta - North-East,10,Major Cities of Australia,1,Good,Good,0
10702103,Parramatta - North-West,10,Major Cities of Australia,1,Good,Good,0
10702104,Parramatta - South,10,Major Cities of Australia,1,Good,Good,0
10702201,Cranebrook - Londonberry,10,Major Cities of Australia,1,Good,Good,0
10702202,Glenmore Park,10,Major Cities of Australia,1,Good,Good,0
10702203,Penrith - Central,10,Major Cities of Australia,1,Good,Good,0
10702204,Penrith - Inner East,10,Major Cities of Australia,1,Good,Good,0
10702205,Penrith - Outer East,10,Major Cities of Australia,1,Good,Good,0
10702206,Penrith - South,10,Major Cities of Australia,0.9778266,Good,Good,0
10702206,Penrith - South,11,Inner Regional Australia,0.0221734,Acceptable,Good,0
10702207,Penrith - West,10,Major Cities of Australia,1,Good,Good,0
10702301,La Perouse,10,Major Cities of Australia,1,Good,Good,0
