SA2_CODE_2021,SA2_NAME_2021,IREG_CODE_2021,IREG_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101061542,Yass Surrounds,106,South-Eastern NSW,0.9733541,Good,Good,0
101061543,Young,105,Riverina - Orange,1,Good,Good,0
101061544,Young Surrounds,105,Riverina - Orange,0.685371,Good,Good,0
101061544,Young Surrounds,106,South-Eastern NSW,0.314629,Good,Good,0
102011028,Avoca Beach - Copacabana,104,NSW Central and North Coast,1,Good,Good,0
102011029,Box Head - MacMasters Beach,104,NSW Central and North Coast,1,Good,Good,0
102011030,Calga - Kulnura,104,NSW Central and North Coast,1,Good,Good,0
102011031,Erina - Green Point,104,NSW Central and North Coast,1,Good,Good,0
102011032,Gosford - Springfield,104,NSW Central and North Coast,1,Good,Good,0
102011033,Kariong,104,NSW Central and North Coast,1,Good,Good,0
102011034,Kincumber - Picketts Valley,104,NSW Central and North Coast,1,Good,Good,0
102011035,Narara,104,NSW Central and North Coast,1,Good,Good,0
102011036,Niagara Park - Lisarow,104,NSW Central and North Coast,1,Good,Good,0
102011037,Point Clare - Koolewong,104,NSW Central and North Coast,1,Good,Good,0
102011038,Saratoga - Davistown,104,NSW Central and North Coast,1,Good,Good,0
102011039,Terrigal - North Avoca,104,NSW Central and North Coast,1,Good,Good,0
102011040,Umina - Booker Bay - Patonga,104,NSW Central and North Coast,1,Good,Good,0
102011041,Wamberal - Forresters Beach,104,NSW Central and North Coast,1,Good,Good,0
102011042,Woy Woy - Blackwall,104,NSW Central and North Coast,1,Good,Good,0
102011043,Wyoming,104,NSW Central and North Coast,1,Good,Good,0
102021044,Bateau Bay - Killarney Vale,104,NSW Central and North Coast,1,Good,Good,0
102021045,Blue Haven - San Remo,104,NSW Central and North Coast,1,Good,Good,0
102021046,Budgewoi - Buff Point - Halekulani,104,NSW Central and North Coast,1,Good,Good,0
102021047,Chittaway Bay - Tumbi Umbi,104,NSW Central and North Coast,1,Good,Good,0
102021048,Gorokan - Kanwal - Charmhaven,104,NSW Central and North Coast,1,Good,Good,0
102021049,Jilliby - Yarramalong,104,NSW Central and North Coast,1,Good,Good,0
102021050,Lake Munmorah - Mannering Park,104,NSW Central and North Coast,1,Good,Good,0
102021051,Ourimbah - Fountaindale,104,NSW Central and North Coast,1,Good,Good,0
102021052,Summerland Point - Gwandalan,104,NSW Central and North Coast,1,Good,Good,0
102021053,The Entrance,104,NSW Central and North Coast,1,Good,Good,0
102021054,Toukley - Norah Head,104,NSW Central and North Coast,1,Good,Good,0
102021055,Tuggerah - Kangy Angy,104,NSW Central and North Coast,1,Good,Good,0
102021056,Warnervale - Wadalba,104,NSW Central and North Coast,1,Good,Good,0
102021057,Wyong,104,NSW Central and North Coast,1,Good,Good,0
103011059,Bathurst - East,105,Riverina - Orange,1,Good,Good,0
103011060,Bathurst Surrounds,105,Riverina - Orange,1,Good,Good,0
103011061,Oberon,105,Riverina - Orange,1,Good,Good,0
103011612,Bathurst - South,105,Riverina - Orange,1,Good,Good,0
103011613,Bathurst - West,105,Riverina - Orange,1,Good,Good,0
103021062,Condobolin,105,Riverina - Orange,1,Good,Good,0
103021063,Cowra,105,Riverina - Orange,1,Good,Good,0
103021064,Cowra Surrounds,105,Riverina - Orange,1,Good,Good,0
103021065,Forbes,105,Riverina - Orange,1,Good,Good,0
103021066,Grenfell,105,Riverina - Orange,1,Good,Good,0
103021067,Parkes (NSW),101,Dubbo,1,Good,Good,0
103021068,Parkes Surrounds,101,Dubbo,1,Good,Good,0
103021069,West Wyalong,105,Riverina - Orange,1,Good,Good,0
103031070,Lithgow,105,Riverina - Orange,1,Good,Good,0
103031071,Lithgow Surrounds,105,Riverina - Orange,1,Good,Good,0
103031072,Mudgee,105,Riverina - Orange,1,Good,Good,0
103031073,Mudgee Surrounds - East,105,Riverina - Orange,1,Good,Good,0
103031074,Mudgee Surrounds - West,105,Riverina - Orange,1,Good,Good,0
103031075,Wollangambe - Wollemi,105,Riverina - Orange,1,Good,Good,0
103041076,Blayney,105,Riverina - Orange,1,Good,Good,0
103041077,Orange,105,Riverina - Orange,1,Good,Good,0
103041078,Orange - North,105,Riverina - Orange,1,Good,Good,0
103041079,Orange Surrounds,105,Riverina - Orange,1,Good,Good,0
104011080,Grafton,104,NSW Central and North Coast,1,Good,Good,0
104011081,Grafton Surrounds,104,NSW Central and North Coast,1,Good,Good,0
104011082,Maclean - Yamba - Iluka,104,NSW Central and North Coast,1,Good,Good,0
104021083,Bellingen,104,NSW Central and North Coast,1,Good,Good,0
104021084,Coffs Harbour - North,104,NSW Central and North Coast,1,Good,Good,0
104021085,Coffs Harbour - South,104,NSW Central and North Coast,1,Good,Good,0
104021086,Coramba - Nana Glen - Bucca,104,NSW Central and North Coast,1,Good,Good,0
104021087,Dorrigo,104,NSW Central and North Coast,1,Good,Good,0
104021088,Korora - Emerald Beach,104,NSW Central and North Coast,1,Good,Good,0
104021089,Sawtell - Boambee,104,NSW Central and North Coast,1,Good,Good,0
104021090,Urunga,104,NSW Central and North Coast,1,Good,Good,0
104021091,Woolgoolga - Arrawarra,104,NSW Central and North Coast,1,Good,Good,0
105011092,Bourke - Brewarrina,103,North-Western NSW,1,Good,Good,0
105011093,Cobar,103,North-Western NSW,1,Good,Good,0
105011094,Coonamble,101,Dubbo,0.0533076,Good,Good,0
105011094,Coonamble,103,North-Western NSW,0.9466924,Good,Good,0
105011095,Nyngan - Warren,101,Dubbo,1,Good,Good,0
105011096,Walgett - Lightning Ridge,103,North-Western NSW,1,Good,Good,0
105021097,Broken Hill,103,North-Western NSW,1,Good,Good,0
105021098,Far West,103,North-Western NSW,1,Good,Good,0
105031099,Coonabarabran,101,Dubbo,1,Good,Good,0
105031100,Dubbo - East,101,Dubbo,1,Good,Good,0
105031101,Dubbo - South,101,Dubbo,1,Good,Good,0
105031102,Dubbo - West,101,Dubbo,1,Good,Good,0
105031103,Dubbo Surrounds,101,Dubbo,1,Good,Good,0
105031104,Gilgandra,101,Dubbo,1,Good,Good,0
105031105,Narromine,101,Dubbo,1,Good,Good,0
105031106,Wellington,101,Dubbo,1,Good,Good,0
106011107,Branxton - Greta - Pokolbin,104,NSW Central and North Coast,1,Good,Good,0
106011108,Cessnock,104,NSW Central and North Coast,1,Good,Good,0
106011109,Cessnock Surrounds,104,NSW Central and North Coast,1,Good,Good,0
106011110,Dungog,104,NSW Central and North Coast,1,Good,Good,0
106011111,Kurri Kurri - Abermain,104,NSW Central and North Coast,1,Good,Good,0
106011112,Singleton,104,NSW Central and North Coast,1,Good,Good,0
106011113,Singleton Surrounds,104,NSW Central and North Coast,1,Good,Good,0
106021114,Maitland,104,NSW Central and North Coast,1,Good,Good,0
106021116,Maitland - North,104,NSW Central and North Coast,1,Good,Good,0
106021614,East Maitland - Metford,104,NSW Central and North Coast,1,Good,Good,0
106021615,Rutherford (North) - Aberglasslyn,104,NSW Central and North Coast,1,Good,Good,0
106021616,Rutherford (South) - Telarah,104,NSW Central and North Coast,1,Good,Good,0
106021617,Tenambit - East Maitland,104,NSW Central and North Coast,1,Good,Good,0
106021618,Thornton - Millers Forest,104,NSW Central and North Coast,1,Good,Good,0
106031119,Anna Bay,104,NSW Central and North Coast,1,Good,Good,0
106031120,Lemon Tree Passage - Tanilba Bay,104,NSW Central and North Coast,1,Good,Good,0
106031121,Nelson Bay Peninsula,104,NSW Central and North Coast,1,Good,Good,0
106031122,Raymond Terrace,104,NSW Central and North Coast,1,Good,Good,0
106031123,Seaham - Woodville,104,NSW Central and North Coast,1,Good,Good,0
106031124,Tea Gardens - Hawks Nest,104,NSW Central and North Coast,1,Good,Good,0
106031125,Williamtown - Medowie - Karuah,104,NSW Central and North Coast,1,Good,Good,0
106041126,Muswellbrook,102,North-Eastern NSW,1,Good,Good,0
106041127,Muswellbrook Surrounds,102,North-Eastern NSW,1,Good,Good,0
106041128,Scone,102,North-Eastern NSW,1,Good,Good,0
106041129,Scone Surrounds,102,North-Eastern NSW,1,Good,Good,0
107011131,Dapto - Avondale,107,Sydney - Wollongong,1,Good,Good,0
107011132,Horsley - Kembla Grange,107,Sydney - Wollongong,1,Good,Good,0
107011133,Port Kembla Industrial,107,Sydney - Wollongong,1,Good,Good,0
107011134,Unanderra - Mount Kembla,107,Sydney - Wollongong,1,Good,Good,0
107011545,Berkeley - Lake Heights - Cringila,107,Sydney - Wollongong,1,Good,Good,0
107011546,Port Kembla - Warrawong,107,Sydney - Wollongong,1,Good,Good,0
107011547,Windang - Primbee,107,Sydney - Wollongong,1,Good,Good,0
107021135,Illawarra Catchment Reserve,106,South-Eastern NSW,1,Good,Good,0
107031136,Albion Park - Macquarie Pass,107,Sydney - Wollongong,1,Good,Good,0
107031137,Albion Park Rail,107,Sydney - Wollongong,1,Good,Good,0
107031138,Kiama,107,Sydney - Wollongong,1,Good,Good,0
107031139,Kiama Downs - Minnamurra,107,Sydney - Wollongong,1,Good,Good,0
107031140,Kiama Hinterland - Gerringong,107,Sydney - Wollongong,1,Good,Good,0
107031141,Shellharbour - Flinders,107,Sydney - Wollongong,1,Good,Good,0
107031142,Shellharbour - Oak Flats,107,Sydney - Wollongong,1,Good,Good,0
107031143,Warilla,107,Sydney - Wollongong,1,Good,Good,0
107041144,Balgownie - Fairy Meadow,107,Sydney - Wollongong,1,Good,Good,0
107041145,Corrimal - Tarrawanna - Bellambi,107,Sydney - Wollongong,1,Good,Good,0
107041146,Figtree - Keiraville,107,Sydney - Wollongong,1,Good,Good,0
107041147,Helensburgh,107,Sydney - Wollongong,1,Good,Good,0
107041148,Thirroul - Austinmer - Coalcliff,107,Sydney - Wollongong,1,Good,Good,0
107041150,Woonona - Bulli - Russell Vale,107,Sydney - Wollongong,1,Good,Good,0
107041548,Wollongong - East,107,Sydney - Wollongong,1,Good,Good,0
107041549,Wollongong - West,107,Sydney - Wollongong,1,Good,Good,0
108011151,Bulahdelah - Stroud,104,NSW Central and North Coast,1,Good,Good,0
108011152,Forster,104,NSW Central and North Coast,1,Good,Good,0
108011153,Forster-Tuncurry Surrounds,104,NSW Central and North Coast,1,Good,Good,0
108011154,Tuncurry,104,NSW Central and North Coast,1,Good,Good,0
108021155,Kempsey,104,NSW Central and North Coast,1,Good,Good,0
108021156,Kempsey Surrounds,104,NSW Central and North Coast,1,Good,Good,0
108021157,Macksville - Scotts Head,104,NSW Central and North Coast,1,Good,Good,0
108021158,Nambucca Heads,104,NSW Central and North Coast,1,Good,Good,0
108021159,Nambucca Heads Surrounds,104,NSW Central and North Coast,1,Good,Good,0
108021160,South West Rocks,104,NSW Central and North Coast,1,Good,Good,0
108031161,Lord Howe Island,107,Sydney - Wollongong,1,Good,Good,0
108041162,Laurieton - Bonny Hills,104,NSW Central and North Coast,1,Good,Good,0
108041164,Port Macquarie - West,104,NSW Central and North Coast,1,Good,Good,0
108041165,Port Macquarie Surrounds,104,NSW Central and North Coast,1,Good,Good,0
108041166,Wauchope,104,NSW Central and North Coast,1,Good,Good,0
108041619,Port Macquarie - East,104,NSW Central and North Coast,1,Good,Good,0
108041620,Port Macquarie - South,104,NSW Central and North Coast,1,Good,Good,0
108051167,Gloucester,104,NSW Central and North Coast,1,Good,Good,0
108051168,Old Bar - Manning Point - Red Head,104,NSW Central and North Coast,1,Good,Good,0
108051169,Taree,104,NSW Central and North Coast,1,Good,Good,0
108051170,Taree Surrounds,104,NSW Central and North Coast,1,Good,Good,0
108051171,Wingham,104,NSW Central and North Coast,1,Good,Good,0
109011172,Albury - East,105,Riverina - Orange,1,Good,Good,0
109011173,Albury - North,105,Riverina - Orange,1,Good,Good,0
109011174,Albury - South,105,Riverina - Orange,1,Good,Good,0
109011175,Albury Surrounds,105,Riverina - Orange,1,Good,Good,0
109011176,Lavington,105,Riverina - Orange,1,Good,Good,0
109021177,Hay,105,Riverina - Orange,1,Good,Good,0
109021178,Wentworth - Buronga,105,Riverina - Orange,1,Good,Good,0
109021179,Wentworth-Balranald Region,105,Riverina - Orange,1,Good,Good,0
109031180,Corowa,105,Riverina - Orange,1,Good,Good,0
109031181,Corowa Surrounds,105,Riverina - Orange,1,Good,Good,0
109031182,Deniliquin,105,Riverina - Orange,1,Good,Good,0
109031183,Deniliquin Surrounds,105,Riverina - Orange,1,Good,Good,0
109031184,Moama,105,Riverina - Orange,1,Good,Good,0
109031185,Tocumwal - Finley - Jerilderie,105,Riverina - Orange,1,Good,Good,0
110011186,Armidale,102,North-Eastern NSW,1,Good,Good,0
110011187,Armidale Surrounds - North,102,North-Eastern NSW,1,Good,Good,0
110011188,Armidale Surrounds - South,102,North-Eastern NSW,1,Good,Good,0
110011189,Walcha,102,North-Eastern NSW,1,Good,Good,0
110021190,Glen Innes,102,North-Eastern NSW,1,Good,Good,0
110021191,Inverell,102,North-Eastern NSW,1,Good,Good,0
110021192,Inverell Surrounds - East,102,North-Eastern NSW,1,Good,Good,0
110021193,Inverell Surrounds - West,102,North-Eastern NSW,1,Good,Good,0
110021194,Tenterfield,102,North-Eastern NSW,1,Good,Good,0
110031195,Moree,102,North-Eastern NSW,1,Good,Good,0
110031196,Moree Surrounds,102,North-Eastern NSW,1,Good,Good,0
110031197,Narrabri,102,North-Eastern NSW,1,Good,Good,0
110031198,Narrabri Surrounds,102,North-Eastern NSW,1,Good,Good,0
110041199,Gunnedah,102,North-Eastern NSW,1,Good,Good,0
110041200,Gunnedah Surrounds,102,North-Eastern NSW,1,Good,Good,0
110041201,Quirindi,102,North-Eastern NSW,1,Good,Good,0
110041202,Tamworth - East,102,North-Eastern NSW,1,Good,Good,0
110041203,Tamworth - North,102,North-Eastern NSW,1,Good,Good,0
110041204,Tamworth - West,102,North-Eastern NSW,1,Good,Good,0
110041205,Tamworth Surrounds,102,North-Eastern NSW,1,Good,Good,0
111011206,Belmont - Bennetts Green,104,NSW Central and North Coast,1,Good,Good,0
111011207,Belmont South - Blacksmiths,104,NSW Central and North Coast,1,Good,Good,0
111011208,Charlestown - Dudley,104,NSW Central and North Coast,1,Good,Good,0
111011209,Glendale - Cardiff - Hillsborough,104,NSW Central and North Coast,1,Good,Good,0
111011210,Mount Hutton - Windale,104,NSW Central and North Coast,1,Good,Good,0
111011211,Redhead,104,NSW Central and North Coast,1,Good,Good,0
111011212,Swansea - Caves Beach,104,NSW Central and North Coast,1,Good,Good,0
111011213,Valentine - Eleebana,104,NSW Central and North Coast,1,Good,Good,0
111011214,Warners Bay - Boolaroo,104,NSW Central and North Coast,1,Good,Good,0
111021215,Bolton Point - Teralba,104,NSW Central and North Coast,1,Good,Good,0
111021216,Bonnells Bay - Silverwater,104,NSW Central and North Coast,1,Good,Good,0
111021217,Edgeworth - Cameron Park,104,NSW Central and North Coast,1,Good,Good,0
111021218,Morisset - Cooranbong,104,NSW Central and North Coast,1,Good,Good,0
111021219,Toronto - Awaba,104,NSW Central and North Coast,1,Good,Good,0
111021220,Wangi Wangi - Rathmines,104,NSW Central and North Coast,1,Good,Good,0
111021221,West Wallsend - Barnsley - Killingworth,104,NSW Central and North Coast,1,Good,Good,0
111031222,Adamstown - Kotara,104,NSW Central and North Coast,1,Good,Good,0
111031223,Beresfield - Hexham,104,NSW Central and North Coast,1,Good,Good,0
111031224,Hamilton - Broadmeadow,104,NSW Central and North Coast,1,Good,Good,0
111031225,Lambton - New Lambton,104,NSW Central and North Coast,1,Good,Good,0
111031226,Maryland - Fletcher - Minmi,104,NSW Central and North Coast,1,Good,Good,0
111031227,Mayfield - Warabrook,104,NSW Central and North Coast,1,Good,Good,0
111031228,Merewether - The Junction,104,NSW Central and North Coast,1,Good,Good,0
111031229,Newcastle - Cooks Hill,104,NSW Central and North Coast,1,Good,Good,0
111031230,Newcastle Port - Kooragang,104,NSW Central and North Coast,1,Good,Good,0
111031231,Shortland - Jesmond,104,NSW Central and North Coast,1,Good,Good,0
111031232,Stockton - Fullerton Cove,104,NSW Central and North Coast,1,Good,Good,0
111031233,Wallsend - Elermore Vale,104,NSW Central and North Coast,1,Good,Good,0
111031234,Waratah - North Lambton,104,NSW Central and North Coast,1,Good,Good,0
111031235,Wickham - Carrington - Tighes Hill,104,NSW Central and North Coast,1,Good,Good,0
112011236,Ballina,104,NSW Central and North Coast,1,Good,Good,0
112011237,Ballina Surrounds,104,NSW Central and North Coast,1,Good,Good,0
112011238,Bangalow,104,NSW Central and North Coast,1,Good,Good,0
112011239,Brunswick Heads - Ocean Shores,104,NSW Central and North Coast,1,Good,Good,0
112011240,Byron Bay,104,NSW Central and North Coast,1,Good,Good,0
112011241,Evans Head,104,NSW Central and North Coast,1,Good,Good,0
112011242,Lennox Head - Skennars Head,104,NSW Central and North Coast,1,Good,Good,0
112011243,Mullumbimby,104,NSW Central and North Coast,1,Good,Good,0
112021244,Casino,104,NSW Central and North Coast,1,Good,Good,0
112021245,Casino Surrounds,104,NSW Central and North Coast,1,Good,Good,0
112021246,Goonellabah,104,NSW Central and North Coast,1,Good,Good,0
112021247,Kyogle,104,NSW Central and North Coast,1,Good,Good,0
112021248,Lismore,104,NSW Central and North Coast,1,Good,Good,0
112021249,Lismore Surrounds,104,NSW Central and North Coast,1,Good,Good,0
112031250,Kingscliff - Fingal Head,104,NSW Central and North Coast,1,Good,Good,0
112031251,Murwillumbah,104,NSW Central and North Coast,1,Good,Good,0
112031252,Murwillumbah Surrounds,104,NSW Central and North Coast,1,Good,Good,0
112031253,Pottsville,104,NSW Central and North Coast,1,Good,Good,0
112031254,Tweed Heads,104,NSW Central and North Coast,1,Good,Good,0
112031550,Banora Point,104,NSW Central and North Coast,1,Good,Good,0
112031551,Terranora - North Tumbulgum,104,NSW Central and North Coast,1,Good,Good,0
112031552,Tweed Heads South,104,NSW Central and North Coast,1,Good,Good,0
113011256,Griffith (NSW),105,Riverina - Orange,1,Good,Good,0
113011257,Griffith Surrounds,105,Riverina - Orange,1,Good,Good,0
113011258,Leeton,105,Riverina - Orange,1,Good,Good,0
113011259,Narrandera,105,Riverina - Orange,1,Good,Good,0
113021260,Tumbarumba,105,Riverina - Orange,1,Good,Good,0
113021261,Tumut,105,Riverina - Orange,1,Good,Good,0
113021262,Tumut Surrounds,105,Riverina - Orange,1,Good,Good,0
113031263,Cootamundra,105,Riverina - Orange,1,Good,Good,0
113031264,Gundagai,105,Riverina - Orange,1,Good,Good,0
113031265,Junee,105,Riverina - Orange,1,Good,Good,0
113031266,Temora,105,Riverina - Orange,1,Good,Good,0
113031267,Wagga Wagga - East,105,Riverina - Orange,1,Good,Good,0
113031268,Wagga Wagga - North,105,Riverina - Orange,1,Good,Good,0
113031269,Wagga Wagga - South,105,Riverina - Orange,1,Good,Good,0
113031270,Wagga Wagga - West,105,Riverina - Orange,1,Good,Good,0
113031271,Wagga Wagga Surrounds,105,Riverina - Orange,1,Good,Good,0
114011272,Berry - Kangaroo Valley,106,South-Eastern NSW,1,Good,Good,0
114011273,Callala Bay - Currarong,106,South-Eastern NSW,1,Good,Good,0
114011274,Culburra Beach,106,South-Eastern NSW,1,Good,Good,0
114011275,Ettrema - Sassafras - Budawang,106,South-Eastern NSW,1,Good,Good,0
114011276,Huskisson - Vincentia,106,South-Eastern NSW,1,Good,Good,0
114011277,North Nowra - Bomaderry,106,South-Eastern NSW,1,Good,Good,0
114011278,Nowra,106,South-Eastern NSW,1,Good,Good,0
114011279,St Georges Basin - Erowal Bay,106,South-Eastern NSW,1,Good,Good,0
114011280,Sussex Inlet - Berrara,106,South-Eastern NSW,1,Good,Good,0
114011281,Tomerong - Wandandian - Woollamia,106,South-Eastern NSW,1,Good,Good,0
114011282,Ulladulla,106,South-Eastern NSW,1,Good,Good,0
114011283,Ulladulla Surrounds,106,South-Eastern NSW,1,Good,Good,0
114021284,Bowral,106,South-Eastern NSW,1,Good,Good,0
114021285,Hill Top - Colo Vale,106,South-Eastern NSW,1,Good,Good,0
114021286,Mittagong,106,South-Eastern NSW,1,Good,Good,0
114021287,Moss Vale - Berrima,106,South-Eastern NSW,1,Good,Good,0
114021288,Robertson - Fitzroy Falls,106,South-Eastern NSW,1,Good,Good,0
114021289,Southern Highlands,106,South-Eastern NSW,1,Good,Good,0
115011290,Baulkham Hills - East,107,Sydney - Wollongong,1,Good,Good,0
115011291,Baulkham Hills (West) - Bella Vista,107,Sydney - Wollongong,1,Good,Good,0
115011294,Glenhaven,107,Sydney - Wollongong,1,Good,Good,0
115011296,West Pennant Hills,107,Sydney - Wollongong,1,Good,Good,0
115011553,Castle Hill - Central,107,Sydney - Wollongong,1,Good,Good,0
115011554,Castle Hill - East,107,Sydney - Wollongong,1,Good,Good,0
115011555,Castle Hill - North,107,Sydney - Wollongong,1,Good,Good,0
115011556,Castle Hill - South,107,Sydney - Wollongong,1,Good,Good,0
115011557,Castle Hill - West,107,Sydney - Wollongong,1,Good,Good,0
115011558,Cherrybrook,107,Sydney - Wollongong,1,Good,Good,0
115011621,Kellyville - East,107,Sydney - Wollongong,1,Good,Good,0
115011622,Kellyville - West,107,Sydney - Wollongong,1,Good,Good,0
115021297,Dural - Kenthurst - Wisemans Ferry,107,Sydney - Wollongong,1,Good,Good,0
115021298,Galston - Laughtondale,107,Sydney - Wollongong,1,Good,Good,0
115031299,Bilpin - Colo - St Albans,107,Sydney - Wollongong,1,Good,Good,0
115031300,Kurrajong Heights - Ebenezer,107,Sydney - Wollongong,1,Good,Good,0
115041301,Pitt Town - McGraths Hill,107,Sydney - Wollongong,1,Good,Good,0
115041623,Box Hill - Nelson,107,Sydney - Wollongong,1,Good,Good,0
115041624,North Kellyville,107,Sydney - Wollongong,1,Good,Good,0
115041625,Rouse Hill - Beaumont Hills,107,Sydney - Wollongong,1,Good,Good,0
116011303,Blacktown (East) - Kings Park,107,Sydney - Wollongong,1,Good,Good,0
116011304,Blacktown (North) - Marayong,107,Sydney - Wollongong,1,Good,Good,0
116011306,Doonside - Woodcroft,107,Sydney - Wollongong,1,Good,Good,0
116011307,Lalor Park - Kings Langley,107,Sydney - Wollongong,1,Good,Good,0
116011560,Blacktown - South,107,Sydney - Wollongong,1,Good,Good,0
116011561,Blacktown - West,107,Sydney - Wollongong,1,Good,Good,0
116011626,Seven Hills - Prospect,107,Sydney - Wollongong,1,Good,Good,0
116011627,Toongabbie - West,107,Sydney - Wollongong,1,Good,Good,0
116021309,Glenwood,107,Sydney - Wollongong,1,Good,Good,0
116021562,Acacia Gardens,107,Sydney - Wollongong,1,Good,Good,0
116021563,Quakers Hill,107,Sydney - Wollongong,1,Good,Good,0
116021628,Kellyville Ridge - The Ponds,107,Sydney - Wollongong,1,Good,Good,0
116021629,Marsden Park - Shanes Park,107,Sydney - Wollongong,1,Good,Good,0
116021630,Riverstone,107,Sydney - Wollongong,1,Good,Good,0
116021631,Schofields (West) - Colebee,107,Sydney - Wollongong,1,Good,Good,0
116021632,Schofields - East,107,Sydney - Wollongong,1,Good,Good,0
116021633,Stanhope Gardens - Parklea,107,Sydney - Wollongong,1,Good,Good,0
116031313,Bidwill - Hebersham - Emerton,107,Sydney - Wollongong,1,Good,Good,0
116031314,Glendenning - Dean Park,107,Sydney - Wollongong,1,Good,Good,0
116031315,Hassall Grove - Plumpton,107,Sydney - Wollongong,1,Good,Good,0
116031316,Lethbridge Park - Tregear,107,Sydney - Wollongong,1,Good,Good,0
116031317,Mount Druitt - Whalan,107,Sydney - Wollongong,1,Good,Good,0
116031318,Prospect Reservoir,107,Sydney - Wollongong,1,Good,Good,0
116031319,Rooty Hill - Minchinbury,107,Sydney - Wollongong,1,Good,Good,0
117011320,Banksmeadow,107,Sydney - Wollongong,1,Good,Good,0
117011321,Botany,107,Sydney - Wollongong,1,Good,Good,0
117011323,Pagewood - Hillsdale - Daceyville,107,Sydney - Wollongong,1,Good,Good,0
117011324,Port Botany Industrial,107,Sydney - Wollongong,1,Good,Good,0
117011325,Sydney Airport,107,Sydney - Wollongong,1,Good,Good,0
117011634,Eastlakes,107,Sydney - Wollongong,1,Good,Good,0
117011635,Mascot,107,Sydney - Wollongong,1,Good,Good,0
117021327,Petersham - Stanmore,107,Sydney - Wollongong,1,Good,Good,0
117021328,Sydenham - Tempe - St Peters,107,Sydney - Wollongong,1,Good,Good,0
117021636,Marrickville - North,107,Sydney - Wollongong,1,Good,Good,0
117021637,Marrickville - South,107,Sydney - Wollongong,1,Good,Good,0
117031329,Darlinghurst,107,Sydney - Wollongong,1,Good,Good,0
117031330,Erskineville - Alexandria,107,Sydney - Wollongong,1,Good,Good,0
117031331,Glebe - Forest Lodge,107,Sydney - Wollongong,1,Good,Good,0
117031333,Potts Point - Woolloomooloo,107,Sydney - Wollongong,1,Good,Good,0
117031336,Surry Hills,107,Sydney - Wollongong,1,Good,Good,0
117031638,Camperdown - Darlington,107,Sydney - Wollongong,1,Good,Good,0
117031639,Chippendale,107,Sydney - Wollongong,1,Good,Good,0
117031640,Newtown (NSW),107,Sydney - Wollongong,1,Good,Good,0
117031641,Pyrmont,107,Sydney - Wollongong,1,Good,Good,0
117031642,Redfern,107,Sydney - Wollongong,1,Good,Good,0
117031643,Rosebery - Beaconsfield,107,Sydney - Wollongong,1,Good,Good,0
117031644,Sydney (North) - Millers Point,107,Sydney - Wollongong,1,Good,Good,0
117031645,Sydney (South) - Haymarket,107,Sydney - Wollongong,1,Good,Good,0
117031646,Ultimo,107,Sydney - Wollongong,1,Good,Good,0
117031647,Waterloo,107,Sydney - Wollongong,1,Good,Good,0
117031648,Zetland,107,Sydney - Wollongong,1,Good,Good,0
118011339,Bondi - Tamarama - Bronte,107,Sydney - Wollongong,1,Good,Good,0
118011340,Bondi Beach - North Bondi,107,Sydney - Wollongong,1,Good,Good,0
