LOCALITY_PID,LOCALITY_NAME,IREG_CODE_2021,IREG_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1013,CONCORD WEST,107,Sydney - Wollongong,1,Good,Good,0
NSW1014,CONDELL PARK,107,Sydney - Wollongong,1,Good,Good,0
NSW1015,CONDOBOLIN,105,Riverina - Orange,1,Good,Good,0
NSW1016,CONDONG,104,NSW Central and North Coast,1,Good,Good,0
NSW1017,CONEAC,104,NSW Central and North Coast,1,Good,Good,0
NSW1018,CONGARINNI,104,NSW Central and North Coast,1,Good,Good,0
NSW1019,CONGARINNI NORTH,104,NSW Central and North Coast,1,Good,Good,0
NSW102,ASHTONFIELD,104,NSW Central and North Coast,1,Good,Good,0
NSW1020,CONGEWAI,104,NSW Central and North Coast,1,Good,Good,0
NSW1021,CONGO,106,South-Eastern NSW,1,Good,Good,0
NSW1022,CONIMBIA,103,North-Western NSW,1,Good,Good,0
NSW1023,CONISTON,107,Sydney - Wollongong,1,Good,Good,0
NSW1024,CONJOLA,106,South-Eastern NSW,1,Good,Good,0
NSW1025,CONJOLA PARK,106,South-Eastern NSW,1,Good,Good,0
NSW1026,CONNELLS POINT,107,Sydney - Wollongong,1,Good,Good,0
NSW1027,CONSTITUTION HILL,107,Sydney - Wollongong,1,Good,Good,0
NSW1028,COOGEE,107,Sydney - Wollongong,1,Good,Good,0
NSW1029,COOKAMIDGERA,101,Dubbo,1,Good,Good,0
NSW103,ASQUITH,107,Sydney - Wollongong,1,Good,Good,0
NSW1030,COOKARDINIA,105,Riverina - Orange,1,Good,Good,0
NSW1031,COOKS GAP,105,Riverina - Orange,1,Good,Good,0
NSW1032,COOKS HILL,104,NSW Central and North Coast,1,Good,Good,0
NSW1033,COOKS MYALLS,101,Dubbo,1,Good,Good,0
NSW1034,COOLABAH,101,Dubbo,1,Good,Good,0
NSW1035,COOLAC,105,Riverina - Orange,1,Good,Good,0
NSW1036,COOLAGOLITE,106,South-Eastern NSW,1,Good,Good,0
NSW1037,COOLAH,101,Dubbo,1,Good,Good,0
NSW1038,COOLAMON,105,Riverina - Orange,1,Good,Good,0
NSW1039,COOLANGATTA,106,South-Eastern NSW,1,Good,Good,0
NSW104,ATHOLWOOD,102,North-Eastern NSW,1,Good,Good,0
NSW1040,COOLANGUBRA,106,South-Eastern NSW,1,Good,Good,0
NSW1041,COOLATAI,102,North-Eastern NSW,1,Good,Good,0
NSW1043,COOLEMAN,105,Riverina - Orange,1,Good,Good,0
NSW1044,COOLEYS CREEK,105,Riverina - Orange,1,Good,Good,0
NSW1045,COOLGARDIE,104,NSW Central and North Coast,1,Good,Good,0
NSW1046,COOLONGOLOOK,104,NSW Central and North Coast,1,Good,Good,0
NSW1047,COOLRINGDON,106,South-Eastern NSW,1,Good,Good,0
NSW1048,COOLUMBOOKA,106,South-Eastern NSW,1,Good,Good,0
NSW1049,COOLUMBURRA,106,South-Eastern NSW,1,Good,Good,0
NSW105,ATTUNGA,102,North-Eastern NSW,1,Good,Good,0
NSW1050,COOMA,106,South-Eastern NSW,1,Good,Good,0
NSW1051,COOMBA BAY,104,NSW Central and North Coast,1,Good,Good,0
NSW1052,COOMBA PARK,104,NSW Central and North Coast,1,Good,Good,0
NSW1053,COOMBADJHA,102,North-Eastern NSW,0.0009042,Good,Good,1
NSW1053,COOMBADJHA,104,NSW Central and North Coast,0.9990958,Good,Good,0
NSW1054,COOMBELL,104,NSW Central and North Coast,1,Good,Good,0
NSW1055,COOMOO COOMOO,102,North-Eastern NSW,1,Good,Good,0
NSW1056,COONABARABRAN,101,Dubbo,1,Good,Good,0
NSW1057,COONAMBLE,103,North-Western NSW,1,Good,Good,0
NSW1058,COONGBAR,104,NSW Central and North Coast,1,Good,Good,0
NSW1059,COOPERABUNG,104,NSW Central and North Coast,1,Good,Good,0
NSW106,AUBURN,107,Sydney - Wollongong,1,Good,Good,0
NSW1060,COOPERNOOK,104,NSW Central and North Coast,1,Good,Good,0
NSW1061,COOPERS GULLY,106,South-Eastern NSW,1,Good,Good,0
NSW1062,COOPERS SHOOT,104,NSW Central and North Coast,1,Good,Good,0
NSW1063,COOPLACURRIPA,104,NSW Central and North Coast,1,Good,Good,0
NSW1064,COORABELL,104,NSW Central and North Coast,1,Good,Good,0
NSW1065,COORANBONG,104,NSW Central and North Coast,1,Good,Good,0
NSW1066,COOTAMUNDRA,105,Riverina - Orange,1,Good,Good,0
NSW1067,COOTRALANTRA,106,South-Eastern NSW,1,Good,Good,0
NSW1068,COOYAL,105,Riverina - Orange,1,Good,Good,0
NSW1069,COPACABANA,104,NSW Central and North Coast,1,Good,Good,0
NSW107,AUBURN VALE,102,North-Eastern NSW,1,Good,Good,0
NSW1070,COPE,105,Riverina - Orange,1,Good,Good,0
NSW1071,COPELAND,104,NSW Central and North Coast,1,Good,Good,0
NSW1072,COPETON,102,North-Eastern NSW,1,Good,Good,0
NSW1073,COPMANHURST,104,NSW Central and North Coast,1,Good,Good,0
NSW1074,COPPABELLA,105,Riverina - Orange,1,Good,Good,0
NSW1075,COPPERHANNIA,105,Riverina - Orange,1,Good,Good,0
NSW1076,CORAKI,104,NSW Central and North Coast,1,Good,Good,0
NSW1077,CORALVILLE,104,NSW Central and North Coast,1,Good,Good,0
NSW1078,CORAMBA,104,NSW Central and North Coast,1,Good,Good,0
NSW1079,CORANG,106,South-Eastern NSW,1,Good,Good,0
NSW108,AUSTINMER,107,Sydney - Wollongong,1,Good,Good,0
NSW1080,CORANGULA,104,NSW Central and North Coast,1,Good,Good,0
NSW1081,CORBIE HILL,105,Riverina - Orange,1,Good,Good,0
NSW1082,CORDEAUX,106,South-Eastern NSW,0.9411765,Good,Good,0
NSW1082,CORDEAUX,107,Sydney - Wollongong,0.0588235,Good,Good,0
NSW1083,CORDEAUX HEIGHTS,107,Sydney - Wollongong,1,Good,Good,0
NSW1084,COREE,105,Riverina - Orange,1,Good,Good,0
NSW1085,COREEN,105,Riverina - Orange,1,Good,Good,0
NSW1086,CORINDI BEACH,104,NSW Central and North Coast,1,Good,Good,0
NSW1087,CORINELLA,105,Riverina - Orange,1,Good,Good,0
NSW1088,CORLETTE,104,NSW Central and North Coast,1,Good,Good,0
NSW1089,CORNDALE,104,NSW Central and North Coast,1,Good,Good,0
NSW109,AUSTRAL,107,Sydney - Wollongong,1,Good,Good,0
NSW1090,CORNEY TOWN,105,Riverina - Orange,1,Good,Good,0
NSW1091,CORNWALLIS,107,Sydney - Wollongong,1,Good,Good,0
NSW1092,COROBIMILLA,105,Riverina - Orange,1,Good,Good,0
NSW1093,COROWA,105,Riverina - Orange,1,Good,Good,0
NSW1094,CORRABARE,104,NSW Central and North Coast,1,Good,Good,0
NSW1095,CORRIMAL,106,South-Eastern NSW,7.00E-07,Good,Good,1
NSW1095,CORRIMAL,107,Sydney - Wollongong,0.9999993,Good,Good,0
NSW1096,CORRONG,105,Riverina - Orange,1,Good,Good,0
NSW1097,CORROWONG,106,South-Eastern NSW,1,Good,Good,0
NSW1098,CORUNNA,106,South-Eastern NSW,1,Good,Good,0
NSW1099,COTTAGE POINT,107,Sydney - Wollongong,1,Good,Good,0
NSW11,ABERMAIN,104,NSW Central and North Coast,1,Good,Good,0
NSW110,AUSTRAL EDEN,104,NSW Central and North Coast,1,Good,Good,0
NSW1100,COUGAL,104,NSW Central and North Coast,1,Good,Good,0
NSW1101,COUNTEGANY,106,South-Eastern NSW,1,Good,Good,0
NSW1102,COURABYRA,105,Riverina - Orange,1,Good,Good,0
NSW1103,COURADDA,102,North-Eastern NSW,1,Good,Good,0
NSW1104,COURAGAGO,105,Riverina - Orange,1,Good,Good,0
NSW1105,COURIDJAH,107,Sydney - Wollongong,1,Good,Good,0
NSW1106,COUTTS CROSSING,104,NSW Central and North Coast,1,Good,Good,0
