LOCALITY_PID,LOCALITY_NAME,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT927,URIARRA VILLAGE,80100301,Stromlo - Namadgi,1,Good,Good,0
ACT928,JACKA,80100103,Gungahlin,1,Good,Good,0
ACT929,DENMAN PROSPECT,80100301,Stromlo - Namadgi,1,Good,Good,0
ACT930,MOLONGLO,80100301,Stromlo - Namadgi,1,Good,Good,0
ACT931,CANBERRA AIRPORT,80100102,Braddon - Kowen,1,Good,Good,0
ACT932,MONCRIEFF,80100103,Gungahlin,1,Good,Good,0
ACT933,THROSBY,80100103,Gungahlin,1,Good,Good,0
ACT934,TAYLOR,80100103,Gungahlin,1,Good,Good,0
ACT935,STRATHNAIRN,80100101,Belconnen,1,Good,Good,0
ACT936,MACNAMARA,80100101,Belconnen,1,Good,Good,0
ACT937,WHITLAM,80100101,Belconnen,1,Good,Good,0
NSW1,AARONS PASS,10501601,Mudgee,1,Good,Good,0
NSW10,ABERGLASSLYN,10401301,Maitland,1,Good,Good,0
NSW100,ASHLEY,10200802,Moree Plains,1,Poor,Good,0
NSW1000,COMARA,10400903,Mirriwinni Gardens - Bellbrook,1,Good,Good,0
NSW1001,COMBANING,10500701,Coolamon - Temora - West Wyalong,1,Good,Good,0
NSW1002,COMBARA,10300402,Coonamble - Surrounds,1,Poor,Good,0
NSW1003,COMBERTON,10600303,Shoalhaven,1,Good,Good,0
NSW1004,COMBO,10401801,Singleton,1,Good,Good,0
NSW1005,COMBOYNE,10401501,Hastings,1,Good,Good,0
NSW1006,COME BY CHANCE,10300609,Walgett - Surrounds,1,Poor,Good,0
NSW1007,COMERONG ISLAND,10600303,Shoalhaven,1,Good,Good,0
NSW1008,COMMISSIONERS CREEK,10402001,Murwillumbah,1,Good,Good,0
NSW1009,COMO,10702502,Sutherland Shire - West,1,Good,Good,0
NSW101,ASHMONT,10502105,Wagga Wagga - West,1,Acceptable,Good,0
NSW1010,COMOBELLA,10100802,Wellington - Surrounds,1,Good,Good,0
NSW1011,CONARGO,10500601,Central Murray,1,Good,Good,0
NSW1012,CONCORD,10702703,Canada Bay,1,Good,Good,0
NSW1013,CONCORD WEST,10702703,Canada Bay,1,Good,Good,0
NSW1014,CONDELL PARK,10700801,Bankstown - North-East,0.0300364,Acceptable,Good,0
NSW1014,CONDELL PARK,10700802,Bankstown - North-West,0.9699636,Good,Good,0
NSW1015,CONDOBOLIN,10501401,Condobolin,0.81752,Acceptable,Good,0
NSW1015,CONDOBOLIN,10501402,Lachlan,0.18248,Poor,Good,0
NSW1016,CONDONG,10402001,Murwillumbah,1,Good,Good,0
NSW1017,CONEAC,10400602,Gloucester,1,Good,Good,0
NSW1018,CONGARINNI,10400505,Nambucca - Surrounds,1,Good,Good,0
NSW1019,CONGARINNI NORTH,10400502,Bowraville,0.0625001,Poor,Good,0
NSW1019,CONGARINNI NORTH,10400505,Nambucca - Surrounds,0.9374999,Good,Good,0
NSW102,ASHTONFIELD,10401301,Maitland,1,Good,Good,0
NSW1020,CONGEWAI,10400302,Cessnock - Surrounds,1,Acceptable,Good,0
NSW1021,CONGO,10600203,Eurobodalla,1,Acceptable,Good,0
NSW1022,CONIMBIA,10300402,Coonamble - Surrounds,1,Poor,Good,0
NSW1023,CONISTON,10703001,Wollongong,1,Good,Good,0
NSW1024,CONJOLA,10600303,Shoalhaven,1,Good,Good,0
NSW1025,CONJOLA PARK,10600303,Shoalhaven,1,Good,Good,0
NSW1026,CONNELLS POINT,10701402,Kogarah,1,Poor,Good,0
NSW1027,CONSTITUTION HILL,10702103,Parramatta - North-West,1,Poor,Good,0
NSW1028,COOGEE,10702302,Randwick,1,Good,Good,0
NSW1029,COOKAMIDGERA,10100502,Parkes - Surrounds,1,Poor,Good,0
NSW103,ASQUITH,10701201,Hornsby - Ku-ring-gai,1,Good,Good,0
NSW1030,COOKARDINIA,10502001,Upper Murray,1,Good,Good,0
NSW1031,COOKS GAP,10501601,Mudgee,1,Good,Good,0
NSW1032,COOKS HILL,10401401,Newcastle - Inner City,1,Good,Good,0
NSW1033,COOKS MYALLS,10100502,Parkes - Surrounds,1,Poor,Good,0
NSW1034,COOLABAH,10100101,Bogan,1,Good,Good,0
NSW1035,COOLAC,10501301,Gundagai - Junee - Harden,1,Good,Good,0
NSW1036,COOLAGOLITE,10600102,Bega - Surrounds,1,Good,Good,0
NSW1037,COOLAH,10100702,Coonabarabran - Surrounds,1,Acceptable,Good,0
NSW1038,COOLAMON,10500701,Coolamon - Temora - West Wyalong,1,Good,Good,0
NSW1039,COOLANGATTA,10600303,Shoalhaven,1,Good,Good,0
NSW104,ATHOLWOOD,10200502,Inverell,1,Good,Good,0
NSW1040,COOLANGUBRA,10600102,Bega - Surrounds,1,Good,Good,0
NSW1041,COOLATAI,10200501,Gwydir,0.8895222,Good,Good,0
