LOCALITY_PID_2021,LOCALITY_NAME_2021,RA_CODE_2016,RA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1028,COOGEE,10,Major Cities of Australia,1,Good,Good,0
NSW1029,COOKAMIDGERA,12,Outer Regional Australia,1,Good,Good,0
NSW103,ASQUITH,10,Major Cities of Australia,1,Good,Good,0
NSW1030,COOKARDINIA,11,Inner Regional Australia,1,Good,Good,0
NSW1031,COOKS GAP,12,Outer Regional Australia,1,Good,Good,0
NSW1032,COOKS HILL,10,Major Cities of Australia,1,Good,Good,0
NSW1033,COOKS MYALLS,12,Outer Regional Australia,1,Good,Good,0
NSW1034,COOLABAH,13,Remote Australia,1,Good,Good,0
NSW1035,COOLAC,12,Outer Regional Australia,1,Good,Good,0
NSW1036,COOLAGOLITE,12,Outer Regional Australia,1,Good,Good,0
NSW1037,COOLAH,12,Outer Regional Australia,1,Good,Good,0
NSW1038,COOLAMON,11,Inner Regional Australia,1,Good,Good,0
NSW1039,COOLANGATTA,11,Inner Regional Australia,1,Good,Good,0
NSW104,ATHOLWOOD,12,Outer Regional Australia,1,Good,Good,0
NSW1040,COOLANGUBRA,12,Outer Regional Australia,1,Good,Good,0
NSW1041,COOLATAI,12,Outer Regional Australia,1,Good,Good,0
NSW1043,COOLEMAN,12,Outer Regional Australia,1,Good,Good,0
NSW1044,COOLEYS CREEK,12,Outer Regional Australia,1,Good,Good,0
NSW1045,COOLGARDIE,11,Inner Regional Australia,1,Good,Good,0
NSW1046,COOLONGOLOOK,11,Inner Regional Australia,1,Good,Good,0
NSW1047,COOLRINGDON,12,Outer Regional Australia,1,Good,Good,0
NSW1048,COOLUMBOOKA,12,Outer Regional Australia,1,Good,Good,0
NSW1049,COOLUMBURRA,11,Inner Regional Australia,1,Good,Good,0
NSW105,ATTUNGA,12,Outer Regional Australia,1,Good,Good,0
NSW1050,COOMA,11,Inner Regional Australia,1,Good,Good,0
NSW1051,COOMBA BAY,11,Inner Regional Australia,1,Good,Good,0
NSW1052,COOMBA PARK,11,Inner Regional Australia,1,Good,Good,0
NSW1053,COOMBADJHA,12,Outer Regional Australia,1,Good,Good,0
NSW1054,COOMBELL,12,Outer Regional Australia,0.1891163,Good,Good,0
NSW1054,COOMBELL,11,Inner Regional Australia,0.8108837,Good,Good,0
NSW1055,COOMOO COOMOO,12,Outer Regional Australia,1,Good,Good,0
NSW1056,COONABARABRAN,12,Outer Regional Australia,1,Good,Good,0
NSW1057,COONAMBLE,13,Remote Australia,1,Good,Good,0
NSW1058,COONGBAR,12,Outer Regional Australia,1,Good,Good,0
NSW1059,COOPERABUNG,11,Inner Regional Australia,0.0147752,Good,Good,0
NSW1059,COOPERABUNG,12,Outer Regional Australia,0.9852248,Good,Good,0
NSW106,AUBURN,10,Major Cities of Australia,1,Good,Good,0
NSW1060,COOPERNOOK,11,Inner Regional Australia,1,Good,Good,0
NSW1061,COOPERS GULLY,12,Outer Regional Australia,1,Good,Good,0
NSW1062,COOPERS SHOOT,11,Inner Regional Australia,1,Good,Good,0
NSW1063,COOPLACURRIPA,12,Outer Regional Australia,1,Good,Good,0
