SA1_MAINCODE_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102101202,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101203,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101204,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101205,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101206,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101207,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101208,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101209,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101210,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101211,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101212,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101213,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101214,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101215,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101216,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101217,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101218,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101219,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101220,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101221,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101222,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101223,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101224,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101225,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101226,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101227,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101228,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101229,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101230,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101231,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101232,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10103101301,17040,Snowy Monaro Regional,1,Good,Good,0
10103101302,17040,Snowy Monaro Regional,1,Good,Good,0
10103101303,17040,Snowy Monaro Regional,1,Good,Good,0
10103101304,17040,Snowy Monaro Regional,1,Good,Good,0
10103101305,17040,Snowy Monaro Regional,1,Good,Good,0
10103101306,17040,Snowy Monaro Regional,1,Good,Good,0
10103101307,17040,Snowy Monaro Regional,1,Good,Good,0
10103101307,10550,Bega Valley,0,Good,Good,1
10103101308,17040,Snowy Monaro Regional,1,Good,Good,0
10103101308,10550,Bega Valley,0,Good,Good,1
10103101401,17040,Snowy Monaro Regional,1,Good,Good,0
10103101402,17040,Snowy Monaro Regional,1,Good,Good,0
10103101403,17040,Snowy Monaro Regional,1,Good,Good,0
10103101404,17040,Snowy Monaro Regional,1,Good,Good,0
10103101405,17040,Snowy Monaro Regional,1,Good,Good,0
10103101406,17040,Snowy Monaro Regional,1,Good,Good,0
10103101407,17040,Snowy Monaro Regional,1,Good,Good,0
10103101408,17040,Snowy Monaro Regional,1,Good,Good,0
10103101409,17040,Snowy Monaro Regional,1,Good,Good,0
10103101410,17040,Snowy Monaro Regional,1,Good,Good,0
10103101411,17040,Snowy Monaro Regional,1,Good,Good,0
10103101412,17040,Snowy Monaro Regional,1,Good,Good,0
10103101413,17040,Snowy Monaro Regional,1,Good,Good,0
10103101414,17040,Snowy Monaro Regional,1,Good,Good,0
10103101415,17040,Snowy Monaro Regional,1,Good,Good,0
10103101417,17040,Snowy Monaro Regional,1,Good,Good,0
10103101418,17040,Snowy Monaro Regional,1,Good,Good,0
10103101419,17040,Snowy Monaro Regional,1,Good,Good,0
10103101501,17040,Snowy Monaro Regional,1,Good,Good,0
10103101502,17040,Snowy Monaro Regional,1,Good,Good,0
10103101503,17040,Snowy Monaro Regional,1,Good,Good,0
10103101505,17040,Snowy Monaro Regional,1,Good,Good,0
10103101511,17040,Snowy Monaro Regional,1,Good,Good,0
10103101512,17040,Snowy Monaro Regional,1,Good,Good,0
10103101514,17040,Snowy Monaro Regional,1,Good,Good,0
10103101515,17040,Snowy Monaro Regional,1,Good,Good,0
10103101516,17040,Snowy Monaro Regional,1,Good,Good,0
10103101517,17040,Snowy Monaro Regional,1,Good,Good,0
10103101517,10550,Bega Valley,0,Good,Good,1
10103101518,17040,Snowy Monaro Regional,1,Good,Good,0
10103101519,17040,Snowy Monaro Regional,1,Good,Good,0
10103101520,17040,Snowy Monaro Regional,1,Good,Good,0
10103101521,17040,Snowy Monaro Regional,1,Good,Good,0
10103101522,17040,Snowy Monaro Regional,1,Good,Good,0
10103101523,17040,Snowy Monaro Regional,1,Good,Good,0
10103101524,17040,Snowy Monaro Regional,1,Good,Good,0
10103101601,17040,Snowy Monaro Regional,1,Good,Good,0
10103101602,17040,Snowy Monaro Regional,1,Good,Good,0
10103101603,17040,Snowy Monaro Regional,1,Good,Good,0
10103101604,17040,Snowy Monaro Regional,1,Good,Good,0
10103101605,17040,Snowy Monaro Regional,1,Good,Good,0
10103101606,17040,Snowy Monaro Regional,1,Good,Good,0
10103101607,17040,Snowy Monaro Regional,1,Good,Good,0
10103101608,17040,Snowy Monaro Regional,1,Good,Good,0
10103101609,17040,Snowy Monaro Regional,1,Good,Good,0
10103101610,17040,Snowy Monaro Regional,1,Good,Good,0
10103101611,17040,Snowy Monaro Regional,1,Good,Good,0
10103101612,17040,Snowy Monaro Regional,1,Good,Good,0
10103101613,17040,Snowy Monaro Regional,1,Good,Good,0
10103101614,17040,Snowy Monaro Regional,1,Good,Good,0
10103101615,17040,Snowy Monaro Regional,1,Good,Good,0
10103101616,17040,Snowy Monaro Regional,1,Good,Good,0
10103101617,17040,Snowy Monaro Regional,1,Good,Good,0
10103101618,17040,Snowy Monaro Regional,1,Good,Good,0
