LOCALITY_PID,LOCALITY_NAME,PHN_CODE_2017,PHN_NAME_2017,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT937,WHITLAM,PHN801,Australian Capital Territory,1,Good,Good,0
NSW1,AARONS PASS,PHN107,Western NSW,1,Good,Good,0
NSW10,ABERGLASSLYN,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW100,ASHLEY,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1000,COMARA,PHN109,North Coast,1,Good,Good,0
NSW1001,COMBANING,PHN110,Murrumbidgee,1,Good,Good,0
NSW1002,COMBARA,PHN107,Western NSW,1,Good,Good,0
NSW1003,COMBERTON,PHN106,South Eastern NSW,1,Good,Good,0
NSW1004,COMBO,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1005,COMBOYNE,PHN108,Hunter New England and Central Coast,0.0377496,Good,Good,0
NSW1005,COMBOYNE,PHN109,North Coast,0.9622504,Good,Good,0
NSW1006,COME BY CHANCE,PHN107,Western NSW,1,Good,Good,0
NSW1007,COMERONG ISLAND,PHN106,South Eastern NSW,1,Good,Good,0
NSW1008,COMMISSIONERS CREEK,PHN109,North Coast,1,Good,Good,0
NSW1009,COMO,PHN101,Central and Eastern Sydney,1,Good,Good,0
NSW101,ASHMONT,PHN110,Murrumbidgee,1,Good,Good,0
NSW1010,COMOBELLA,PHN107,Western NSW,1,Good,Good,0
NSW1011,CONARGO,PHN110,Murrumbidgee,1,Good,Good,0
NSW1012,CONCORD,PHN101,Central and Eastern Sydney,1,Good,Good,0
NSW1013,CONCORD WEST,PHN101,Central and Eastern Sydney,1,Good,Good,0
NSW1014,CONDELL PARK,PHN105,South Western Sydney,1,Good,Good,0
NSW1015,CONDOBOLIN,PHN107,Western NSW,1,Good,Good,0
NSW1016,CONDONG,PHN109,North Coast,1,Good,Good,0
NSW1017,CONEAC,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1018,CONGARINNI,PHN109,North Coast,1,Good,Good,0
NSW1019,CONGARINNI NORTH,PHN109,North Coast,1,Good,Good,0
NSW102,ASHTONFIELD,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1020,CONGEWAI,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1021,CONGO,PHN106,South Eastern NSW,1,Good,Good,0
NSW1022,CONIMBIA,PHN107,Western NSW,1,Good,Good,0
NSW1023,CONISTON,PHN106,South Eastern NSW,1,Good,Good,0
NSW1024,CONJOLA,PHN106,South Eastern NSW,1,Good,Good,0
NSW1025,CONJOLA PARK,PHN106,South Eastern NSW,1,Good,Good,0
NSW1026,CONNELLS POINT,PHN101,Central and Eastern Sydney,1,Good,Good,0
NSW1027,CONSTITUTION HILL,PHN103,Western Sydney,1,Good,Good,0
NSW1028,COOGEE,PHN101,Central and Eastern Sydney,1,Good,Good,0
NSW1029,COOKAMIDGERA,PHN107,Western NSW,1,Good,Good,0
NSW103,ASQUITH,PHN102,Northern Sydney,1,Good,Good,0
NSW1030,COOKARDINIA,PHN110,Murrumbidgee,1,Good,Good,0
NSW1031,COOKS GAP,PHN107,Western NSW,1,Good,Good,0
NSW1032,COOKS HILL,PHN108,Hunter New England and Central Coast,1,Good,Good,0
