CD_CODE_2001,POA_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
1020804,2737,0.0833333,Acceptable,Good,0
1020804,2738,0.8611111,Good,Good,0
1020805,2737,0.2333333,Acceptable,Good,0
1020805,2738,0.7666667,Good,Good,0
1020901,2879,1,Good,Good,0
1020902,2879,1,Good,Good,0
1020903,2879,1,Good,Good,0
1020904,2879,0.1142857,Good,Good,0
1020904,2878,0.8857143,Acceptable,Good,0
1020905,2878,1,Acceptable,Good,0
1020906,2878,1,Acceptable,Good,0
1021001,2836,1,Good,Good,0
1021002,2840,0.3428571,Good,Good,0
1021002,2836,0.6571429,Good,Good,0
1021003,2879,1,Good,Good,0
1021004,2836,1,Good,Good,0
1021005,2836,1,Good,Good,0
1021006,2836,1,Good,Good,0
1021007,2836,0.3555556,Good,Good,0
1021007,2879,0.6444444,Good,Good,0
1021008,2878,0.0222222,Acceptable,Good,0
1021008,2836,0.9777778,Good,Good,0
1021009,2878,0.1136364,Acceptable,Good,0
1021009,2836,0.2045455,Good,Good,0
1021009,2879,0.6818182,Good,Good,0
1021101,2840,0.4054054,Good,Good,0
1021101,2835,0.5945946,Good,Good,0
1021102,2877,1,Good,Good,0
1021103,2672,1,Good,Good,0
1021104,2877,1,Good,Good,0
1021105,2831,0.18,Poor,Good,0
1021105,2835,0.82,Good,Good,0
1021106,2831,0.0227273,Poor,Good,0
1021106,2877,0.2045455,Good,Good,0
1021106,2835,0.7727273,Good,Good,0
1021107,2831,0.2903226,Poor,Good,0
1021107,2835,0.7096774,Good,Good,0
1021108,2831,0.4117647,Poor,Good,0
1021108,2877,0.5882353,Good,Good,0
1021201,2835,1,Good,Good,0
1021202,2831,0.0487805,Poor,Good,0
1021202,2835,0.9512195,Good,Good,0
1021203,2835,1,Good,Good,0
1021204,2835,1,Good,Good,0
1021205,2835,1,Good,Good,0
1021206,2835,1,Good,Good,0
1021207,2835,1,Good,Good,0
1021208,2835,1,Good,Good,0
1021209,2835,1,Good,Good,0
1021301,2831,0.1176471,Poor,Good,0
1021301,2840,0.8823529,Good,Good,0
1021302,2840,1,Good,Good,0
1021303,2840,1,Good,Good,0
1021304,2831,0.1363636,Poor,Good,0
1021304,2840,0.8636364,Good,Good,0
1021305,2840,1,Good,Good,0
1021306,2840,1,Good,Good,0
1021401,4490,0.0882353,Good,Good,0
1021401,4493,0.2058824,Poor,Good,0
1021401,2840,0.7058824,Good,Good,0
1021402,2840,1,Good,Good,0
1021403,2840,1,Good,Good,0
1021404,2840,1,Good,Good,0
1021405,2840,1,Good,Good,0
1021406,2840,1,Good,Good,0
1021407,2840,1,Good,Good,0
1021408,2840,1,Good,Good,0
1021409,2840,1,Good,Good,0
1021410,2840,1,Good,Good,0
1021501,2840,0.106383,Good,Good,0
1021501,2839,0.893617,Good,Good,0
1021502,4486,0.0425532,Acceptable,Good,0
1021502,2834,0.106383,Good,Good,0
1021502,2838,0.8510638,Good,Good,0
1021503,2839,0.4166667,Good,Good,0
1021503,2838,0.5833333,Good,Good,0
1021504,2838,1,Good,Good,0
1021601,2838,0.15,Good,Good,0
1021601,2839,0.85,Good,Good,0
1021602,2839,1,Good,Good,0
1021603,2831,0.326087,Poor,Good,0
1021603,2839,0.673913,Good,Good,0
1021604,2839,0.4,Good,Good,0
1021604,2831,0.6,Poor,Good,0
1021605,2839,1,Good,Good,0
1021606,2839,1,Good,Good,0
1030101,2825,0.0294118,Good,Good,0
1030101,2831,0.9705882,Poor,Good,0
1030102,2825,1,Good,Good,0
1030103,2825,1,Good,Good,0
1030104,2831,0.0810811,Poor,Good,0
1030104,2825,0.9189189,Good,Good,0
1030105,2835,0.0285714,Good,Good,0
1030105,2825,0.2,Good,Good,0
1030105,2831,0.7714286,Poor,Good,0
1030106,2835,0.1282051,Good,Good,0
1030106,2831,0.4102564,Poor,Good,0
1030106,2825,0.4615385,Good,Good,0
1030107,2825,0.225,Good,Good,0
1030107,2873,0.25,Acceptable,Good,0
1030107,2877,0.525,Good,Good,0
1030108,2873,0.0526316,Acceptable,Good,0
1030108,2825,0.9473684,Good,Good,0
1030109,2825,1,Good,Good,0
1030110,2825,1,Good,Good,0
1030201,2877,0.3142857,Good,Good,0
1030201,2873,0.6857143,Acceptable,Good,0
1030202,2873,1,Acceptable,Good,0
1030203,2873,1,Acceptable,Good,0
1030204,2874,0.2894737,Acceptable,Good,0
1030204,2873,0.7105263,Acceptable,Good,0
1030205,2877,0.0263158,Good,Good,0
1030205,2875,0.3684211,Poor,Good,0
1030205,2874,0.6052632,Acceptable,Good,0
1030206,2875,0.0227273,Poor,Good,0
1030206,2873,0.0909091,Acceptable,Good,0
1030206,2877,0.8863636,Good,Good,0
1030301,2877,1,Good,Good,0
1030302,2877,1,Good,Good,0
1030303,2875,0.2826087,Poor,Good,0
1030303,2877,0.7173913,Good,Good,0
1030304,2877,0.4705882,Good,Good,0
1030304,2875,0.5294118,Poor,Good,0
1030305,2871,0.3695652,Good,Good,0
1030305,2877,0.6304348,Good,Good,0
1030306,2877,0.125,Good,Good,0
1030306,2871,0.1666667,Good,Good,0
1030306,2671,0.7083333,Good,Good,0
1030307,2671,0.1842105,Good,Good,0
1030307,2669,0.3421053,Poor,Good,0
1030307,2877,0.4736842,Good,Good,0
1030308,2877,0.027027,Good,Good,0
1030308,2669,0.972973,Poor,Good,0
1030401,2877,1,Good,Good,0
1030402,2877,1,Good,Good,0
1030403,2877,1,Good,Good,0
1030404,2877,1,Good,Good,0
1030405,2877,1,Good,Good,0
1030406,2877,1,Good,Good,0
1030501,2877,0.0606061,Good,Good,0
1030501,2672,0.9393939,Good,Good,0
1030502,2669,0.0857143,Poor,Good,0
1030502,2672,0.2,Good,Good,0
1030502,2877,0.7142857,Good,Good,0
1030503,2672,1,Good,Good,0
1030504,2669,1,Poor,Good,0
1030505,2672,0.1,Good,Good,0
1030505,2669,0.9,Poor,Good,0
1030506,2669,0.0638298,Poor,Good,0
1030506,2672,0.9361702,Good,Good,0
1030507,2672,1,Good,Good,0
1030601,2871,0.0952381,Good,Good,0
1030601,2877,0.3095238,Good,Good,0
1030601,2875,0.5952381,Poor,Good,0
1030602,2876,0.0555556,Poor,Good,0
1030602,2875,0.2777778,Poor,Good,0
1030602,2871,0.6666667,Good,Good,0
1030603,2876,0.3030303,Poor,Good,0
1030603,2871,0.6969697,Good,Good,0
1030604,2870,0.1333333,Good,Good,0
1030604,2876,0.1333333,Poor,Good,0
1030604,2871,0.7333333,Good,Good,0
1030605,2871,0.175,Good,Good,0
1030605,2806,0.375,Acceptable,Good,0
1030605,2870,0.45,Good,Good,0
1030606,2806,0.4634146,Acceptable,Good,0
1030606,2870,0.5365854,Good,Good,0
1030607,2871,1,Good,Good,0
1030608,2871,1,Good,Good,0
1030609,2871,1,Good,Good,0
1030610,2871,1,Good,Good,0
1030611,2671,0.097561,Good,Good,0
1030611,2871,0.902439,Good,Good,0
1030701,2871,1,Good,Good,0
1030702,2871,1,Good,Good,0
1030703,2871,1,Good,Good,0
1030704,2871,1,Good,Good,0
1030705,2871,1,Good,Good,0
1030706,2871,1,Good,Good,0
1030707,2871,1,Good,Good,0
1030708,2871,1,Good,Good,0
1030709,2871,1,Good,Good,0
1030710,2871,1,Good,Good,0
1030711,2871,1,Good,Good,0
1030712,2871,1,Good,Good,0
1030801,2876,1,Poor,Good,0
1030802,2876,1,Poor,Good,0
1030803,2876,0.0222222,Poor,Good,0
1030803,2875,0.4666667,Poor,Good,0
1030803,2870,0.5111111,Good,Good,0
1030804,2870,0.4888889,Good,Good,0
1030804,2869,0.5111111,Acceptable,Good,0
1030805,2869,0.3488372,Acceptable,Good,0
1030805,2870,0.6511628,Good,Good,0
1030806,2870,1,Good,Good,0
1030807,2870,1,Good,Good,0
1030808,2876,0.3409091,Poor,Good,0
1030808,2870,0.6590909,Good,Good,0
1030809,2875,0.0526316,Poor,Good,0
1030809,2876,0.3684211,Poor,Good,0
1030809,2870,0.5789474,Good,Good,0
1030901,2870,1,Good,Good,0
1030902,2870,1,Good,Good,0
1030903,2870,1,Good,Good,0
1030904,2870,1,Good,Good,0
1030905,2870,1,Good,Good,0
1030906,2870,1,Good,Good,0
1030907,2870,1,Good,Good,0
1030908,2870,1,Good,Good,0
1030909,2870,1,Good,Good,0
1030910,2870,1,Good,Good,0
1030911,2870,1,Good,Good,0
1031001,2870,1,Good,Good,0
1031002,2870,1,Good,Good,0
1031003,2870,1,Good,Good,0
1031004,2870,1,Good,Good,0
1031005,2870,1,Good,Good,0
1031006,2870,1,Good,Good,0
1031007,2870,1,Good,Good,0
1031008,2870,1,Good,Good,0
1031009,2870,1,Good,Good,0
1031101,2876,0.25,Poor,Good,0
1031101,2875,0.75,Poor,Good,0
1031102,2875,1,Poor,Good,0
1031103,2874,1,Acceptable,Good,0
1031104,2875,0.1162791,Poor,Good,0
1031104,2869,0.4186047,Acceptable,Good,0
1031104,2874,0.4651163,Acceptable,Good,0
1031105,2870,0.0277778,Good,Good,0
1031105,2875,0.1111111,Poor,Good,0
1031105,2869,0.8611111,Acceptable,Good,0
1031106,2875,1,Poor,Good,0
1031107,2869,1,Acceptable,Good,0
1031108,2869,1,Acceptable,Good,0
1031109,2874,1,Acceptable,Good,0
1031201,2821,1,Good,Good,0
1031202,2821,1,Good,Good,0
1031203,2821,1,Good,Good,0
1031204,2821,1,Good,Good,0
1031205,2821,1,Good,Good,0
1031206,2821,1,Good,Good,0
1031207,2869,0.2105263,Acceptable,Good,0
1031207,2821,0.7894737,Good,Good,0
1031208,2869,1,Acceptable,Good,0
1031209,2821,1,Good,Good,0
1031210,2821,1,Good,Good,0
1031301,2821,0.4102564,Good,Good,0
1031301,2823,0.5897436,Acceptable,Good,0
1031302,2821,0.3095238,Good,Good,0
1031302,2823,0.6904762,Acceptable,Good,0
1031303,2823,1,Acceptable,Good,0
1031304,2823,1,Acceptable,Good,0
1031305,2823,1,Acceptable,Good,0
1031306,2821,0.5,Good,Good,0
1031306,2823,0.5,Acceptable,Good,0
1031307,2821,1,Good,Good,0
1031308,2869,0.2307692,Acceptable,Good,0
1031308,2821,0.7692308,Good,Good,0
1031401,2824,0.2727273,Good,Good,0
1031401,2826,0.3409091,Poor,Good,0
1031401,2823,0.3863636,Acceptable,Good,0
1031402,2825,0.0227273,Good,Good,0
1031402,2824,0.1590909,Good,Good,0
1031402,2831,0.8181818,Poor,Good,0
1031403,2825,0.1818182,Good,Good,0
1031403,2824,0.8181818,Good,Good,0
1031404,2826,0.1666667,Poor,Good,0
1031404,2825,0.3571429,Good,Good,0
1031404,2824,0.4761905,Good,Good,0
1031405,2823,0.0277778,Acceptable,Good,0
1031405,2825,0.1666667,Good,Good,0
1031405,2826,0.8055556,Poor,Good,0
1031501,2827,0.0810811,Good,Good,0
1031501,2824,0.9189189,Good,Good,0
1031502,2824,1,Good,Good,0
1031503,2824,1,Good,Good,0
1031504,2823,0.2222222,Acceptable,Good,0
1031504,2824,0.3055556,Good,Good,0
1031504,2827,0.4722222,Good,Good,0
1031505,2824,0.4594595,Good,Good,0
1031505,2823,0.5405405,Acceptable,Good,0
1031506,2824,1,Good,Good,0
1031507,2824,1,Good,Good,0
1031601,2828,0.4324324,Poor,Good,0
1031601,2827,0.5675676,Good,Good,0
1031602,2817,0.0526316,Acceptable,Good,0
1031602,2828,0.2631579,Poor,Good,0
1031602,2827,0.6842105,Good,Good,0
1031603,2827,1,Good,Good,0
1031604,2827,0.1489362,Good,Good,0
1031604,2817,0.8510638,Acceptable,Good,0
1031605,2842,0.4705882,Poor,Good,0
1031605,2827,0.5294118,Good,Good,0
1031606,2842,0.3157895,Poor,Good,0
1031606,2827,0.6842105,Good,Good,0
1031607,2827,0.0714286,Good,Good,0
