DZN_CODE_2016,DZN_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
110968706,110968706,1,Good,Good,0
110968707,110968707,1,Good,Good,0
110968708,110968708,1,Good,Good,0
110978691,110970001,0.7827015,Acceptable,Good,0
110978691,110970002,0.2172985,Poor,Good,0
110988688,110988688,1,Good,Good,0
110998746,110998746,1,Good,Good,0
110998747,110998747,1,Good,Good,0
110998748,110998748,1,Good,Good,0
110998749,110998749,1,Good,Good,0
110998750,110998750,1,Good,Good,0
110998751,110998751,1,Good,Good,0
111008742,111008742,1,Good,Good,0
111008743,111008743,1,Good,Good,0
111010001,111010001,1,Good,Good,0
111018733,111010002,0.091991,Poor,Good,0
111018733,111010003,0.5312918,Poor,Good,0
111018733,111010004,0.3767172,Poor,Good,0
111028729,111028729,1,Good,Good,0
111028730,111028730,1,Good,Good,0
111038737,111038737,1,Good,Good,0
111038738,111038738,1,Good,Good,0
111038739,111038739,1,Good,Good,0
111048724,111048724,1,Good,Good,0
111048725,111048725,1,Good,Good,0
111048726,111048726,1,Good,Good,0
111050001,111050001,1,Good,Good,0
111050002,111050002,1,Good,Good,0
111058720,111058720,1,Good,Good,0
111060001,111060001,1,Good,Good,0
111060002,111060002,1,Good,Good,0
111068754,111068754,1,Good,Good,0
111068755,111068755,1,Good,Good,0
111068757,111068757,1,Good,Good,0
111077020,111077020,1,Good,Good,0
111077021,111077021,1,Good,Good,0
111077022,111077022,1,Good,Good,0
111077023,111077023,1,Good,Good,0
111077024,111077024,1,Good,Good,0
111080001,111080001,1,Good,Good,0
111080002,111080002,1,Good,Good,0
111087055,111087055,1,Good,Good,0
111087057,111087057,1,Good,Good,0
111087058,111087058,0.9999984,Good,Good,0
111087058,111087062,1.60E-06,Good,Good,1
111087060,111087060,1,Good,Good,0
111087061,111087061,1,Good,Good,0
111087062,111087062,1,Good,Good,0
111097037,111097037,1,Good,Good,0
111097038,111097038,1,Good,Good,0
111097039,111097039,1,Good,Good,0
111097040,111097040,1,Good,Good,0
