CD_CODE_2006,CD_CODE_2006,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
1012202,1012202,114,Farrer,1,Good,Good,0
1012203,1012203,114,Farrer,1,Good,Good,0
1012204,1012204,114,Farrer,1,Good,Good,0
1012301,1012301,114,Farrer,1,Good,Good,0
1012302,1012302,114,Farrer,1,Good,Good,0
1012303,1012303,114,Farrer,1,Good,Good,0
1012304,1012304,114,Farrer,1,Good,Good,0
1012305,1012305,114,Farrer,1,Good,Good,0
1012306,1012306,114,Farrer,1,Good,Good,0
1020101,1020101,134,Parkes,1,Good,Good,0
1020102,1020102,134,Parkes,1,Good,Good,0
1020103,1020103,134,Parkes,1,Good,Good,0
1020104,1020104,134,Parkes,1,Good,Good,0
1020105,1020105,134,Parkes,1,Good,Good,0
1020106,1020106,134,Parkes,1,Good,Good,0
1020107,1020107,134,Parkes,1,Good,Good,0
1020201,1020201,134,Parkes,1,Good,Good,0
1020202,1020202,134,Parkes,1,Good,Good,0
1020203,1020203,134,Parkes,1,Good,Good,0
1020204,1020204,134,Parkes,1,Good,Good,0
1020205,1020205,134,Parkes,1,Good,Good,0
1020301,1020301,134,Parkes,1,Good,Good,0
1020302,1020302,134,Parkes,1,Good,Good,0
1020303,1020303,134,Parkes,1,Good,Good,0
1020304,1020304,134,Parkes,1,Good,Good,0
1020305,1020305,134,Parkes,1,Good,Good,0
1020306,1020306,134,Parkes,1,Good,Good,0
1020307,1020307,134,Parkes,1,Good,Good,0
1020308,1020308,134,Parkes,1,Good,Good,0
1020309,1020309,134,Parkes,1,Good,Good,0
1020310,1020310,134,Parkes,1,Good,Good,0
1020311,1020311,134,Parkes,1,Good,Good,0
1020312,1020312,134,Parkes,1,Good,Good,0
1020401,1020401,134,Parkes,1,Good,Good,0
1020402,1020402,134,Parkes,1,Good,Good,0
1020403,1020403,134,Parkes,1,Good,Good,0
1020404,1020404,134,Parkes,1,Good,Good,0
1020405,1020405,134,Parkes,1,Good,Good,0
1020406,1020406,134,Parkes,1,Good,Good,0
1020407,1020407,134,Parkes,1,Good,Good,0
1020408,1020408,134,Parkes,1,Good,Good,0
1020409,1020409,134,Parkes,1,Good,Good,0
1020410,1020410,134,Parkes,1,Good,Good,0
1020411,1020411,134,Parkes,1,Good,Good,0
1020501,1020501,134,Parkes,1,Good,Good,0
1020502,1020502,134,Parkes,1,Good,Good,0
1020503,1020503,134,Parkes,1,Good,Good,0
1020504,1020504,134,Parkes,1,Good,Good,0
1020505,1020505,134,Parkes,1,Good,Good,0
1020506,1020506,134,Parkes,1,Good,Good,0
1020507,1020507,134,Parkes,1,Good,Good,0
1020508,1020508,134,Parkes,1,Good,Good,0
1020509,1020509,134,Parkes,1,Good,Good,0
1020510,1020510,134,Parkes,1,Good,Good,0
1020511,1020511,134,Parkes,1,Good,Good,0
1020601,1020601,134,Parkes,1,Good,Good,0
1020602,1020602,134,Parkes,1,Good,Good,0
1020603,1020603,134,Parkes,1,Good,Good,0
1020604,1020604,134,Parkes,1,Good,Good,0
1020605,1020605,134,Parkes,1,Good,Good,0
1020606,1020606,134,Parkes,1,Good,Good,0
1020607,1020607,134,Parkes,1,Good,Good,0
1020608,1020608,134,Parkes,1,Good,Good,0
1020609,1020609,134,Parkes,1,Good,Good,0
1020610,1020610,134,Parkes,1,Good,Good,0
1020611,1020611,134,Parkes,1,Good,Good,0
1020612,1020612,134,Parkes,1,Good,Good,0
1020613,1020613,134,Parkes,1,Good,Good,0
1020701,1020701,114,Farrer,1,Good,Good,0
1020702,1020702,114,Farrer,1,Good,Good,0
1020703,1020703,114,Farrer,1,Good,Good,0
1020704,1020704,114,Farrer,1,Good,Good,0
1020705,1020705,114,Farrer,1,Good,Good,0
1020706,1020706,114,Farrer,1,Good,Good,0
1020707,1020707,114,Farrer,1,Good,Good,0
1020708,1020708,114,Farrer,1,Good,Good,0
1020709,1020709,114,Farrer,1,Good,Good,0
1020710,1020710,114,Farrer,1,Good,Good,0
1020711,1020711,114,Farrer,1,Good,Good,0
1020712,1020712,114,Farrer,1,Good,Good,0
1020713,1020713,114,Farrer,1,Good,Good,0
1020801,1020801,114,Farrer,1,Good,Good,0
1020802,1020802,114,Farrer,1,Good,Good,0
1020803,1020803,114,Farrer,1,Good,Good,0
1020804,1020804,114,Farrer,1,Good,Good,0
1020805,1020805,114,Farrer,1,Good,Good,0
1020901,1020901,134,Parkes,1,Good,Good,0
1020902,1020902,134,Parkes,1,Good,Good,0
1020903,1020903,134,Parkes,1,Good,Good,0
1020904,1020904,134,Parkes,1,Good,Good,0
1020905,1020905,134,Parkes,1,Good,Good,0
1020906,1020906,134,Parkes,1,Good,Good,0
1021001,1021001,134,Parkes,1,Good,Good,0
1021002,1021002,134,Parkes,1,Good,Good,0
1021003,1021003,134,Parkes,1,Good,Good,0
1021004,1021004,134,Parkes,1,Good,Good,0
1021005,1021005,134,Parkes,1,Good,Good,0
1021006,1021006,134,Parkes,1,Good,Good,0
1021007,1021007,134,Parkes,1,Good,Good,0
1021008,1021008,134,Parkes,1,Good,Good,0
1021009,1021009,134,Parkes,1,Good,Good,0
1021101,1021101,134,Parkes,1,Good,Good,0
1021102,1021102,134,Parkes,1,Good,Good,0
1021103,1021103,134,Parkes,1,Good,Good,0
1021104,1021104,134,Parkes,1,Good,Good,0
1021105,1021105,134,Parkes,1,Good,Good,0
1021106,1021106,134,Parkes,1,Good,Good,0
1021107,1021107,134,Parkes,1,Good,Good,0
1021108,1021108,134,Parkes,1,Good,Good,0
1021201,1021201,134,Parkes,1,Good,Good,0
1021202,1021202,134,Parkes,1,Good,Good,0
1021203,1021203,134,Parkes,1,Good,Good,0
1021204,1021204,134,Parkes,1,Good,Good,0
1021205,1021205,134,Parkes,1,Good,Good,0
1021206,1021206,134,Parkes,1,Good,Good,0
1021207,1021207,134,Parkes,1,Good,Good,0
1021208,1021208,134,Parkes,1,Good,Good,0
1021209,1021209,134,Parkes,1,Good,Good,0
1021301,1021301,134,Parkes,1,Good,Good,0
1021302,1021302,134,Parkes,1,Good,Good,0
1021303,1021303,134,Parkes,1,Good,Good,0
1021304,1021304,134,Parkes,1,Good,Good,0
1021305,1021305,134,Parkes,1,Good,Good,0
1021306,1021306,134,Parkes,1,Good,Good,0
1021401,1021401,321,Maranoa,0.2941176,Good,Good,0
1021401,1021401,134,Parkes,0.7058824,Good,Good,0
1021402,1021402,134,Parkes,1,Good,Good,0
1021403,1021403,134,Parkes,1,Good,Good,0
1021404,1021404,134,Parkes,1,Good,Good,0
1021405,1021405,134,Parkes,1,Good,Good,0
1021406,1021406,134,Parkes,1,Good,Good,0
1021407,1021407,134,Parkes,1,Good,Good,0
1021408,1021408,134,Parkes,1,Good,Good,0
1021409,1021409,134,Parkes,1,Good,Good,0
1021410,1021410,134,Parkes,1,Good,Good,0
1021501,1021501,134,Parkes,1,Good,Good,0
1021502,1021502,321,Maranoa,0.0425532,Good,Good,0
1021502,1021502,134,Parkes,0.9574468,Good,Good,0
1021503,1021503,134,Parkes,1,Good,Good,0
1021504,1021504,134,Parkes,1,Good,Good,0
1021601,1021601,134,Parkes,1,Good,Good,0
1021602,1021602,134,Parkes,1,Good,Good,0
1021603,1021603,134,Parkes,1,Good,Good,0
1021604,1021604,134,Parkes,1,Good,Good,0
1021605,1021605,134,Parkes,1,Good,Good,0
1021606,1021606,134,Parkes,1,Good,Good,0
1030101,1030101,134,Parkes,1,Good,Good,0
1030102,1030102,134,Parkes,1,Good,Good,0
1030103,1030103,134,Parkes,1,Good,Good,0
1030104,1030104,134,Parkes,1,Good,Good,0
1030105,1030105,134,Parkes,1,Good,Good,0
1030106,1030106,134,Parkes,1,Good,Good,0
1030107,1030107,134,Parkes,1,Good,Good,0
1030108,1030108,134,Parkes,1,Good,Good,0
1030109,1030109,134,Parkes,1,Good,Good,0
1030110,1030110,134,Parkes,1,Good,Good,0
1030201,1030201,134,Parkes,1,Good,Good,0
1030202,1030202,134,Parkes,1,Good,Good,0
1030203,1030203,134,Parkes,1,Good,Good,0
1030204,1030204,134,Parkes,1,Good,Good,0
1030205,1030205,134,Parkes,1,Good,Good,0
1030206,1030206,134,Parkes,1,Good,Good,0
1030301,1030301,134,Parkes,1,Good,Good,0
1030302,1030302,134,Parkes,1,Good,Good,0
1030303,1030303,134,Parkes,1,Good,Good,0
1030304,1030304,134,Parkes,1,Good,Good,0
1030305,1030305,134,Parkes,1,Good,Good,0
1030306,1030306,134,Parkes,1,Good,Good,0
1030307,1030307,134,Parkes,1,Good,Good,0
1030308,1030308,134,Parkes,1,Good,Good,0
1030401,1030401,134,Parkes,1,Good,Good,0
1030402,1030402,134,Parkes,1,Good,Good,0
