ILOC_CODE_2016,ILOC_NAME_2016,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10402101,Wyong - North-East,10402301,Wyong - North-East,1,Good,Good,0
10402102,Wyong - South-West,10402302,Wyong - South-West,1,Good,Good,0
10500101,Albury - East,10500101,Albury - East,1,Good,Good,0
10500102,Albury - West,10500102,Albury - West,1,Good,Good,0
10500201,Balranald,10500201,Balranald,1,Good,Good,0
10500202,Balranald - Wentworth - Surrounds,10500202,Balranald - Wentworth - Surrounds,1,Good,Good,0
10500203,Coomealla,10500203,Coomealla,1,Good,Good,0
10500204,Dareton,10500204,Dareton,1,Good,Good,0
10500205,Wentworth,10500205,Wentworth,1,Good,Good,0
10500301,Bathurst,10500301,Bathurst,1,Good,Good,0
10500401,Blayney - Cabonne,10500401,Blayney - Cabonne,1,Good,Good,0
10500501,Carrathool - Murrumbidgee - Surrounds,10500502,Darlington Point,0.0399992,Good,Good,0
10500501,Carrathool - Murrumbidgee - Surrounds,10500501,Carrathool - Murrumbidgee - Surrounds,0.9600008,Good,Good,0
10500502,Darlington Point,10500502,Darlington Point,1,Good,Good,0
10500503,Hillston,10500503,Hillston,1,Good,Good,0
10500601,Central Murray,10500601,Central Murray,1,Good,Good,0
10500701,Coolamon - Temora - West Wyalong,10500701,Coolamon - Temora - West Wyalong,1,Good,Good,0
10500801,Cootamundra,10500801,Cootamundra,1,Good,Good,0
10500901,Cowra,10500901,Cowra,1,Good,Good,0
10501001,Deniliquin,10501001,Deniliquin,1,Good,Good,0
10501002,Murray,10501002,Murray,1,Good,Good,0
10501101,Forbes,10501101,Forbes,1,Good,Good,0
10501201,Griffith,10501201,Griffith,1,Good,Good,0
10501202,Leeton,10501202,Leeton,1,Good,Good,0
10501301,Gundagai - Junee - Harden,10501301,Gundagai - Junee - Harden,1,Good,Good,0
10501401,Condobolin,10501401,Condobolin,1,Good,Good,0
10501402,Lachlan,10501402,Lachlan,1,Good,Good,0
10501403,Lake Cargelligo,10501403,Lake Cargelligo,1,Good,Good,0
10501501,Lithgow,10501501,Lithgow,1,Good,Good,0
10501502,Oberon,10501502,Oberon,1,Good,Good,0
10501601,Mudgee,10501601,Mudgee,1,Good,Good,0
10501701,Narrandera,10501701,Narrandera,1,Good,Good,0
10501801,Bletchington,10501801,Bletchington,1,Good,Good,0
10501802,Bowen,10501806,Orange - Surrounds,6.00E-07,Good,Good,1
10501802,Bowen,10501802,Bowen,0.9999994,Good,Good,0
10501803,Calare,10501803,Calare,1,Good,Good,0
10501804,Glenroi,10501804,Glenroi,1,Good,Good,0
10501805,Orange - Central,10501805,Orange - Central,1,Good,Good,0
10501806,Orange - Surrounds,10501806,Orange - Surrounds,1,Good,Good,0
10501807,Warrendine - Bloomfield,10501807,Warrendine - Bloomfield,1,Good,Good,0
10501901,Tumut,10501901,Tumut,1,Good,Good,0
10502001,Upper Murray,10502001,Upper Murray,1,Good,Good,0
10502101,Wagga Wagga - East,10502101,Wagga Wagga - East,1,Good,Good,0
10502102,Wagga Wagga - North,10502102,Wagga Wagga - North,1,Good,Good,0
10502103,Wagga Wagga - South,10502103,Wagga Wagga - South,1,Good,Good,0
10502104,Wagga Wagga - Surrounds,10502104,Wagga Wagga - Surrounds,1,Good,Good,0
10502105,Wagga Wagga - West,10502105,Wagga Wagga - West,1,Good,Good,0
10502201,Young,10502201,Young,1,Good,Good,0
10600101,Bega,10600101,Bega,1,Good,Good,0
10600102,Bega - Surrounds,10600102,Bega - Surrounds,1,Good,Good,0
10600103,Eden,10600103,Eden,1,Good,Good,0
10600201,Batemans Bay,10600201,Batemans Bay,1,Good,Good,0
10600202,Bodalla,10600202,Bodalla,1,Good,Good,0
10600203,Eurobodalla,10600203,Eurobodalla,1,Good,Good,0
10600204,Moruya,10600204,Moruya,1,Good,Good,0
10600205,Narooma,10600205,Narooma,1,Good,Good,0
10600206,Wallaga Lake,10600206,Wallaga Lake,1,Good,Good,0
