LOCALITY_PID,LOCALITY_NAME,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1059,COOPERABUNG,14350,Kempsey,0.0147752,Good,Good,0
NSW1059,COOPERABUNG,16380,Port Macquarie-Hastings,0.9852248,Good,Good,0
NSW106,AUBURN,12380,Cumberland,1,Good,Good,0
NSW1060,COOPERNOOK,15240,Mid-Coast,1,Good,Good,0
NSW1061,COOPERS GULLY,10550,Bega Valley,1,Good,Good,0
NSW1062,COOPERS SHOOT,11350,Byron,1,Good,Good,0
NSW1063,COOPLACURRIPA,15240,Mid-Coast,1,Good,Good,0
NSW1064,COORABELL,11350,Byron,1,Good,Good,0
NSW1065,COORANBONG,14650,Lake Macquarie,1,Good,Good,0
NSW1066,COOTAMUNDRA,12160,Cootamundra-Gundagai Regional,1,Good,Good,0
NSW1067,COOTRALANTRA,17040,Snowy Monaro Regional,1,Good,Good,0
NSW1068,COOYAL,15270,Mid-Western Regional,1,Good,Good,0
NSW1069,COPACABANA,11650,Central Coast (NSW),1,Good,Good,0
NSW107,AUBURN VALE,14220,Inverell,1,Good,Good,0
NSW1070,COPE,15270,Mid-Western Regional,1,Good,Good,0
NSW1071,COPELAND,15240,Mid-Coast,1,Good,Good,0
NSW1072,COPETON,13660,Gwydir,0.2897729,Good,Good,0
NSW1072,COPETON,14220,Inverell,0.7102271,Good,Good,0
NSW1073,COPMANHURST,11730,Clarence Valley,1,Good,Good,0
NSW1074,COPPABELLA,13340,Greater Hume Shire,1,Good,Good,0
NSW1075,COPPERHANNIA,10470,Bathurst Regional,1,Good,Good,0
NSW1076,CORAKI,14850,Lismore,0.0235807,Good,Good,0
NSW1076,CORAKI,16610,Richmond Valley,0.9764193,Good,Good,0
NSW1077,CORALVILLE,15240,Mid-Coast,1,Good,Good,0
NSW1078,CORAMBA,11800,Coffs Harbour,1,Good,Good,0
NSW1079,CORANG,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
NSW108,AUSTINMER,18450,Wollongong,1,Good,Good,0
NSW1080,CORANGULA,14350,Kempsey,1,Good,Good,0
NSW1081,CORBIE HILL,14750,Leeton,0.9759966,Good,Good,0
NSW1081,CORBIE HILL,15800,Narrandera,0.0240034,Good,Good,0
NSW1082,CORDEAUX,18450,Wollongong,1,Good,Good,0
NSW1083,CORDEAUX HEIGHTS,18450,Wollongong,1,Good,Good,0
NSW1084,COREE,12730,Edward River,0.3335895,Good,Good,0
NSW1084,COREE,15560,Murrumbidgee,0.6664105,Good,Good,0
NSW1085,COREEN,12870,Federation,1,Good,Good,0
NSW1086,CORINDI BEACH,11800,Coffs Harbour,1,Good,Good,0
NSW1087,CORINELLA,12900,Forbes,0.845016,Good,Good,0
NSW1087,CORINELLA,14600,Lachlan,0.154984,Good,Good,0
NSW1088,CORLETTE,16400,Port Stephens,1,Good,Good,0
NSW1089,CORNDALE,14850,Lismore,1,Good,Good,0
NSW109,AUSTRAL,14900,Liverpool,1,Good,Good,0
NSW1090,CORNEY TOWN,14870,Lithgow,1,Good,Good,0
NSW1091,CORNWALLIS,13800,Hawkesbury,1,Good,Good,0
NSW1092,COROBIMILLA,15800,Narrandera,1,Good,Good,0
NSW1093,COROWA,12870,Federation,1,Good,Good,0
NSW1094,CORRABARE,11720,Cessnock,1,Good,Good,0
NSW1095,CORRIMAL,18450,Wollongong,1,Good,Good,0
NSW1096,CORRONG,10300,Balranald,1,Good,Good,0
NSW1097,CORROWONG,17040,Snowy Monaro Regional,1,Good,Good,0
NSW1098,CORUNNA,12750,Eurobodalla,1,Good,Good,0
NSW1099,COTTAGE POINT,15990,Northern Beaches,1,Good,Good,0
NSW11,ABERMAIN,11720,Cessnock,1,Good,Good,0
NSW110,AUSTRAL EDEN,14350,Kempsey,1,Good,Good,0
NSW1100,COUGAL,14550,Kyogle,1,Good,Good,0
NSW1101,COUNTEGANY,10550,Bega Valley,0.0001281,Good,Good,1
NSW1101,COUNTEGANY,17040,Snowy Monaro Regional,0.9998719,Good,Good,0
NSW1102,COURABYRA,17080,Snowy Valleys,1,Good,Good,0
NSW1103,COURADDA,15750,Narrabri,1,Good,Good,0
NSW1104,COURAGAGO,17080,Snowy Valleys,1,Good,Good,0
NSW1105,COURIDJAH,18400,Wollondilly,1,Good,Good,0
NSW1106,COUTTS CROSSING,11730,Clarence Valley,1,Good,Good,0
NSW1107,COW FLAT,10470,Bathurst Regional,1,Good,Good,0
NSW1108,COWABBIE,12000,Coolamon,1,Good,Good,0
NSW1109,COWAN,14000,Hornsby,1,Acceptable,Good,0
NSW1110,COWPER,11730,Clarence Valley,1,Good,Good,0
NSW1111,COWRA,12350,Cowra,1,Good,Good,0
NSW1112,COXS CREEK,15270,Mid-Western Regional,1,Good,Good,0
NSW1113,COXS CROWN,15270,Mid-Western Regional,1,Good,Good,0
NSW1114,CRABBES CREEK,17550,Tweed,1,Good,Good,0
NSW1115,CRACKENBACK,17040,Snowy Monaro Regional,1,Good,Good,0
NSW1116,CRAIGIE,17040,Snowy Monaro Regional,1,Good,Good,0
NSW1117,CRANEBROOK,16350,Penrith,1,Good,Good,0
NSW1118,CRANGAN BAY,11650,Central Coast (NSW),0.9934551,Good,Good,0
NSW1118,CRANGAN BAY,14650,Lake Macquarie,0.0065449,Good,Good,1
NSW1119,CRAVEN,15240,Mid-Coast,1,Good,Good,0
NSW112,AVISFORD,15270,Mid-Western Regional,1,Good,Good,0
NSW1120,CRAVEN PLATEAU,15240,Mid-Coast,1,Good,Good,0
NSW1121,CRAWFORD RIVER,15240,Mid-Coast,1,Good,Good,0
NSW1122,CRAWNEY,17310,Tamworth Regional,0.7793657,Good,Good,0
NSW1122,CRAWNEY,17620,Upper Hunter Shire,0.2206343,Good,Good,0
NSW1123,CREEWAH,17040,Snowy Monaro Regional,1,Good,Good,0
NSW1124,CREMORNE,15950,North Sydney,1,Good,Good,0
NSW1125,CREMORNE POINT,15950,North Sydney,1,Good,Good,0
NSW1126,CRESCENT HEAD,14350,Kempsey,1,Good,Good,0
NSW1127,CRESTWOOD,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
NSW1128,CRINGILA,18450,Wollongong,1,Good,Good,0
NSW1129,CROKI,15240,Mid-Coast,1,Good,Good,0
NSW113,AVOCA,18350,Wingecarribee,1,Good,Good,0
NSW1130,CROMER,15990,Northern Beaches,1,Good,Good,0
NSW1131,CRONULLA,17150,Sutherland Shire,1,Good,Good,0
NSW1132,CROOBLE,13660,Gwydir,1,Good,Good,0
NSW1133,CROOBYAR,16950,Shoalhaven,1,Good,Good,0
