SA1_CODE_2021,SED_CODE_2022,SED_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10804116513,10063,Oxley,1,Good,Good,3
10804116514,10063,Oxley,1,Good,Good,3
10804116515,10063,Oxley,1,Good,Good,3
10804116516,10056,Myall Lakes,0.0357246,Good,Good,3
10804116516,10063,Oxley,0.9642754,Good,Good,3
10804116601,10063,Oxley,1,Good,Good,3
10804116602,10063,Oxley,1,Good,Good,3
10804116603,10063,Oxley,1,Good,Good,3
10804116604,10063,Oxley,1,Good,Good,3
10804116605,10063,Oxley,1,Good,Good,3
10804116607,10063,Oxley,1,Good,Good,3
10804116608,10063,Oxley,1,Good,Good,3
10804116609,10063,Oxley,1,Good,Good,3
10804116610,10063,Oxley,1,Good,Good,3
10804116611,10063,Oxley,1,Good,Good,3
10804116613,10063,Oxley,1,Good,Good,3
10804116614,10063,Oxley,1,Good,Good,3
10804116615,10063,Oxley,1,Good,Good,3
10804116616,10067,Port Macquarie,1,Good,Good,3
10804116618,10063,Oxley,1,Good,Good,3
10804116619,10063,Oxley,1,Good,Good,3
10804116620,10063,Oxley,0.999984,Good,Good,3
10804116620,10067,Port Macquarie,1.60E-05,Good,Good,5
10804116621,10063,Oxley,0.9999644,Good,Good,3
10804116621,10067,Port Macquarie,3.56E-05,Good,Good,5
10804116622,10067,Port Macquarie,1,Good,Good,3
10804116623,10067,Port Macquarie,1,Good,Good,3
10804116624,10063,Oxley,1,Good,Good,3
10804116625,10063,Oxley,1,Good,Good,3
10804116626,10063,Oxley,1,Good,Good,3
10804116627,10067,Port Macquarie,1,Good,Good,3
10804116628,10063,Oxley,1,Good,Good,3
10804116629,10063,Oxley,1,Good,Good,3
10804116630,10063,Oxley,1,Good,Good,3
10804116631,10063,Oxley,1,Good,Good,3
10804116632,10063,Oxley,1,Good,Good,3
10804116633,10063,Oxley,1,Good,Good,3
10804161901,10067,Port Macquarie,1,Good,Good,3
10804161902,10067,Port Macquarie,1,Good,Good,3
10804161903,10067,Port Macquarie,1,Good,Good,3
10804161904,10067,Port Macquarie,1,Good,Good,3
10804161905,10067,Port Macquarie,1,Good,Good,3
10804161906,10067,Port Macquarie,1,Good,Good,3
10804161907,10067,Port Macquarie,1,Good,Good,3
10804161908,10067,Port Macquarie,1,Good,Good,3
10804161909,10067,Port Macquarie,1,Good,Good,3
10804161910,10067,Port Macquarie,1,Good,Good,3
10804161911,10067,Port Macquarie,1,Good,Good,3
10804161912,10067,Port Macquarie,1,Good,Good,3
10804161913,10067,Port Macquarie,1,Good,Good,3
10804161914,10067,Port Macquarie,1,Good,Good,3
10804161915,10067,Port Macquarie,1,Good,Good,3
10804161916,10067,Port Macquarie,1,Good,Good,3
10804161917,10067,Port Macquarie,1,Good,Good,3
10804161918,10067,Port Macquarie,1,Good,Good,3
10804161919,10067,Port Macquarie,1,Good,Good,3
10804161920,10067,Port Macquarie,1,Good,Good,3
10804161921,10067,Port Macquarie,1,Good,Good,3
10804161922,10067,Port Macquarie,1,Good,Good,3
10804161923,10067,Port Macquarie,1,Good,Good,3
10804161924,10067,Port Macquarie,1,Good,Good,3
10804161925,10067,Port Macquarie,1,Good,Good,3
10804161926,10067,Port Macquarie,1,Good,Good,3
10804161927,10067,Port Macquarie,1,Good,Good,3
10804161928,10067,Port Macquarie,1,Good,Good,3
10804162001,10067,Port Macquarie,1,Good,Good,3
10804162002,10067,Port Macquarie,1,Good,Good,3
10804162003,10067,Port Macquarie,1,Good,Good,3
10804162004,10067,Port Macquarie,1,Good,Good,3
10804162005,10067,Port Macquarie,1,Good,Good,3
10804162006,10067,Port Macquarie,1,Good,Good,3
10804162007,10067,Port Macquarie,1,Good,Good,3
10804162008,10067,Port Macquarie,1,Good,Good,3
10804162009,10067,Port Macquarie,1,Good,Good,3
10804162010,10067,Port Macquarie,1,Good,Good,3
10804162011,10067,Port Macquarie,1,Good,Good,3
10804162012,10067,Port Macquarie,1,Good,Good,3
