SA2_MAINCODE_2016,SA2_NAME_2016,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
308011191,Central Highlands - West,30031,Gregory,1,Good,Acceptable,0
308011192,Emerald,30031,Gregory,1,Good,Acceptable,0
308031205,Berserker,30073,Rockhampton,1,Acceptable,Acceptable,0
308031206,Bouldercombe,30055,Mirani,0.9630024,Good,Acceptable,0
308031206,Bouldercombe,30073,Rockhampton,0.0369976,Acceptable,Acceptable,0
308031207,Emu Park,30041,Keppel,1,Acceptable,Acceptable,0
308031208,Frenchville - Mount Archer,30041,Keppel,0.6434945,Acceptable,Acceptable,0
308031208,Frenchville - Mount Archer,30073,Rockhampton,0.3565055,Acceptable,Acceptable,0
308031209,Glenlee - Rockyview,30055,Mirani,0.9221721,Good,Acceptable,0
308031209,Glenlee - Rockyview,30041,Keppel,0.0778279,Acceptable,Acceptable,0
308031210,Gracemere,30055,Mirani,0.0362049,Good,Acceptable,0
308031210,Gracemere,30073,Rockhampton,0.9637951,Acceptable,Acceptable,0
308031211,Lakes Creek,30041,Keppel,0.4502581,Acceptable,Acceptable,0
308031211,Lakes Creek,30073,Rockhampton,0.5497419,Acceptable,Acceptable,0
308031212,Mount Morgan,30055,Mirani,1,Good,Acceptable,0
308031213,Norman Gardens,30073,Rockhampton,0.0669468,Acceptable,Acceptable,0
308031213,Norman Gardens,30041,Keppel,0.9330532,Acceptable,Acceptable,0
308031214,Park Avenue,30073,Rockhampton,1,Acceptable,Acceptable,0
308031215,Parkhurst - Kawana,30073,Rockhampton,0.7481148,Acceptable,Acceptable,0
308031215,Parkhurst - Kawana,30041,Keppel,0.2518852,Acceptable,Acceptable,0
308031216,Rockhampton - West,30073,Rockhampton,1,Acceptable,Acceptable,0
308031217,Rockhampton City,30055,Mirani,0.0287104,Good,Acceptable,0
308031217,Rockhampton City,30073,Rockhampton,0.9712896,Acceptable,Acceptable,0
308031218,Rockhampton Region - East,30041,Keppel,1,Acceptable,Acceptable,0
308031219,Rockhampton Region - North,30041,Keppel,0.890045,Acceptable,Acceptable,0
308031219,Rockhampton Region - North,30055,Mirani,0.109955,Good,Acceptable,0
308031220,Rockhampton Region - West,30055,Mirani,1,Good,Acceptable,0
308031221,Shoalwater Bay,30055,Mirani,0.0005062,Good,Acceptable,1
308031221,Shoalwater Bay,30041,Keppel,0.9994938,Acceptable,Acceptable,0
308031222,The Range - Allenstown,30073,Rockhampton,1,Acceptable,Acceptable,0
308031223,Yeppoon,30041,Keppel,1,Acceptable,Acceptable,0
308041528,Banana,30015,Callide,1,Acceptable,Acceptable,0
308041529,Biloela,30015,Callide,1,Acceptable,Acceptable,0
308051530,Agnes Water - Miriam Vale,30013,Burnett,1,Good,Acceptable,0
308051531,Boyne Island - Tannum Sands,30028,Gladstone,1,Good,Acceptable,0
308051532,Callemondah,30028,Gladstone,1,Good,Acceptable,0
308051533,Clinton - New Auckland,30028,Gladstone,1,Good,Acceptable,0
308051534,Gladstone,30028,Gladstone,1,Good,Acceptable,0
308051535,Gladstone Hinterland,30028,Gladstone,0.4469938,Good,Acceptable,0
308051535,Gladstone Hinterland,30015,Callide,0.5530062,Acceptable,Acceptable,0
308051536,Kin Kora - Sun Valley,30028,Gladstone,1,Good,Acceptable,0
308051537,South Trees,30028,Gladstone,1,Good,Acceptable,0
308051538,Telina - Toolooa,30028,Gladstone,1,Good,Acceptable,0
308051539,West Gladstone,30028,Gladstone,1,Good,Acceptable,0
309011224,Broadbeach Waters,30082,Surfers Paradise,1,Acceptable,Acceptable,0
309011225,Burleigh Heads,30012,Burleigh,1,Acceptable,Acceptable,0
309011226,Burleigh Waters,30053,Mermaid Beach,0.1841851,Poor,Acceptable,0
309011226,Burleigh Waters,30012,Burleigh,0.8158149,Acceptable,Acceptable,0
309011227,Mermaid Beach - Broadbeach,30053,Mermaid Beach,0.5974726,Poor,Acceptable,0
309011227,Mermaid Beach - Broadbeach,30082,Surfers Paradise,0.4025274,Acceptable,Acceptable,0
309011228,Mermaid Waters,30053,Mermaid Beach,1,Poor,Acceptable,0
309011229,Miami,30053,Mermaid Beach,1,Poor,Acceptable,0
309021230,Coolangatta,30024,Currumbin,1,Good,Acceptable,0
309021231,Currumbin - Tugun,30024,Currumbin,1,Good,Acceptable,0
309021232,Currumbin Waters,30024,Currumbin,1,Good,Acceptable,0
309021233,Elanora,30024,Currumbin,1,Good,Acceptable,0
309021234,Palm Beach,30012,Burleigh,1,Acceptable,Acceptable,0
309031235,Arundel,30005,Bonney,1,Good,Acceptable,0
309031236,Biggera Waters,30006,Broadwater,0.1398084,Acceptable,Acceptable,0
309031236,Biggera Waters,30005,Bonney,0.8601916,Good,Acceptable,0
309031237,Coombabah,30005,Bonney,0.0722674,Good,Acceptable,0
309031237,Coombabah,30006,Broadwater,0.9277326,Acceptable,Acceptable,0
309031238,Labrador,30005,Bonney,1,Good,Acceptable,0
309031239,Paradise Point - Hollywell,30006,Broadwater,1,Acceptable,Acceptable,0
309031240,Runaway Bay,30006,Broadwater,1,Acceptable,Acceptable,0
309041241,Guanaba - Springbrook,30059,Mudgeeraba,0.722476,Acceptable,Acceptable,0
309041241,Guanaba - Springbrook,30083,Theodore,0.277524,Poor,Acceptable,0
309041242,Tamborine - Canungra,30075,Scenic Rim,1,Acceptable,Acceptable,0
309051243,Currumbin Valley - Tallebudgera,30012,Burleigh,0.1043284,Acceptable,Acceptable,0
309051243,Currumbin Valley - Tallebudgera,30024,Currumbin,0.8871875,Good,Acceptable,0
309051243,Currumbin Valley - Tallebudgera,30059,Mudgeeraba,0.0084841,Acceptable,Acceptable,1
309051244,Mudgeeraba - Bonogin,30059,Mudgeeraba,1,Acceptable,Acceptable,0
309051245,Reedy Creek - Andrews,30012,Burleigh,0.1660394,Acceptable,Acceptable,0
309051245,Reedy Creek - Andrews,30059,Mudgeeraba,0.8339606,Acceptable,Acceptable,0
309061246,Carrara,30027,Gaven,0.8254171,Acceptable,Acceptable,0
309061246,Carrara,30059,Mudgeeraba,0.1252901,Acceptable,Acceptable,0
309061246,Carrara,30082,Surfers Paradise,0.0492928,Acceptable,Acceptable,0
309061247,Highland Park,30027,Gaven,1,Acceptable,Acceptable,0
309061248,Nerang - Mount Nathan,30027,Gaven,0.8916752,Acceptable,Acceptable,0
309061248,Nerang - Mount Nathan,30059,Mudgeeraba,0.1007699,Acceptable,Acceptable,0
309061248,Nerang - Mount Nathan,30083,Theodore,0.0075549,Poor,Acceptable,1
309061249,Pacific Pines - Gaven,30027,Gaven,0.6531274,Acceptable,Acceptable,0
309061249,Pacific Pines - Gaven,30083,Theodore,0.3468726,Poor,Acceptable,0
309061250,Worongary - Tallai,30059,Mudgeeraba,1,Acceptable,Acceptable,0
309071251,Coomera,30022,Coomera,0.8199483,Acceptable,Acceptable,0
309071251,Coomera,30083,Theodore,0.1800517,Poor,Acceptable,0
309071252,Helensvale,30006,Broadwater,0.269821,Acceptable,Acceptable,0
309071252,Helensvale,30083,Theodore,0.7301767,Poor,Acceptable,0
309071252,Helensvale,30005,Bonney,0.0000023,Good,Acceptable,1
309071253,Hope Island,30006,Broadwater,1,Acceptable,Acceptable,0
309071254,Jacobs Well - Alberton,30006,Broadwater,0.0000017,Acceptable,Acceptable,1
309071254,Jacobs Well - Alberton,30022,Coomera,0.9999983,Acceptable,Acceptable,0
309071255,Ormeau - Yatala,30022,Coomera,1,Acceptable,Acceptable,0
309071256,Oxenford - Maudsland,30083,Theodore,1,Poor,Acceptable,0
309071257,Pimpama,30022,Coomera,1,Acceptable,Acceptable,0
309071258,Upper Coomera - Willow Vale,30022,Coomera,0.4802533,Acceptable,Acceptable,0
309071258,Upper Coomera - Willow Vale,30083,Theodore,0.5197467,Poor,Acceptable,0
309081259,Clear Island Waters,30082,Surfers Paradise,1,Acceptable,Acceptable,0
309081260,Merrimac,30059,Mudgeeraba,1,Acceptable,Acceptable,0
309081261,Robina,30053,Mermaid Beach,0.6929743,Poor,Acceptable,0
309081261,Robina,30059,Mudgeeraba,0.3070257,Acceptable,Acceptable,0
309081262,Varsity Lakes,30053,Mermaid Beach,0.3091301,Poor,Acceptable,0
309081262,Varsity Lakes,30012,Burleigh,0.6908699,Acceptable,Acceptable,0
309091263,Ashmore,30078,Southport,1,Acceptable,Acceptable,0
309091264,Molendinar,30078,Southport,1,Acceptable,Acceptable,0
309091265,Parkwood,30005,Bonney,1,Good,Acceptable,0
309091540,Southport - North,30078,Southport,0.6617626,Acceptable,Acceptable,0
309091540,Southport - North,30005,Bonney,0.3382374,Good,Acceptable,0
309091541,Southport - South,30078,Southport,1,Acceptable,Acceptable,0
