LGA_CODE_2018,LGA_NAME_2018,GCCSA_CODE_2021,GCCSA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10950,Bogan (A),1RNSW,Rest of NSW,1,Good,Good,0
11150,Bourke (A),1RNSW,Rest of NSW,1,Good,Good,0
11200,Brewarrina (A),1RNSW,Rest of NSW,1,Good,Good,0
11250,Broken Hill (C),1RNSW,Rest of NSW,1,Good,Good,0
11300,Burwood (A),1GSYD,Greater Sydney,1,Good,Good,0
11350,Byron (A),1RNSW,Rest of NSW,1,Good,Good,0
11400,Cabonne (A),1RNSW,Rest of NSW,1,Good,Good,0
11450,Camden (A),1GSYD,Greater Sydney,1,Good,Good,0
11500,Campbelltown (C) (NSW),1GSYD,Greater Sydney,0.9999999,Good,Good,0
11500,Campbelltown (C) (NSW),1RNSW,Rest of NSW,1.00E-07,Good,Good,1
11520,Canada Bay (A),1GSYD,Greater Sydney,1,Good,Good,0
11570,Canterbury-Bankstown (A),1GSYD,Greater Sydney,1,Good,Good,0
11600,Carrathool (A),1RNSW,Rest of NSW,1,Good,Good,0
11650,Central Coast (C) (NSW),1GSYD,Greater Sydney,1,Good,Good,0
11700,Central Darling (A),1RNSW,Rest of NSW,1,Good,Good,0
11720,Cessnock (C),1RNSW,Rest of NSW,1,Good,Good,0
11730,Clarence Valley (A),1RNSW,Rest of NSW,1,Good,Good,0
11750,Cobar (A),1RNSW,Rest of NSW,1,Good,Good,0
11800,Coffs Harbour (C),1RNSW,Rest of NSW,1,Good,Good,0
12000,Coolamon (A),1RNSW,Rest of NSW,1,Good,Good,0
12150,Coonamble (A),1RNSW,Rest of NSW,1,Good,Good,0
12160,Cootamundra-Gundagai Regional (A),1RNSW,Rest of NSW,1,Good,Good,0
12350,Cowra (A),1RNSW,Rest of NSW,1,Good,Good,0
12380,Cumberland (A),1GSYD,Greater Sydney,1,Good,Good,0
12390,Dubbo Regional (A),1RNSW,Rest of NSW,1,Good,Good,0
12700,Dungog (A),1RNSW,Rest of NSW,1,Good,Good,0
12730,Edward River (A),1RNSW,Rest of NSW,1,Good,Good,0
12750,Eurobodalla (A),1RNSW,Rest of NSW,1,Good,Good,0
12850,Fairfield (C),1GSYD,Greater Sydney,1,Good,Good,0
12870,Federation (A),1RNSW,Rest of NSW,1,Good,Good,0
12900,Forbes (A),1RNSW,Rest of NSW,1,Good,Good,0
12930,Georges River (A),,,1.00E-07,Poor,Good,4
12930,Georges River (A),1GSYD,Greater Sydney,0.9999999,Good,Good,0
12950,Gilgandra (A),1RNSW,Rest of NSW,1,Good,Good,0
13010,Glen Innes Severn (A),1RNSW,Rest of NSW,1,Good,Good,0
13310,Goulburn Mulwaree (A),1RNSW,Rest of NSW,1,Good,Good,0
13340,Greater Hume Shire (A),1RNSW,Rest of NSW,1,Good,Good,0
13450,Griffith (C),1RNSW,Rest of NSW,1,Good,Good,0
13550,Gunnedah (A),1RNSW,Rest of NSW,1,Good,Good,0
13660,Gwydir (A),1RNSW,Rest of NSW,1,Good,Good,0
13800,Hawkesbury (C),1GSYD,Greater Sydney,1,Good,Good,0
13850,Hay (A),1RNSW,Rest of NSW,1,Good,Good,0
13910,Hilltops (A),1RNSW,Rest of NSW,1,Good,Good,0
14000,Hornsby (A),1GSYD,Greater Sydney,1,Good,Good,0
14100,Hunters Hill (A),1GSYD,Greater Sydney,1,Good,Good,0
14170,Inner West (A),1GSYD,Greater Sydney,1,Good,Good,0
14200,Inverell (A),1RNSW,Rest of NSW,1,Good,Good,0
14300,Junee (A),1RNSW,Rest of NSW,1,Good,Good,0
14350,Kempsey (A),1RNSW,Rest of NSW,1,Good,Good,0
14400,Kiama (A),1RNSW,Rest of NSW,1,Good,Good,0
14500,Ku-ring-gai (A),1GSYD,Greater Sydney,1,Good,Good,0
14550,Kyogle (A),1RNSW,Rest of NSW,1,Good,Good,0
14600,Lachlan (A),1RNSW,Rest of NSW,1,Good,Good,0
14650,Lake Macquarie (C),1GSYD,Greater Sydney,1.00E-07,Good,Good,1
14650,Lake Macquarie (C),1RNSW,Rest of NSW,0.9999999,Good,Good,0
14700,Lane Cove (A),1GSYD,Greater Sydney,1,Good,Good,0
14750,Leeton (A),1RNSW,Rest of NSW,1,Good,Good,0
14850,Lismore (C),1RNSW,Rest of NSW,1,Good,Good,0
14870,Lithgow (C),1RNSW,Rest of NSW,1,Good,Good,0
14900,Liverpool (C),1GSYD,Greater Sydney,1,Good,Good,0
14920,Liverpool Plains (A),1RNSW,Rest of NSW,1,Good,Good,0
14950,Lockhart (A),1RNSW,Rest of NSW,1,Good,Good,0
15050,Maitland (C),1RNSW,Rest of NSW,1,Good,Good,0
15240,Mid-Coast (A),1RNSW,Rest of NSW,1,Good,Good,0
15270,Mid-Western Regional (A),1RNSW,Rest of NSW,1,Good,Good,0
15300,Moree Plains (A),1RNSW,Rest of NSW,1,Good,Good,0
15350,Mosman (A),1GSYD,Greater Sydney,1,Good,Good,0
15520,Murray River (A),1RNSW,Rest of NSW,1,Good,Good,0
15560,Murrumbidgee (A),1RNSW,Rest of NSW,1,Good,Good,0
15650,Muswellbrook (A),1RNSW,Rest of NSW,1,Good,Good,0
15700,Nambucca (A),1RNSW,Rest of NSW,1,Good,Good,0
15750,Narrabri (A),1RNSW,Rest of NSW,1,Good,Good,0
15800,Narrandera (A),1RNSW,Rest of NSW,1,Good,Good,0
15850,Narromine (A),1RNSW,Rest of NSW,1,Good,Good,0
15900,Newcastle (C),,,1.00E-07,Poor,Good,4
15900,Newcastle (C),1RNSW,Rest of NSW,0.9999999,Good,Good,0
15950,North Sydney (A),1GSYD,Greater Sydney,1,Good,Good,0
15990,Northern Beaches (A),1GSYD,Greater Sydney,1,Good,Good,0
16100,Oberon (A),1GSYD,Greater Sydney,1.90E-06,Good,Good,1
16100,Oberon (A),1RNSW,Rest of NSW,0.9999981,Good,Good,0
16150,Orange (C),1RNSW,Rest of NSW,1,Good,Good,0
16200,Parkes (A),1RNSW,Rest of NSW,1,Good,Good,0
16260,Parramatta (C),1GSYD,Greater Sydney,1,Good,Good,0
16350,Penrith (C),1GSYD,Greater Sydney,1,Good,Good,0
16380,Port Macquarie-Hastings (A),1RNSW,Rest of NSW,1,Good,Good,0
16400,Port Stephens (A),1RNSW,Rest of NSW,1,Good,Good,0
16490,Queanbeyan-Palerang Regional (A),1RNSW,Rest of NSW,1,Good,Good,0
16550,Randwick (C),1GSYD,Greater Sydney,1,Good,Good,0
16610,Richmond Valley (A),1RNSW,Rest of NSW,1,Good,Good,0
16700,Ryde (C),1GSYD,Greater Sydney,1,Good,Good,0
16900,Shellharbour (C),1RNSW,Rest of NSW,1,Good,Good,0
16950,Shoalhaven (C),1RNSW,Rest of NSW,1,Good,Good,0
17000,Singleton (A),1RNSW,Rest of NSW,1,Good,Good,0
17040,Snowy Monaro Regional (A),1RNSW,Rest of NSW,1,Good,Good,0
17080,Snowy Valleys (A),1RNSW,Rest of NSW,1,Good,Good,0
17100,Strathfield (A),1GSYD,Greater Sydney,1,Good,Good,0
17150,Sutherland Shire (A),1GSYD,Greater Sydney,1,Good,Good,0
17200,Sydney (C),1GSYD,Greater Sydney,1,Good,Good,0
17310,Tamworth Regional (A),1RNSW,Rest of NSW,1,Good,Good,0
17350,Temora (A),1RNSW,Rest of NSW,1,Good,Good,0
17400,Tenterfield (A),1RNSW,Rest of NSW,1,Good,Good,0
17420,The Hills Shire (A),1GSYD,Greater Sydney,1,Good,Good,0
17550,Tweed (A),1RNSW,Rest of NSW,1,Good,Good,0
17620,Upper Hunter Shire (A),1RNSW,Rest of NSW,1,Good,Good,0
17640,Upper Lachlan Shire (A),1RNSW,Rest of NSW,1,Good,Good,0
17650,Uralla (A),1RNSW,Rest of NSW,1,Good,Good,0
17750,Wagga Wagga (C),1RNSW,Rest of NSW,1,Good,Good,0
17850,Walcha (A),1RNSW,Rest of NSW,1,Good,Good,0
17900,Walgett (A),1RNSW,Rest of NSW,1,Good,Good,0
17950,Warren (A),1RNSW,Rest of NSW,1,Good,Good,0
18020,Warrumbungle Shire (A),1RNSW,Rest of NSW,1,Good,Good,0
18050,Waverley (A),1GSYD,Greater Sydney,1,Good,Good,0
18100,Weddin (A),1RNSW,Rest of NSW,1,Good,Good,0
18200,Wentworth (A),1RNSW,Rest of NSW,1,Good,Good,0
18250,Willoughby (C),1GSYD,Greater Sydney,1,Good,Good,0
18350,Wingecarribee (A),1GSYD,Greater Sydney,0.0018555,Good,Good,1
18350,Wingecarribee (A),1RNSW,Rest of NSW,0.9981445,Good,Good,0
18400,Wollondilly (A),1GSYD,Greater Sydney,0.9993598,Good,Good,0
18400,Wollondilly (A),1RNSW,Rest of NSW,0.0006402,Good,Good,1
18450,Wollongong (C),1RNSW,Rest of NSW,1,Good,Good,0
18500,Woollahra (A),1GSYD,Greater Sydney,1,Good,Good,0
18710,Yass Valley (A),1RNSW,Rest of NSW,1,Good,Good,0
19399,Unincorporated NSW,1RNSW,Rest of NSW,1,Good,Good,0
19499,No usual address (NSW),19499,No usual address (NSW),1,Good,Good,0
19799,Migratory - Offshore - Shipping (NSW),19799,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
20110,Alpine (S),2RVIC,Rest of Vic.,1,Good,Good,0
20260,Ararat (RC),2RVIC,Rest of Vic.,1,Good,Good,0
20570,Ballarat (C),2RVIC,Rest of Vic.,1,Good,Good,0
20660,Banyule (C),2GMEL,Greater Melbourne,1,Good,Good,0
20740,Bass Coast (S),2RVIC,Rest of Vic.,1,Good,Good,0
20830,Baw Baw (S),2RVIC,Rest of Vic.,1,Good,Good,0
20910,Bayside (C),2GMEL,Greater Melbourne,1,Good,Good,0
21010,Benalla (RC),2RVIC,Rest of Vic.,1,Good,Good,0
21110,Boroondara (C),2GMEL,Greater Melbourne,1,Good,Good,0
21180,Brimbank (C),2GMEL,Greater Melbourne,1,Good,Good,0
21270,Buloke (S),2RVIC,Rest of Vic.,1,Good,Good,0
21370,Campaspe (S),2RVIC,Rest of Vic.,1,Good,Good,0
21450,Cardinia (S),2GMEL,Greater Melbourne,1,Good,Good,0
21610,Casey (C),2GMEL,Greater Melbourne,1,Good,Good,0
21670,Central Goldfields (S),2RVIC,Rest of Vic.,1,Good,Good,0
21750,Colac-Otway (S),2RVIC,Rest of Vic.,1,Good,Good,0
21830,Corangamite (S),2RVIC,Rest of Vic.,1,Good,Good,0
21890,Darebin (C),2GMEL,Greater Melbourne,1,Good,Good,0
22110,East Gippsland (S),2RVIC,Rest of Vic.,1,Good,Good,0
22170,Frankston (C),2GMEL,Greater Melbourne,1,Good,Good,0
22250,Gannawarra (S),2RVIC,Rest of Vic.,1,Good,Good,0
22310,Glen Eira (C),2GMEL,Greater Melbourne,1,Good,Good,0
22410,Glenelg (S),2RVIC,Rest of Vic.,1,Good,Good,0
22490,Golden Plains (S),2RVIC,Rest of Vic.,1,Good,Good,0
22620,Greater Bendigo (C),2RVIC,Rest of Vic.,1,Good,Good,0
22670,Greater Dandenong (C),2GMEL,Greater Melbourne,1,Good,Good,0
22750,Greater Geelong (C),2RVIC,Rest of Vic.,1,Good,Good,0
22830,Greater Shepparton (C),2RVIC,Rest of Vic.,1,Good,Good,0
22910,Hepburn (S),2RVIC,Rest of Vic.,1,Good,Good,0
22980,Hindmarsh (S),2RVIC,Rest of Vic.,1,Good,Good,0
23110,Hobsons Bay (C),2GMEL,Greater Melbourne,1,Good,Good,0
23190,Horsham (RC),2RVIC,Rest of Vic.,1,Good,Good,0
23270,Hume (C),2GMEL,Greater Melbourne,1,Good,Good,0
23350,Indigo (S),2RVIC,Rest of Vic.,1,Good,Good,0
23430,Kingston (C) (Vic.),2GMEL,Greater Melbourne,1,Good,Good,0
23670,Knox (C),2GMEL,Greater Melbourne,1,Good,Good,0
23810,Latrobe (C) (Vic.),2RVIC,Rest of Vic.,1,Good,Good,0
23940,Loddon (S),2RVIC,Rest of Vic.,1,Good,Good,0
24130,Macedon Ranges (S),2GMEL,Greater Melbourne,0.6418293,Good,Good,0
24130,Macedon Ranges (S),2RVIC,Rest of Vic.,0.3581707,Good,Good,0
24210,Manningham (C),2GMEL,Greater Melbourne,1,Good,Good,0
24250,Mansfield (S),2RVIC,Rest of Vic.,1,Good,Good,0
24330,Maribyrnong (C),2GMEL,Greater Melbourne,1,Good,Good,0
24410,Maroondah (C),2GMEL,Greater Melbourne,1,Good,Good,0
24600,Melbourne (C),2GMEL,Greater Melbourne,1,Good,Good,0
24650,Melton (C),2GMEL,Greater Melbourne,1,Good,Good,0
24780,Mildura (RC),2RVIC,Rest of Vic.,1,Good,Good,0
24850,Mitchell (S),2GMEL,Greater Melbourne,0.3964265,Good,Good,0
24850,Mitchell (S),2RVIC,Rest of Vic.,0.6035735,Good,Good,0
24900,Moira (S),2RVIC,Rest of Vic.,1,Good,Good,0
24970,Monash (C),2GMEL,Greater Melbourne,1,Good,Good,0
25060,Moonee Valley (C),2GMEL,Greater Melbourne,1,Good,Good,0
25150,Moorabool (S),2GMEL,Greater Melbourne,0.6402997,Good,Good,0
25150,Moorabool (S),2RVIC,Rest of Vic.,0.3597003,Good,Good,0
25250,Moreland (C),2GMEL,Greater Melbourne,1,Good,Good,0
25340,Mornington Peninsula (S),2GMEL,Greater Melbourne,1,Good,Good,0
25430,Mount Alexander (S),2RVIC,Rest of Vic.,1,Good,Good,0
25490,Moyne (S),2RVIC,Rest of Vic.,1,Good,Good,0
25620,Murrindindi (S),2GMEL,Greater Melbourne,0.2791362,Good,Good,0
25620,Murrindindi (S),2RVIC,Rest of Vic.,0.7208638,Good,Good,0
25710,Nillumbik (S),2GMEL,Greater Melbourne,1,Good,Good,0
25810,Northern Grampians (S),2RVIC,Rest of Vic.,1,Good,Good,0
25900,Port Phillip (C),2GMEL,Greater Melbourne,1,Good,Good,0
25990,Pyrenees (S),2RVIC,Rest of Vic.,1,Good,Good,0
26080,Queenscliffe (B),2RVIC,Rest of Vic.,1,Good,Good,0
26170,South Gippsland (S),2RVIC,Rest of Vic.,1,Good,Good,0
26260,Southern Grampians (S),2RVIC,Rest of Vic.,1,Good,Good,0
26350,Stonnington (C),2GMEL,Greater Melbourne,1,Good,Good,0
26430,Strathbogie (S),2RVIC,Rest of Vic.,1,Good,Good,0
26490,Surf Coast (S),2RVIC,Rest of Vic.,1,Good,Good,0
26610,Swan Hill (RC),2RVIC,Rest of Vic.,1,Good,Good,0
26670,Towong (S),2RVIC,Rest of Vic.,1,Good,Good,0
26700,Wangaratta (RC),2RVIC,Rest of Vic.,1,Good,Good,0
26730,Warrnambool (C),2RVIC,Rest of Vic.,1,Good,Good,0
26810,Wellington (S),2RVIC,Rest of Vic.,1,Good,Good,0
26890,West Wimmera (S),2RVIC,Rest of Vic.,1,Good,Good,0
26980,Whitehorse (C),2GMEL,Greater Melbourne,1,Good,Good,0
27070,Whittlesea (C),2GMEL,Greater Melbourne,1,Good,Good,0
27170,Wodonga (C),2RVIC,Rest of Vic.,1,Good,Good,0
27260,Wyndham (C),2GMEL,Greater Melbourne,1,Good,Good,0
27350,Yarra (C),2GMEL,Greater Melbourne,1,Good,Good,0
27450,Yarra Ranges (S),2GMEL,Greater Melbourne,0.9987554,Good,Good,0
27450,Yarra Ranges (S),2RVIC,Rest of Vic.,0.0012446,Good,Good,1
27630,Yarriambiack (S),2RVIC,Rest of Vic.,1,Good,Good,0
