SSC_CODE_2016,SSC_NAME_2016,SAL_CODE_2021,SAL_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10142,Bakers Swamp,10143,Bakers Swamp,1,Good,Good,0
10143,Balaclava (NSW),10144,Balaclava (NSW),1,Good,Good,0
10144,Balala,10145,Balala,1,Good,Good,0
10145,Balcolyn,10146,Balcolyn,1,Good,Good,0
10146,Bald Blair,10147,Bald Blair,1,Good,Good,0
10147,Bald Hills (NSW),10148,Bald Hills (NSW),1,Good,Good,0
10148,Bald Nob,10149,Bald Nob,1,Good,Good,0
10149,Bald Ridge,10150,Bald Ridge,1,Good,Good,0
10150,Baldersleigh,10151,Baldersleigh,1,Good,Good,0
10151,Baldry,10152,Baldry,1,Good,Good,0
10152,Balfours Peak,10153,Balfours Peak,1,Good,Good,0
10153,Balgowlah,10154,Balgowlah,1,Good,Good,0
10154,Balgowlah Heights,10155,Balgowlah Heights,1,Good,Good,0
10155,Balgownie,10156,Balgownie,1,Good,Good,0
10156,Balickera,10157,Balickera,1,Good,Good,0
10157,Balladoran,10158,Balladoran,1,Good,Good,0
10158,Ballalaba,10159,Ballalaba,1,Good,Good,0
10159,Balldale,10160,Balldale,1,Good,Good,0
10160,Ballengarra,10161,Ballengarra,1,Good,Good,0
10161,Ballimore,10162,Ballimore,1,Good,Good,0
10162,Ballina,10163,Ballina,1,Good,Good,0
10163,Ballyroe,10164,Ballyroe,1,Good,Good,0
10164,Balmain,10165,Balmain,1,Good,Good,0
10165,Balmain East,10166,Balmain East,1,Good,Good,0
10166,Balmoral (Lake Macquarie - NSW),10167,Balmoral (Lake Macquarie - NSW),1,Good,Good,0
10167,Balmoral (Wingecarribee - NSW),10168,Balmoral (Wingecarribee - NSW),1,Good,Good,0
10168,Balranald,10169,Balranald,1,Good,Good,0
10169,Bamarang,10170,Bamarang,1,Good,Good,0
10170,Banda Banda,10171,Banda Banda,1,Good,Good,0
10171,Bandon Grove,10172,Bandon Grove,1,Good,Good,0
10172,Bangadang,10173,Bangadang,1,Good,Good,0
10173,Bangalee (NSW),10174,Bangalee (NSW),1,Good,Good,0
10174,Bangalow,10175,Bangalow,1,Good,Good,0
10175,Bangheet,10176,Bangheet,1,Good,Good,0
10176,Bango,10177,Bango,1,Good,Good,0
10177,Bangor (NSW),10178,Bangor (NSW),1,Good,Good,0
10178,Banksia,10179,Banksia,1,Good,Good,0
10179,Banksmeadow,10180,Banksmeadow,1,Good,Good,0
10180,Bankstown,10181,Bankstown,0.992478,Good,Good,0
10180,Bankstown,11763,Greenacre,0.007522,Good,Good,1
10181,Bankstown Aerodrome,10182,Bankstown Aerodrome,1,Good,Good,0
10182,Bannaby,10183,Bannaby,1,Good,Good,0
10183,Bannister (NSW),10184,Bannister (NSW),1,Good,Good,0
10184,Banoon,10185,Banoon,1,Good,Good,0
10185,Banora Point,10186,Banora Point,0.9928543,Good,Good,0
10185,Banora Point,13817,Terranora,0.0071457,Good,Good,1
10186,Banyabba,10187,Banyabba,1,Good,Good,0
10187,Bar Beach,10188,Bar Beach,1,Good,Good,0
10188,Bar Point,10189,Bar Point,1,Good,Good,0
10189,Bara,10190,Bara,1,Good,Good,0
10190,Baradine,10191,Baradine,1,Good,Good,0
10191,Barangaroo,10192,Barangaroo,1,Good,Good,0
10192,Barcoongere,10193,Barcoongere,1,Good,Good,0
10193,Barden Ridge,10194,Barden Ridge,1,Good,Good,0
10194,Bardia,10195,Bardia,1,Good,Good,0
10195,Bardwell Park,10196,Bardwell Park,1,Good,Good,0
10196,Bardwell Valley,10197,Bardwell Valley,1,Good,Good,0
10197,Barellan,10198,Barellan,1,Good,Good,0
10198,Bargo,10199,Bargo,1,Good,Good,0
10199,Barham,10200,Barham,1,Good,Good,0
10200,Barigan,10201,Barigan,1,Good,Good,0
10201,Barkers Vale,10202,Barkers Vale,1,Good,Good,0
10202,Barmedman,10203,Barmedman,1,Good,Good,0
10203,Barneys Reef,10204,Barneys Reef,1,Good,Good,0
10204,Barnsley,10205,Barnsley,1,Good,Good,0
10205,Barooga,10206,Barooga,1,Good,Good,0
10206,Barraba,10207,Barraba,1,Good,Good,0
10207,Barrack Heights,10208,Barrack Heights,1,Good,Good,0
10208,Barrack Point,10209,Barrack Point,1,Good,Good,0
10209,Barraganyatti,10210,Barraganyatti,1,Good,Good,0
10210,Barragga Bay,10211,Barragga Bay,1,Good,Good,0
10211,Barratta (NSW),10212,Barratta (NSW),1,Good,Good,0
10212,Barren Grounds,10213,Barren Grounds,1,Good,Good,0
10213,Barrengarry,10214,Barrengarry,1,Good,Good,0
10214,Barretts Creek,10215,Barretts Creek,1,Good,Good,0
10215,Barringella,10216,Barringella,1,Good,Good,0
10216,Barrington (NSW),10217,Barrington (NSW),1,Good,Good,0
10217,Barrington Tops,10218,Barrington Tops,1,Good,Good,0
10218,Barry (Blayney - NSW),10219,Barry (Blayney - NSW),1,Good,Good,0
10219,Barry (Upper Hunter Shire - NSW),10220,Barry (Tamworth Regional - NSW),1,Good,Good,0
10220,Barwang,10221,Barwang,1,Good,Good,0
10221,Barwon,10191,Baradine,1,Good,Good,0
10222,Baryulgil,10222,Baryulgil,0.3965781,Poor,Good,0
10222,Baryulgil,12463,Malabugilmah,0.6034219,Poor,Good,0
10223,Basin View,10223,Basin View,1,Good,Good,0
10224,Bass Hill,10224,Bass Hill,1,Good,Good,0
10225,Bassendean (NSW),10225,Bassendean (NSW),1,Good,Good,0
10226,Batar Creek,10226,Batar Creek,1,Good,Good,0
10227,Bateau Bay,10227,Bateau Bay,1,Good,Good,0
10228,Batehaven,10228,Batehaven,1,Good,Good,0
10229,Batemans Bay,10229,Batemans Bay,1,Good,Good,0
10230,Bathampton,10230,Bathampton,1,Good,Good,0
