LOCALITY_PID,LOCALITY_NAME,SA4_CODE_2021,SA4_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW104,ATHOLWOOD,110,New England and North West,1,Good,Good,0
NSW1040,COOLANGUBRA,101,Capital Region,1,Good,Good,0
NSW1041,COOLATAI,110,New England and North West,1,Good,Good,0
NSW1043,COOLEMAN,113,Riverina,1,Good,Good,0
NSW1044,COOLEYS CREEK,113,Riverina,1,Good,Good,0
NSW1045,COOLGARDIE,112,Richmond - Tweed,1,Good,Good,0
NSW1046,COOLONGOLOOK,108,Mid North Coast,1,Good,Good,0
NSW1047,COOLRINGDON,101,Capital Region,1,Good,Good,0
NSW1048,COOLUMBOOKA,101,Capital Region,1,Good,Good,0
NSW1049,COOLUMBURRA,114,Southern Highlands and Shoalhaven,1,Good,Good,0
NSW105,ATTUNGA,110,New England and North West,1,Good,Good,0
NSW1050,COOMA,101,Capital Region,1,Good,Good,0
NSW1051,COOMBA BAY,108,Mid North Coast,1,Good,Good,0
NSW1052,COOMBA PARK,108,Mid North Coast,1,Good,Good,0
NSW1053,COOMBADJHA,104,Coffs Harbour - Grafton,0.9990958,Good,Good,0
NSW1053,COOMBADJHA,110,New England and North West,0.0009042,Good,Good,1
NSW1054,COOMBELL,112,Richmond - Tweed,1,Good,Good,0
NSW1055,COOMOO COOMOO,110,New England and North West,1,Good,Good,0
NSW1056,COONABARABRAN,105,Far West and Orana,1,Good,Good,0
NSW1057,COONAMBLE,105,Far West and Orana,1,Good,Good,0
NSW1058,COONGBAR,104,Coffs Harbour - Grafton,1,Good,Good,0
NSW1059,COOPERABUNG,108,Mid North Coast,1,Good,Good,0
NSW106,AUBURN,125,Sydney - Parramatta,1,Good,Good,0
NSW1060,COOPERNOOK,108,Mid North Coast,1,Good,Good,0
NSW1061,COOPERS GULLY,101,Capital Region,1,Good,Good,0
NSW1062,COOPERS SHOOT,112,Richmond - Tweed,1,Good,Good,0
NSW1063,COOPLACURRIPA,108,Mid North Coast,1,Good,Good,0
NSW1064,COORABELL,112,Richmond - Tweed,1,Good,Good,0
NSW1065,COORANBONG,111,Newcastle and Lake Macquarie,1,Good,Good,0
NSW1066,COOTAMUNDRA,113,Riverina,1,Good,Good,0
NSW1067,COOTRALANTRA,101,Capital Region,1,Good,Good,0
NSW1068,COOYAL,103,Central West,1,Good,Good,0
NSW1069,COPACABANA,102,Central Coast,1,Good,Good,0
NSW107,AUBURN VALE,110,New England and North West,1,Good,Good,0
NSW1070,COPE,103,Central West,1,Good,Good,0
NSW1071,COPELAND,108,Mid North Coast,1,Good,Good,0
NSW1072,COPETON,110,New England and North West,1,Good,Good,0
NSW1073,COPMANHURST,104,Coffs Harbour - Grafton,1,Good,Good,0
NSW1074,COPPABELLA,109,Murray,1,Good,Good,0
NSW1075,COPPERHANNIA,103,Central West,1,Good,Good,0
NSW1076,CORAKI,112,Richmond - Tweed,1,Good,Good,0
NSW1077,CORALVILLE,108,Mid North Coast,1,Good,Good,0
NSW1078,CORAMBA,104,Coffs Harbour - Grafton,1,Good,Good,0
NSW1079,CORANG,101,Capital Region,1,Good,Good,0
NSW108,AUSTINMER,107,Illawarra,1,Good,Good,0
NSW1080,CORANGULA,108,Mid North Coast,1,Good,Good,0
NSW1081,CORBIE HILL,113,Riverina,1,Good,Good,0
NSW1082,CORDEAUX,107,Illawarra,1,Good,Good,0
NSW1083,CORDEAUX HEIGHTS,107,Illawarra,1,Good,Good,0
NSW1084,COREE,109,Murray,1,Good,Good,0
NSW1085,COREEN,109,Murray,1,Good,Good,0
NSW1086,CORINDI BEACH,104,Coffs Harbour - Grafton,1,Good,Good,0
NSW1087,CORINELLA,103,Central West,1,Good,Good,0
NSW1088,CORLETTE,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW1089,CORNDALE,112,Richmond - Tweed,1,Good,Good,0
NSW109,AUSTRAL,127,Sydney - South West,1,Good,Good,0
NSW1090,CORNEY TOWN,103,Central West,1,Good,Good,0
NSW1091,CORNWALLIS,124,Sydney - Outer West and Blue Mountains,1,Good,Good,0
NSW1092,COROBIMILLA,113,Riverina,1,Good,Good,0
NSW1093,COROWA,109,Murray,1,Good,Good,0
NSW1094,CORRABARE,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW1095,CORRIMAL,107,Illawarra,1,Good,Good,0
NSW1096,CORRONG,109,Murray,1,Good,Good,0
NSW1097,CORROWONG,101,Capital Region,1,Good,Good,0
NSW1098,CORUNNA,101,Capital Region,1,Good,Good,0
NSW1099,COTTAGE POINT,122,Sydney - Northern Beaches,1,Good,Good,0
NSW11,ABERMAIN,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW110,AUSTRAL EDEN,108,Mid North Coast,1,Good,Good,0
NSW1100,COUGAL,112,Richmond - Tweed,1,Good,Good,0
NSW1101,COUNTEGANY,101,Capital Region,1,Good,Good,0
NSW1102,COURABYRA,113,Riverina,1,Good,Good,0
NSW1103,COURADDA,110,New England and North West,1,Good,Good,0
NSW1104,COURAGAGO,113,Riverina,1,Good,Good,0
NSW1105,COURIDJAH,123,Sydney - Outer South West,1,Good,Good,0
NSW1106,COUTTS CROSSING,104,Coffs Harbour - Grafton,1,Good,Good,0
NSW1107,COW FLAT,103,Central West,1,Good,Good,0
NSW1108,COWABBIE,113,Riverina,1,Good,Good,0
NSW1109,COWAN,121,Sydney - North Sydney and Hornsby,1,Good,Good,0
NSW1110,COWPER,104,Coffs Harbour - Grafton,1,Good,Good,0
NSW1111,COWRA,103,Central West,1,Good,Good,0
NSW1112,COXS CREEK,103,Central West,1,Good,Good,0
NSW1113,COXS CROWN,103,Central West,1,Good,Good,0
NSW1114,CRABBES CREEK,112,Richmond - Tweed,1,Good,Good,0
NSW1115,CRACKENBACK,101,Capital Region,1,Good,Good,0
NSW1116,CRAIGIE,101,Capital Region,1,Good,Good,0
NSW1117,CRANEBROOK,124,Sydney - Outer West and Blue Mountains,1,Good,Good,0
NSW1118,CRANGAN BAY,102,Central Coast,0.9934551,Good,Good,0
NSW1118,CRANGAN BAY,111,Newcastle and Lake Macquarie,0.0065449,Good,Good,1
NSW1119,CRAVEN,108,Mid North Coast,1,Good,Good,0
NSW112,AVISFORD,103,Central West,1,Good,Good,0
NSW1120,CRAVEN PLATEAU,108,Mid North Coast,1,Good,Good,0
NSW1121,CRAWFORD RIVER,108,Mid North Coast,1,Good,Good,0
NSW1122,CRAWNEY,106,Hunter Valley exc Newcastle,0.2206343,Good,Good,0
NSW1122,CRAWNEY,110,New England and North West,0.7793657,Good,Good,0
NSW1123,CREEWAH,101,Capital Region,1,Good,Good,0
NSW1124,CREMORNE,121,Sydney - North Sydney and Hornsby,1,Good,Good,0
NSW1125,CREMORNE POINT,121,Sydney - North Sydney and Hornsby,1,Good,Good,0
NSW1126,CRESCENT HEAD,108,Mid North Coast,1,Good,Good,0
NSW1127,CRESTWOOD,101,Capital Region,1,Good,Good,0
NSW1128,CRINGILA,107,Illawarra,1,Good,Good,0
NSW1129,CROKI,108,Mid North Coast,1,Good,Good,0
NSW113,AVOCA,114,Southern Highlands and Shoalhaven,1,Good,Good,0
NSW1130,CROMER,122,Sydney - Northern Beaches,1,Good,Good,0
NSW1131,CRONULLA,128,Sydney - Sutherland,1,Good,Good,0
NSW1132,CROOBLE,110,New England and North West,1,Good,Good,0
NSW1133,CROOBYAR,114,Southern Highlands and Shoalhaven,1,Good,Good,0
NSW1134,CROOKED CORNER,101,Capital Region,1,Good,Good,0
NSW1135,CROOKWELL,101,Capital Region,1,Good,Good,0
NSW1136,CROOM,107,Illawarra,1,Good,Good,0
NSW1137,CROPPA CREEK,110,New England and North West,1,Good,Good,0
NSW1138,CROSS ROADS,103,Central West,1,Good,Good,0
NSW1139,CROSSLANDS,108,Mid North Coast,1,Good,Good,0
NSW114,AVOCA BEACH,102,Central Coast,1,Good,Good,0
NSW1140,CROUDACE BAY,111,Newcastle and Lake Macquarie,1,Good,Good,0
NSW1142,CROWDY HEAD,108,Mid North Coast,1,Good,Good,0
NSW1143,CROWS NEST,121,Sydney - North Sydney and Hornsby,1,Good,Good,0
NSW1144,CROWTHER,101,Capital Region,1,Good,Good,0
NSW1145,CROWTHER ISLAND,104,Coffs Harbour - Grafton,1,Good,Good,0
NSW1146,CROYDON,120,Sydney - Inner West,1,Good,Good,0
NSW1147,CROYDON PARK,120,Sydney - Inner West,1,Good,Good,0
NSW1148,CRUDINE,103,Central West,1,Good,Good,0
NSW1149,CRYON,105,Far West and Orana,1,Good,Good,0
NSW115,AVON,107,Illawarra,1,Good,Good,0
NSW1150,CRYSTAL CREEK,112,Richmond - Tweed,1,Good,Good,0
NSW1151,CUBBA,105,Far West and Orana,1,Good,Good,0
NSW1152,CUDAL,103,Central West,1,Good,Good,0
NSW1153,CUDGEGONG,103,Central West,1,Good,Good,0
NSW1154,CUDGEL,113,Riverina,1,Good,Good,0
NSW1155,CUDGEN,112,Richmond - Tweed,1,Good,Good,0
NSW1156,CUDGERA CREEK,112,Richmond - Tweed,1,Good,Good,0
NSW1157,CUDMIRRAH,114,Southern Highlands and Shoalhaven,1,Good,Good,0
NSW1158,CULBURRA BEACH,114,Southern Highlands and Shoalhaven,1,Good,Good,0
NSW1159,CULCAIRN,109,Murray,1,Good,Good,0
NSW116,AVONDALE,107,Illawarra,1,Good,Good,0
NSW1160,CULLEN BULLEN,103,Central West,1,Good,Good,0
NSW1161,CULLENBONE,103,Central West,1,Good,Good,0
NSW1162,CULLENDORE,110,New England and North West,1,Good,Good,0
NSW1163,CULLERIN,101,Capital Region,1,Good,Good,0
NSW1164,CULLIVEL,113,Riverina,1,Good,Good,0
NSW1165,CULMARAN CREEK,112,Richmond - Tweed,1,Good,Good,0
NSW1166,CUMBALUM,112,Richmond - Tweed,1,Good,Good,0
NSW1167,CUMBANDRY,103,Central West,1,Good,Good,0
NSW1168,CUMBERLAND REACH,115,Sydney - Baulkham Hills and Hawkesbury,1,Good,Good,0
NSW117,AVONSIDE,101,Capital Region,1,Good,Good,0
NSW1170,CUMBO,103,Central West,1,Good,Good,0
NSW1171,CUMBORAH,105,Far West and Orana,1,Good,Good,0
NSW1172,CUMNOCK,103,Central West,1,Good,Good,0
NSW1173,CUNDLE FLAT,108,Mid North Coast,1,Good,Good,0
NSW1174,CUNDLETOWN,108,Mid North Coast,1,Good,Good,0
NSW1175,CUNDUMBUL,105,Far West and Orana,1,Good,Good,0
NSW1176,CUNJURONG POINT,114,Southern Highlands and Shoalhaven,1,Good,Good,0
NSW1177,CUNNINYEUK,109,Murray,1,Good,Good,0
NSW1178,CURBAN,105,Far West and Orana,1,Good,Good,0
NSW1179,CURL CURL,122,Sydney - Northern Beaches,1,Good,Good,0
NSW118,AWABA,111,Newcastle and Lake Macquarie,1,Good,Good,0
NSW1180,CURLEW WATERS,103,Central West,1,Good,Good,0
NSW1181,CURLEWIS,110,New England and North West,1,Good,Good,0
NSW1182,CURLWAA,109,Murray,1,Good,Good,0
NSW1183,CURRA CREEK,105,Far West and Orana,1,Good,Good,0
NSW1184,CURRABUBULA,110,New England and North West,1,Good,Good,0
NSW1185,CURRAGH,103,Central West,1,Good,Good,0
NSW1186,CURRAMORE,107,Illawarra,1,Good,Good,0
NSW1187,CURRANS HILL,123,Sydney - Outer South West,1,Good,Good,0
NSW1188,CURRARONG,114,Southern Highlands and Shoalhaven,1,Good,Good,0
NSW1189,CURRAWANG,101,Capital Region,1,Good,Good,0
NSW119,AYLMERTON,114,Southern Highlands and Shoalhaven,1,Good,Good,0
NSW1190,CURRAWARNA,113,Riverina,1,Good,Good,0
NSW1191,CURRICABARK,108,Mid North Coast,1,Good,Good,0
NSW1192,CURROWAN,101,Capital Region,1,Good,Good,0
NSW1193,CUTTABRI,110,New England and North West,1,Good,Good,0
NSW1194,CUTTAGEE,101,Capital Region,1,Good,Good,0
NSW1195,DABEE,103,Central West,1,Good,Good,0
NSW1196,DACEYVILLE,117,Sydney - City and Inner South,1,Good,Good,0
NSW1197,DAIRY FLAT,112,Richmond - Tweed,1,Good,Good,0
NSW1198,DAIRYMANS PLAINS,101,Capital Region,1,Good,Good,0
NSW1199,DALEYS POINT,102,Central Coast,1,Good,Good,0
NSW12,ABERNETHY,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW120,BAAN BAA,110,New England and North West,1,Good,Good,0
NSW1200,DALGETY,101,Capital Region,1,Good,Good,0
NSW1201,DALMENY,101,Capital Region,1,Good,Good,0
NSW1202,DALMORTON,104,Coffs Harbour - Grafton,1,Good,Good,0
NSW1203,DALSWINTON,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW1204,DALTON,101,Capital Region,1,Good,Good,0
NSW1205,DALWOOD,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW1206,DALWOOD,112,Richmond - Tweed,1,Good,Good,0
NSW1207,DANDALOO,105,Far West and Orana,1,Good,Good,0
NSW1208,DANDRY,105,Far West and Orana,1,Good,Good,0
NSW1209,DANGAR ISLAND,121,Sydney - North Sydney and Hornsby,1,Good,Good,0
NSW121,BABINDA,105,Far West and Orana,1,Good,Good,0
NSW1210,DANGARSLEIGH,110,New England and North West,1,Good,Good,0
NSW1211,DANGELONG,101,Capital Region,1,Good,Good,0
NSW1212,DAPTO,107,Illawarra,1,Good,Good,0
NSW1213,DARAWANK,108,Mid North Coast,1,Good,Good,0
NSW1214,DARBALARA,113,Riverina,1,Good,Good,0
NSW1215,DARBYS FALLS,103,Central West,1,Good,Good,0
NSW1217,DARGAN,103,Central West,1,Good,Good,0
NSW1218,DARK CORNER,103,Central West,1,Good,Good,0
NSW1219,DARKES FOREST,107,Illawarra,1,Good,Good,0
NSW122,BABYL CREEK,112,Richmond - Tweed,1,Good,Good,0
NSW1220,DARKWOOD,104,Coffs Harbour - Grafton,1,Good,Good,0
NSW1221,DARLING POINT,118,Sydney - Eastern Suburbs,1,Good,Good,0
NSW1222,DARLINGHURST,117,Sydney - City and Inner South,1,Good,Good,0
NSW1223,DARLINGTON,117,Sydney - City and Inner South,1,Good,Good,0
NSW1224,DARLINGTON,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW1225,DARLINGTON POINT,113,Riverina,1,Good,Good,0
NSW1226,DARLOW,113,Riverina,1,Good,Good,0
NSW1227,DAROOBALGIE,103,Central West,1,Good,Good,0
NSW1228,DARTBROOK,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW1229,DARUKA,110,New England and North West,1,Good,Good,0
NSW123,BACK CREEK,110,New England and North West,1,Good,Good,0
NSW1230,DAVIDSON,122,Sydney - Northern Beaches,1,Good,Good,0
NSW1231,DAVIS CREEK,106,Hunter Valley exc Newcastle,1,Good,Good,0
NSW1232,DAVISTOWN,102,Central Coast,1,Good,Good,0
NSW1233,DAWES POINT,117,Sydney - City and Inner South,1,Good,Good,0
NSW1234,DAYSDALE,109,Murray,1,Good,Good,0
NSW1235,DEAN PARK,116,Sydney - Blacktown,1,Good,Good,0
NSW1236,DEAUVILLE,108,Mid North Coast,1,Good,Good,0
NSW1237,DEBENHAM,108,Mid North Coast,1,Good,Good,0
NSW1238,DEE WHY,122,Sydney - Northern Beaches,1,Good,Good,0
NSW1239,DEEP CREEK,104,Coffs Harbour - Grafton,1,Good,Good,0
NSW124,BACK CREEK,112,Richmond - Tweed,1,Good,Good,0
NSW1240,DEEP CREEK,112,Richmond - Tweed,1,Good,Good,0
NSW1241,DEEP CREEK,108,Mid North Coast,1,Good,Good,0
NSW1242,DEEPWATER,110,New England and North West,1,Good,Good,0
NSW1243,DEER VALE,104,Coffs Harbour - Grafton,1,Good,Good,0
NSW1244,DELEGATE,101,Capital Region,1,Good,Good,0
NSW1246,DELUNGRA,110,New England and North West,1,Good,Good,0
NSW1247,DENHAM COURT,123,Sydney - Outer South West,1,Good,Good,0
NSW1248,DENHAMS BEACH,101,Capital Region,1,Good,Good,0
NSW1249,DENILIQUIN,109,Murray,1,Good,Good,0
NSW125,BACK CREEK,103,Central West,1,Good,Good,0
NSW1250,DENISTONE,126,Sydney - Ryde,1,Good,Good,0
NSW1251,DENISTONE EAST,126,Sydney - Ryde,1,Good,Good,0
NSW1252,DENISTONE WEST,126,Sydney - Ryde,1,Good,Good,0
