LOCALITY_PID,LOCALITY_NAME,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1000,COMARA,104009,Kempsey,1,Good,Good,0
NSW1001,COMBANING,105007,Coolamon - Temora - West Wyalong,1,Good,Good,0
NSW1002,COMBARA,103004,Coonamble,1,Good,Good,0
NSW1003,COMBERTON,106003,Shoalhaven,1,Good,Good,0
NSW1004,COMBO,104018,Singleton,1,Good,Good,0
NSW1005,COMBOYNE,104015,Port Macquarie - Hastings,1,Good,Good,0
NSW1006,COME BY CHANCE,103006,Walgett,1,Good,Good,0
NSW1007,COMERONG ISLAND,106003,Shoalhaven,1,Good,Good,0
NSW1008,COMMISSIONERS CREEK,104020,Tweed,1,Good,Good,0
NSW1009,COMO,107025,Sutherland Shire,1,Good,Good,0
NSW101,ASHMONT,105021,Wagga Wagga,1,Good,Good,0
NSW1010,COMOBELLA,101008,Wellington,1,Good,Good,0
NSW1011,CONARGO,105006,Central Murray,1,Good,Good,0
NSW1012,CONCORD,107027,Sydney - Inner West,1,Good,Good,0
NSW1013,CONCORD WEST,107027,Sydney - Inner West,1,Good,Good,0
NSW1014,CONDELL PARK,107008,Canterbury - Bankstown,1,Good,Good,0
NSW1015,CONDOBOLIN,105014,Lachlan,1,Good,Good,0
NSW1016,CONDONG,104020,Tweed,1,Good,Good,0
NSW1017,CONEAC,104006,Gloucester - Dungog,1,Good,Good,0
NSW1018,CONGARINNI,104005,Coffs Harbour - Nambucca,1,Good,Good,0
NSW1019,CONGARINNI NORTH,104005,Coffs Harbour - Nambucca,1,Good,Good,0
NSW102,ASHTONFIELD,104013,Maitland,1,Good,Good,0
NSW1020,CONGEWAI,104003,Cessnock,1,Good,Good,0
NSW1021,CONGO,106002,Eurobodalla,1,Good,Good,0
NSW1022,CONIMBIA,103004,Coonamble,1,Good,Good,0
NSW1023,CONISTON,107030,Wollongong,1,Good,Good,0
NSW1024,CONJOLA,106003,Shoalhaven,1,Good,Good,0
NSW1025,CONJOLA PARK,106003,Shoalhaven,1,Good,Good,0
