LGA_CODE_2020,LGA_NAME_2020,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
62010,Flinders (M) (Tas.),62010,Flinders (Tas.),1,Good,Good,0
62210,George Town (M),62210,George Town,0.9999998,Good,Good,0
62210,George Town (M),65810,West Tamar,2.00E-07,Good,Good,1
62410,Glamorgan/Spring Bay (M),62410,Glamorgan-Spring Bay,1,Good,Good,0
62610,Glenorchy (C),62610,Glenorchy,1,Good,Good,0
62810,Hobart (C),62610,Glenorchy,4.45E-05,Good,Good,1
62810,Hobart (C),62810,Hobart,0.9999555,Good,Good,0
63010,Huon Valley (M),63010,Huon Valley,1,Good,Good,0
63210,Kentish (M),63210,Kentish,1,Good,Good,0
63410,King Island (M),63410,King Island,1,Good,Good,0
63610,Kingborough (M),63610,Kingborough,1,Good,Good,0
63810,Latrobe (M) (Tas.),63810,Latrobe (Tas.),1,Good,Good,0
64010,Launceston (C),64010,Launceston,1,Good,Good,0
64210,Meander Valley (M),64210,Meander Valley,1,Good,Good,0
64610,Northern Midlands (M),64610,Northern Midlands,1,Good,Good,0
64810,Sorell (M),61410,Clarence,1.00E-07,Good,Good,1
64810,Sorell (M),64810,Sorell,0.9999999,Good,Good,0
65010,Southern Midlands (M),65010,Southern Midlands,1,Good,Good,0
65210,Tasman (M),65210,Tasman,1,Good,Good,0
65410,Waratah/Wynyard (M),65410,Waratah-Wynyard,1,Good,Good,0
65610,West Coast (M),65610,West Coast,1,Good,Good,0
65810,West Tamar (M),65810,West Tamar,1,Good,Good,0
69499,No usual address (Tas.),69499,No usual address (Tas.),1,Good,Good,0
69799,Migratory - Offshore - Shipping (Tas.),69799,Migratory - Offshore - Shipping (Tas.),1,Good,Good,0
70200,Alice Springs (T),70200,Alice Springs,1,Good,Good,0
70420,Barkly (R),70420,Barkly,1,Good,Good,0
70540,Belyuen (S),70540,Belyuen,1,Good,Good,0
70620,Central Desert (R),70620,Central Desert,1,Good,Good,0
70700,Coomalie (S),70700,Coomalie,1,Good,Good,0
71000,Darwin (C),71000,Darwin,1,Good,Good,0
71300,East Arnhem (R),71300,East Arnhem,1,Good,Good,0
72200,Katherine (T),72200,Katherine,1,Good,Good,0
72300,Litchfield (M),72300,Litchfield,1,Good,Good,0
72330,MacDonnell (R),72330,MacDonnell,1,Good,Good,0
72800,Palmerston (C),72800,Palmerston,1,Good,Good,0
73600,Roper Gulf (R),73600,Roper Gulf,1,Good,Good,0
74050,Tiwi Islands (R),74050,Tiwi Islands,1,Good,Good,0
74550,Victoria Daly (R),74550,Victoria Daly,1,Good,Good,0
74560,Wagait (S),74560,Wagait,1,Good,Good,0
74660,West Arnhem (R),74660,West Arnhem,1,Good,Good,0
74680,West Daly (R),74680,West Daly,1,Good,Good,0
79399,Unincorporated NT,71150,Darwin Waterfront Precinct,0.1742561,Poor,Good,0
79399,Unincorporated NT,79399,Unincorporated NT,0.8257439,Acceptable,Good,0
79499,No usual address (NT),79499,No usual address (NT),1,Good,Good,0
79799,Migratory - Offshore - Shipping (NT),79799,Migratory - Offshore - Shipping (NT),1,Good,Good,0
89399,Unincorporated ACT,89399,Unincorporated ACT,1,Good,Good,0
89499,No usual address (ACT),89499,No usual address (ACT),1,Good,Good,0
89799,Migratory - Offshore - Shipping (ACT),89799,Migratory - Offshore - Shipping (ACT),1,Good,Good,0
99399,Unincorp. Other Territories,51710,Christmas Island,0.7105957,Poor,Good,0
99399,Unincorp. Other Territories,51860,Cocos Islands,0.1538454,Poor,Good,0
99399,Unincorp. Other Territories,99399,Unincorp. Other Territories,0.1355589,Poor,Good,0
99499,No usual address (OT),99499,No usual address (OT),1,Good,Good,0
99799,Migratory - Offshore - Shipping (OT),99799,Migratory - Offshore - Shipping (OT),1,Good,Good,0
,,ZZZZZ,Outside Australia,,NA,Good,3
