LGA_CODE_2021,LGA_NAME_2021,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
21450,Cardinia,21,Inner Regional Australia,0.1684574,Acceptable,Good,0
21450,Cardinia,20,Major Cities of Australia,0.8315426,Good,Good,0
21610,Casey,21,Inner Regional Australia,0.0037626,Acceptable,Good,1
21610,Casey,20,Major Cities of Australia,0.9962374,Good,Good,0
21670,Central Goldfields,21,Inner Regional Australia,1,Acceptable,Good,0
21750,Colac Otway,22,Outer Regional Australia,0.0325567,Acceptable,Good,0
21750,Colac Otway,21,Inner Regional Australia,0.9674433,Acceptable,Good,0
21830,Corangamite,22,Outer Regional Australia,0.2936411,Acceptable,Good,0
21830,Corangamite,21,Inner Regional Australia,0.7063589,Acceptable,Good,0
21890,Darebin,20,Major Cities of Australia,1,Good,Good,0
22110,East Gippsland,23,Remote Australia,0.0158443,Poor,Good,0
22110,East Gippsland,22,Outer Regional Australia,0.9841557,Acceptable,Good,0
22170,Frankston,20,Major Cities of Australia,1,Good,Good,0
22250,Gannawarra,22,Outer Regional Australia,1,Acceptable,Good,0
22310,Glen Eira,20,Major Cities of Australia,1,Good,Good,0
22410,Glenelg,22,Outer Regional Australia,1,Acceptable,Good,0
22490,Golden Plains,21,Inner Regional Australia,1,Acceptable,Good,0
22620,Greater Bendigo,21,Inner Regional Australia,1,Acceptable,Good,0
22670,Greater Dandenong,20,Major Cities of Australia,1,Good,Good,0
22750,Greater Geelong,21,Inner Regional Australia,0.2112738,Acceptable,Good,0
22750,Greater Geelong,20,Major Cities of Australia,0.7887262,Good,Good,0
22830,Greater Shepparton,21,Inner Regional Australia,1,Acceptable,Good,0
22910,Hepburn,21,Inner Regional Australia,1,Acceptable,Good,0
22980,Hindmarsh,23,Remote Australia,0.1141948,Poor,Good,0
22980,Hindmarsh,22,Outer Regional Australia,0.8858052,Acceptable,Good,0
23110,Hobsons Bay,20,Major Cities of Australia,1,Good,Good,0
23190,Horsham,22,Outer Regional Australia,1,Acceptable,Good,0
23270,Hume,21,Inner Regional Australia,0.0028345,Acceptable,Good,1
23270,Hume,20,Major Cities of Australia,0.9971655,Good,Good,0
23350,Indigo,21,Inner Regional Australia,1,Acceptable,Good,0
23430,Kingston (Vic.),20,Major Cities of Australia,1,Good,Good,0
23670,Knox,20,Major Cities of Australia,1,Good,Good,0
23810,Latrobe (Vic.),21,Inner Regional Australia,1,Acceptable,Good,0
23940,Loddon,21,Inner Regional Australia,0.4151803,Acceptable,Good,0
23940,Loddon,22,Outer Regional Australia,0.5848197,Acceptable,Good,0
24130,Macedon Ranges,21,Inner Regional Australia,1,Acceptable,Good,0
24210,Manningham,21,Inner Regional Australia,0.0015396,Acceptable,Good,1
24210,Manningham,20,Major Cities of Australia,0.9984604,Good,Good,0
24250,Mansfield,21,Inner Regional Australia,4.90E-06,Acceptable,Good,1
24250,Mansfield,22,Outer Regional Australia,0.9999951,Acceptable,Good,0
24330,Maribyrnong,20,Major Cities of Australia,1,Good,Good,0
24410,Maroondah,20,Major Cities of Australia,1,Good,Good,0
24600,Melbourne,20,Major Cities of Australia,1,Good,Good,0
24650,Melton,21,Inner Regional Australia,0.0033677,Acceptable,Good,1
24650,Melton,20,Major Cities of Australia,0.9966323,Good,Good,0
24780,Mildura,23,Remote Australia,0.0129117,Poor,Good,0
24780,Mildura,22,Outer Regional Australia,0.9870883,Acceptable,Good,0
24850,Mitchell,20,Major Cities of Australia,0.3831452,Good,Good,0
24850,Mitchell,21,Inner Regional Australia,0.6168548,Acceptable,Good,0
24900,Moira,22,Outer Regional Australia,0.0300139,Acceptable,Good,0
24900,Moira,21,Inner Regional Australia,0.9699861,Acceptable,Good,0
24970,Monash,20,Major Cities of Australia,1,Good,Good,0
25060,Moonee Valley,20,Major Cities of Australia,1,Good,Good,0
25150,Moorabool,21,Inner Regional Australia,0.4238389,Acceptable,Good,0
25150,Moorabool,20,Major Cities of Australia,0.5761611,Good,Good,0
25250,Moreland,20,Major Cities of Australia,1,Good,Good,0
25340,Mornington Peninsula,21,Inner Regional Australia,0.0334406,Acceptable,Good,0
25340,Mornington Peninsula,20,Major Cities of Australia,0.9665594,Good,Good,0
25430,Mount Alexander,21,Inner Regional Australia,1,Acceptable,Good,0
25490,Moyne,22,Outer Regional Australia,0.1684644,Acceptable,Good,0
25490,Moyne,21,Inner Regional Australia,0.8315356,Acceptable,Good,0
25620,Murrindindi,22,Outer Regional Australia,0.0669701,Acceptable,Good,0
25620,Murrindindi,21,Inner Regional Australia,0.9330299,Acceptable,Good,0
25710,Nillumbik,21,Inner Regional Australia,0.0620604,Acceptable,Good,0
25710,Nillumbik,20,Major Cities of Australia,0.9379396,Good,Good,0
25810,Northern Grampians,22,Outer Regional Australia,0.3994376,Acceptable,Good,0
25810,Northern Grampians,21,Inner Regional Australia,0.6005624,Acceptable,Good,0
25900,Port Phillip,20,Major Cities of Australia,1,Good,Good,0
25990,Pyrenees,22,Outer Regional Australia,0.0591864,Acceptable,Good,0
25990,Pyrenees,21,Inner Regional Australia,0.9408136,Acceptable,Good,0
26080,Queenscliffe,21,Inner Regional Australia,1,Acceptable,Good,0
26170,South Gippsland,22,Outer Regional Australia,0.0542635,Acceptable,Good,0
26170,South Gippsland,21,Inner Regional Australia,0.9457365,Acceptable,Good,0
26260,Southern Grampians,22,Outer Regional Australia,0.3766479,Acceptable,Good,0
26260,Southern Grampians,21,Inner Regional Australia,0.6233521,Acceptable,Good,0
26350,Stonnington,20,Major Cities of Australia,1,Good,Good,0
26430,Strathbogie,21,Inner Regional Australia,1,Acceptable,Good,0
26490,Surf Coast,20,Major Cities of Australia,0.0111999,Good,Good,0
26490,Surf Coast,21,Inner Regional Australia,0.9888001,Acceptable,Good,0
26610,Swan Hill,22,Outer Regional Australia,1,Acceptable,Good,0
26670,Towong,21,Inner Regional Australia,0.2142735,Acceptable,Good,0
26670,Towong,22,Outer Regional Australia,0.7857265,Acceptable,Good,0
26700,Wangaratta,22,Outer Regional Australia,0.0321581,Acceptable,Good,0
26700,Wangaratta,21,Inner Regional Australia,0.9678419,Acceptable,Good,0
26730,Warrnambool,21,Inner Regional Australia,1,Acceptable,Good,0
26810,Wellington,23,Remote Australia,1.95E-05,Poor,Good,1
26810,Wellington,22,Outer Regional Australia,0.1462958,Acceptable,Good,0
26810,Wellington,21,Inner Regional Australia,0.8536846,Acceptable,Good,0
26890,West Wimmera,23,Remote Australia,0.0110527,Poor,Good,0
26890,West Wimmera,22,Outer Regional Australia,0.9889473,Acceptable,Good,0
26980,Whitehorse,20,Major Cities of Australia,1,Good,Good,0
27070,Whittlesea,21,Inner Regional Australia,0.0114928,Acceptable,Good,0
27070,Whittlesea,20,Major Cities of Australia,0.9885072,Good,Good,0
27170,Wodonga,21,Inner Regional Australia,1,Acceptable,Good,0
27260,Wyndham,21,Inner Regional Australia,0.0088011,Acceptable,Good,1
27260,Wyndham,20,Major Cities of Australia,0.9911989,Good,Good,0
27350,Yarra,20,Major Cities of Australia,1,Good,Good,0
27450,Yarra Ranges,21,Inner Regional Australia,0.2084207,Acceptable,Good,0
27450,Yarra Ranges,20,Major Cities of Australia,0.7915793,Good,Good,0
27630,Yarriambiack,23,Remote Australia,0.1707645,Poor,Good,0
27630,Yarriambiack,22,Outer Regional Australia,0.8292355,Acceptable,Good,0
29399,Unincorporated Vic,20,Major Cities of Australia,1.05E-05,Good,Good,1
29399,Unincorporated Vic,21,Inner Regional Australia,3.15E-05,Acceptable,Good,1
29399,Unincorporated Vic,22,Outer Regional Australia,0.999958,Acceptable,Good,0
29499,No usual address (Vic.),29,No usual address (Vic.),1,Good,Good,0
29799,Migratory - Offshore - Shipping (Vic.),25,Migratory - Offshore - Shipping (Vic.),1,Good,Good,0
30250,Aurukun,34,Very Remote Australia,1,Acceptable,Good,0
30300,Balonne,34,Very Remote Australia,0.1978481,Acceptable,Good,0
30300,Balonne,33,Remote Australia,0.8021519,Poor,Good,0
30370,Banana,33,Remote Australia,0.122318,Poor,Good,0
30370,Banana,32,Outer Regional Australia,0.877682,Acceptable,Good,0
30410,Barcaldine,34,Very Remote Australia,1,Acceptable,Good,0
30450,Barcoo,34,Very Remote Australia,1,Acceptable,Good,0
30760,Blackall Tambo,34,Very Remote Australia,1,Acceptable,Good,0
30900,Boulia,34,Very Remote Australia,1,Acceptable,Good,0
31000,Brisbane,33,Remote Australia,0.0002543,Poor,Good,1
31000,Brisbane,31,Inner Regional Australia,0.0005641,Acceptable,Good,1
31000,Brisbane,30,Major Cities of Australia,0.9991816,Good,Good,0
31750,Bulloo,34,Very Remote Australia,1,Acceptable,Good,0
31820,Bundaberg,32,Outer Regional Australia,0.0278004,Acceptable,Good,0
31820,Bundaberg,31,Inner Regional Australia,0.9721996,Acceptable,Good,0
31900,Burdekin,33,Remote Australia,0.0090125,Poor,Good,1
31900,Burdekin,32,Outer Regional Australia,0.9909875,Acceptable,Good,0
31950,Burke,34,Very Remote Australia,1,Acceptable,Good,0
32080,Cairns,32,Outer Regional Australia,1,Acceptable,Good,0
32250,Carpentaria,34,Very Remote Australia,1,Acceptable,Good,0
32260,Cassowary Coast,34,Very Remote Australia,0.0001771,Acceptable,Good,1
32260,Cassowary Coast,33,Remote Australia,0.0656744,Poor,Good,0
32260,Cassowary Coast,32,Outer Regional Australia,0.9341485,Acceptable,Good,0
32270,Central Highlands (Qld),34,Very Remote Australia,0.0069106,Acceptable,Good,1
32270,Central Highlands (Qld),33,Remote Australia,0.2467413,Poor,Good,0
32270,Central Highlands (Qld),32,Outer Regional Australia,0.746348,Acceptable,Good,0
32310,Charters Towers,34,Very Remote Australia,0.0556826,Acceptable,Good,0
32310,Charters Towers,33,Remote Australia,0.1108779,Poor,Good,0
32310,Charters Towers,32,Outer Regional Australia,0.8334395,Acceptable,Good,0
32330,Cherbourg,31,Inner Regional Australia,1,Acceptable,Good,0
32450,Cloncurry,34,Very Remote Australia,0.3060042,Acceptable,Good,0
32450,Cloncurry,33,Remote Australia,0.6939958,Poor,Good,0
32500,Cook,34,Very Remote Australia,0.2063086,Acceptable,Good,0
32500,Cook,33,Remote Australia,0.7936914,Poor,Good,0
32600,Croydon,34,Very Remote Australia,1,Acceptable,Good,0
32750,Diamantina,34,Very Remote Australia,1,Acceptable,Good,0
32770,Doomadgee,34,Very Remote Australia,1,Acceptable,Good,0
32810,Douglas,33,Remote Australia,0.0653916,Poor,Good,0
32810,Douglas,32,Outer Regional Australia,0.9346084,Acceptable,Good,0
33100,Etheridge,34,Very Remote Australia,1,Acceptable,Good,0
33200,Flinders (Qld),34,Very Remote Australia,1,Acceptable,Good,0
33220,Fraser Coast,33,Remote Australia,0.0014988,Poor,Good,1
33220,Fraser Coast,32,Outer Regional Australia,0.0030199,Acceptable,Good,1
33220,Fraser Coast,31,Inner Regional Australia,0.9954813,Acceptable,Good,0
