"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n"
4,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
4,"9-11","all","2017-2018","did_not_consume","50100"
4,"9-11","all","2017-2018","1_metric_cup_or_less","7900"
4,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
4,"12-13","all","2017-2018","did_not_consume","9800"
4,"12-13","all","2017-2018","1_metric_cup_or_less","19700"
4,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","1700"
4,"12-13","all","2017-2018","2_metric_cups_or_more","2600"
4,"12-13","all","2017-2018","did_not_consume","28000"
4,"12-13","all","2017-2018","1_metric_cup_or_less","2700"
4,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"12-13","all","2017-2018","2_metric_cups_or_more","2100"
4,"14-17","all","2017-2018","did_not_consume","32000"
4,"14-17","all","2017-2018","1_metric_cup_or_less","37000"
4,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","6300"
4,"14-17","all","2017-2018","2_metric_cups_or_more","7500"
4,"14-17","all","2017-2018","did_not_consume","60900"
4,"14-17","all","2017-2018","1_metric_cup_or_less","13200"
4,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"14-17","all","2017-2018","2_metric_cups_or_more","3000"
5,"2-3","all","2017-2018","did_not_consume","41500"
5,"2-3","all","2017-2018","1_metric_cup_or_less","17200"
5,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
5,"2-3","all","2017-2018","did_not_consume","58100"
5,"2-3","all","2017-2018","1_metric_cup_or_less","2600"
5,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
5,"4-8","all","2017-2018","did_not_consume","118100"
5,"4-8","all","2017-2018","1_metric_cup_or_less","53500"
5,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"4-8","all","2017-2018","2_metric_cups_or_more","8000"
5,"4-8","all","2017-2018","did_not_consume","169500"
5,"4-8","all","2017-2018","1_metric_cup_or_less","4000"
5,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
5,"9-11","all","2017-2018","did_not_consume","62700"
5,"9-11","all","2017-2018","1_metric_cup_or_less","33000"
5,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
5,"9-11","all","2017-2018","did_not_consume","93600"
5,"9-11","all","2017-2018","1_metric_cup_or_less","3200"
5,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
5,"12-13","all","2017-2018","did_not_consume","30100"
5,"12-13","all","2017-2018","1_metric_cup_or_less","30800"
5,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
5,"12-13","all","2017-2018","did_not_consume","61500"
5,"12-13","all","2017-2018","1_metric_cup_or_less","3900"
5,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
5,"14-17","all","2017-2018","did_not_consume","57300"
5,"14-17","all","2017-2018","1_metric_cup_or_less","48900"
5,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","4100"
5,"14-17","all","2017-2018","2_metric_cups_or_more","7700"
5,"14-17","all","2017-2018","did_not_consume","100100"
5,"14-17","all","2017-2018","1_metric_cup_or_less","8700"
5,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","1500"
5,"14-17","all","2017-2018","2_metric_cups_or_more","5700"
6,"2-3","all","2017-2018","did_not_consume","10200"
6,"2-3","all","2017-2018","1_metric_cup_or_less","700"
6,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"2-3","all","2017-2018","2_metric_cups_or_more","700"
6,"2-3","all","2017-2018","did_not_consume","11900"
6,"2-3","all","2017-2018","1_metric_cup_or_less","NULL"
6,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
6,"4-8","all","2017-2018","did_not_consume","18000"
6,"4-8","all","2017-2018","1_metric_cup_or_less","13900"
6,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
6,"4-8","all","2017-2018","did_not_consume","31600"
6,"4-8","all","2017-2018","1_metric_cup_or_less","2700"
6,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
6,"9-11","all","2017-2018","did_not_consume","7400"
6,"9-11","all","2017-2018","1_metric_cup_or_less","8800"
6,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
6,"9-11","all","2017-2018","did_not_consume","16300"
6,"9-11","all","2017-2018","1_metric_cup_or_less","1100"
6,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
6,"12-13","all","2017-2018","did_not_consume","5300"
6,"12-13","all","2017-2018","1_metric_cup_or_less","4200"
6,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","900"
6,"12-13","all","2017-2018","2_metric_cups_or_more","500"
6,"12-13","all","2017-2018","did_not_consume","9200"
6,"12-13","all","2017-2018","1_metric_cup_or_less","NULL"
6,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"12-13","all","2017-2018","2_metric_cups_or_more","600"
6,"14-17","all","2017-2018","did_not_consume","11200"
6,"14-17","all","2017-2018","1_metric_cup_or_less","8600"
6,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","2000"
6,"14-17","all","2017-2018","2_metric_cups_or_more","3500"
6,"14-17","all","2017-2018","did_not_consume","23900"
6,"14-17","all","2017-2018","1_metric_cup_or_less","2700"
6,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","600"
6,"14-17","all","2017-2018","2_metric_cups_or_more","NULL"
7,"2-3","all","2017-2018","did_not_consume","5000"
7,"2-3","all","2017-2018","1_metric_cup_or_less","400"
7,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
7,"2-3","all","2017-2018","did_not_consume","5900"
7,"2-3","all","2017-2018","1_metric_cup_or_less","NULL"
7,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
7,"4-8","all","2017-2018","did_not_consume","9400"
7,"4-8","all","2017-2018","1_metric_cup_or_less","3200"
7,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"4-8","all","2017-2018","2_metric_cups_or_more","400"
7,"4-8","all","2017-2018","did_not_consume","12100"
7,"4-8","all","2017-2018","1_metric_cup_or_less","1100"
7,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
7,"9-11","all","2017-2018","did_not_consume","3200"
7,"9-11","all","2017-2018","1_metric_cup_or_less","2800"
7,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"9-11","all","2017-2018","2_metric_cups_or_more","1300"
7,"9-11","all","2017-2018","did_not_consume","6300"
7,"9-11","all","2017-2018","1_metric_cup_or_less","500"
7,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
7,"12-13","all","2017-2018","did_not_consume","1800"
7,"12-13","all","2017-2018","1_metric_cup_or_less","1800"
7,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","500"
7,"12-13","all","2017-2018","2_metric_cups_or_more","200"
7,"12-13","all","2017-2018","did_not_consume","4000"
7,"12-13","all","2017-2018","1_metric_cup_or_less","800"
7,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"12-13","all","2017-2018","2_metric_cups_or_more","NULL"
7,"14-17","all","2017-2018","did_not_consume","3300"
7,"14-17","all","2017-2018","1_metric_cup_or_less","2800"
