"STE_CODE16","age_group","sex","year_range","daily_consumption_vegetables","p"
2,"2-3","female","2017-2018","met_recommendation","0.23"
2,"2-3","female","2017-2018","did_not_meet_recommendation","0.874"
2,"4-8","female","2017-2018","met_recommendation","0.035"
2,"4-8","female","2017-2018","did_not_meet_recommendation","0.954"
2,"9-11","female","2017-2018","met_recommendation","0.05"
2,"9-11","female","2017-2018","did_not_meet_recommendation","0.854"
2,"12-13","female","2017-2018","met_recommendation","NULL"
2,"12-13","female","2017-2018","did_not_meet_recommendation","0.969"
2,"14-17","female","2017-2018","met_recommendation","0.075"
2,"14-17","female","2017-2018","did_not_meet_recommendation","0.911"
3,"2-3","female","2017-2018","met_recommendation","0.136"
3,"2-3","female","2017-2018","did_not_meet_recommendation","0.826"
3,"4-8","female","2017-2018","met_recommendation","0.015"
3,"4-8","female","2017-2018","did_not_meet_recommendation","0.959"
3,"9-11","female","2017-2018","met_recommendation","0.04"
3,"9-11","female","2017-2018","did_not_meet_recommendation","0.927"
3,"12-13","female","2017-2018","met_recommendation","NULL"
3,"12-13","female","2017-2018","did_not_meet_recommendation","0.98"
3,"14-17","female","2017-2018","met_recommendation","0.096"
3,"14-17","female","2017-2018","did_not_meet_recommendation","0.889"
4,"2-3","female","2017-2018","met_recommendation","0.288"
4,"2-3","female","2017-2018","did_not_meet_recommendation","1.029"
4,"4-8","female","2017-2018","met_recommendation","NULL"
4,"4-8","female","2017-2018","did_not_meet_recommendation","1.024"
4,"9-11","female","2017-2018","met_recommendation","NULL"
4,"9-11","female","2017-2018","did_not_meet_recommendation","1"
4,"12-13","female","2017-2018","met_recommendation","NULL"
4,"12-13","female","2017-2018","did_not_meet_recommendation","0.978"
4,"14-17","female","2017-2018","met_recommendation","0.051"
4,"14-17","female","2017-2018","did_not_meet_recommendation","0.874"
5,"2-3","female","2017-2018","met_recommendation","0.114"
5,"2-3","female","2017-2018","did_not_meet_recommendation","0.775"
5,"4-8","female","2017-2018","met_recommendation","0.039"
5,"4-8","female","2017-2018","did_not_meet_recommendation","0.989"
5,"9-11","female","2017-2018","met_recommendation","0.121"
5,"9-11","female","2017-2018","did_not_meet_recommendation","0.922"
5,"12-13","female","2017-2018","met_recommendation","NULL"
5,"12-13","female","2017-2018","did_not_meet_recommendation","1"
5,"14-17","female","2017-2018","met_recommendation","0.085"
5,"14-17","female","2017-2018","did_not_meet_recommendation","0.914"
6,"2-3","female","2017-2018","met_recommendation","0.191"
6,"2-3","female","2017-2018","did_not_meet_recommendation","0.868"
6,"4-8","female","2017-2018","met_recommendation","NULL"
6,"4-8","female","2017-2018","did_not_meet_recommendation","0.961"
6,"9-11","female","2017-2018","met_recommendation","0.1"
6,"9-11","female","2017-2018","did_not_meet_recommendation","0.733"
6,"12-13","female","2017-2018","met_recommendation","NULL"
6,"12-13","female","2017-2018","did_not_meet_recommendation","1"
6,"14-17","female","2017-2018","met_recommendation","0.069"
6,"14-17","female","2017-2018","did_not_meet_recommendation","0.855"
7,"2-3","female","2017-2018","met_recommendation","0.214"
7,"2-3","female","2017-2018","did_not_meet_recommendation","0.607"
7,"4-8","female","2017-2018","met_recommendation","0.063"
7,"4-8","female","2017-2018","did_not_meet_recommendation","1"
7,"9-11","female","2017-2018","met_recommendation","NULL"
7,"9-11","female","2017-2018","did_not_meet_recommendation","0.742"
7,"12-13","female","2017-2018","met_recommendation","NULL"
7,"12-13","female","2017-2018","did_not_meet_recommendation","0.87"
7,"14-17","female","2017-2018","met_recommendation","0.056"
7,"14-17","female","2017-2018","did_not_meet_recommendation","1.083"
8,"2-3","female","2017-2018","met_recommendation","0.415"
8,"2-3","female","2017-2018","did_not_meet_recommendation","0.78"
8,"4-8","female","2017-2018","met_recommendation","NULL"
8,"4-8","female","2017-2018","did_not_meet_recommendation","1.022"
8,"9-11","female","2017-2018","met_recommendation","NULL"
8,"9-11","female","2017-2018","did_not_meet_recommendation","0.771"
8,"12-13","female","2017-2018","met_recommendation","NULL"
8,"12-13","female","2017-2018","did_not_meet_recommendation","1"
8,"14-17","female","2017-2018","met_recommendation","0.105"
8,"14-17","female","2017-2018","did_not_meet_recommendation","0.937"
