"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p"
6,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
6,"9-11","all","2017-2018","did_not_consume","0.433"
6,"9-11","all","2017-2018","1_metric_cup_or_less","0.515"
6,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
6,"9-11","all","2017-2018","did_not_consume","0.953"
6,"9-11","all","2017-2018","1_metric_cup_or_less","0.064"
6,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
6,"12-13","all","2017-2018","did_not_consume","0.53"
6,"12-13","all","2017-2018","1_metric_cup_or_less","0.42"
6,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","0.09"
6,"12-13","all","2017-2018","2_metric_cups_or_more","0.05"
6,"12-13","all","2017-2018","did_not_consume","0.92"
6,"12-13","all","2017-2018","1_metric_cup_or_less","NULL"
6,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"12-13","all","2017-2018","2_metric_cups_or_more","0.06"
6,"14-17","all","2017-2018","did_not_consume","0.437"
6,"14-17","all","2017-2018","1_metric_cup_or_less","0.336"
6,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.078"
6,"14-17","all","2017-2018","2_metric_cups_or_more","0.137"
6,"14-17","all","2017-2018","did_not_consume","0.934"
6,"14-17","all","2017-2018","1_metric_cup_or_less","0.105"
6,"14-17","all","2017-2018","more_than_1_to_less_than_2_cups","0.023"
6,"14-17","all","2017-2018","2_metric_cups_or_more","NULL"
7,"2-3","all","2017-2018","did_not_consume","0.847"
7,"2-3","all","2017-2018","1_metric_cup_or_less","0.068"
7,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
7,"2-3","all","2017-2018","did_not_consume","1"
7,"2-3","all","2017-2018","1_metric_cup_or_less","NULL"
7,"2-3","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"2-3","all","2017-2018","2_metric_cups_or_more","NULL"
7,"4-8","all","2017-2018","did_not_consume","0.752"
7,"4-8","all","2017-2018","1_metric_cup_or_less","0.256"
7,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"4-8","all","2017-2018","2_metric_cups_or_more","0.032"
7,"4-8","all","2017-2018","did_not_consume","0.968"
7,"4-8","all","2017-2018","1_metric_cup_or_less","0.088"
7,"4-8","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"4-8","all","2017-2018","2_metric_cups_or_more","NULL"
7,"9-11","all","2017-2018","did_not_consume","0.485"
7,"9-11","all","2017-2018","1_metric_cup_or_less","0.424"
7,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"9-11","all","2017-2018","2_metric_cups_or_more","0.197"
7,"9-11","all","2017-2018","did_not_consume","0.955"
7,"9-11","all","2017-2018","1_metric_cup_or_less","0.076"
7,"9-11","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
7,"9-11","all","2017-2018","2_metric_cups_or_more","NULL"
7,"12-13","all","2017-2018","did_not_consume","0.367"
7,"12-13","all","2017-2018","1_metric_cup_or_less","0.367"
7,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","0.102"
7,"12-13","all","2017-2018","2_metric_cups_or_more","0.041"
7,"12-13","all","2017-2018","did_not_consume","0.816"
7,"12-13","all","2017-2018","1_metric_cup_or_less","0.163"
7,"12-13","all","2017-2018","more_than_1_to_less_than_2_cups","NULL"
