"SA3_CODE16","sex","age_group","year_range","age_fully_immunised_AIR","n","p"
30907,"all","0-5","2016-2017","2 years",1882,0.92
30908,"all","0-5","2016-2017","2 years",500,0.92
30909,"all","0-5","2016-2017","2 years",627,0.93
30910,"all","0-5","2016-2017","2 years",317,0.87
31001,"all","0-5","2016-2017","2 years",1152,0.93
31002,"all","0-5","2016-2017","2 years",654,0.93
31003,"all","0-5","2016-2017","2 years",1459,0.92
31004,"all","0-5","2016-2017","2 years",1596,0.92
31101,"all","0-5","2016-2017","2 years",152,0.92
31102,"all","0-5","2016-2017","2 years",668,0.92
31103,"all","0-5","2016-2017","2 years",1321,0.92
31104,"all","0-5","2016-2017","2 years",559,0.93
31105,"all","0-5","2016-2017","2 years",820,0.91
31106,"all","0-5","2016-2017","2 years",1288,0.9
31201,"all","0-5","2016-2017","2 years",540,0.94
31202,"all","0-5","2016-2017","2 years",1528,0.93
31203,"all","0-5","2016-2017","2 years",234,0.91
31301,"all","0-5","2016-2017","2 years",242,0.92
31302,"all","0-5","2016-2017","2 years",925,0.92
31303,"all","0-5","2016-2017","2 years",130,0.92
31304,"all","0-5","2016-2017","2 years",818,0.94
31305,"all","0-5","2016-2017","2 years",611,0.92
31401,"all","0-5","2016-2017","2 years",1040,0.93
31402,"all","0-5","2016-2017","2 years",1185,0.93
31403,"all","0-5","2016-2017","2 years",536,0.94
31501,"all","0-5","2016-2017","2 years",498,0.91
31502,"all","0-5","2016-2017","2 years",559,0.92
31503,"all","0-5","2016-2017","2 years",229,0.94
31601,"all","0-5","2016-2017","2 years",488,0.92
31602,"all","0-5","2016-2017","2 years",778,0.9
31603,"all","0-5","2016-2017","2 years",589,0.88
31604,"all","0-5","2016-2017","2 years",616,0.88
31605,"all","0-5","2016-2017","2 years",339,0.86
31606,"all","0-5","2016-2017","2 years",448,0.88
31701,"all","0-5","2016-2017","2 years",1812,0.93
31801,"all","0-5","2016-2017","2 years",430,0.93
31802,"all","0-5","2016-2017","2 years",2566,0.94
31901,"all","0-5","2016-2017","2 years",919,0.94
31902,"all","0-5","2016-2017","2 years",524,0.92
31903,"all","0-5","2016-2017","2 years",486,0.9
31904,"all","0-5","2016-2017","2 years",569,0.93
31905,"all","0-5","2016-2017","2 years",417,0.92
40101,"all","0-5","2016-2017","2 years",108,0.8
40102,"all","0-5","2016-2017","2 years",689,0.89
40103,"all","0-5","2016-2017","2 years",334,0.89
40104,"all","0-5","2016-2017","2 years",475,0.89
40105,"all","0-5","2016-2017","2 years",303,0.89
40106,"all","0-5","2016-2017","2 years",298,0.92
40107,"all","0-5","2016-2017","2 years",332,0.9
40201,"all","0-5","2016-2017","2 years",402,0.92
40202,"all","0-5","2016-2017","2 years",1449,0.91
40203,"all","0-5","2016-2017","2 years",905,0.9
40204,"all","0-5","2016-2017","2 years",1787,0.9
40205,"all","0-5","2016-2017","2 years",1040,0.93
40301,"all","0-5","2016-2017","2 years",299,0.9
40302,"all","0-5","2016-2017","2 years",956,0.91
40303,"all","0-5","2016-2017","2 years",633,0.94
40304,"all","0-5","2016-2017","2 years",1919,0.92
40401,"all","0-5","2016-2017","2 years",1109,0.88
40402,"all","0-5","2016-2017","2 years",640,0.9
40403,"all","0-5","2016-2017","2 years",597,0.91
40501,"all","0-5","2016-2017","2 years",342,0.94
40502,"all","0-5","2016-2017","2 years",212,0.91
40503,"all","0-5","2016-2017","2 years",285,0.91
40504,"all","0-5","2016-2017","2 years",210,0.92
40601,"all","0-5","2016-2017","2 years",659,0.9
40602,"all","0-5","2016-2017","2 years",307,0.91
40701,"all","0-5","2016-2017","2 years",387,0.91
40702,"all","0-5","2016-2017","2 years",765,0.94
40703,"all","0-5","2016-2017","2 years",689,0.93
50101,"all","0-5","2016-2017","2 years",547,0.85
50102,"all","0-5","2016-2017","2 years",1313,0.92
50103,"all","0-5","2016-2017","2 years",210,0.9
50201,"all","0-5","2016-2017","2 years",1081,0.91
50301,"all","0-5","2016-2017","2 years",536,0.9
50302,"all","0-5","2016-2017","2 years",986,0.87
50401,"all","0-5","2016-2017","2 years",960,0.9
50402,"all","0-5","2016-2017","2 years",431,0.88
50403,"all","0-5","2016-2017","2 years",1917,0.92
50501,"all","0-5","2016-2017","2 years",1685,0.9
50502,"all","0-5","2016-2017","2 years",2363,0.9
50503,"all","0-5","2016-2017","2 years",2828,0.9
50601,"all","0-5","2016-2017","2 years",1319,0.9
50602,"all","0-5","2016-2017","2 years",932,0.87
50603,"all","0-5","2016-2017","2 years",1203,0.9
50604,"all","0-5","2016-2017","2 years",1619,0.88
50605,"all","0-5","2016-2017","2 years",649,0.89
50606,"all","0-5","2016-2017","2 years",394,0.92
50607,"all","0-5","2016-2017","2 years",396,0.86
50701,"all","0-5","2016-2017","2 years",1505,0.91
50702,"all","0-5","2016-2017","2 years",351,0.85
50703,"all","0-5","2016-2017","2 years",654,0.91
50704,"all","0-5","2016-2017","2 years",970,0.9
50705,"all","0-5","2016-2017","2 years",1718,0.89
50801,"all","0-5","2016-2017","2 years",193,0.92
50802,"all","0-5","2016-2017","2 years",121,0.88
50803,"all","0-5","2016-2017","2 years",650,0.92
50804,"all","0-5","2016-2017","2 years",606,0.92
50805,"all","0-5","2016-2017","2 years",642,0.88
50806,"all","0-5","2016-2017","2 years",898,0.9
50901,"all","0-5","2016-2017","2 years",619,0.91
50902,"all","0-5","2016-2017","2 years",644,0.94
50903,"all","0-5","2016-2017","2 years",281,0.97
60101,"all","0-5","2016-2017","2 years",238,0.93
60102,"all","0-5","2016-2017","2 years",601,0.93
60103,"all","0-5","2016-2017","2 years",634,0.92
60104,"all","0-5","2016-2017","2 years",390,0.94
60105,"all","0-5","2016-2017","2 years",432,0.92
60106,"all","0-5","2016-2017","2 years",199,0.93
60201,"all","0-5","2016-2017","2 years",880,0.91
60202,"all","0-5","2016-2017","2 years",200,0.89
60203,"all","0-5","2016-2017","2 years",349,0.92
60301,"all","0-5","2016-2017","2 years",121,0.91
60302,"all","0-5","2016-2017","2 years",183,0.88
60303,"all","0-5","2016-2017","2 years",9999999,9999999
60401,"all","0-5","2016-2017","2 years",513,0.91
60402,"all","0-5","2016-2017","2 years",419,0.9
60403,"all","0-5","2016-2017","2 years",170,0.91
70101,"all","0-5","2016-2017","2 years",262,0.84
70102,"all","0-5","2016-2017","2 years",838,0.9
70103,"all","0-5","2016-2017","2 years",265,0.9
70104,"all","0-5","2016-2017","2 years",655,0.89
70201,"all","0-5","2016-2017","2 years",537,0.86
70202,"all","0-5","2016-2017","2 years",91,0.82
70203,"all","0-5","2016-2017","2 years",165,0.85
70204,"all","0-5","2016-2017","2 years",187,0.92
70205,"all","0-5","2016-2017","2 years",283,0.88
80101,"all","0-5","2016-2017","2 years",1315,0.92
80102,"all","0-5","2016-2017","2 years",NA,NA
80103,"all","0-5","2016-2017","2 years",NA,NA
80104,"all","0-5","2016-2017","2 years",1350,0.93
80105,"all","0-5","2016-2017","2 years",485,0.87
80106,"all","0-5","2016-2017","2 years",233,0.88
80107,"all","0-5","2016-2017","2 years",1176,0.93
80108,"all","0-5","2016-2017","2 years",365,0.95
80109,"all","0-5","2016-2017","2 years",357,0.92
90101,"all","0-5","2016-2017","2 years",NA,NA
90102,"all","0-5","2016-2017","2 years",NA,NA
90103,"all","0-5","2016-2017","2 years",NA,NA
90104,"all","0-5","2016-2017","2 years",NA,NA
10101,"all","0-5","2016-2017","5 years",890,0.95
10102,"all","0-5","2016-2017","5 years",723,0.95
10103,"all","0-5","2016-2017","5 years",209,0.93
10104,"all","0-5","2016-2017","5 years",701,0.91
10201,"all","0-5","2016-2017","5 years",2054,0.94
10202,"all","0-5","2016-2017","5 years",2106,0.96
10301,"all","0-5","2016-2017","5 years",577,0.95
10302,"all","0-5","2016-2017","5 years",739,0.96
10303,"all","0-5","2016-2017","5 years",600,0.96
10304,"all","0-5","2016-2017","5 years",833,0.97
10401,"all","0-5","2016-2017","5 years",546,0.96
10402,"all","0-5","2016-2017","5 years",1064,0.91
10501,"all","0-5","2016-2017","5 years",380,0.96
10502,"all","0-5","2016-2017","5 years",NA,NA
10503,"all","0-5","2016-2017","5 years",1008,0.95
10601,"all","0-5","2016-2017","5 years",1251,0.96
10602,"all","0-5","2016-2017","5 years",1069,0.97
10603,"all","0-5","2016-2017","5 years",893,0.97
10604,"all","0-5","2016-2017","5 years",451,0.96
10701,"all","0-5","2016-2017","5 years",1010,0.97
10702,"all","0-5","2016-2017","5 years",NA,NA
10703,"all","0-5","2016-2017","5 years",1143,0.96
10704,"all","0-5","2016-2017","5 years",1531,0.94
10801,"all","0-5","2016-2017","5 years",304,0.96
10802,"all","0-5","2016-2017","5 years",544,0.93
10803,"all","0-5","2016-2017","5 years",NA,NA
10804,"all","0-5","2016-2017","5 years",905,0.95
10805,"all","0-5","2016-2017","5 years",631,0.95
10901,"all","0-5","2016-2017","5 years",734,0.96
10902,"all","0-5","2016-2017","5 years",NA,NA
10903,"all","0-5","2016-2017","5 years",484,0.96
11001,"all","0-5","2016-2017","5 years",400,0.94
11002,"all","0-5","2016-2017","5 years",480,0.95
11003,"all","0-5","2016-2017","5 years",425,0.96
11004,"all","0-5","2016-2017","5 years",1159,0.96
11101,"all","0-5","2016-2017","5 years",1596,0.97
11102,"all","0-5","2016-2017","5 years",925,0.94
11103,"all","0-5","2016-2017","5 years",2036,0.96
11201,"all","0-5","2016-2017","5 years",780,0.82
11202,"all","0-5","2016-2017","5 years",862,0.91
11203,"all","0-5","2016-2017","5 years",1045,0.9
11301,"all","0-5","2016-2017","5 years",630,0.95
11302,"all","0-5","2016-2017","5 years",NA,NA
11303,"all","0-5","2016-2017","5 years",1225,0.96
11401,"all","0-5","2016-2017","5 years",1120,0.96
11402,"all","0-5","2016-2017","5 years",505,0.96
11501,"all","0-5","2016-2017","5 years",2046,0.94
11502,"all","0-5","2016-2017","5 years",306,0.94
11503,"all","0-5","2016-2017","5 years",317,0.93
11504,"all","0-5","2016-2017","5 years",501,0.94
11601,"all","0-5","2016-2017","5 years",2014,0.93
11602,"all","0-5","2016-2017","5 years",1546,0.96
11603,"all","0-5","2016-2017","5 years",1914,0.93
11701,"all","0-5","2016-2017","5 years",528,0.93
11702,"all","0-5","2016-2017","5 years",555,0.93
11703,"all","0-5","2016-2017","5 years",1137,0.88
11801,"all","0-5","2016-2017","5 years",1300,0.85
11802,"all","0-5","2016-2017","5 years",1523,0.92
11901,"all","0-5","2016-2017","5 years",2620,0.94
11902,"all","0-5","2016-2017","5 years",2012,0.92
11903,"all","0-5","2016-2017","5 years",1481,0.93
11904,"all","0-5","2016-2017","5 years",1591,0.92
12001,"all","0-5","2016-2017","5 years",968,0.93
12002,"all","0-5","2016-2017","5 years",760,0.9
12003,"all","0-5","2016-2017","5 years",1506,0.93
12101,"all","0-5","2016-2017","5 years",1432,0.9
12102,"all","0-5","2016-2017","5 years",1132,0.93
12103,"all","0-5","2016-2017","5 years",1462,0.92
12104,"all","0-5","2016-2017","5 years",978,0.88
12201,"all","0-5","2016-2017","5 years",560,0.9
12202,"all","0-5","2016-2017","5 years",748,0.9
12203,"all","0-5","2016-2017","5 years",1950,0.92
12301,"all","0-5","2016-2017","5 years",1039,0.96
12302,"all","0-5","2016-2017","5 years",2492,0.95
12303,"all","0-5","2016-2017","5 years",624,0.97
12401,"all","0-5","2016-2017","5 years",910,0.92
12402,"all","0-5","2016-2017","5 years",NA,NA
12403,"all","0-5","2016-2017","5 years",2025,0.96
12404,"all","0-5","2016-2017","5 years",525,0.95
12405,"all","0-5","2016-2017","5 years",957,0.95
12501,"all","0-5","2016-2017","5 years",1270,0.92
12502,"all","0-5","2016-2017","5 years",902,0.94
12503,"all","0-5","2016-2017","5 years",2452,0.93
12504,"all","0-5","2016-2017","5 years",2093,0.91
12601,"all","0-5","2016-2017","5 years",615,0.91
12602,"all","0-5","2016-2017","5 years",1578,0.92
12701,"all","0-5","2016-2017","5 years",1577,0.96
12702,"all","0-5","2016-2017","5 years",2480,0.92
12703,"all","0-5","2016-2017","5 years",1855,0.93
12801,"all","0-5","2016-2017","5 years",1329,0.95
12802,"all","0-5","2016-2017","5 years",1541,0.97
20101,"all","0-5","2016-2017","5 years",1284,0.95
20102,"all","0-5","2016-2017","5 years",318,0.94
20103,"all","0-5","2016-2017","5 years",292,0.96
20201,"all","0-5","2016-2017","5 years",1242,0.95
20202,"all","0-5","2016-2017","5 years",556,0.94
20203,"all","0-5","2016-2017","5 years",128,0.93
20301,"all","0-5","2016-2017","5 years",241,0.97
20302,"all","0-5","2016-2017","5 years",2375,0.95
20303,"all","0-5","2016-2017","5 years",883,0.96
20401,"all","0-5","2016-2017","5 years",592,0.94
20402,"all","0-5","2016-2017","5 years",498,0.96
20403,"all","0-5","2016-2017","5 years",892,0.96
20501,"all","0-5","2016-2017","5 years",602,0.96
20502,"all","0-5","2016-2017","5 years",474,0.96
20503,"all","0-5","2016-2017","5 years",693,0.94
20504,"all","0-5","2016-2017","5 years",938,0.98
20505,"all","0-5","2016-2017","5 years",503,0.94
20601,"all","0-5","2016-2017","5 years",867,0.93
20602,"all","0-5","2016-2017","5 years",583,0.95
20603,"all","0-5","2016-2017","5 years",662,0.93
20604,"all","0-5","2016-2017","5 years",613,0.85
20605,"all","0-5","2016-2017","5 years",817,0.89
20606,"all","0-5","2016-2017","5 years",366,0.88
20607,"all","0-5","2016-2017","5 years",717,0.92
20701,"all","0-5","2016-2017","5 years",1669,0.93
20702,"all","0-5","2016-2017","5 years",932,0.92
20703,"all","0-5","2016-2017","5 years",1099,0.95
20801,"all","0-5","2016-2017","5 years",1122,0.93
20802,"all","0-5","2016-2017","5 years",1746,0.93
20803,"all","0-5","2016-2017","5 years",1451,0.94
20804,"all","0-5","2016-2017","5 years",461,0.94
20901,"all","0-5","2016-2017","5 years",1591,0.94
20902,"all","0-5","2016-2017","5 years",1026,0.94
20903,"all","0-5","2016-2017","5 years",817,0.94
20904,"all","0-5","2016-2017","5 years",3257,0.96
21001,"all","0-5","2016-2017","5 years",698,0.94
21002,"all","0-5","2016-2017","5 years",426,0.94
21003,"all","0-5","2016-2017","5 years",952,0.94
21004,"all","0-5","2016-2017","5 years",512,0.96
21005,"all","0-5","2016-2017","5 years",2692,0.94
21101,"all","0-5","2016-2017","5 years",1775,0.94
21102,"all","0-5","2016-2017","5 years",266,0.9
21103,"all","0-5","2016-2017","5 years",1347,0.94
21104,"all","0-5","2016-2017","5 years",775,0.94
21105,"all","0-5","2016-2017","5 years",1834,0.94
21201,"all","0-5","2016-2017","5 years",1607,0.95
21202,"all","0-5","2016-2017","5 years",1854,0.93
21203,"all","0-5","2016-2017","5 years",2889,0.95
21204,"all","0-5","2016-2017","5 years",2274,0.93
21205,"all","0-5","2016-2017","5 years",1804,0.93
21301,"all","0-5","2016-2017","5 years",2565,0.94
21302,"all","0-5","2016-2017","5 years",1156,0.93
21303,"all","0-5","2016-2017","5 years",934,0.93
21304,"all","0-5","2016-2017","5 years",2599,0.95
21305,"all","0-5","2016-2017","5 years",4352,0.93
21401,"all","0-5","2016-2017","5 years",1810,0.94
21402,"all","0-5","2016-2017","5 years",1837,0.94
21501,"all","0-5","2016-2017","5 years",591,0.97
21502,"all","0-5","2016-2017","5 years",691,0.95
21503,"all","0-5","2016-2017","5 years",430,0.95
21601,"all","0-5","2016-2017","5 years",445,0.96
21602,"all","0-5","2016-2017","5 years",354,0.94
21603,"all","0-5","2016-2017","5 years",859,0.95
21701,"all","0-5","2016-2017","5 years",383,0.96
21702,"all","0-5","2016-2017","5 years",1090,0.96
30101,"all","0-5","2016-2017","5 years",922,0.95
30102,"all","0-5","2016-2017","5 years",946,0.95
30103,"all","0-5","2016-2017","5 years",979,0.94
30201,"all","0-5","2016-2017","5 years",512,0.95
30202,"all","0-5","2016-2017","5 years",857,0.94
30203,"all","0-5","2016-2017","5 years",471,0.95
30204,"all","0-5","2016-2017","5 years",778,0.95
30301,"all","0-5","2016-2017","5 years",623,0.95
30302,"all","0-5","2016-2017","5 years",755,0.93
30303,"all","0-5","2016-2017","5 years",831,0.94
30304,"all","0-5","2016-2017","5 years",496,0.95
30305,"all","0-5","2016-2017","5 years",910,0.95
30306,"all","0-5","2016-2017","5 years",653,0.92
30401,"all","0-5","2016-2017","5 years",461,0.95
30402,"all","0-5","2016-2017","5 years",563,0.93
30403,"all","0-5","2016-2017","5 years",426,0.91
30404,"all","0-5","2016-2017","5 years",659,0.94
30501,"all","0-5","2016-2017","5 years",397,0.9
30502,"all","0-5","2016-2017","5 years",496,0.94
30503,"all","0-5","2016-2017","5 years",809,0.94
30504,"all","0-5","2016-2017","5 years",630,0.94
30601,"all","0-5","2016-2017","5 years",661,0.93
30602,"all","0-5","2016-2017","5 years",1561,0.94
30603,"all","0-5","2016-2017","5 years",416,0.96
30604,"all","0-5","2016-2017","5 years",120,0.91
30605,"all","0-5","2016-2017","5 years",483,0.92
30701,"all","0-5","2016-2017","5 years",692,0.95
30702,"all","0-5","2016-2017","5 years",638,0.95
30703,"all","0-5","2016-2017","5 years",469,0.94
30801,"all","0-5","2016-2017","5 years",547,0.96
30802,"all","0-5","2016-2017","5 years",1202,0.94
30803,"all","0-5","2016-2017","5 years",1521,0.96
30901,"all","0-5","2016-2017","5 years",700,0.93
30902,"all","0-5","2016-2017","5 years",530,0.91
30903,"all","0-5","2016-2017","5 years",634,0.92
30904,"all","0-5","2016-2017","5 years",194,0.88
30905,"all","0-5","2016-2017","5 years",392,0.9
30906,"all","0-5","2016-2017","5 years",946,0.93
30907,"all","0-5","2016-2017","5 years",2051,0.93
30908,"all","0-5","2016-2017","5 years",571,0.92
30909,"all","0-5","2016-2017","5 years",645,0.92
30910,"all","0-5","2016-2017","5 years",317,0.91
31001,"all","0-5","2016-2017","5 years",1062,0.94
31002,"all","0-5","2016-2017","5 years",799,0.96
31003,"all","0-5","2016-2017","5 years",1605,0.95
31004,"all","0-5","2016-2017","5 years",1577,0.94
31101,"all","0-5","2016-2017","5 years",163,0.86
31102,"all","0-5","2016-2017","5 years",636,0.92
31103,"all","0-5","2016-2017","5 years",1323,0.92
31104,"all","0-5","2016-2017","5 years",603,0.93
31105,"all","0-5","2016-2017","5 years",913,0.92
31106,"all","0-5","2016-2017","5 years",1326,0.93
31201,"all","0-5","2016-2017","5 years",522,0.95
31202,"all","0-5","2016-2017","5 years",1563,0.96
31203,"all","0-5","2016-2017","5 years",246,0.94
31301,"all","0-5","2016-2017","5 years",332,0.94
31302,"all","0-5","2016-2017","5 years",1057,0.95
31303,"all","0-5","2016-2017","5 years",153,0.93
31304,"all","0-5","2016-2017","5 years",965,0.95
31305,"all","0-5","2016-2017","5 years",628,0.93
31401,"all","0-5","2016-2017","5 years",1176,0.94
31402,"all","0-5","2016-2017","5 years",1312,0.94
31403,"all","0-5","2016-2017","5 years",592,0.96
31501,"all","0-5","2016-2017","5 years",572,0.96
31502,"all","0-5","2016-2017","5 years",511,0.95
31503,"all","0-5","2016-2017","5 years",266,0.96
31601,"all","0-5","2016-2017","5 years",611,0.92
31602,"all","0-5","2016-2017","5 years",933,0.94
31603,"all","0-5","2016-2017","5 years",650,0.92
31604,"all","0-5","2016-2017","5 years",711,0.89
31605,"all","0-5","2016-2017","5 years",372,0.9
31606,"all","0-5","2016-2017","5 years",528,0.88
31701,"all","0-5","2016-2017","5 years",1962,0.94
31801,"all","0-5","2016-2017","5 years",518,0.96
31802,"all","0-5","2016-2017","5 years",2621,0.96
31901,"all","0-5","2016-2017","5 years",981,0.96
31902,"all","0-5","2016-2017","5 years",577,0.96
31903,"all","0-5","2016-2017","5 years",555,0.94
31904,"all","0-5","2016-2017","5 years",655,0.92
31905,"all","0-5","2016-2017","5 years",508,0.93
40101,"all","0-5","2016-2017","5 years",86,0.78
40102,"all","0-5","2016-2017","5 years",798,0.9
40103,"all","0-5","2016-2017","5 years",415,0.92
40104,"all","0-5","2016-2017","5 years",568,0.93
40105,"all","0-5","2016-2017","5 years",338,0.93
40106,"all","0-5","2016-2017","5 years",307,0.91
40107,"all","0-5","2016-2017","5 years",367,0.9
40201,"all","0-5","2016-2017","5 years",442,0.95
40202,"all","0-5","2016-2017","5 years",1549,0.95
40203,"all","0-5","2016-2017","5 years",861,0.93
40204,"all","0-5","2016-2017","5 years",1864,0.95
40205,"all","0-5","2016-2017","5 years",1067,0.94
40301,"all","0-5","2016-2017","5 years",329,0.92
40302,"all","0-5","2016-2017","5 years",950,0.94
40303,"all","0-5","2016-2017","5 years",693,0.93
40304,"all","0-5","2016-2017","5 years",2043,0.94
40401,"all","0-5","2016-2017","5 years",1084,0.92
40402,"all","0-5","2016-2017","5 years",629,0.93
40403,"all","0-5","2016-2017","5 years",619,0.92
40501,"all","0-5","2016-2017","5 years",435,0.94
40502,"all","0-5","2016-2017","5 years",248,0.95
40503,"all","0-5","2016-2017","5 years",293,0.94
40504,"all","0-5","2016-2017","5 years",233,0.95
40601,"all","0-5","2016-2017","5 years",770,0.94
40602,"all","0-5","2016-2017","5 years",336,0.94
40701,"all","0-5","2016-2017","5 years",441,0.93
40702,"all","0-5","2016-2017","5 years",766,0.96
40703,"all","0-5","2016-2017","5 years",738,0.95
50101,"all","0-5","2016-2017","5 years",615,0.88
50102,"all","0-5","2016-2017","5 years",1388,0.95
50103,"all","0-5","2016-2017","5 years",230,0.9
50201,"all","0-5","2016-2017","5 years",1195,0.91
50301,"all","0-5","2016-2017","5 years",599,0.88
50302,"all","0-5","2016-2017","5 years",963,0.89
50401,"all","0-5","2016-2017","5 years",928,0.93
50402,"all","0-5","2016-2017","5 years",439,0.88
50403,"all","0-5","2016-2017","5 years",1860,0.92
50501,"all","0-5","2016-2017","5 years",1960,0.91
50502,"all","0-5","2016-2017","5 years",2155,0.9
50503,"all","0-5","2016-2017","5 years",2851,0.92
50601,"all","0-5","2016-2017","5 years",1319,0.93
50602,"all","0-5","2016-2017","5 years",768,0.88
50603,"all","0-5","2016-2017","5 years",1160,0.91
50604,"all","0-5","2016-2017","5 years",1680,0.92
50605,"all","0-5","2016-2017","5 years",668,0.91
50606,"all","0-5","2016-2017","5 years",427,0.95
50607,"all","0-5","2016-2017","5 years",370,0.88
50701,"all","0-5","2016-2017","5 years",1409,0.92
50702,"all","0-5","2016-2017","5 years",333,0.85
50703,"all","0-5","2016-2017","5 years",658,0.92
50704,"all","0-5","2016-2017","5 years",1102,0.91
50705,"all","0-5","2016-2017","5 years",1926,0.92
50801,"all","0-5","2016-2017","5 years",207,0.95
50802,"all","0-5","2016-2017","5 years",136,0.95
50803,"all","0-5","2016-2017","5 years",576,0.96
50804,"all","0-5","2016-2017","5 years",613,0.97
50805,"all","0-5","2016-2017","5 years",701,0.94
50806,"all","0-5","2016-2017","5 years",822,0.94
50901,"all","0-5","2016-2017","5 years",695,0.92
50902,"all","0-5","2016-2017","5 years",677,0.95
50903,"all","0-5","2016-2017","5 years",275,0.95
60101,"all","0-5","2016-2017","5 years",253,0.95
60102,"all","0-5","2016-2017","5 years",667,0.95
60103,"all","0-5","2016-2017","5 years",629,0.94
60104,"all","0-5","2016-2017","5 years",443,0.95
60105,"all","0-5","2016-2017","5 years",474,0.92
60106,"all","0-5","2016-2017","5 years",183,0.96
60201,"all","0-5","2016-2017","5 years",940,0.93
60202,"all","0-5","2016-2017","5 years",229,0.94
60203,"all","0-5","2016-2017","5 years",398,0.95
60301,"all","0-5","2016-2017","5 years",132,0.94
60302,"all","0-5","2016-2017","5 years",195,0.9
60303,"all","0-5","2016-2017","5 years",9999999,9999999
60401,"all","0-5","2016-2017","5 years",570,0.96
60402,"all","0-5","2016-2017","5 years",484,0.93
60403,"all","0-5","2016-2017","5 years",214,0.96
70101,"all","0-5","2016-2017","5 years",224,0.93
70102,"all","0-5","2016-2017","5 years",820,0.92
70103,"all","0-5","2016-2017","5 years",304,0.94
70104,"all","0-5","2016-2017","5 years",602,0.93
70201,"all","0-5","2016-2017","5 years",561,0.91
70202,"all","0-5","2016-2017","5 years",9999999,9999999
70203,"all","0-5","2016-2017","5 years",173,0.94
70204,"all","0-5","2016-2017","5 years",199,0.95
70205,"all","0-5","2016-2017","5 years",344,0.94
80101,"all","0-5","2016-2017","5 years",1320,0.94
80102,"all","0-5","2016-2017","5 years",NA,NA
80103,"all","0-5","2016-2017","5 years",NA,NA
80104,"all","0-5","2016-2017","5 years",1322,0.95
80105,"all","0-5","2016-2017","5 years",463,0.93
80106,"all","0-5","2016-2017","5 years",276,0.89
80107,"all","0-5","2016-2017","5 years",1165,0.94
80108,"all","0-5","2016-2017","5 years",396,0.95
80109,"all","0-5","2016-2017","5 years",401,0.94
90101,"all","0-5","2016-2017","5 years",NA,NA
90102,"all","0-5","2016-2017","5 years",NA,NA
90103,"all","0-5","2016-2017","5 years",NA,NA
90104,"all","0-5","2016-2017","5 years",NA,NA
