"SA3_CODE16","sex","age_group","calendar_year","age_fully_immunised_AIR","p"
"50606","all","0-5","2014","1 year",0.93
"50605","all","0-5","2014","1 year",0.92
"50604","all","0-5","2014","1 year",0.9
"50603","all","0-5","2014","1 year",0.89
"50602","all","0-5","2014","1 year",0.92
"50601","all","0-5","2014","1 year",0.89
"50503","all","0-5","2014","1 year",0.92
"50502","all","0-5","2014","1 year",0.92
"50501","all","0-5","2014","1 year",0.92
"50403","all","0-5","2014","1 year",0.9
"50402","all","0-5","2014","1 year",0.84
"50401","all","0-5","2014","1 year",0.91
"50302","all","0-5","2014","1 year",0.91
"50301","all","0-5","2014","1 year",0.9
"50201","all","0-5","2014","1 year",0.91
"50103","all","0-5","2014","1 year",0.89
"50102","all","0-5","2014","1 year",0.91
"50101","all","0-5","2014","1 year",0.88
"60403","all","0-5","2014","1 year",0.88
"60402","all","0-5","2014","1 year",0.9
"60401","all","0-5","2014","1 year",0.88
"60303","all","0-5","2014","1 year",0.89
"60302","all","0-5","2014","1 year",0.85
"60301","all","0-5","2014","1 year",0.89
"60203","all","0-5","2014","1 year",0.9
"60202","all","0-5","2014","1 year",0.87
"60201","all","0-5","2014","1 year",0.88
"60106","all","0-5","2014","1 year",0.91
"60105","all","0-5","2014","1 year",0.9
"60104","all","0-5","2014","1 year",0.92
"60103","all","0-5","2014","1 year",0.92
"60102","all","0-5","2014","1 year",0.94
"60101","all","0-5","2014","1 year",0.88
"70205","all","0-5","2014","1 year",0.94
"70204","all","0-5","2014","1 year",0.85
"70203","all","0-5","2014","1 year",0.94
"70202","all","0-5","2014","1 year",0.91
"70201","all","0-5","2014","1 year",0.87
"70104","all","0-5","2014","1 year",0.91
"70103","all","0-5","2014","1 year",0.89
"70102","all","0-5","2014","1 year",0.91
"70101","all","0-5","2014","1 year",0.91
"90103","all","0-5","2015","1 year",NA
"80109","all","0-5","2015","1 year",0.93
"80108","all","0-5","2015","1 year",0.94
"80107","all","0-5","2015","1 year",0.94
"80106","all","0-5","2015","1 year",0.91
"80105","all","0-5","2015","1 year",0.93
"80104","all","0-5","2015","1 year",0.95
"80103","all","0-5","2015","1 year",NA
"80102","all","0-5","2015","1 year",0.95
"80101","all","0-5","2015","1 year",0.94
"12802","all","0-5","2015","1 year",0.95
"12801","all","0-5","2015","1 year",0.93
"12703","all","0-5","2015","1 year",0.92
"12702","all","0-5","2015","1 year",0.92
"12701","all","0-5","2015","1 year",0.93
"12602","all","0-5","2015","1 year",0.92
"12601","all","0-5","2015","1 year",0.91
"12504","all","0-5","2015","1 year",0.88
"12503","all","0-5","2015","1 year",0.9
"12502","all","0-5","2015","1 year",0.93
"12501","all","0-5","2015","1 year",0.89
"12405","all","0-5","2015","1 year",0.91
"12404","all","0-5","2015","1 year",0.93
"12403","all","0-5","2015","1 year",0.95
"12401","all","0-5","2015","1 year",0.9
"12303","all","0-5","2015","1 year",0.93
"12302","all","0-5","2015","1 year",0.91
"12301","all","0-5","2015","1 year",0.95
"12203","all","0-5","2015","1 year",0.93
"12202","all","0-5","2015","1 year",0.91
"12201","all","0-5","2015","1 year",0.93
"12104","all","0-5","2015","1 year",0.91
"12103","all","0-5","2015","1 year",0.92
"12102","all","0-5","2015","1 year",0.94
"12101","all","0-5","2015","1 year",0.92
"12003","all","0-5","2015","1 year",0.92
"12002","all","0-5","2015","1 year",0.94
"12001","all","0-5","2015","1 year",0.93
"11904","all","0-5","2015","1 year",0.92
"11903","all","0-5","2015","1 year",0.92
"11902","all","0-5","2015","1 year",0.9
"11901","all","0-5","2015","1 year",0.9
"11802","all","0-5","2015","1 year",0.92
"11801","all","0-5","2015","1 year",0.92
"11703","all","0-5","2015","1 year",0.91
"11702","all","0-5","2015","1 year",0.95
"11701","all","0-5","2015","1 year",0.93
"11603","all","0-5","2015","1 year",0.88
"11602","all","0-5","2015","1 year",0.94
"11601","all","0-5","2015","1 year",0.93
"11504","all","0-5","2015","1 year",0.92
"11503","all","0-5","2015","1 year",0.95
"11502","all","0-5","2015","1 year",0.93
"11501","all","0-5","2015","1 year",0.94
"11402","all","0-5","2015","1 year",0.94
"11401","all","0-5","2015","1 year",0.95
"11303","all","0-5","2015","1 year",0.95
"11302","all","0-5","2015","1 year",0.92
"11301","all","0-5","2015","1 year",0.94
"11203","all","0-5","2015","1 year",0.89
"11202","all","0-5","2015","1 year",0.89
"11201","all","0-5","2015","1 year",0.82
"11103","all","0-5","2015","1 year",0.94
"11102","all","0-5","2015","1 year",0.91
"11101","all","0-5","2015","1 year",0.95
"11004","all","0-5","2015","1 year",0.94
"11003","all","0-5","2015","1 year",0.92
"11002","all","0-5","2015","1 year",0.92
"11001","all","0-5","2015","1 year",0.94
"10903","all","0-5","2015","1 year",0.95
"10902","all","0-5","2015","1 year",0.93
"10901","all","0-5","2015","1 year",0.94
"10805","all","0-5","2015","1 year",0.92
"10804","all","0-5","2015","1 year",0.92
"10803","all","0-5","2015","1 year",NA
"10802","all","0-5","2015","1 year",0.89
"10801","all","0-5","2015","1 year",0.95
"10704","all","0-5","2015","1 year",0.93
"10703","all","0-5","2015","1 year",0.93
"10701","all","0-5","2015","1 year",0.94
"10604","all","0-5","2015","1 year",0.92
"10603","all","0-5","2015","1 year",0.94
"10602","all","0-5","2015","1 year",0.94
"10601","all","0-5","2015","1 year",0.93
"10503","all","0-5","2015","1 year",0.92
"10502","all","0-5","2015","1 year",0.95
"10501","all","0-5","2015","1 year",0.88
"10402","all","0-5","2015","1 year",0.9
"10401","all","0-5","2015","1 year",0.95
"10304","all","0-5","2015","1 year",0.94
"10303","all","0-5","2015","1 year",0.94
"10302","all","0-5","2015","1 year",0.94
"10301","all","0-5","2015","1 year",0.94
"10202","all","0-5","2015","1 year",0.95
