"SA4_CODE16","sex","age_group","year_range","age_fully_immunised_AIR","n","p"
601,"all","0-5","2016-2017","2 years",153,0.93
602,"all","0-5","2016-2017","2 years",96,0.91
603,"all","0-5","2016-2017","2 years",9999999,9999999
604,"all","0-5","2016-2017","2 years",129,0.88
701,"all","0-5","2016-2017","2 years",355,0.87
702,"all","0-5","2016-2017","2 years",799,0.85
801,"all","0-5","2016-2017","2 years",125,0.89
901,"all","0-5","2016-2017","2 years",NA,NA
101,"all","0-5","2016-2017","5 years",147,0.95
102,"all","0-5","2016-2017","5 years",NA,NA
103,"all","0-5","2016-2017","5 years",320,0.96
104,"all","0-5","2016-2017","5 years",169,0.97
105,"all","0-5","2016-2017","5 years",515,0.97
106,"all","0-5","2016-2017","5 years",305,0.97
107,"all","0-5","2016-2017","5 years",211,0.97
108,"all","0-5","2016-2017","5 years",341,0.97
109,"all","0-5","2016-2017","5 years",NA,NA
110,"all","0-5","2016-2017","5 years",497,0.95
111,"all","0-5","2016-2017","5 years",NA,NA
112,"all","0-5","2016-2017","5 years",231,0.96
113,"all","0-5","2016-2017","5 years",NA,NA
114,"all","0-5","2016-2017","5 years",NA,NA
115,"all","0-5","2016-2017","5 years",9999999,9999999
116,"all","0-5","2016-2017","5 years",206,0.95
117,"all","0-5","2016-2017","5 years",9999999,9999999
118,"all","0-5","2016-2017","5 years",9999999,9999999
119,"all","0-5","2016-2017","5 years",9999999,9999999
120,"all","0-5","2016-2017","5 years",NA,NA
121,"all","0-5","2016-2017","5 years",NA,NA
122,"all","0-5","2016-2017","5 years",NA,NA
123,"all","0-5","2016-2017","5 years",NA,NA
124,"all","0-5","2016-2017","5 years",NA,NA
125,"all","0-5","2016-2017","5 years",9999999,9999999
126,"all","0-5","2016-2017","5 years",NA,NA
127,"all","0-5","2016-2017","5 years",NA,NA
128,"all","0-5","2016-2017","5 years",9999999,9999999
201,"all","0-5","2016-2017","5 years",9999999,9999999
202,"all","0-5","2016-2017","5 years",9999999,9999999
203,"all","0-5","2016-2017","5 years",9999999,9999999
204,"all","0-5","2016-2017","5 years",9999999,9999999
205,"all","0-5","2016-2017","5 years",NA,NA
206,"all","0-5","2016-2017","5 years",9999999,9999999
207,"all","0-5","2016-2017","5 years",NA,NA
208,"all","0-5","2016-2017","5 years",NA,NA
209,"all","0-5","2016-2017","5 years",9999999,9999999
210,"all","0-5","2016-2017","5 years",9999999,9999999
211,"all","0-5","2016-2017","5 years",9999999,9999999
212,"all","0-5","2016-2017","5 years",9999999,9999999
213,"all","0-5","2016-2017","5 years",147,0.94
214,"all","0-5","2016-2017","5 years",9999999,9999999
215,"all","0-5","2016-2017","5 years",95,0.94
216,"all","0-5","2016-2017","5 years",136,0.94
217,"all","0-5","2016-2017","5 years",9999999,9999999
301,"all","0-5","2016-2017","5 years",NA,NA
302,"all","0-5","2016-2017","5 years",NA,NA
303,"all","0-5","2016-2017","5 years",9999999,9999999
304,"all","0-5","2016-2017","5 years",NA,NA
305,"all","0-5","2016-2017","5 years",9999999,9999999
306,"all","0-5","2016-2017","5 years",691,0.98
307,"all","0-5","2016-2017","5 years",202,0.97
308,"all","0-5","2016-2017","5 years",364,0.97
309,"all","0-5","2016-2017","5 years",190,0.96
310,"all","0-5","2016-2017","5 years",306,0.96
311,"all","0-5","2016-2017","5 years",286,0.94
312,"all","0-5","2016-2017","5 years",198,0.97
313,"all","0-5","2016-2017","5 years",233,0.97
314,"all","0-5","2016-2017","5 years",NA,NA
315,"all","0-5","2016-2017","5 years",695,0.97
316,"all","0-5","2016-2017","5 years",116,0.94
317,"all","0-5","2016-2017","5 years",181,0.95
318,"all","0-5","2016-2017","5 years",532,0.96
319,"all","0-5","2016-2017","5 years",390,0.95
401,"all","0-5","2016-2017","5 years",9999999,9999999
402,"all","0-5","2016-2017","5 years",240,0.94
403,"all","0-5","2016-2017","5 years",91,0.88
404,"all","0-5","2016-2017","5 years",9999999,9999999
405,"all","0-5","2016-2017","5 years",9999999,9999999
406,"all","0-5","2016-2017","5 years",201,0.96
407,"all","0-5","2016-2017","5 years",NA,NA
501,"all","0-5","2016-2017","5 years",108,0.95
502,"all","0-5","2016-2017","5 years",9999999,9999999
503,"all","0-5","2016-2017","5 years",NA,NA
504,"all","0-5","2016-2017","5 years",121,0.89
505,"all","0-5","2016-2017","5 years",129,0.9
506,"all","0-5","2016-2017","5 years",268,0.93
507,"all","0-5","2016-2017","5 years",152,0.95
508,"all","0-5","2016-2017","5 years",867,0.96
509,"all","0-5","2016-2017","5 years",NA,NA
601,"all","0-5","2016-2017","5 years",NA,NA
602,"all","0-5","2016-2017","5 years",111,0.92
603,"all","0-5","2016-2017","5 years",9999999,9999999
604,"all","0-5","2016-2017","5 years",NA,NA
701,"all","0-5","2016-2017","5 years",348,0.96
702,"all","0-5","2016-2017","5 years",872,0.94
801,"all","0-5","2016-2017","5 years",114,0.95
901,"all","0-5","2016-2017","5 years",NA,NA
