"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","uncertainty"
6,"2-14","male","2017-2018","did_not_consume",21300,0
6,"2-14","male","2017-2018","1_metric_cup_or_less",15900,0
6,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",1200,2
6,"2-14","male","2017-2018","2_metric_cups_or_more",2400,2
6,"2-14","male","2017-2018","total",41300,0
6,"15-17","male","2017-2018","did_not_consume",2200,1
6,"15-17","male","2017-2018","1_metric_cup_or_less",3400,1
6,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",600,2
6,"15-17","male","2017-2018","2_metric_cups_or_more",1900,1
6,"15-17","male","2017-2018","total",9100,0
7,"2-3","male","2017-2018","did_not_consume",2800,0
7,"2-3","male","2017-2018","1_metric_cup_or_less",200,2
7,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
7,"2-3","male","2017-2018","total",2700,0
7,"4-8","male","2017-2018","did_not_consume",5400,0
7,"4-8","male","2017-2018","1_metric_cup_or_less",1100,1
7,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
7,"4-8","male","2017-2018","total",6100,0
7,"9-11","male","2017-2018","did_not_consume",2100,0
7,"9-11","male","2017-2018","1_metric_cup_or_less",1500,1
7,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"9-11","male","2017-2018","2_metric_cups_or_more",1000,1
7,"9-11","male","2017-2018","total",3400,0
7,"12-13","male","2017-2018","did_not_consume",1200,2
7,"12-13","male","2017-2018","1_metric_cup_or_less",800,2
7,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"12-13","male","2017-2018","2_metric_cups_or_more",0,0
7,"12-13","male","2017-2018","total",3200,0
7,"14-17","male","2017-2018","did_not_consume",1400,1
7,"14-17","male","2017-2018","1_metric_cup_or_less",1100,1
7,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",300,2
7,"14-17","male","2017-2018","2_metric_cups_or_more",1000,1
7,"14-17","male","2017-2018","total",4100,0
7,"...7","male","2017-2018","did_not_consume",NA,1
7,"...7","male","2017-2018","1_metric_cup_or_less",NA,1
7,"...7","male","2017-2018","more_than_1_to_less_than_2_cups",NA,2
7,"...7","male","2017-2018","2_metric_cups_or_more",NA,1
7,"2-14","male","2017-2018","did_not_consume",11100,0
7,"2-14","male","2017-2018","1_metric_cup_or_less",3700,1
7,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",500,2
7,"2-14","male","2017-2018","2_metric_cups_or_more",1000,1
7,"2-14","male","2017-2018","total",16600,0
7,"15-17","male","2017-2018","did_not_consume",1200,0
7,"15-17","male","2017-2018","1_metric_cup_or_less",900,1
7,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",300,2
7,"15-17","male","2017-2018","2_metric_cups_or_more",1000,1
7,"15-17","male","2017-2018","total",3000,0
8,"2-3","male","2017-2018","did_not_consume",5400,0
8,"2-3","male","2017-2018","1_metric_cup_or_less",900,1
8,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"2-3","male","2017-2018","2_metric_cups_or_more",0,0
8,"2-3","male","2017-2018","total",6600,0
8,"4-8","male","2017-2018","did_not_consume",10200,0
8,"4-8","male","2017-2018","1_metric_cup_or_less",3300,1
8,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"4-8","male","2017-2018","2_metric_cups_or_more",0,0
8,"4-8","male","2017-2018","total",12300,0
8,"9-11","male","2017-2018","did_not_consume",5000,1
8,"9-11","male","2017-2018","1_metric_cup_or_less",3900,1
8,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"9-11","male","2017-2018","2_metric_cups_or_more",0,0
8,"9-11","male","2017-2018","total",7700,0
8,"12-13","male","2017-2018","did_not_consume",1500,2
8,"12-13","male","2017-2018","1_metric_cup_or_less",2400,1
8,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"12-13","male","2017-2018","2_metric_cups_or_more",0,0
8,"12-13","male","2017-2018","total",4400,0
8,"14-17","male","2017-2018","did_not_consume",2800,1
8,"14-17","male","2017-2018","1_metric_cup_or_less",3900,1
8,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups",600,2
8,"14-17","male","2017-2018","2_metric_cups_or_more",1700,2
8,"14-17","male","2017-2018","total",9400,0
8,"...7","male","2017-2018","did_not_consume",NA,1
8,"...7","male","2017-2018","1_metric_cup_or_less",NA,1
8,"...7","male","2017-2018","more_than_1_to_less_than_2_cups",NA,2
8,"...7","male","2017-2018","2_metric_cups_or_more",NA,2
8,"2-14","male","2017-2018","did_not_consume",21400,0
8,"2-14","male","2017-2018","1_metric_cup_or_less",11500,0
8,"2-14","male","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"2-14","male","2017-2018","2_metric_cups_or_more",0,0
8,"2-14","male","2017-2018","total",35700,0
8,"15-17","male","2017-2018","did_not_consume",2900,1
8,"15-17","male","2017-2018","1_metric_cup_or_less",3200,1
8,"15-17","male","2017-2018","more_than_1_to_less_than_2_cups",600,2
8,"15-17","male","2017-2018","2_metric_cups_or_more",2000,2
8,"15-17","male","2017-2018","total",6800,0
1,"2-3","female","2017-2018","did_not_consume",83000,0
1,"2-3","female","2017-2018","1_metric_cup_or_less",8600,2
1,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
1,"2-3","female","2017-2018","total",97200,0
1,"4-8","female","2017-2018","did_not_consume",188100,0
1,"4-8","female","2017-2018","1_metric_cup_or_less",55400,0
1,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
