"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p","uncertainty"
8,"15-17","male","2017-2018","total",100,0
1,"2-3","female","2017-2018","did_not_consume",85.4,1
1,"2-3","female","2017-2018","1_metric_cup_or_less",8.8,1
1,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
1,"2-3","female","2017-2018","total",100,0
1,"4-8","female","2017-2018","did_not_consume",73.9,0
1,"4-8","female","2017-2018","1_metric_cup_or_less",21.8,0
1,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
1,"4-8","female","2017-2018","total",100,0
1,"9-11","female","2017-2018","did_not_consume",63.4,1
1,"9-11","female","2017-2018","1_metric_cup_or_less",34.2,1
1,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
1,"9-11","female","2017-2018","total",100,0
1,"12-13","female","2017-2018","did_not_consume",56.1,1
1,"12-13","female","2017-2018","1_metric_cup_or_less",34.5,1
1,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
1,"12-13","female","2017-2018","total",100,0
1,"14-17","female","2017-2018","did_not_consume",52.8,1
1,"14-17","female","2017-2018","1_metric_cup_or_less",35,0
1,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",9.8,0
1,"14-17","female","2017-2018","2_metric_cups_or_more",2.3,1
1,"14-17","female","2017-2018","total",100,0
1,"2-14","female","2017-2018","did_not_consume",70.1,0
1,"2-14","female","2017-2018","1_metric_cup_or_less",27.8,0
1,"2-14","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
1,"2-14","female","2017-2018","2_metric_cups_or_more",0.8,1
1,"2-14","female","2017-2018","total",100,0
1,"15-17","female","2017-2018","did_not_consume",46.2,1
1,"15-17","female","2017-2018","1_metric_cup_or_less",38.6,1
1,"15-17","female","2017-2018","more_than_1_to_less_than_2_cups",5.9,1
1,"15-17","female","2017-2018","2_metric_cups_or_more",3.2,1
1,"15-17","female","2017-2018","total",100,0
2,"2-3","female","2017-2018","did_not_consume",82.7,1
2,"2-3","female","2017-2018","1_metric_cup_or_less",22.4,1
2,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
2,"2-3","female","2017-2018","total",100,0
2,"4-8","female","2017-2018","did_not_consume",74.5,0
2,"4-8","female","2017-2018","1_metric_cup_or_less",27.5,0
2,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
2,"4-8","female","2017-2018","total",100,0
2,"9-11","female","2017-2018","did_not_consume",70.3,1
2,"9-11","female","2017-2018","1_metric_cup_or_less",32.3,1
2,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
2,"9-11","female","2017-2018","total",100,0
2,"12-13","female","2017-2018","did_not_consume",58,1
2,"12-13","female","2017-2018","1_metric_cup_or_less",43.9,1
2,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
2,"12-13","female","2017-2018","total",100,0
2,"14-17","female","2017-2018","did_not_consume",62.8,1
2,"14-17","female","2017-2018","1_metric_cup_or_less",37.5,1
2,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",3.7,1
2,"14-17","female","2017-2018","2_metric_cups_or_more",2.5,1
2,"14-17","female","2017-2018","total",100,0
2,"...7","female","2017-2018","did_not_consume",NA,1
2,"...7","female","2017-2018","1_metric_cup_or_less",NA,1
2,"...7","female","2017-2018","more_than_1_to_less_than_2_cups",NA,1
2,"...7","female","2017-2018","2_metric_cups_or_more",NA,1
2,"2-14","female","2017-2018","did_not_consume",71.4,0
2,"2-14","female","2017-2018","1_metric_cup_or_less",27.6,0
2,"2-14","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"2-14","female","2017-2018","2_metric_cups_or_more",0,0
2,"2-14","female","2017-2018","total",100,0
2,"15-17","female","2017-2018","did_not_consume",59.9,1
2,"15-17","female","2017-2018","1_metric_cup_or_less",28.8,1
2,"15-17","female","2017-2018","more_than_1_to_less_than_2_cups",5.7,1
2,"15-17","female","2017-2018","2_metric_cups_or_more",3,1
2,"15-17","female","2017-2018","total",100,0
3,"2-3","female","2017-2018","did_not_consume",79.8,1
3,"2-3","female","2017-2018","1_metric_cup_or_less",13.5,1
3,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
3,"2-3","female","2017-2018","total",100,0
3,"4-8","female","2017-2018","did_not_consume",72.8,0
3,"4-8","female","2017-2018","1_metric_cup_or_less",25.3,0
3,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"4-8","female","2017-2018","2_metric_cups_or_more",1,1
3,"4-8","female","2017-2018","total",100,0
3,"9-11","female","2017-2018","did_not_consume",56.8,1
3,"9-11","female","2017-2018","1_metric_cup_or_less",40.5,1
3,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
3,"9-11","female","2017-2018","total",100,0
3,"12-13","female","2017-2018","did_not_consume",32.3,1
