"SA2_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara"
102011030,"all","10-11","Year 5",2011,"Writing",482.4
102011030,"all","10-11","Year 5",2012,"Writing",456.1
102011030,"all","10-11","Year 5",2013,"Writing",473.2
102011030,"all","10-11","Year 5",2014,"Writing",445.5
102011030,"all","10-11","Year 5",2015,"Writing",454
102011030,"all","10-11","Year 5",2016,"Writing",449.6
102011030,"all","10-11","Year 5",2017,"Writing",440
102011030,"all","10-11","Year 5",2018,"Writing",445.2
102011030,"all","10-11","Year 5",2019,"Writing",436.1
102011030,"all","10-11","Year 5",2021,"Writing",471.7
102011031,"all","10-11","Year 5",2011,"Writing",506.9
102011031,"all","10-11","Year 5",2012,"Writing",501.3
102011031,"all","10-11","Year 5",2013,"Writing",501.1
102011031,"all","10-11","Year 5",2014,"Writing",498.5
102011031,"all","10-11","Year 5",2015,"Writing",506.5
102011031,"all","10-11","Year 5",2016,"Writing",498.8
102011031,"all","10-11","Year 5",2017,"Writing",503.3
102011031,"all","10-11","Year 5",2018,"Writing",491.7
102011031,"all","10-11","Year 5",2019,"Writing",488.5
102011031,"all","10-11","Year 5",2021,"Writing",507.3
102011032,"all","10-11","Year 5",2011,"Writing",510.5
102011032,"all","10-11","Year 5",2012,"Writing",487.5
102011032,"all","10-11","Year 5",2013,"Writing",487.3
102011032,"all","10-11","Year 5",2014,"Writing",477.1
102011032,"all","10-11","Year 5",2015,"Writing",487.2
102011032,"all","10-11","Year 5",2016,"Writing",485.6
102011032,"all","10-11","Year 5",2017,"Writing",475.2
102011032,"all","10-11","Year 5",2018,"Writing",461.1
102011032,"all","10-11","Year 5",2019,"Writing",476.5
102011032,"all","10-11","Year 5",2021,"Writing",487.9
102011033,"all","10-11","Year 5",2011,"Writing",484.7
102011033,"all","10-11","Year 5",2012,"Writing",481.7
102011033,"all","10-11","Year 5",2013,"Writing",489.4
102011033,"all","10-11","Year 5",2014,"Writing",454.4
102011033,"all","10-11","Year 5",2015,"Writing",467.4
102011033,"all","10-11","Year 5",2016,"Writing",462.6
102011033,"all","10-11","Year 5",2017,"Writing",470.3
102011033,"all","10-11","Year 5",2018,"Writing",465.7
102011033,"all","10-11","Year 5",2019,"Writing",482.3
102011033,"all","10-11","Year 5",2021,"Writing",463.3
102011034,"all","10-11","Year 5",2011,"Writing",504.9
102011034,"all","10-11","Year 5",2012,"Writing",491.7
102011034,"all","10-11","Year 5",2013,"Writing",476.2
102011034,"all","10-11","Year 5",2014,"Writing",479.4
102011034,"all","10-11","Year 5",2015,"Writing",480.4
102011034,"all","10-11","Year 5",2016,"Writing",476.4
102011034,"all","10-11","Year 5",2017,"Writing",476.7
102011034,"all","10-11","Year 5",2018,"Writing",463.9
102011034,"all","10-11","Year 5",2019,"Writing",470.3
102011034,"all","10-11","Year 5",2021,"Writing",477.2
102011035,"all","10-11","Year 5",2011,"Writing",511.2
102011035,"all","10-11","Year 5",2012,"Writing",466.4
102011035,"all","10-11","Year 5",2013,"Writing",451.1
102011035,"all","10-11","Year 5",2014,"Writing",459.6
102011035,"all","10-11","Year 5",2015,"Writing",472.8
102011035,"all","10-11","Year 5",2016,"Writing",473.9
102011035,"all","10-11","Year 5",2017,"Writing",467.6
102011035,"all","10-11","Year 5",2018,"Writing",464.3
102011035,"all","10-11","Year 5",2019,"Writing",485.9
102011035,"all","10-11","Year 5",2021,"Writing",510
102011036,"all","10-11","Year 5",2011,"Writing",485.9
102011036,"all","10-11","Year 5",2012,"Writing",488
102011036,"all","10-11","Year 5",2013,"Writing",488.9
102011036,"all","10-11","Year 5",2014,"Writing",477.1
102011036,"all","10-11","Year 5",2015,"Writing",489.2
102011036,"all","10-11","Year 5",2016,"Writing",466.7
102011036,"all","10-11","Year 5",2017,"Writing",464.5
102011036,"all","10-11","Year 5",2018,"Writing",456.5
102011036,"all","10-11","Year 5",2019,"Writing",478.9
102011036,"all","10-11","Year 5",2021,"Writing",487.9
102011037,"all","10-11","Year 5",2011,"Writing",494.2
102011037,"all","10-11","Year 5",2012,"Writing",466.9
102011037,"all","10-11","Year 5",2013,"Writing",464.5
102011037,"all","10-11","Year 5",2014,"Writing",464.3
102011037,"all","10-11","Year 5",2015,"Writing",490.7
102011037,"all","10-11","Year 5",2016,"Writing",466.8
102011037,"all","10-11","Year 5",2017,"Writing",472.9
102011037,"all","10-11","Year 5",2018,"Writing",468.6
102011037,"all","10-11","Year 5",2019,"Writing",485.3
102011037,"all","10-11","Year 5",2021,"Writing",470.9
102011038,"all","10-11","Year 5",2011,"Writing",476.6
102011038,"all","10-11","Year 5",2012,"Writing",483.1
102011038,"all","10-11","Year 5",2013,"Writing",469.7
102011038,"all","10-11","Year 5",2014,"Writing",465.4
102011038,"all","10-11","Year 5",2015,"Writing",458.3
102011038,"all","10-11","Year 5",2016,"Writing",457.7
102011038,"all","10-11","Year 5",2017,"Writing",472.5
102011038,"all","10-11","Year 5",2018,"Writing",446.8
102011038,"all","10-11","Year 5",2019,"Writing",457.8
102011038,"all","10-11","Year 5",2021,"Writing",459.5
102011039,"all","10-11","Year 5",2011,"Writing",496.8
102011039,"all","10-11","Year 5",2012,"Writing",480.5
102011039,"all","10-11","Year 5",2013,"Writing",476.6
102011039,"all","10-11","Year 5",2014,"Writing",475.3
102011039,"all","10-11","Year 5",2015,"Writing",475
102011039,"all","10-11","Year 5",2016,"Writing",487
102011039,"all","10-11","Year 5",2017,"Writing",486.6
102011039,"all","10-11","Year 5",2018,"Writing",478
102011039,"all","10-11","Year 5",2019,"Writing",479
102011039,"all","10-11","Year 5",2021,"Writing",493
102011040,"all","10-11","Year 5",2011,"Writing",480.5
102011040,"all","10-11","Year 5",2012,"Writing",467.6
102011040,"all","10-11","Year 5",2013,"Writing",464.6
102011040,"all","10-11","Year 5",2014,"Writing",468.6
102011040,"all","10-11","Year 5",2015,"Writing",468.7
102011040,"all","10-11","Year 5",2016,"Writing",466.3
102011040,"all","10-11","Year 5",2017,"Writing",466
102011040,"all","10-11","Year 5",2018,"Writing",452.8
102011040,"all","10-11","Year 5",2019,"Writing",466
102011040,"all","10-11","Year 5",2021,"Writing",457.5
102011041,"all","10-11","Year 5",2011,"Writing",503.2
102011041,"all","10-11","Year 5",2012,"Writing",500.1
102011041,"all","10-11","Year 5",2013,"Writing",477.7
102011041,"all","10-11","Year 5",2014,"Writing",483.8
102011041,"all","10-11","Year 5",2015,"Writing",481.3
102011041,"all","10-11","Year 5",2016,"Writing",480.9
102011041,"all","10-11","Year 5",2017,"Writing",466.7
102011041,"all","10-11","Year 5",2018,"Writing",493.3
102011041,"all","10-11","Year 5",2019,"Writing",477.5
102011041,"all","10-11","Year 5",2021,"Writing",485.2
102011042,"all","10-11","Year 5",2011,"Writing",469.6
102011042,"all","10-11","Year 5",2012,"Writing",469.9
102011042,"all","10-11","Year 5",2013,"Writing",468.6
102011042,"all","10-11","Year 5",2014,"Writing",468.1
102011042,"all","10-11","Year 5",2015,"Writing",468.1
102011042,"all","10-11","Year 5",2016,"Writing",469.8
102011042,"all","10-11","Year 5",2017,"Writing",458.5
102011042,"all","10-11","Year 5",2018,"Writing",454.4
102011042,"all","10-11","Year 5",2019,"Writing",466.4
102011042,"all","10-11","Year 5",2021,"Writing",476.9
102011043,"all","10-11","Year 5",2011,"Writing",480
102011043,"all","10-11","Year 5",2012,"Writing",454.3
102011043,"all","10-11","Year 5",2013,"Writing",464.9
102011043,"all","10-11","Year 5",2014,"Writing",457.1
102011043,"all","10-11","Year 5",2015,"Writing",455.9
102011043,"all","10-11","Year 5",2016,"Writing",464.5
102011043,"all","10-11","Year 5",2017,"Writing",466.2
102011043,"all","10-11","Year 5",2018,"Writing",461
102011043,"all","10-11","Year 5",2019,"Writing",476.4
102011043,"all","10-11","Year 5",2021,"Writing",482.7
102021044,"all","10-11","Year 5",2011,"Writing",479.9
102021044,"all","10-11","Year 5",2012,"Writing",464.3
102021044,"all","10-11","Year 5",2013,"Writing",466.2
102021044,"all","10-11","Year 5",2014,"Writing",460.1
102021044,"all","10-11","Year 5",2015,"Writing",470.4
102021044,"all","10-11","Year 5",2016,"Writing",454.9
102021044,"all","10-11","Year 5",2017,"Writing",469.6
102021044,"all","10-11","Year 5",2018,"Writing",459.3
102021044,"all","10-11","Year 5",2019,"Writing",470.2
102021044,"all","10-11","Year 5",2021,"Writing",466.1
102021045,"all","10-11","Year 5",2011,"Writing",464.6
102021045,"all","10-11","Year 5",2012,"Writing",478.2
102021045,"all","10-11","Year 5",2013,"Writing",470.3
102021045,"all","10-11","Year 5",2014,"Writing",424.2
102021045,"all","10-11","Year 5",2015,"Writing",430.5
102021045,"all","10-11","Year 5",2016,"Writing",441.9
102021045,"all","10-11","Year 5",2017,"Writing",451.2
102021045,"all","10-11","Year 5",2018,"Writing",444.3
102021045,"all","10-11","Year 5",2019,"Writing",465.2
102021045,"all","10-11","Year 5",2021,"Writing",470.6
102021046,"all","10-11","Year 5",2011,"Writing",473.4
102021046,"all","10-11","Year 5",2012,"Writing",468.4
102021046,"all","10-11","Year 5",2013,"Writing",462.4
102021046,"all","10-11","Year 5",2014,"Writing",451.6
102021046,"all","10-11","Year 5",2015,"Writing",464.4
102021046,"all","10-11","Year 5",2016,"Writing",426
102021046,"all","10-11","Year 5",2017,"Writing",454.7
102021046,"all","10-11","Year 5",2018,"Writing",429.6
102021046,"all","10-11","Year 5",2019,"Writing",453.7
102021046,"all","10-11","Year 5",2021,"Writing",468.7
102021047,"all","10-11","Year 5",2011,"Writing",495.4
102021047,"all","10-11","Year 5",2012,"Writing",484.3
102021047,"all","10-11","Year 5",2013,"Writing",485.9
102021047,"all","10-11","Year 5",2014,"Writing",469
102021047,"all","10-11","Year 5",2015,"Writing",475.9
102021047,"all","10-11","Year 5",2016,"Writing",474.8
102021047,"all","10-11","Year 5",2017,"Writing",471.4
102021047,"all","10-11","Year 5",2018,"Writing",446.2
102021047,"all","10-11","Year 5",2019,"Writing",459.8
102021047,"all","10-11","Year 5",2021,"Writing",477.3
102021048,"all","10-11","Year 5",2011,"Writing",470.3
102021048,"all","10-11","Year 5",2012,"Writing",471.8
102021048,"all","10-11","Year 5",2013,"Writing",464.3
102021048,"all","10-11","Year 5",2014,"Writing",455.1
102021048,"all","10-11","Year 5",2015,"Writing",455.7
102021048,"all","10-11","Year 5",2016,"Writing",451.1
102021048,"all","10-11","Year 5",2017,"Writing",452.7
102021048,"all","10-11","Year 5",2018,"Writing",444.2
102021048,"all","10-11","Year 5",2019,"Writing",454.2
102021048,"all","10-11","Year 5",2021,"Writing",453.2
102021049,"all","10-11","Year 5",2011,"Writing",481.6
102021049,"all","10-11","Year 5",2012,"Writing",470.5
102021049,"all","10-11","Year 5",2013,"Writing",460.6
102021049,"all","10-11","Year 5",2014,"Writing",463.1
102021049,"all","10-11","Year 5",2015,"Writing",449.6
102021049,"all","10-11","Year 5",2016,"Writing",445.2
102021049,"all","10-11","Year 5",2017,"Writing",454.8
102021049,"all","10-11","Year 5",2018,"Writing",453.5
102021049,"all","10-11","Year 5",2019,"Writing",458.3
102021049,"all","10-11","Year 5",2021,"Writing",467.4
102021050,"all","10-11","Year 5",2011,"Writing",474.9
102021050,"all","10-11","Year 5",2012,"Writing",457.9
102021050,"all","10-11","Year 5",2013,"Writing",454.5
102021050,"all","10-11","Year 5",2014,"Writing",452.1
102021050,"all","10-11","Year 5",2015,"Writing",458.3
102021050,"all","10-11","Year 5",2016,"Writing",458.5
102021050,"all","10-11","Year 5",2017,"Writing",461.8
102021050,"all","10-11","Year 5",2018,"Writing",437.2
102021050,"all","10-11","Year 5",2019,"Writing",459.7
102021050,"all","10-11","Year 5",2021,"Writing",461.9
102021051,"all","10-11","Year 5",2011,"Writing",471.8
102021051,"all","10-11","Year 5",2012,"Writing",467
102021051,"all","10-11","Year 5",2013,"Writing",467.4
102021051,"all","10-11","Year 5",2014,"Writing",467.5
102021051,"all","10-11","Year 5",2015,"Writing",466.7
102021051,"all","10-11","Year 5",2016,"Writing",479.4
102021051,"all","10-11","Year 5",2017,"Writing",458.3
