"SA2_CODE16","age_group","sex","calendar_year","n_children_attending_preschool","SA3_CODE16"
"101011005","3-6","male","2017",138,NA
"101011005","3-6","female","2017",126,NA
"101011005","3-6",NA,"2017",0,NA
"101011006","3-6","male","2017",83,NA
"101011006","3-6","female","2017",74,NA
"101011006","3-6",NA,"2017",0,NA
"107011130","3-6","male","2017",302,NA
"107011130","3-6","female","2017",333,NA
"107011130","3-6",NA,"2017",0,NA
"107041149","3-6","male","2017",219,NA
"107041149","3-6","female","2017",219,NA
"107041149","3-6",NA,"2017",0,NA
"112031255","3-6","male","2017",298,NA
"112031255","3-6","female","2017",241,NA
"112031255","3-6",NA,"2017",0,NA
"115011292","3-6","male","2017",358,NA
"115011292","3-6","female","2017",316,NA
"115011292","3-6",NA,"2017",0,NA
"115011293","3-6","male","2017",224,NA
"115011293","3-6","female","2017",191,NA
"115011293","3-6",NA,"2017",0,NA
"115011295","3-6","male","2017",379,NA
"115011295","3-6","female","2017",352,NA
"115011295","3-6",NA,"2017",0,NA
"116011305","3-6","male","2017",324,NA
"116011305","3-6","female","2017",288,NA
"116011305","3-6",NA,"2017",0,NA
"116021311","3-6","male","2017",413,NA
"116021311","3-6","female","2017",382,NA
"116021311","3-6",NA,"2017",0,NA
"118021349","3-6","male","2017",191,NA
"118021349","3-6","female","2017",177,NA
"118021349","3-6",NA,"2017",0,NA
"118021351","3-6","male","2017",341,NA
"118021351","3-6","female","2017",298,NA
"118021351","3-6",NA,"2017",0,NA
"118021352","3-6","male","2017",297,NA
"118021352","3-6","female","2017",305,NA
"118021352","3-6",NA,"2017",0,NA
"119011353","3-6","male","2017",368,NA
"119011353","3-6","female","2017",313,NA
"119011353","3-6",NA,"2017",0,NA
"119021365","3-6","male","2017",254,NA
"119021365","3-6","female","2017",251,NA
"119021365","3-6",NA,"2017",0,NA
"120031397","3-6","male","2017",194,NA
"120031397","3-6","female","2017",171,NA
"120031397","3-6",NA,"2017",0,NA
"121021405","3-6","male","2017",460,NA
"121021405","3-6","female","2017",413,NA
"121021405","3-6",NA,"2017",0,NA
"124051471","3-6","male","2017",347,NA
"124051471","3-6","female","2017",300,NA
"124051471","3-6",NA,"2017",0,NA
"125011472","3-6","male","2017",269,NA
"125011472","3-6","female","2017",238,NA
"125011472","3-6",NA,"2017",0,NA
"125011474","3-6","male","2017",280,NA
"125011474","3-6","female","2017",240,NA
"125011474","3-6",NA,"2017",0,NA
"125041488","3-6","male","2017",382,NA
"125041488","3-6","female","2017",384,NA
"125041488","3-6",NA,"2017",0,NA
"126021502","3-6","male","2017",328,NA
"126021502","3-6","female","2017",346,NA
"126021502","3-6",NA,"2017",0,NA
"127011507","3-6","male","2017",326,NA
"127011507","3-6","female","2017",260,NA
"127011507","3-6",NA,"2017",0,NA
"127011508","3-6","male","2017",381,NA
"127011508","3-6","female","2017",289,NA
"127011508","3-6",NA,"2017",0,NA
"127031525","3-6","male","2017",341,NA
"127031525","3-6","female","2017",283,NA
"127031525","3-6",NA,"2017",0,NA
"127031526","3-6","male","2017",416,NA
"127031526","3-6","female","2017",380,NA
"127031526","3-6",NA,"2017",0,NA
"128011527","3-6","male","2017",387,NA
"128011527","3-6","female","2017",356,NA
"128011527","3-6",NA,"2017",0,NA
